"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","etoposide-5027","60/100",2.21983767624778e-27,1.35410098251114e-23,0,0,9.77691726482811,600.032519664993,"ARHGAP11A;GPSM2;ERCC6L;HJURP;KIF14;TCHH;BUB1B;KIF11;MKI67;KIF15;CDC20;HIST1H2AG;NEK2;CEP55;DLGAP5;DUSP2;DSCAM;MATK;KIF23;NME5;TUBA4B;CCNA2;GPRIN2;ASPM;NEIL3;PSRC1;DBF4;ESPL1;DEPDC1;PLEKHO1;KIF20A;KIF20B;RPP25;CDCA3;HIST1H2BJ;TROAP;NCAPG;TTK;HMMR;NCAPH;AURKB;RECQL4;CCNB1;RACGAP1;HIST1H3B;E2F8;STIL;SPAG5;UBE2C;PLK1;NDC80;TPX2;CENPE;KIF18A;CENPF;XK;PRC1;KIF4A;TACC3;CDKN3",0,0,0,0,56.6666666666667,34
"2","5109870-904","58/100",1.95564080824312e-25,3.97646964342767e-22,0,0,8.99313307807079,511.654498619584,"TOP2A;CCNF;KIF14;BUB1B;KIF11;MKI67;SOBP;HOXC11;DNALI1;CDC20;FRAT1;SALL2;NUSAP1;DNMT3B;DLEU2;A4GALT;GTSE1;DLGAP5;ELOVL4;NPY1R;KIF23;CIT;ASPM;NEIL3;PSRC1;KIFC1;DEPDC1;KIF20A;CDCA3;TROAP;ARHGAP19;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB1;RACGAP1;HIST1H3G;E2F8;UBE2C;PLK1;PLEKHA6;NDC80;BMP4;TPX2;CENPE;KIF18A;CENPF;CXCL12;KIF18B;REEP4;KIF4A;TACC3;PTTG3P;SPC25",5.17241379310345,3,0,0,51.7241379310345,30
"3","etoposide-3241","58/100",1.95564080824312e-25,3.97646964342767e-22,0,0,8.99313307807079,511.654498619584,"HIST2H2AA3;HJURP;KIF14;BUB1B;KIF11;BRCA2;COX6A2;CDC20;CHAC1;CEP55;DLGAP5;KIF23;IL17RB;CCNA2;ERN2;ASPM;NEIL3;RBL1;PSRC1;ESPL1;CLIP4;DEPDC1;KIF2C;KIF20A;DTL;CHRNA5;CDCA3;TROAP;NCAPG;CDCA8;WDR62;HMMR;CENPA;AURKB;ART1;LDHB;REM1;CCNB1;PARD6A;BCL11B;UBE2C;PLK1;PTPN14;NDC80;BMP4;LOC730101;TPX2;CENPE;MYO1E;KIF18A;CENPF;KIF18B;CENPI;PRC1;KIF4A;TACC3;MXD3;CDKN3",3.44827586206897,2,1.72413793103448,1,50,29
"4","resveratrol-958","47/100",5.44785392734978e-16,8.30797723920842e-13,0,0,5.74748191232799,202.001802395393,"ARHGAP11A;ERCC6L;TMEM183A;CDCA3;TROAP;SUV39H1;HJURP;ARHGAP19;KIF14;BUB1B;CDCA8;LYPD3;TTK;KIF11;MKI67;CENPA;C1ORF112;KIF15;CDC20;CYP27B1;CCNB1;RACGAP1;FBXO5;GTSE1;DLGAP5;E2F8;ATAD5;UBE2C;PLK1;CKAP2;KIF23;NDC80;CCNA2;ASPM;ALDH1A3;CENPE;KIF18A;CENPF;PSRC1;KIFC1;CENPI;DEPDC1;TACC3;IRF6;KIF20B;ZNF552;SPC25",0,0,0,0,48.936170212766,23
"5","resveratrol-841","46/100",3.09775102790927e-15,3.77925625404931e-12,0,0,5.51862986624355,184.366938553498,"IPPK;ERCC6L;PRR7;CDCA3;TROAP;CCNF;HJURP;ARHGAP19;KIF14;BUB1B;NCAPG;CDCA8;HMMR;KIF11;MKI67;CENPA;HOXC10;CDC20;NUAK1;CCNB1;PARD6A;RACGAP1;P2RY2;DLEU2;GTSE1;DLGAP5;RPRM;E2F8;UBE2C;PLK1;KIF23;NDC80;ASPM;ALDH1A3;CENPE;CENPF;KIF18B;PSRC1;ASPHD1;KIFC1;ID1;CDK1;DEPDC1;TACC3;KIF20A;SPC25",0,0,0,0,63.0434782608696,29
"6","0173570-0000-7389","44/100",8.88590461939109e-14,9.03400302971427e-11,0,0,5.08575183734778,152.835615793239,"IPPK;GPSM2;CDCA3;AMIGO2;HJURP;KIF14;CDCA8;HMMR;KIF11;GRPR;CDH7;CDC20;CCNB2;CCNB1;DNMT3B;SLITRK5;HIST1H2AG;DLEU2;PAK3;DLGAP5;SCARA3;PLK1;EN2;KIF23;NDC80;CCNA2;TPX2;ASPM;CENPE;CLDN4;CENPF;PSRC1;DBF4;CLDN14;PRC1;KIF4A;DEPDC1;KIF2C;KIF20A;CENPO;KIF20B;SLC29A3;SLC29A2;SPC25",4.54545454545455,2,0,0,52.2727272727273,23
"7","monobenzone-5312","43/100",4.48155875806295e-13,3.03750093602045e-10,0,0,4.88085453874928,138.780437838542,"TOP2A;ARHGAP11A;CDCA3;HIST1H2BI;TROAP;KIF14;TTK;HMMR;KIF11;CENPA;AURKB;AURKA;CDC20;CCNB2;CCNB1;RACGAP1;NUSAP1;HIST1H1D;HIST1H3G;HIST1H2AG;ECT2;DLGAP5;CYP2J2;STIL;UBE2C;HIST1H2AJ;PLK1;CKAP2;KIF23;C9ORF40;NDC80;SULT2B1;TPX2;ASPM;CENPE;KIF18A;CENPF;PSRC1;HIST3H2A;DEPDC1;TACC3;KIF20A;KIF20B",6.97674418604651,3,0,0,51.1627906976744,22
"8","trifluridine-3559","43/100",4.48155875806295e-13,3.03750093602045e-10,0,0,4.88085453874928,138.780437838542,"MAPKBP1;FKBP10;POM121;HIST1H2BI;TROAP;HJURP;KIF14;HMMR;ENO3;HOXC11;CACNA1H;CDC20;CCNB1;HIST1H1D;HIST1H1E;HIST1H3B;SULT4A1;DLGAP5;SGCG;HIST1H2AI;ATP8B2;UBE2C;ODF2;ARHGEF17;HIST1H2AJ;PLK1;ACSL4;KIF23;NDC80;TPX2;ASPM;CENPE;CENPF;MC1R;KIF18B;PSRC1;ESPL1;DEPDC1;TACC3;HIST1H2BH;KIF20A;HIST1H2BG;HIST1H4F",4.65116279069767,2,0,0,48.8372093023256,21
"9","ciclopirox-3317","43/100",4.48155875806295e-13,3.03750093602045e-10,0,0,4.88085453874928,138.780437838542,"TOP2A;ARHGAP11A;ERCC6L;SLC47A1;CALML5;CDCA3;TROAP;HJURP;KIF14;BUB1B;CDCA8;HMMR;KIF11;MKI67;CENPA;NCAPH;AURKB;AURKA;CDC20;CCNB1;RACGAP1;NUSAP1;A4GALT;DLGAP5;SGCG;IRX5;UBE2C;PLK1;PLEKHA6;ACSL4;KIF23;NDC80;TPX2;ASPM;CENPE;KIF18A;CENPF;KIF18B;PSRC1;PRC1;KIF4A;DEPDC1;KIF20A",6.97674418604651,3,0,0,62.7906976744186,27
"10","ciclopirox-5023","42/100",2.17102074062125e-12,1.1036022098158e-09,0,0,4.6831209160898,125.769069555245,"TOP2A;ARHGAP11A;ERCC6L;CDCA3;TROAP;CCNF;HJURP;KIF14;BUB1B;NCAPG;CDCA8;PLA2G3;TTK;HMMR;HOXC13;CENPA;AURKB;AURKA;CDC20;CCNB1;HIST1H1D;PITX2;DLGAP5;SGCG;CNNM4;HOXC6;UBE2C;PLK1;RFTN1;KIF23;NDC80;CIT;ASPM;CENPE;KIF18A;KIF18B;PSRC1;DBF4;ESPL1;PRC1;DEPDC1;KIF20A",4.76190476190476,2,0,0,64.2857142857143,27
