"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","doxycycline-2737","46/100",3.09775102790927e-15,1.88962812702465e-11,0,0,5.51862986624355,184.366938553498,"HIST1H2BN;ENPEP;KHDRBS2;NLGN1;KCNE2;SFTPA2;LAMA4;PTGER3;ADRA1A;PAPSS2;ART4;SOX2;TRO;NHLH2;IL1RL1;CST1;IBSP;THPO;PRB1;CALD1;DNAJB5;HOXA6;SYT5;TRPC4;HEG1;FLT3LG;BBOX1;NRG1;OLFM4;KRT31;FOSL2;SLC9A2;CLDN3;AMACR;SLC6A9;MMP16;GSTA3;COL8A2;ARHGEF4;PKP3;PADI4;TRIM31;HAMP;SPRR1A;FGFR2;SCN2B",10.8695652173913,5,0,0,36.9565217391304,17
"2","Prestwick-689-6076","43/100",4.48155875806295e-13,3.905358346312e-10,0,0,4.88085453874928,138.780437838542,"RTN2;ALK;SLC48A1;IL1RN;DLX2;COL13A1;PSCA;TRIL;ITGA2B;HR;AQP4;TREM2;C4BPB;SLC5A1;CACNA1H;RPH3A;SCEL;SVEP1;ZNF385D;MYOZ1;PKNOX2;TGM2;SNTA1;RUNX1T1;KCNH2;PSD;SERPINB3;PRKCB;CDX1;GABRA5;MUC3B;GNAO1;SFRP4;HIST1H4A;KCNS1;SNPH;SFRP5;ACRV1;TNFRSF25;NF2;PDE9A;HCN2;GSTM5",4.65116279069767,2,0,0,30.2325581395349,13
"3","R-atenolol-4259","43/100",4.48155875806295e-13,3.905358346312e-10,0,0,4.88085453874928,138.780437838542,"GPR27;CSF1;ATP10B;ATP1A2;HOXD13;CELSR1;GBA3;ASCL1;NHLH2;CST1;FAM174B;ZMAT4;SUSD4;E2F2;SNCG;MYH11;MYOZ1;GRIA3;DUOX2;SLC17A4;SERPINB3;ST14;TRPC4;ACOT11;PRRX2;HSD3B1;KIF25;EBF2;HTR5A;PAX8;CSDC2;SFRP5;DMWD;KCNQ1;FGF18;NOS1AP;AAK1;CHI3L1;HRG;AGXT;FGFR2;TJP3;SCN2B",9.30232558139535,4,0,0,46.5116279069767,20
"4","indapamide-3970","43/100",4.48155875806295e-13,3.905358346312e-10,0,0,4.88085453874928,138.780437838542,"GLP1R;CLEC4M;KCNC1;ADH1A;NR1I2;HP;AFM;SEMA3G;LTB4R;CPN2;ADD2;ART1;DPP4;FUT5;BCL2L10;SV2A;PLCE1;SNCG;CTNNA2;GYG2;TMOD1;TFAP2A;NTRK2;CADM3;FKRP;EGR4;IL1R2;HEG1;OMD;ST8SIA3;LAMB4;SEMA4F;GPR37L1;SSTR5;TBC1D2;AMACR;ARTN;CAPN10;TRIP6;FGF18;B3GNT4;MDFI;S100A7",6.97674418604651,3,0,0,20.9302325581395,9
"5","pyrithyldione-2740","43/100",4.48155875806295e-13,3.905358346312e-10,0,0,4.88085453874928,138.780437838542,"HIST1H2BN;IL1RN;NLGN1;KCNE2;FHL1;PTGER3;HPR;C8A;ADRA1A;RAPGEFL1;GRM1;AQP1;SGCD;PRB1;CALD1;MYO6;ME3;RBPMS;CKM;HIST1H2AJ;ST8SIA3;CYP3A43;EBF2;NRG1;AZGP1;CEACAM1;CLDN3;MRAS;SLC6A9;PPP1R1A;SLC7A8;PAX8;GSTA3;CEACAM5;HOXB3;ZNF415;PMP2;PADI4;HAMP;SPRR1A;FGFR2;TJP3;FOXA2",11.6279069767442,5,0,0,41.8604651162791,18
"6","azlocillin-2727","43/100",4.48155875806295e-13,3.905358346312e-10,0,0,4.88085453874928,138.780437838542,"PCSK2;PDE1C;COL13A1;ITGA2B;SERPINA10;PTGER3;STMN2;AURKA;HOXA10;SGCD;SULT1E1;SOX15;HOXA3;ADORA1;LY6G6C;MAGEA5;IGHA1;CEMP1;EDIL3;XDH;PTCRA;NTRK2;SRD5A2;DMPK;HIST1H2AJ;DAPK3;PLA2G2A;TNFRSF10C;FAM189A1;KRT31;TBX5;HPCAL4;GRHL2;FMO5;NR4A1;NCR2;F7;NR5A2;SLC7A8;DLC1;PKP1;HOXB7;FGFR2",6.97674418604651,3,0,0,34.8837209302326,15
"7","cefixime-4390","43/100",4.48155875806295e-13,3.905358346312e-10,0,0,4.88085453874928,138.780437838542,"KCNG1;CLIC5;PDE1C;COL13A1;HSPB6;TMPRSS4;USH1C;LPL;FAIM2;PRELP;FHL5;FGF2;CYP3A5;FCAR;RELB;CDH6;PRB4;SV2A;PDK4;SLITRK5;TP63;SPDEF;EPHA5;SYT5;SLC30A3;EYA4;BGN;GPR4;GPR37L1;KRT75;SERPINB8;MUC5AC;CYP2C9;ACOX2;RCAN2;HHIPL2;ALPL;AGTR2;MXD1;TCL6;HOXB6;RBMS2;SCN2B",6.97674418604651,3,0,0,37.2093023255814,16
"8","levothyroxine sodium-4069","42/100",2.17102074062125e-12,9.45944751270687e-10,0,0,4.6831209160898,125.769069555245,"COL17A1;MYOM1;ACSS3;ADH1B;AKR1D1;PTGER3;TCHH;ATP2A3;NRXN3;CPN2;BEGAIN;RIMS3;SGCD;SLC22A18AS;SULT1E1;SI;SEC14L5;SPOCK3;CXCR2;ITGB8;PITX2;MAGEA5;GGT1;DKFZP686O1327;SYT5;PTGIS;EDN3;MCF2;OMD;HNF1B;ESRRG;NFKB2;CACNB1;EHD2;FABP3;MMP16;KRT17;PIK3IP1;PSG6;FGF18;HOXB7;ZNF750",7.14285714285714,3,0,0,50,21
"9","valproic acid-5574","42/100",2.17102074062125e-12,9.45944751270687e-10,0,0,4.6831209160898,125.769069555245,"DLX2;PDE1C;DNAH7;HFE;LAMA4;HP;TGFA;HAB1;AQP4;SLC7A10;ACACB;THBS1;FUT3;DLL3;RIMS2;ADAMTS5;MMP25;CHRNG;PDGFD;LOC390940;GGT1;DRD2;TP63;KCNJ5;PTGIS;NTRK3;GP2;BGN;NRG1;CNKSR2;NELL2;CYP2C9;MMP11;CYP24A1;CDHR2;CLDN17;TNFRSF25;CD48;RLN1;ALDOB;DZIP1;VGLL3",4.76190476190476,2,0,0,40.4761904761905,17
"10","chlorzoxazone-1416","42/100",2.17102074062125e-12,9.45944751270687e-10,0,0,4.6831209160898,125.769069555245,"VIPR2;RRAD;ITGA2B;DTX2;WDR62;DOC2B;SLC4A4;LILRA4;PLD2;MRC2;REM1;CAMKV;PRB1;ALDH3B1;RNF39;HOXC4;SCN5A;SLC39A2;IGHA1;SPDEF;KCNF1;KCNJ5;KCNK10;ATP8B2;GPR35;KIF25;GNL1;PRODH2;SYN2;MUC5AC;NFKB2;CYP27A1;GNAO1;ERN2;NCR2;VGF;COL6A2;TUT1;TFF1;BIRC7;HAMP;LIMS2",0,0,0,0,30.952380952381,13
