"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 A549 24H-TG-101348-10","76/194",1.06094060755046e-40,3.31618205702046e-36,0,0,10.0756017661302,927.401186093794,"TOP2A;SNAP25;CXCL9;KIF14;HJURP;MCM10;KIF11;MKI67;FOXM1;AQP3;SLC4A4;CXCL14;CDC20;EFEMP1;EXO1;CHEK1;PBK;NEK2;MYBL2;TK1;GTSE1;PITX1;CEP55;DLGAP5;TPM1;KRT7;DKK1;CDC25A;CCNA2;ACTA2;ASPM;NEIL3;MELK;ESPL1;CEACAM6;MAL;BIRC5;KIF20A;HOXB7;ASF1B;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;SKA1;AURKB;CDC45;SLCO1B3;BUB1;RRM2;SPAG5;UBE2C;PLK1;PYCR1;KCNJ16;NETO2;SHCBP1;FOSL1;TPX2;KRT19;KIF18B;FABP5;KIF4A;ID1;ANP32E;SDC1;ID3;CENPN;S100P;TRIP13;CDKN3;SPC25",2.63157894736842,2,0,0,100,76
"2","LJP006 BT20 24H-NVP-TAE684-10","73/180",2.33337001602527e-40,3.64670732954509e-36,0,0,10.6522549764593,972.083140308394,"TOP2A;FHL1;HJURP;KIF14;MKI67;FOXM1;CDC20;EFEMP1;LGALS1;PTTG1;PBK;PLS3;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KRT6A;IER3;FGFBP1;S100A2;TPM2;TPM1;MYOF;KRT5;DKK1;CDC25A;SERPINB5;DKK3;CCNA2;ASPM;ALDH1A3;GPRC5A;TMSB15A;BIRC5;KIF20A;VGLL1;EPHA2;ASF1B;TAGLN;CDCA3;CDCA8;HMMR;CENPA;CCNB2;NT5E;CDC45;CALD1;BUB1;GABRP;MARCKSL1;RRM2;UBE2C;GADD45A;CAV1;PLK1;FOSL1;TPX2;CENPE;CENPF;KIF18B;KRT17;KIF4A;KRT15;ID1;KRT14;CENPM;CENPN;TRIP13;EZH2;CDKN3;SPC25",5.47945205479452,4,0,0,100,73
"3","LJP006 HCC515 24H-palbociclib-0.12","54/96",1.47903457170908e-39,1.54100612026369e-35,0,0,19.8288543140028,1772.88654329261,"TOP2A;SERPINA1;KIF14;HJURP;BUB1B;KIF11;MKI67;FOXM1;SLC4A4;CDC20;GJA1;PTTG1;EXO1;PBK;NEK2;TK1;GTSE1;CEP55;DLGAP5;CCNA2;ASPM;NEIL3;ESPL1;TMSB15A;SCGB2A1;RBP1;BIRC5;KIF20A;ASF1B;CPB1;CDCA3;TROAP;TYRP1;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB2;BUB1;STIL;SPAG5;PLK1;CENPE;TPX2;CENPF;KIF18B;KIF4A;ANP32E;TRIP13;CDKN3;SPC25",3.7037037037037,2,0,0,100,54
"4","LJP006 HT29 24H-palbociclib-0.37","74/195",1.57561450481987e-38,1.20659038132088e-34,0,0,9.54962837650452,831.233919636384,"TOP2A;KIF14;HJURP;BUB1B;MCM10;KIF11;MKI67;FOXM1;CDC20;PTTG1;CA2;EXO1;PEG10;CHEK1;PBK;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KRT5;DKK1;CDC25A;CCNA2;SLC7A5;ASPM;NEIL3;GAL;MELK;SLPI;ESPL1;TMSB15A;KIFC1;RBP1;BIRC5;KIF20A;ASF1B;CRABP2;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;SKA1;AURKB;CCNB2;CDC45;BUB1;RRM2;SPAG5;UBE2C;PLK1;NETO2;SHCBP1;NELL2;TPX2;CENPE;CENPF;AKR1B10;KIF18B;KIF4A;ID1;ANP32E;CENPM;CENPN;PLP2;TRIP13;EZH2;CDKN3;SPC25",2.7027027027027,2,0,0,100,74
"5","LJP006 BT20 24H-palbociclib-1.11","64/144",1.93011226496606e-38,1.20659038132088e-34,0,0,12.4153078202995,1078.15346766274,"TOP2A;CXCL9;HJURP;KIF14;MCM10;MKI67;FOXM1;CXCL14;ACTG2;MYLK;CDC20;PTTG1;EXO1;PBK;PLS3;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;S100A2;KRT5;CDC25A;ASPN;CCNA2;ASPM;NEIL3;MELK;GAL;ESPL1;TMSB15A;BIRC5;KIF20A;ASF1B;CDCA3;TROAP;NCAPG;CDCA8;HMMR;CENPA;NCAPH;AURKB;CCNB2;CDC45;EPCAM;SPOCK1;BUB1;RRM2;SPAG5;UBE2C;PLK1;FOSL1;MFAP5;TPX2;CENPF;KIF18B;KIF4A;ANP32E;CENPN;TRIP13;EZH2;CDKN3;SPC25",6.25,4,0,0,100,64
"6","LJP006 BT20 24H-palbociclib-10","68/168",1.34626717319623e-37,7.01337883876575e-34,0,0,10.5768948247078,897.960524593803,"TOP2A;HJURP;KIF14;MCM10;KIF11;MKI67;FOXM1;AREG;CDC20;PTTG1;TUBB3;CA2;EXO1;CHEK1;PBK;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;MYOF;DKK1;MMP9;CDC25A;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;ASF1B;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;PKMYT1;CENPA;NCAPH;AURKB;CCNB2;CDC45;BUB1;STIL;RRM2;SPAG5;UBE2C;GADD45A;PLK1;SHCBP1;TPX2;CENPE;CENPF;KIF18B;KIF4A;ANP32E;CENPM;CENPN;PLP2;TRIP13;EZH2;CDKN3;SPC25",5.88235294117647,4,0,0,100,68
"7","LJP006 HCC515 24H-palbociclib-0.37","60/129",1.61281479107537e-37,7.20167884637755e-34,0,0,13.4580719590454,1140.13646502549,"TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;CDC20;PTTG1;EXO1;PBK;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KRT5;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;ASF1B;CDCA3;TROAP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB2;E2F2;BUB1;RRM2;SPAG5;CAV1;PLK1;SHCBP1;FOSL1;TPX2;CENPE;CENPF;KIF18B;AKR1B10;KRT17;KIF4A;ID1;ANP32E;CENPN;TRIP13;EZH2;CDKN3;SPC25",5,3,0,0,100,60
"8","LJP005 A375 24H-dovitinib-3.33","69/174",1.90188609687262e-37,7.43090671624345e-34,0,0,10.2271631459601,864.735304229112,"TOP2A;FHL1;HJURP;KIF14;BUB1B;MCM10;KIF11;MKI67;FOXM1;CDC20;EDNRB;PTTG1;EXO1;PBK;TIMP3;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IER3;DUSP4;ETV1;DKK1;CDC25A;CCNA2;ASPM;NEIL3;GPRC5A;GAL;ESPL1;TMSB15A;SPARCL1;BIRC5;KIF20A;ASF1B;CDCA3;ADH1B;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;CCNB2;CDC45;BUB1;RRM2;SPAG5;UBE2C;PLK1;FN1;HMGA2;SHCBP1;FOSL1;TPX2;CENPE;CENPF;KIF18B;FABP5;KIF4A;ANP32E;CENPN;TRIP13;EZH2;CDKN3;SPC25",4.34782608695652,3,0,0,100,69
"9","LJP006 MCF7 24H-palbociclib-1.11","60/130",2.81678604498816e-37,9.78269793424387e-34,0,0,13.2651030561478,1116.39176174571,"TOP2A;HJURP;KIF14;MCM10;KIF11;MKI67;FOXM1;CXCL14;CDC20;PTTG1;EXO1;PBK;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;CDC25A;RHOB;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;SLC27A2;ASF1B;CDCA3;TYRP1;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;CCNB2;CDC45;BUB1;MGAM;RRM2;SPAG5;UBE2C;GDF15;PLK1;TPX2;CENPE;CENPF;KIF18B;FABP5;KIF4A;ID1;ANP32E;CENPN;TRIP13;EZH2;CDKN3;SPC25",5,3,0,0,100,60
"10","LJP006 LNCAP 24H-alvocidib-0.04","80/238",4.2507464012995e-37,1.32865580265419e-33,0,0,7.93049715029778,664.167667644451,"TOP2A;SYNM;FHL1;HJURP;MCM10;KIF11;MKI67;FOXM1;CDC20;PTTG1;EXO1;PBK;PLS3;NEK2;MYBL2;PTGDS;GTSE1;CEP55;DLGAP5;CYBA;ETV1;CDC25A;CCNA2;ASPM;ALDH1A3;NEIL3;MELK;ESPL1;TMSB15A;CEACAM6;KIFC1;CEACAM5;DDIT4;TFF3;SMS;BIRC5;KIF20A;HOXB7;ASF1B;CDCA3;HPGD;ADH1B;TROAP;NPR3;NCAPG;CDCA8;TTK;GATA3;HMMR;PTGS2;CENPA;NCAPH;AURKB;CCNB2;CDC45;PTPRZ1;MYH11;BUB1;HOXC6;CA12;BCHE;RRM2;SPAG5;UBE2C;CAV2;CAV1;PLK1;SHCBP1;TPX2;CENPE;CENPF;KIF4A;ANP32E;ITGBL1;CENPM;CENPN;SCRG1;EZH2;CDKN3;SPC25",10,8,0,0,100,80
