"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP006 MCF10A 24H-selumetinib-0.04","55/205",1.42027668429566e-20,3.19687013243574e-16,0,0,5.62686484998624,257.152507375024,"IL1RN;HSPB8;FHL1;HBB;HSPB1;AQP3;CHRDL1;CLU;WFDC2;ACTG2;EFEMP1;MECOM;TRIM29;PEG10;TNS1;SPINK1;EGFL6;KRT4;MME;PLLP;SERPINF1;TNNC1;TPM2;TPM1;TGFBR3;ALDH3A1;SLPI;PALLD;SCNN1A;SIK1;MYL9;CRYAB;VGLL1;PTGES;CFD;DPT;GATA3;VTCN1;HCAR3;PDGFD;PENK;GABRP;AHNAK2;KRT13;ATP2B4;CYP4B1;ISG15;ASS1;MFAP5;KRT19;MEIS1;DES;KRT15;KRT14;SCGB1A1",12.7272727272727,7,0,0,100,55
"2","LJP006 HA1E 24H-AZD-7762-10","51/179",1.9832930904124e-20,3.19687013243574e-16,0,0,6.10150462962963,276.806614087423,"FCGBP;SPON1;CXCL9;ST6GALNAC2;SERPINA1;FHL1;ATP2A3;WFDC1;AREG;LGALS4;MECOM;CA2;COL10A1;EGFL6;LMO3;SERPINF1;VWA5A;SOX11;MMP9;ASPN;DKK3;PCP4;VSNL1;FEZ1;SCNN1A;KCNMA1;SPARCL1;KCTD14;CHI3L1;CFD;COLEC12;PON3;ADH1B;RGS16;TWIST1;GATA3;PTGS1;HSD11B1;NT5E;PROM1;SLC14A1;ANGPT1;MEIS2;ST18;MFAP5;CXCL10;KRT19;TMEM158;RCAN2;COL9A2;CD200",3.92156862745098,2,0,0,100,51
"3","LJP006 MCF10A 24H-AS-605240-1.11","51/183",5.79695878740465e-20,6.22941191294504e-16,0,0,5.91533857089413,262.016186028715,"IL1RN;HSPB8;FHL1;KRT23;HSPB1;DEFB1;CLU;ACTG2;WFDC2;TRIM29;KRT6A;VAV3;PTGIS;KRT4;MME;SERPINF1;TNNC1;ALDH3A1;SLPI;SCNN1A;MYL9;CRYAB;PTGES;CFD;SERPINB13;CRABP2;HPGD;GPR87;IFI6;PDLIM1;HCAR3;TERT;S100A14;AHNAK2;KRT13;ATP2B4;AKR1C2;CYP4B1;ISG15;SORBS1;ASS1;MFAP5;MEIS1;KRT19;FABP3;DES;HIST3H2A;KRT15;ID1;SCGB1A1;S100P",17.6470588235294,9,0,0,100,51
"4","LJP005 MCF10A 24H-PD-184352-0.12","40/119",3.66809434923208e-19,2.95630064076359e-15,0,0,7.70437978813472,327.046642150681,"CFD;SPON2;SERPINB13;HPGD;HSPB8;IFI6;HSPB1;WFDC2;PDLIM1;HCAR3;TRIM29;TNS1;VAV3;GPX2;EGLN3;SPINK1;EGFL6;KRT4;MME;TNNC1;TPM1;KRT13;ATP2B4;AKR1C2;CYP4B1;ISG15;TMC5;ASPN;ASS1;MFAP5;ALDH3A1;TOX3;KRT19;SLCO3A1;CEACAM5;SCNN1A;ID1;SCGB1A1;S100P;MYL9",12.5,5,0,0,100,40
"5","LJP006 A549 24H-BMS-387032-1.11","49/184",2.51357423853342e-18,1.57672866759919e-14,0,0,5.54704038467391,224.792846039216,"KRT23;PCSK6;RND3;MYLK;SERPINA5;EFEMP1;TIMP3;MME;GPX3;VWA5A;KCNAB1;OLFM4;RNASE1;ASPN;DKK3;ALDH1A3;FOLH1;TMSB15A;FEZ1;CLDN8;SCGB2A1;RBP1;SPARCL1;CRYAB;HIST1H2BC;COLEC12;GPM6A;DLX2;ADH1B;CRABP1;IFI6;VTCN1;CLEC3B;CALD1;NCAM1;APOB;CYP2J2;GSTM3;GADD45A;CYP4B1;ISG15;MEIS2;DHRS2;FOSL1;CXCL10;IL6;ALB;ID4;CDO1",14.2857142857143,7,0,0,100,49
"6","LJP006 HS578T 24H-A443654-1.11","46/164",2.93454060599141e-18,1.57672866759919e-14,0,0,5.94843011947763,240.138009448893,"FCGBP;GPM6A;IL1RN;SPON1;SERPINA1;ADH1B;COL11A1;PLEKHB1;FAM107A;DPT;VTCN1;MSLN;CXCL14;WFDC2;ERBB4;MIR22HG;APOB;CYP2J2;VAV3;EGFL6;NUP210;GPX3;PLLP;SERPINF1;DIO1;ANK2;DHRS2;ASPN;ASS1;REC8;MFAP5;SFRP4;CYP26A1;ANO1;KRT19;ESRP2;FEZ1;SCNN1A;ID4;SPARCL1;PLBD1;KCTD14;ID3;SIK1;RAB17;FGFR2",13.0434782608696,6,0,0,100,46
"7","LJP005 PC3 24H-WZ-3105-0.37","49/188",6.6447647652088e-18,3.06019895001145e-14,0,0,5.38625467744128,213.04092821385,"SPON2;SPON1;CXCL9;SERPINA1;HP;KRT23;CXCL13;PCSK6;CLU;GJA1;CA2;PEG10;CA4;TIMP3;VAV3;S100A1;SERPINF1;OLFM4;RNASE1;MMP9;ASPN;RHOB;SFRP4;PPP1R3C;SCGB2A1;SPARCL1;CHI3L1;HIST1H2BG;GAS6;RGS16;COL11A1;TWIST1;VTCN1;CALD1;HIST1H3H;APOB;MGAM;PCDH7;FN1;CYP4B1;MEIS2;ASS1;CXCL10;KRT19;ALB;SNAI2;ID3;FGFR2;CDK5R1",16.3265306122449,8,0,0,100,49
"8","LJP006 HA1E 24H-alvocidib-0.12","51/205",1.20994710647487e-17,4.65006690932624e-14,0,0,5.0642937309604,197.271307166173,"SPON2;SPON1;SERPINA1;PLEKHB1;WFDC1;WFDC2;SERPINA5;CA2;COL10A1;TIMP3;GPR37;EGFL6;SERPINF1;VWA5A;RNASE1;MMP9;ASPN;DKK3;SFRP4;ANO1;FEZ1;SCGB2A1;SPARCL1;COL21A1;CHI3L1;CFD;COLEC12;GPM6A;ISYNA1;ADH1B;COL11A1;RGS16;TWIST1;DPT;VTCN1;PTGS1;HSD11B1;WIF1;ERBB4;PDGFD;PRAME;APOE;DYNC1I1;CYP2J2;BIK;MEIS2;ST18;NELL2;CYP26A1;CXCL10;TMEM158",5.88235294117647,3,0,0,100,51
"9","LJP006 MCF10A 24H-WZ-4-145-3.33","40/130",1.29817613325691e-17,4.65006690932624e-14,0,0,6.75874569512416,262.800216106076,"CFD;TAGLN;ST6GALNAC2;SERPINB13;HPGD;ADH1B;HSPB8;FHL1;CLU;ACTG2;EFEMP1;TERT;TRIM29;PDGFD;OLR1;S100A14;SPINK1;PTGIS;MME;TPM2;SERPINF1;TPM1;AHNAK2;ISG15;C14ORF132;ASPN;ACTA2;MFAP5;SFRP4;MEIS1;KRT19;SLPI;FEZ1;CEACAM5;KRT15;SCNN1A;MYL9;CRYAB;PTGES;AVPI1",17.5,7,0,0,97.5,39
"10","LJP005 HT29 24H-WZ-3105-1.11","41/137",1.55931007438279e-17,4.7415727339008e-14,0,0,6.49794217687075,251.468433119412,"GPM6A;PRR7;ADH1B;COL11A1;HP;IFI6;TWIST1;ENO2;CLU;CALD1;WIF1;CA4;PDK4;MIR22HG;AOX1;CCL18;KRT6A;IER3;VAV3;DUSP2;MME;GADD45A;GPX3;SERPINF1;PCDH7;G0S2;MMP9;ASPN;MFAP5;TUBB2A;TMSB15A;SCGB2A1;ID1;ALB;KRT14;SNAI2;CHI3L1;MXRA7;HIST1H2BG;HIST1H2BC;CDK5R1",21.9512195121951,9,0,0,100,41
"11","LJP006 MCF10A 24H-AS-605240-10","50/199",1.61788262525308e-17,4.7415727339008e-14,0,0,5.12876412928294,198.292526962699,"IL1RN;ITGB4;HSPB8;HBB;CLU;WFDC2;NYNRIN;EFEMP1;TRIM29;TNS1;KRT6A;VAV3;PTGIS;KRT4;MME;GPX3;SERPINF1;TPM2;TPM1;ALDH3A1;SLPI;CEACAM6;PALLD;CEACAM5;SCNN1A;CRYAB;PTGES;CFD;SERPINB13;CRABP2;TMPRSS4;IFI6;HCAR3;PDGFD;S100A14;CA12;AHNAK2;KRT13;ATP2B4;AKR1C2;ISG15;ASS1;MFAP5;KRT19;MEIS1;KRT15;ID1;SCGB1A1;ID3;S100P",16,8,0,0,100,50
"12","LJP006 HA1E 24H-withaferin-a-10","47/181",3.69867761531918e-17,9.93649741355498e-14,0,0,5.35182985809264,202.491680519364,"CFD;FCGBP;CXCL9;SERPINA1;RGS16;CRABP1;TWIST1;VTCN1;HSD11B1;GJA1;NT5E;CCND2;CA2;CA4;COL10A1;TIMP3;PRAME;APOE;GPRASP1;DUSP4;DUSP2;EGFL6;EDN3;IL1R2;LMO3;SERPINF1;KRT5;MMP9;MEIS2;ST18;ASPN;CXCL10;P2RX5;TMEM158;VSNL1;SLCO3A1;FEZ1;CLDN8;RCAN2;SCGB2A1;SPARCL1;SNAI2;CHI3L1;TRIM36;APBA2;CD200;FGFR2",8.51063829787234,4,0,0,100,47
"13","LJP006 HA1E 24H-alvocidib-10","51/212",5.56496278535064e-17,1.38002515595488e-13,0,0,4.84228203358638,181.234299124249,"SPON2;CXCL9;SERPINA1;SERPINA5;GJA1;CA2;COL10A1;TIMP3;DUSP4;GPR37;EGFL6;SERPINF1;VWA5A;MMP9;ASPN;DKK3;SFRP4;ANO1;VSNL1;FEZ1;SCGB2A1;KCNMA1;COL4A6;SPARCL1;COL21A1;CHI3L1;CFD;GPM6A;ISYNA1;CPB1;ADH1B;COL11A1;RGS16;IFI6;TWIST1;DPT;VTCN1;HSD11B1;NT5E;ERBB4;PRAME;APOE;CCL18;MEIS2;ST18;MFAP5;CXCL10;TMEM158;RCAN2;APOC1;SDC1",7.84313725490196,4,0,0,100,51
"14","LJP005 MCF10A 24H-PD-184352-0.37","40/136",7.59457398600099e-17,1.74881340114786e-13,0,0,6.33428493746601,235.106566299455,"TAGLN;HPGD;ADH1B;HSPB8;IFI6;HSPB1;AQP3;CXCL14;ACTG2;PDLIM1;EFEMP1;PLN;TRIM29;PDGFD;TNS1;GPX2;EGFL6;KRT4;MME;SERPINF1;CAV1;TNNC1;TPM1;ATP2B4;AKR1C2;CYP4B1;ISG15;ASPN;ASS1;ACTA2;MFAP5;ALDH3A1;KRT19;CEACAM6;CEACAM5;SCNN1A;ID1;SCGB1A1;ID3;MYL9",12.5,5,0,0,100,40
"15","LJP009 MCF7 24H-ON-01910-0.37","41/143",8.53426664841556e-17,1.78908059257223e-13,0,0,6.11374149659864,226.207562033519,"PRR7;HSPB8;HSPA4L;WFDC1;CHRDL1;RND3;CYP3A5;ACTG2;PTGS1;CDC20;LGALS4;TDO2;EPCAM;SLCO1B3;HIST1H3H;PHLDA1;ANGPT1;GADD45A;CAV2;BIK;TPM1;PLA2G2A;ZDHHC11;TMC5;DKK1;MEIS2;RHOB;FOSL1;NELL2;TOX3;CENPE;PCP4;TUBB2A;GAL;TMEM158;ACTC1;HIST1H2BF;KIF20A;HIST1H2BG;EPHA2;HIST1H2BC",12.1951219512195,5,0,0,100,41
"16","LJP006 HA1E 24H-BMS-345541-10","48/192",8.91307235353103e-17,1.78908059257223e-13,0,0,5.08757525998905,188.018606643564,"CFD;GPM6A;SPON1;ISYNA1;CXCL9;CPB1;ADH1B;RGS16;COL11A1;CRABP1;DPT;LRMP;VTCN1;SERPINA5;PTGS1;HSD11B1;CCND2;CA2;ERBB4;MYO6;COL10A1;TIMP3;APOE;CYP2J2;EGFL6;SERPINF1;VWA5A;CYP4B1;MMP9;MEIS2;ASPN;DKK3;NELL2;SFRP4;CXCL10;CYP26A1;ANO1;P2RX5;TMEM158;FEZ1;RCAN2;SCGB2A1;SCNN1A;APOC1;SPARCL1;CHI3L1;CD200;FGFR2",6.25,3,0,0,100,48
"17","LJP007 A375 24H-AZ-628-1.11","47/185",9.43432287168186e-17,1.78908059257223e-13,0,0,5.19558678413049,191.715033430524,"GPM6A;SNAP25;TAGLN;BEX1;ST6GALNAC2;CRABP2;ITGB4;GSTP1;PLEKHB1;QPRT;SEMA3B;LMOD1;ATP1A2;NDRG2;CLU;ACTG2;MYLK;SERPINA5;CNN1;MYH11;PROM1;TNS1;SULT1A2;EGFL6;ANGPT1;TPM2;AHNAK2;ISG15;C14ORF132;ATP1B1;OLFM4;ASS1;CLIP3;REEP1;ACTA2;MEIS1;KRT19;DES;SLPI;CEACAM6;SCGB1A1;PLP1;COL21A1;S100P;CRYAB;SCRG1;CES1",6.38297872340426,3,0,0,97.8723404255319,46
"18","LJP009 HCC515 24H-ON-01910-1.11","19/29",1.61266228196007e-16,2.88827814699048e-13,0,0,28.528949478749,1037.41174352337,"CXCL9;TPM2;PLK1;TPM1;KIF14;KRT5;SORBS1;DKK1;ACTG2;FOSL1;CCNB2;PCP4;TMEM158;DMD;MYH11;HIST1H2BG;KIF20A;HOXB7;SLC27A2",5.26315789473684,1,0,0,100,19
"19","LJP009 HCC515 24H-ON-01910-0.37","27/63",1.77820690533972e-16,3.01714916917588e-13,0,0,11.318401937046,410.470402821614,"FHL1;KIF14;DPT;AREG;CDC20;CNN1;EFEMP1;CSRP1;EPCAM;CALD1;MYB;TIMP3;MYH11;GPX3;CAV2;TPM1;PLA2G2A;PLK1;SORBS1;DKK1;LYVE1;SELE;MFAP5;FOSL1;SMTN;TUBB2A;FERMT2",14.8148148148148,4,0,0,100,27
"20","LJP005 HS578T 24H-WZ-3105-0.37","41/146",1.92154449771034e-16,3.03384116042633e-13,0,0,5.93810689990282,214.889591318254,"CFD;GPM6A;SPON1;ADH1B;COL11A1;QPRT;FHL1;HBB;CLU;COMP;EFEMP1;C7;EPCAM;ERBB4;TIMP3;PTGDS;TSPAN1;IER3;DUSP4;VAV3;CA12;GSTM3;NUP210;LRRN3;GPX3;SERPINF1;G0S2;CYBA;ISG15;MMP9;DHRS2;ASPN;MFAP5;SFRP4;MEIS1;GATM;SCNN1A;KIT;SPARCL1;MXRA7;ABCG2",17.0731707317073,7,0,0,100,41
"21","LJP007 A375 24H-PD-0325901-0.12","46/181",1.97625982905121e-16,3.03384116042633e-13,0,0,5.19462052216151,187.838285350264,"COLEC12;BEX1;ST6GALNAC2;ITGB4;PLEKHB1;SEMA3B;HP;LMOD1;ATP10B;ATP1A2;NDRG2;ACTG2;MYLK;HCAR3;CNN1;GJA1;EFEMP2;CCND2;MYH11;NCAM1;CLCA4;KRT6A;SULT1A2;EGFL6;AHNAK2;ATP2B4;C14ORF132;ATP1B1;OLFM4;CLIP3;REEP1;PCP4;MEIS1;KRT19;DES;SLPI;CEACAM6;FEZ1;MAP1B;SCGB1A1;ID4;PLP1;COL21A1;S100P;CRYAB;SCRG1",8.69565217391304,4,0,0,97.8260869565217,45
"22","LJP006 HCC515 24H-radicicol-3.33","30/79",2.14339129253936e-16,3.14084765858563e-13,0,0,9.25549831583119,333.92886640689,"TAGLN;LPL;THBS4;CLEC3B;EFEMP1;CA2;ME1;TIMP3;VAV3;CA12;KRT4;ANGPT1;GPX3;TNNC1;HSPA6;KRT13;AKR1C2;DKK1;ASPN;ASS1;MFAP5;ALDH3A1;AKR1B10;MAL;ITGBL1;S100P;MYL9;CRYAB;CES1;C5ORF30",13.3333333333333,4,0,0,96.6666666666667,29
