"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP006 MDAMB231 3H-Y-39983-3.33","35/59",2.51945112103685e-16,8.27992416417551e-12,0,0,9.42513410678643,338.525561707544,"COL15A1;ST6GALNAC2;SMPX;FHL1;PYGM;ATP2A1;LDB3;ENO3;CXCL5;PTGS1;CKMT2;CSRP3;PLN;SLN;TNNI1;TNNI2;MYBPC1;CKM;ANGPT1;ACTN2;TPM2;TNNC1;TPM1;TNNC2;MYLPF;ACTA1;MYH2;DES;MYL1;MYOT;ID1;KCTD14;TCAP;TFF1;FXYD6",2.85714285714286,1,0,0,60,21
"2","LJP006 HA1E 24H-alvocidib-0.12","71/205",1.11924271238012e-14,1.23346194020372e-10,0,0,3.44905499060087,110.795852486337,"SPON1;PLVAP;PLEKHB1;WFDC1;TREM2;AQP1;SERPINA5;PCLO;CA2;LAMP3;PDGFRA;EGFL6;RNASET2;MAGI2;HIST2H2BE;DKK3;SFRP4;MN1;ANO1;ALDH5A1;RNF128;GFOD1;FEZ1;COL6A2;SCGB2A1;SERPING1;ANGPTL2;COL21A1;CHI3L1;EFHC2;IRF6;MXRA5;COLEC12;GPM6A;C1QA;CSTA;PCOLCE2;ADH1B;RGS16;LAMA4;TWIST1;DPT;VTCN1;PTGS1;PDZD2;CCL8;FRZB;WIF1;ERBB4;PDGFD;SUSD4;PRAME;GPC4;GPM6B;DYNC1I1;SPDEF;CYP2J2;FOXF2;BIK;FMO2;CP;ARHGAP25;MEIS2;ST18;NELL2;ARHGAP32;TF;SLC6A8;TMEM158;FXYD3;SPRY1",0,0,0,0,45.0704225352113,32
"3","LJP006 HA1E 24H-AZD-7762-10","65/179",1.12596939526873e-14,1.23346194020372e-10,0,0,3.70743522318286,119.073724854351,"PLVAP;SPON1;ST6GALNAC2;TRIL;FHL1;ATP2A3;WFDC1;AQP1;MECOM;CA2;MSMB;EGFL6;LMO3;ADIPOQ;SOX11;HIST2H2BE;DKK3;CCNA1;MN1;AZGP1;PCP4;RNF128;VSNL1;PRR15L;FEZ1;KCNMA1;ITGA8;SERPING1;KCTD14;CHI3L1;ANGPTL2;MXRA5;COLEC12;PON3;CSTA;ADH1B;RGS16;TWIST1;HSD17B6;PTGS1;NT5E;CCL8;CLMN;HSD17B2;PCK1;SPDEF;TFAP2A;SLC14A1;ANGPT1;TMEM30B;AKR1C3;ARHGAP25;MEIS2;ST18;MFAP5;ARHGAP32;TF;KRT19;SLC6A8;TMEM158;FXYD3;CILP;RCAN2;SPRY1;CD200",4.61538461538461,3,0,0,50.7692307692308,33
"4","LJP006 HA1E 24H-withaferin-a-10","64/181",7.57296682950743e-14,6.2219495471233e-10,0,0,3.55483117798668,107.397160338966,"PLVAP;AQP1;SOX2;ZNF204P;KIF5C;CA2;LAMP3;CA4;ZIC1;MS4A12;DUSP4;PDGFRA;DUSP2;EGFL6;EDN3;IL1R2;LMO3;KRT5;HIST2H2BE;RNF128;VSNL1;FEZ1;CLDN8;SCGB2A1;CHI3L1;ANGPTL2;IRF6;MXRA5;CD44;CHODL;CSTA;COL15A1;PDE1A;RGS16;LAMA4;TWIST1;VTCN1;CYP27B1;NT5E;MUC2;NXF3;CCL8;OLFML1;PRAME;PCK1;GPM6B;SPDEF;TFAP2A;FOXF2;TMEM30B;AKR1C3;KLK10;MEIS2;ST18;ARHGAP32;TF;TMEM158;RCAN2;SNAI2;TRIM36;SPRY1;APBA2;CD200;FGFR2",4.6875,3,0,0,43.75,28
"5","LJP009 PC3 24H-KI20227-10","38/79",1.32966377377133e-13,8.73961405224418e-10,0,0,5.99087993127964,177.621682601963,"CDKN1C;SNAP25;GRIA2;SPON1;CSTA;MYT1L;STMN2;AQP3;PPL;CALB1;TSPAN7;DNMT3B;NEFL;PI3;KRT6B;TNS1;HOXC6;SERPINB3;GABRP;ANGPT1;RRAS2;AKR1C2;CYBA;NMNAT2;L1CAM;RUNDC3A;DCLK1;NELL2;OLFM1;CCNA1;KRT19;VSNL1;KRT17;KRT16;LCN2;SCG3;SCG2;S100A7",7.89473684210526,3,0,0,42.1052631578947,16
"6","LJP006 HS578T 24H-mitoxantrone-10","58/160",3.2716516389053e-13,1.57544692584137e-09,0,0,3.69017535288936,106.086309660569,"SPON1;FHL1;FAM107A;WFDC1;AQP1;COMP;EPB41L4B;KIF5C;LAMP3;DUSP4;SLC34A2;EGFL6;NUP210;GPX3;LMO3;KRT8;IL17RB;SFRP4;PCP4;ALDH5A1;GFOD1;ESRP2;FEZ1;ZFPM2;MXRA5;PDE9A;PCOLCE2;ADH1B;DPT;TGFA;DPP4;NUAK1;PDZD2;MUC2;PLN;ERBB4;TSPAN7;PRODH;PCK1;FILIP1L;CYP2J2;MUC16;TMEM30B;PLA2G2A;FOXJ1;KLK10;REC8;MFAP5;FABP1;FERMT1;TF;BMP2;CILP;RCAN2;LCN2;ID4;RAB17;HRG",5.17241379310345,3,0,0,48.2758620689655,28
"7","LJP006 HA1E 24H-AZD-7762-3.33","60/169",3.68753997894401e-13,1.57544692584137e-09,0,0,3.57351060400731,102.304772366315,"PLVAP;SPON1;CDKN1A;ATP2A3;LRMP;SALL2;PLAU;CA2;LAMP3;PALM;NEFL;CHAC1;C3ORF14;MSMB;SPINK4;EMX2;EGFL6;SWAP70;HIST2H2BE;CEACAM1;TMSB15A;FEZ1;SCGB2A1;HIST1H2BF;CHI3L1;ANGPTL2;MXRA5;RTN2;CSTA;HPGD;RGS16;VTCN1;NID1;PPL;PAPSS2;PTGS1;DPP4;PDZD2;MUC2;NXF3;TERT;FRZB;ERBB4;HSD17B2;PRODH;FILIP1L;SPDEF;TFAP2A;TMEM30B;C14ORF132;KLK10;ST18;EFNA1;ARHGAP32;TMEM158;FXYD3;RCAN2;SNAI2;SPRY1;FGFR2",10,6,0,0,40,24
"8","LJP009 HCC515 24H-JNK-IN-5A-3.33","30/54",3.83507041344054e-13,1.57544692584137e-09,0,0,8.06359731042211,230.533557425883,"CLTB;KIF14;THBS1;ACTG2;AQP1;AURKA;CDC20;CCNB2;CUX2;HEPH;PBK;MYH11;IGFBP6;ZNF185;CAV2;LMO3;CAV1;TPM1;PLA2G2A;PLK1;SORBS1;NDC80;DKK3;CCNA2;FOSL1;ASPM;AZGP1;CXCL12;KIF20A;HOXB6",20,6,0,0,70,21
"9","LJP006 HS578T 24H-A443654-1.11","58/164",1.09378799255408e-12,3.99402762081081e-09,0,0,3.55009722429966,97.7745561781846,"IL1RN;SPON1;PLEKHB1;FAM107A;MSLN;CELSR2;AQP1;KIF5C;ADAMTS1;EGFL6;NUP210;GPX3;DIO1;IL18;ANK2;ANK3;IL17RB;SFRP4;ANO1;GFOD1;ESRP2;FEZ1;PLBD1;KCTD14;EFHC2;MXRA5;GPM6A;PCOLCE2;ADH1B;DPT;VTCN1;PPL;NUAK1;PDLIM3;PDZD2;SYNGR2;FRZB;ERBB4;TSPAN7;APOB;PCK1;FILIP1L;CYP2J2;MUC16;TMEM30B;LIF;KLK10;KLK11;REC8;MFAP5;NR4A1;TF;BMP2;KRT19;SLC6A8;ID4;RAB17;FGFR2",8.62068965517241,5,0,0,50,29
"10","LJP006 HA1E 24H-CGP-60474-0.37","68/211",1.99063361226118e-12,6.35163244040494e-09,0,0,3.09027842184341,83.2600369204089,"SPON1;PLVAP;ECM2;TREM2;LDB2;AQP1;SERPINA5;PCLO;CA2;LAMP3;PTGDS;DUSP4;PDGFRA;EGFL6;MME;HGF;RNASET2;DKK3;SFRP4;CCNA1;ALDH5A1;FOLH1;RNF128;VSNL1;FEZ1;COL6A2;SERPING1;ANGPTL2;COL21A1;CHI3L1;MXRA5;SCG2;FBP1;CD44;COLEC12;GPM6A;C1QA;CSTA;CRABP2;PCOLCE2;ADH1B;RGS16;LAMA4;TWIST1;SLC1A3;DPT;VTCN1;NID1;PDZD2;CCL8;ERBB4;SPDEF;AKR1C3;CYP4B1;FMO2;ARHGAP25;MEIS2;ST18;ARHGAP32;TF;SLC6A8;TMEM158;FXYD3;CILP;SST;SPRY1;CYB561;CD200",4.41176470588235,3,0,0,41.1764705882353,28
