"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Dexamethasone-1 mg/kg in Corn Oil-Rat-Liver-3d-dn","100/310",6.91800740450972e-15,5.44862263179185e-11,0,0,2.16860937923557,70.7067467911544,"SPARC;HP;C4BPA;FADS2;ALCAM;AKR7A3;IBSP;PSMD2;ANPEP;STMN1;GLUL;FADS1;TMPO;IGFBP3;DIO1;SLC6A13;RNASE4;UPB1;ALDH3A2;CARHSP1;SLPI;RBP1;PSME1;PSME2;FETUB;RAB38;CYP2E1;NPTXR;CES1;NOTCH2;CPB2;RETSAT;MAOB;HTRA1;NREP;C3;VTN;EBP;APOE;SLC38A3;HAO2;FDFT1;GSTM1;EPHX1;HMGA2;CP;INHBE;SCCPDH;AMACR;FASN;CYP1A2;ALB;ECHDC1;ID3;GCLM;PIGR;DPYS;SERPINA10;WFDC2;CSRP1;CA3;SLC22A18;SDF4;CTSC;FGB;DCXR;APOA2;RPS3A;BAAT;PRODH2;F5;NPC2;MYH9;C1QA;MVK;C1S;PON1;PLG;HSD17B6;ABCB11;CYP7A1;PTS;PSMB10;CPN1;SELENBP1;NT5E;RELN;UGP2;HSD17B2;SERPIND1;DHRS3;GCK;PSMB9;FABP1;NFIB;FABP7;CTH;APOC1;KLKB1;OTC",11,11,0,0,26,26
"2","Pirinixic Acid-364 mg/kg in CMC-Rat-Liver-5d-dn","95/299",9.21099727475945e-14,3.62729072680027e-10,0,0,2.13597144543436,64.1128771355267,"PIGR;BTG2;SPARC;TFRC;DPYS;TAT;SERPINA10;HP;C4BPA;WFDC2;FTCD;ASGR2;ALCAM;AKR7A3;CSRP1;CLP1;CA5A;GLUL;FBXO9;CPT1A;SDS;DCXR;DIO1;IGFBP2;SLC6A13;APOA2;APOA1;RNASE4;LSR;MAT1A;BAAT;UPB1;ADRA2B;PDIA5;NIPSNAP1;F5;UGDH;AZGP1;CARHSP1;PPP1R3C;SLPI;RBP1;PSME1;FETUB;CYP2E1;NPTXR;CDH17;CES1;C1QB;C1QA;CD63;CPB2;ITIH3;MAOB;C1S;HAAO;PON2;CFI;PON1;PLG;HSD17B6;NREP;PSMB10;CPN1;C3;SULT1A1;SELENBP1;VTN;NT5E;UGP2;APOE;CD14;PCK1;GC;CRYM;HAO2;OSBPL9;GSTM1;SERPIND1;HMGA2;CP;GCK;GNMT;INHBE;RCL1;GCLC;AMACR;PC;NFIB;GSTA3;CTH;CYP1A2;ALB;HRG;KLKB1",10.5263157894737,10,0,0,27.3684210526316,26
"3","17-Methyltestosterone-2000 mg/kg in CMC-Rat-Liver-3d-dn","89/273",1.06501559820382e-13,2.79602095048444e-10,0,0,2.19164588912488,65.465814435717,"PIGR;ALAS2;SPARC;DPYS;HP;C4BPA;WFDC2;HEBP1;FADS2;ALCAM;CSRP1;IBSP;CA3;GLUL;CTSC;FADS1;FGB;SLC34A2;IGFBP3;DCXR;DIO1;RNASE4;TM4SF4;MAT1A;BAAT;UPB1;PRODH2;PDIA5;ALDH3A2;AZGP1;CARHSP1;PPP1R3C;NPC2;RBP1;TFAM;TXNIP;FETUB;RAB38;CYP2E1;C1QB;C1QA;CPB2;ITIH3;RETSAT;C1S;PON2;CFI;PON1;PLG;HSD17B6;NREP;CYP7A1;PTS;TTN;C3;SULT1A1;VTN;LDHA;NT5E;EBP;RELN;PGK1;APOE;PCK1;GC;HAO2;SERPIND1;G0S2;CP;GNMT;FABP1;RCL1;ALDH6A1;AMACR;PC;AADAC;FASN;FABP7;CTH;CYP1A2;ALB;APOC1;ECHDC1;CHPT1;PKIG;HRG;KLKB1;ITM2C;OTC",11.2359550561798,10,0,0,26.9662921348315,24
"4","Norethindrone-375 mg/kg in Corn Oil-Rat-Liver-5d-dn","94/300",3.13522005557391e-13,6.17324828942502e-10,0,0,2.10644257703081,60.6463920078151,"PIGR;SCARB1;BTG2;ALAS2;SPARC;DPYS;TAT;HP;C4BPA;FADS2;ALCAM;CSRP1;CA3;ANPEP;SLC22A18;STMN1;GLUL;CTSC;FADS1;FGB;ABCC2;IGFBP3;DIO1;SLC6A13;RNASE4;TM4SF4;BAAT;ATP1B1;UPB1;PRODH2;PDIA5;ALDH3A2;ACTA2;AZGP1;CARHSP1;PPP1R3C;SLC7A9;NPC2;NINJ1;RBP1;PSME1;FETUB;MYH9;RAB38;CYP2E1;S100A9;CES1;C1QB;NOTCH2;C1QA;CPB2;ITIH3;MAOB;C1S;CFI;PON1;HTRA1;PLG;HSD17B6;NREP;CYP7A1;PTS;PSMB10;CPN1;C3;SULT1A1;VTN;LDHA;NT5E;EBP;RELN;UGP2;PGK1;APOE;PCK1;SLC38A3;HAO2;FDFT1;GSTM1;SERPIND1;HMGA2;CP;GCK;PSMB9;GNMT;RCL1;AADAC;FASN;CTH;CYP1A2;APOC1;ECHDC1;HRG;ITM2C",10.6382978723404,10,0,0,22.3404255319149,21
"5","Clotrimazole-89 mg/kg in Corn Oil-Rat-Liver-3d-dn","96/312",5.9000640007756e-13,9.29378081402173e-10,0,0,2.06851971557854,58.2467082311171,"SPON2;SCARB1;ALAS2;SPARC;TFRC;GLDC;TAT;HP;C4BPA;HSPB3;WFDC2;HEBP1;FADS2;HHEX;CSRP1;FGF9;IBSP;CA3;ADAMTS1;CD36;GLUL;FADS1;FGB;SLC34A2;DUSP2;DAPK1;IGFBP3;DIO1;SLC6A13;TM4SF4;BAAT;UPB1;ADRA2B;PRODH2;PDIA5;NIPSNAP1;ALDH3A2;ACTA2;AZGP1;CARHSP1;PPP1R3C;SLPI;RBP1;PELI1;FETUB;KIF2C;CYP2E1;NPTXR;RAI14;C1QB;CPB2;ITIH3;MVK;RETSAT;MAOB;HAAO;CFI;HTRA1;HSD17B6;NREP;CYP7A1;PTS;CPN1;TTN;C3;SULT1A1;LDHA;NT5E;UGP2;CBS;PGK1;CD14;PCK1;GC;HAO2;SERPIND1;HMGA2;DHRS1;DNAJC15;GCK;GNMT;INHBE;FABP1;RCL1;GCLC;AMACR;PC;AADAC;GSTA3;FABP7;CTH;CYP1A2;ALB;APOC1;SERPINI2;HRG",8.33333333333333,8,0,0,30.2083333333333,29
"6","Phenylhydrazine-78 mg/kg in Water-Rat-Liver-3d-up","100/335",1.51289470564794e-12,1.98592645028053e-09,0,0,2.00677285839709,54.618329415053,"SCARB1;TFRC;GLDC;HP;C4BPA;ETS2;LGALS3;RGS2;FTH1;PDK4;GLUL;CPT1A;SDS;SLC6A13;RNASE4;TM4SF4;MAT1A;ATP1B1;UPB1;PDIA5;AZGP1;PPP1R3C;COL4A1;NINJ1;FETUB;NUPR1;S100A9;CFI;ALOX15;C3;SULT1A1;SDCBP;VTN;LDHA;PGK1;CD14;A2M;PCK1;OSBPL9;GSTM1;GADD45A;EPHX1;CP;NET1;P4HA1;CYP1A2;ALB;DEGS1;ITM2C;PIGR;BTG2;ORM1;CXCL9;ALAS2;WDR1;DPYS;HSPB8;TAT;LITAF;ADAMTS1;ENC1;FGB;DSP;ABCC2;APOA2;SIRT5;APOA1;RPS3A;PRODH2;F5;ACTA2;UGDH;NPC2;MYH9;LCP1;C1QB;C1QA;CD63;ITIH3;C1S;CAPG;SLC3A2;PLG;HSD17B6;PTS;PSMB10;PDLIM1;RELN;GPNMB;HSD17B2;DNAJB9;GC;GDF15;GCK;GSTA3;FABP7;CTH;CHPT1;VIM;KLKB1",9,9,0,0,22,22
"7","Promethazine-113 mg/kg in Saline-Rat-Liver-5d-dn","92/299",1.78803384770535e-12,2.01179351207533e-09,0,0,2.06851971557854,55.9532607811194,"PIGR;SPARC;TAT;HP;C4BPA;WFDC2;ASGR2;CSRP1;IBSP;CA3;CA5A;ADAMTS1;ANPEP;GLUL;FBXO9;SLC34A2;DAPK1;IGFBP3;MMP2;RNASE4;RPS3A;MAT1A;BAAT;ATP1B1;KLF15;ADRA2B;PRODH2;ALDH3A2;AZGP1;MAG;PPP1R3C;SLPI;NPC2;RBP1;PSME1;PELI1;PSME2;FETUB;RAB38;SCN4A;CYP2E1;NPTXR;CES1;RAI14;C1QB;NOTCH2;C1QA;CPB2;ITIH3;RETSAT;MAOB;C1S;CFI;PON1;HTRA1;HSD17B6;NREP;CYP7A1;PTS;PSMB10;TTN;C3;SULT1A1;PLAC8;SOCS2;VTN;LDHA;NT5E;HLA-DMB;RELN;UGP2;CBS;DNAJB9;APOE;PCK1;GC;HAO2;G0S2;HMGA2;GCK;PSMB9;GNMT;INHBE;FABP1;ALDH6A1;AMACR;PC;NFIB;FABP7;APOC1;HRG;OTC",10.8695652173913,10,0,0,29.3478260869565,27
"8","Crotamiton-750 mg/kg in Corn Oil-Rat-Liver-1d-dn","92/300",2.20800107271855e-12,2.17377705609142e-09,0,0,2.06162464985994,55.3318068830177,"PIGR;SPARC;GLDC;TAT;HP;C4BPA;ASGR2;FADS2;ALCAM;CA3;PLAU;ADAMTS1;ANPEP;GLUL;CTSC;FADS1;FGB;DAPK1;IGFBP3;DIO1;SLC6A13;APOA2;APOA1;RNASE4;TM4SF4;MAT1A;BAAT;UPB1;PRODH2;PDIA5;ALDH3A2;ACTA2;AZGP1;PPP1R3C;SLPI;NPC2;RBP1;HAND1;TXNIP;FETUB;RAB38;CYP2E1;NPTXR;RAI14;C1QB;C1QA;CPB2;ITIH3;MVK;RETSAT;C1S;CFI;AKR1D1;PON1;HTRA1;PLG;HSD17B6;NREP;ABCB11;CYP7A1;PTS;CPN1;C3;SULT1A1;VTN;LDHA;NT5E;EBP;RELN;APOE;PCK1;GC;SLC38A3;HAO2;SERPIND1;HMGA2;DHRS1;CP;GNMT;FABP1;RCL1;AMACR;FASN;FABP7;CTH;CYP1A2;ALB;APOC1;SERPINI2;HRG;KLKB1;OTC",9.78260869565217,9,0,0,25,23
"9","Fenofibrate-43 mg/kg in Corn Oil-Rat-Liver-3d-dn","96/322",4.57515405457213e-12,4.00376814820112e-09,0,0,2.00427997285871,52.3325132101925,"SPON2;PIGR;SCARB1;SPARC;TFRC;DPYS;TAT;SERPINA10;HP;C4BPA;HSPB3;FTCD;HHEX;AKR7A3;CSRP1;IBSP;STMN1;CTSC;FGB;DCXR;DIO1;SLC6A13;APOA2;PAWR;APOA1;RNASE4;BAAT;UPB1;PRODH2;PDIA5;ACTA2;AZGP1;CARHSP1;PPP1R3C;SLPI;NPC2;NINJ1;RBP1;PELI1;FETUB;MYH9;RAB38;CES1;RAI14;C1QB;NOTCH2;C1QA;CD63;CPB2;ITIH3;MVK;MAOB;HAAO;PON2;CFI;AKR1D1;PON1;HTRA1;PLG;HSD17B6;NREP;CYP7A1;CPN1;TTN;C3;SELENBP1;VTN;NT5E;UGP2;CBS;PGK1;APOE;CD14;PCK1;GC;HAO2;FDFT1;GSTM1;SERPIND1;EPHX1;HMGA2;CP;GCK;GNMT;INHBE;ALDH6A1;GCLC;SCCPDH;GSTA3;PRC1;CTH;CYP1A2;ALB;PKIG;HRG;GCLM",11.4583333333333,11,0,0,25,24
"10","Mestranol-250 mg/kg in CMC-Rat-Liver-3d-dn","93/309",5.47577541866754e-12,4.31272071974256e-09,0,0,2.02333360528677,52.4664308629841,"ALAS2;GLDC;DPYS;TAT;SERPINA10;HP;C4BPA;WFDC2;FTCD;FADS2;STS;ALCAM;CSRP1;CA3;CLP1;SDF4;GLUL;CTSC;FADS1;FBXO9;FGB;IGFBP3;APOA2;ACSL5;RNASE4;MAT1A;BAAT;UPB1;PRODH2;PDIA5;F5;ALDH3A2;AZGP1;CARHSP1;PPP1R3C;NPC2;ETHE1;NINJ1;RBP1;PSME1;FETUB;CYP2E1;CDH17;SMPDL3A;C1QB;NOTCH2;C1QA;CPB2;RETSAT;C1S;PON2;CFI;PON1;PLG;MRPL15;HSD17B6;NREP;CYP7A1;PTS;TTN;C3;SULT1A1;PDLIM1;SLC9A3R1;LDHA;NT5E;EBP;APOE;GC;FDFT1;SERPIND1;SMAGP;G0S2;HMGA2;CP;DHRS3;PSMB9;GNMT;FABP1;RCL1;ALDH6A1;AMACR;PC;NFIB;GSTA3;FASN;FABP7;CYP1A2;ALB;APOC1;ECHDC1;CHPT1;HRG",9.67741935483871,9,0,0,27.9569892473118,26
