"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","imatinib homo sapiens gpl96 gds3042 chdir up","54/3004",9.30648351211395e-15,6.49592549145554e-12,0,0,2.94689048481806,95.2083295842522,"MIPEP;SETD4;PRR7;DDX49;PAK1IP1;RRP1;PPAN;PWP2;RRP9;SMPD2;RBM4;DHX16;RRP12;METTL1;PUS1;ZFP69B;DDX54;LIG3;MOGS;URB2;AARSD1;SAFB;PPRC1;SUPV3L1;QTRT1;PTP4A2;POLG2;RABEP2;POLR1C;MAPKAPK5;TELO2;VAC14;UBIAD1;ADD3;NOL6;EXOSC4;PDCD11;DPH2;POLR2D;SLC19A1;TBX1;PMM2;RPP40;TRMT1;DOHH;TOR1B;MPP6;NLE1;WDR55;BYSL;LETM1;BOP1;ZNF74;CENPN",0,0,0,0,12.962962962963,7
"2","estradiol homo sapiens gpl571 gds4052 chdir up","32/1132",1.46606498774424e-13,5.1165668072274e-11,0,0,4.63418872733592,136.945023583225,"UBIAD1;PAK1IP1;RRP1;PPAN;PWP2;RRP9;NOL6;EXOSC4;PDCD11;DPH2;SNAPC4;POLR2D;UBTF;RRP12;SLC19A1;ZNF783;TOE1;METTL1;PUS1;TNK2;RSAD1;PMM2;URB2;DOHH;PPRC1;NLE1;BYSL;SUPV3L1;PTP4A2;POLG2;GRWD1;POLR1C",0,0,0,0,3.125,1
"3","imatinib homo sapiens gpl96 gds3045 chdir up","61/4070",2.60091693893182e-13,6.05146674458136e-11,0,0,2.45700245700246,71.1983836787426,"MIPEP;SETD4;PAK1IP1;PPAN;PWP2;RRP9;SART1;RBM4;DHX16;RRP12;NUP210;METTL1;PUS1;RSAD1;RBM19;ZFP69B;DDX54;LIG3;MOGS;URB2;AARSD1;SAFB;PPRC1;MFSD12;SUPV3L1;QTRT1;PTP4A2;KAT2A;POLG2;GRWD1;POLR1C;MAPKAPK5;TELO2;BCAT2;UBIAD1;ADD3;ACACA;NOL6;EXOSC4;PDCD11;DPH2;POLR2D;SLC19A1;ANKZF1;ZNF783;TOE1;TBX1;BRF1;PMM2;RPP40;TRMT1;DOHH;TOR1B;MPP6;NLE1;WDR55;BYSL;LETM1;BOP1;ACIN1;CENPN",0,0,0,0,11.4754098360656,7
"4","imatinib homo sapiens gpl96 gds3049 chdir up","45/2351",5.54392387506952e-13,9.67414716199631e-11,0,0,3.13783461519688,88.5525284335218,"MIPEP;SETD4;PRR7;PAK1IP1;PPAN;PWP2;ADD3;ACACA;RRP9;NOL6;SMPD2;EXOSC4;PDCD11;DPH2;POLR2D;DHX16;RRP12;SLC19A1;TBX1;METTL1;PUS1;PMM2;RPP40;ZFP69B;DDX54;LIG3;URB2;TRMT1;AARSD1;DOHH;TOR1B;SAFB;PPRC1;MFSD12;MPP6;NLE1;WDR55;BYSL;SUPV3L1;PTP4A2;BOP1;POLG2;POLR1C;MAPKAPK5;TELO2",0,0,0,0,13.3333333333333,6
"5","imatinib homo sapiens gpl96 gds3043 chdir up","69/5369",3.92259150439639e-12,5.47593774013736e-10,0,0,2.10681233187485,55.3338849372735,"MIPEP;SETD4;PRR7;DDX49;PAK1IP1;RRP1;PPAN;PWP2;RRP9;SMPD2;SNAPC4;DHX16;RRP12;NUP210;METTL1;PUS1;RSAD1;RBM19;ZFP69B;DDX54;LIG3;URB2;AARSD1;SAFB;PPRC1;MFSD12;SUPV3L1;QTRT1;PTP4A2;KAT2A;POLG2;RABEP2;GRWD1;POLR1C;MAPKAPK5;ATF5;TELO2;BCAT2;VAC14;UBIAD1;ADD3;ACACA;NOL6;EXOSC4;PDCD11;DPH2;POLR2D;HMGXB3;SLC19A1;ANKZF1;SEC31B;ZNF783;TOE1;TBX1;CGREF1;PMM2;RPP40;DOLK;TRMT1;DOHH;TOR1B;MPP6;NLE1;WDR55;BYSL;LETM1;BOP1;ZNF74;CENPN",0,0,0,0,13.0434782608696,9
"6","sirolimus mus musculus gpl1261 gse5332 chdir up","62/4467",4.88431777750416e-12,5.68208968116317e-10,0,0,2.27533790602854,59.2611564148321,"MIPEP;CDKN1B;DDX49;PAK1IP1;RRP1;PPAN;PWP2;NR3C1;RRP9;RBM4;SNAPC4;UBTF;DHX16;RRP12;METTL1;PUS1;RBM19;AP1B1;DDX54;MOGS;URB2;AARSD1;PPP2R5C;PPRC1;SUPV3L1;QTRT1;PTP4A2;KAT2A;POLG2;RABEP2;GRWD1;ATF5;TELO2;BCAT2;UBIAD1;TRMT2A;ADD3;ACACA;EXOSC4;PDCD11;DPH2;POLR2D;HMGXB3;NADK;SLC19A1;TOE1;URGCP;NCAPH2;PMM2;RPP40;DOLK;DOHH;TOR1B;MEX3D;MPP6;NLE1;WDR55;BYSL;LETM1;BOP1;ACIN1;CENPN",3.2258064516129,2,1.61290322580645,1,6.45161290322581,4
"7","imatinib homo sapiens gpl96 gds3046 chdir up","31/1376",1.29681731681734e-10,1.29311212448358e-08,0,0,3.69329012581014,84.0812135958151,"MIPEP;PRR7;PAK1IP1;PWP2;ADD3;ACACA;RRP9;EXOSC4;PDCD11;DPH2;POLR2D;DHX16;RRP12;SLC19A1;METTL1;PMM2;RPP40;RBM19;URB2;TRMT1;AARSD1;PPRC1;MPP6;NLE1;BYSL;SUPV3L1;PTP4A2;BOP1;POLG2;POLR1C;MAPKAPK5",0,0,0,0,12.9032258064516,4
"8","imatinib homo sapiens gpl96 gds3047 chdir up","27/1137",8.41073223819665e-10,7.33836387782658e-08,0,0,3.89290194212552,81.347411881852,"SETD4;PAK1IP1;RRP1;PWP2;RRP9;EXOSC4;PDCD11;POLR2D;DHX16;RRP12;SLC19A1;TBX1;PMM2;RPP40;DDX54;TRMT1;TOR1B;PPRC1;MPP6;NLE1;BYSL;SUPV3L1;BOP1;POLG2;POLR1C;MAPKAPK5;TELO2",0,0,0,0,11.1111111111111,3
"9","ribavirin homo sapiens gpl570 gds4391 chdir up","64/5340",1.27520210273185e-09,9.88990075229816e-08,0,0,1.96475716829373,40.2385434448601,"MIPEP;ZNF692;CDKN1B;DDX49;PODXL2;PAK1IP1;RRP1;PPAN;PWP2;NR3C1;RRP9;SART1;RBM4;MTG1;SNAPC4;UBTF;RRP12;DFFB;NUP210;METTL1;PUS1;ZFP69B;DDX54;LIG3;URB2;AARSD1;PPP2R5C;PPRC1;SUPV3L1;QTRT1;PTP4A2;KAT2A;GRWD1;POLR1C;MAPKAPK5;ATF5;TELO2;ANAPC2;BCAT2;VAC14;UBIAD1;NPRL3;TRMT2A;ACACA;EXOSC4;PDCD11;DEAF1;POLR2D;NADK;TOE1;TMEM120B;BRF1;TNK2;PMM2;TRMT1;PEX10;DOHH;MPP6;NLE1;TARBP1;BYSL;LETM1;BOP1;CENPN",3.125,2,1.5625,1,10.9375,7
"10","fulvestrant homo sapiens gpl570 gse22533 chdir up","66/5839",7.11317265661172e-09,4.96499451431498e-07,0,0,1.85300087877163,34.7647377553051,"SETD4;PRR7;DDX49;PODXL2;PAK1IP1;RRP1;PPAN;PWP2;RRP9;SART1;UBTF;LUC7L;RRP12;DFFB;NUP210;METTL1;PUS1;DDX54;LIG3;URB2;PPP2R5C;SAFB;PPRC1;MFSD12;SUPV3L1;PTP4A2;KAT2A;GRWD1;POLR1C;MAPKAPK5;ATF5;TELO2;BCAT2;UBIAD1;NPRL3;ADD3;ACACA;NOL6;EXOSC4;PDCD11;DPH2;POLR2D;NADK;SLC19A1;TOE1;CBX8;TBX1;CGREF1;BRF1;TNK2;NCAPH2;PMM2;RPP40;TRMT1;PEX10;DOHH;MEX3D;MPP6;NLE1;BYSL;LETM1;BOP1;APOC1;ACIN1;CENPN;ULBP1",0,0,0,0,18.1818181818182,12
