"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","415/3998",9.93474981482102e-29,6.93445537074508e-26,0,0,1.63984045735348,105.735156426504,"PNMT;CNTFR;PRSS1;GRPR;ENO2;MYLK;SOX15;DPYSL3;HOXA7;PRSS2;IER3;SDS;RFX3;SOX11;RNASE1;DKK1;DKK3;GPR161;MYL3;RBP1;MAP1A;AGTR1;HOXB3;HOXB2;HPD;MYL9;PADI1;HS3ST3A1;CRABP2;SHOX2;HSPA4L;CLCNKB;PLA2G3;PLA2G7;HSD11B1;GJC1;C7;CHST11;KCNMB1;KCNMB2;MYO6;PIP5K1B;S100A14;PPARGC1A;HOXC6;GSTM3;L1CAM;FOSL1;GJB3;GJB5;SNAI2;FXYD6;PCDHB8;HRK;DPYS;TGFB1I1;PYGM;HOXC13;HIF3A;LRRC2;SLC6A3;C1QTNF1;HEY2;CTLA4;NEFL;NEFM;DLGAP2;SLC18A2;DUSP4;DUSP5;DUSP2;LEFTY1;ANXA2;TNNC1;MYOF;TNNC2;EN2;MMP10;SLC7A5;GPRC5A;GPRC5D;GAS6;CRYAB;CHST2;CCL11;PTGS1;NTF3;FLNA;GCNT3;PRAME;BCHE;CDKN2A;MCF2;GABRA3;WNT7A;G0S2;POU4F1;FABP3;SLCO3A1;FABP5;ZNF219;PLP2;CHRM2;RAB3B;CHRM3;CSF3;ATP8A2;CTNND2;CHRM5;HR;EFEMP1;CYSLTR2;TUBB3;PLS3;PITX1;ROS1;PHLDA1;CD177;KCNH4;S100A2;EDAR;CACNB1;MAG;MAK;SLCO2A1;S100A6;SMS;LY6D;PGR;RAB38;RHCG;PPEF1;COL17A1;DLX2;CPB1;GPR87;TROAP;ABHD2;RASAL1;RAP1GAP;BCL2L10;SLCO1B3;CLCA2;KCNF1;RBPMS;SRD5A2;BDNF;DEFA5;CXCL11;RCAN2;SLCO1A2;BCL2;CSPG4;MIPEP;FHL1;RASGRF1;ADRA1D;ADRA1B;SGCA;EXO1;ME1;PGM5;ITGB6;EDIL3;TRPC6;TRPC3;ITGA2;APOA2;NRG1;HTR3A;KCNAB1;NRG2;ASPN;ARL4D;MEP1A;TNMD;IL1RAPL1;CNGB3;DSG3;BIRC7;ITGA5;ASPA;SLC24A2;SLC24A3;PLAG1;BARX1;CLEC3B;PLN;DNAJB5;DNAJB4;NNAT;E2F2;TBX1;MARCKSL1;SLC12A1;CYP4B1;TBX5;REC8;TBX2;NELL2;P2RX6;P2RX5;KLF5;ST5;IL2RA;P2RX1;INSM1;TRIM31;NPFFR1;FOXI1;CBLC;AQP5;AQP2;AQP3;RAPGEFL1;CDC20;LGALS4;TP53AIP1;SOX3;EDNRA;LGALS1;TRIM29;DPF1;PDK4;MYOZ1;EPHB1;TP63;TNS1;KCNK12;KRT2;KRT7;KRT5;MAPK8IP2;CHIT1;OMP;MXRA7;TRIB1;EPHA2;CES1;PTGES;SLC45A2;PDE1C;IGSF1;SLC22A2;PCDH17;NHLH2;TRPM2;RRAS;SI;NHLH1;ATP6V0A4;MAGEC1;TSPAN1;DTNA;EGR4;STAC;GADD45A;TPX2;SMTN;TG;AKR1B10;HIST1H4B;HIST1H4H;SIM1;HIST1H4D;HIST1H4E;PTPRT;NRP2;WFDC1;SLC7A11;KIF11;CD38;QSOX1;FFAR2;KIT;TNNT3;CLDN16;TLR2;POPDC2;TAGLN;ADH1B;NOL4;COL19A1;CST4;NT5E;PNMA1;WIF1;NPY;CTNNA3;PAK3;LY6G6D;GABRD;DYNC1I1;DUOX2;CA12;MPP2;SVIL;SLC31A2;GDF15;KLK14;SORBS1;LYVE1;MPP6;BATF;KRT19;GSTA3;KCNS3;KRT15;TCAP;MAMLD1;F2RL2;CDK5R1;ARHGDIG;ACTG2;NPPC;PTTG1;TGM5;RGS9;TGM3;CA14;PDIA2;SPINK1;SLC30A3;LMO3;POU3F1;KRT75;ATP1B1;PRLR;POU3F3;FOLH1;SCNN1A;HIST1H2BF;MASP1;ABCG2;HIST1H2BC;NDRG4;CHRNA5;NPR3;ADRB1;FUT3;CNN1;CCNB2;THPO;CYP11A1;CHAD;MYH13;IL36RN;CLSPN;AMELY;PRPH;CYP2J2;CBX8;MGAM;TGFB3;CAV1;HSPA6;GNAL;AMACR;CPS1;KIF4A;UCN;NPY6R;HSPB8;HSPB7;PDE3B;ILK;HSPB1;NR2E1;ELAVL2;GRM4;UPK1A;CA2;ZIC3;SIX2;BDKRB2;SPEG;ABCC4;PTGIS;PCDHGA1;MMP9;TMPRSS11D;ALDH1A3;VGF;ALDH1A2;CASQ2;CHI3L1;SCN4A;FBP2;RBMS3;RGS17;CAMK2A;DLL3;IL1RL1;IL1RL2;SLIT1;SPOCK1;RGS20;SNCG;SLIT3;PDLIM5;BUB1;MUC4;PDLIM7;OPCML;ZNF185;LAMB3;EYA4;S100B;MEIS2;ACTC1;CYP24A1;TBX10;RGS10;PDE7B;HCN2",4.81927710843374,20,0.240963855421687,1,100,415
"2","tamoxifen homo sapiens gpl3921 gse33366 chdir up","99/583",1.06105995969281e-19,3.70309925932792e-17,0,0,2.68264329786283,117.204278985292,"ERCC6L;MKI67;CDC20;SOX3;EFEMP1;LGALS1;PTTG1;PEG10;CHEK1;GTSE1;CDC25C;PRLR;ADAM2;PCP4;MELK;PPP1R3C;AGTR1;SMS;HIST1H2BF;PGR;ROR2;KIF20A;ASF1B;ABCG2;CPB1;CDCA3;PDE1C;TROAP;IGSF1;CRABP1;HSPA4L;NCAPG;CDCA8;GATA3;HMMR;PKMYT1;CCNB2;ALDH3B2;MYO6;HIST1H3H;DTNA;UBE2C;PLK1;FN1;TPX2;CYP26A1;KIF18B;KIF4A;RLN2;BCL2;ANP32E;HIST1H4H;PCDHB8;EZH2;GPR19;TOP2A;HSPB8;FHL1;KIF14;MCM10;KIF11;SERPINA5;EXO1;ANXA6;PBK;EFHD1;AOX1;MYBL2;TK1;ANXA9;CEP55;SGCG;GPX3;MYOF;CCNA2;ASPM;ESPL1;ACOX2;BIRC5;RGS16;TTK;CAPG;CENPA;AURKB;CDC45;P2RY2;BUB1;CA12;POLQ;SPAG5;CYP4B1;ASS1;CENPE;KITLG;FABP5;CENPN;TRIP13;CDKN3;SPC25",7.07070707070707,7,0,0,100,99
"3","dexamethasone homo sapiens gpl570 gse37474 chdir down","53/200",1.30939618869995e-19,3.04652846570856e-17,0,0,4.18641390205371,182.023395340537,"STEAP4;HP;LMOD1;WFDC1;AQP5;PCSK6;MSLN;ACTG2;EDNRB;PDK4;AOX1;ITGB6;KRT4;EDN3;GPX3;IL1R2;SERPINF1;LMO3;ANXA13;PRLR;RHOB;ACTA2;ARL4D;SLPI;SCNN1A;SPARCL1;HPD;PDZRN4;IVL;TAGLN;SERPINB13;ADH1B;COL11A1;FGL1;CCDC69;LPL;AK5;SLC6A20;IL1RL1;GCNT3;DMD;KRT13;CYP4B1;SORBS1;LYVE1;KRT19;KRT17;FABP5;KRT16;PLP1;ITGBL1;SNAI2;SCRG1",9.43396226415094,5,0,0,100,53
"4","acetaminophen homo sapiens gpl6244 gse27420 chdir up","75/413",8.00550393198903e-17,1.39696043613209e-14,0,0,2.86884775598729,106.330449044324,"RAB3B;TOP2A;ERCC6L;ST6GALNAC2;ITGB3;HJURP;KIF14;MCM10;KIF11;FOXM1;AQP3;COMP;EDNRB;EXO1;MUC13;NEK2;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IER3;ITGA2;CDC25C;ACTA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;MAK;SFRP5;SCNN1A;KIF20A;CRYAB;ASF1B;PON3;ISYNA1;HIST1H2BO;CDCA3;CHRNA5;TROAP;CDCA8;TTK;HMMR;CENPA;CYP3A5;NCAPH;SKA1;AURKB;CCNB2;TTR;CDC45;RRAS;GCNT3;E2F2;CLSPN;OR2B6;BUB1;APOBEC3C;POLQ;STIL;RRM2;GDF15;UBE2C;CYP4F3;SHCBP1;CENPE;TPX2;CENPF;SMTN;KIF4A;CDKN3;ZNF695;SPC25",8,6,0,0,100,75
"5","isotretinoin homo sapiens gpl8300 gds3215 chdir down","38/128",3.1931781006012e-16,4.45767662843927e-14,0,0,4.68996840442338,167.339689758149,"PTPRR;TAGLN;CRABP2;HPGD;GATA3;WFDC2;ALDH3B2;MECOM;TIMP3;OLR1;ITGB6;ANXA9;TSPAN1;IER3;DUSP4;GABRP;MARCKSL1;ENTPD3;RBPMS;EDN3;PRKCB;BDNF;GDF15;ITGA2;PCDH7;ATP1B1;ASS1;ACTA2;ALDH1A3;IL6;GPRC5B;NR4A3;CYP24A1;CEACAM6;CEACAM5;PGR;TRIM31;MYL9",7.89473684210526,3,0,0,100,38
"6","letrozole homo sapiens gpl3921 gse33366 chdir up","74/429",2.25691148994455e-15,2.6255403666355e-13,0,0,2.72502642170889,91.9009141509704,"RET;TOP2A;HSPB8;FHL1;KIF14;BUB1B;MCM10;KIF11;FOXM1;MKI67;SERPINA5;CDC20;SOX3;PTTG1;EXO1;CHEK1;PBK;MYBL2;ANXA9;HOXA7;GTSE1;CA14;MYOF;NAV2;CDC25C;DKK1;CCNA2;SLC7A5;ASPM;PCP4;MELK;ESPL1;PADI3;COL21A1;BIRC5;PGR;KIF20A;PTGES;GNAZ;CDCA3;ABHD2;TROAP;IGSF1;CRABP1;SEMA3B;DNAJC22;CDCA8;TTK;PKMYT1;PPM1E;AURKB;CCNB2;CDC45;PNMA1;CA12;TCF7L1;ATRNL1;UBE2C;CAV2;CAV1;FN1;CYP4B1;ASS1;FABP5;KRT17;ETNK2;RLN2;BCL2;ANP32E;CENPN;TRIP13;EZH2;CDKN3;SPC25",8.10810810810811,6,0,0,100,74
"7","celecoxib homo sapiens gpl8300 gds3384 chdir down","61/318",4.85701291646884e-15,4.8431357367075e-13,0,0,3.03039335499319,99.8767732323946,"FCGBP;SYNM;HBB;BUB1B;KRT20;AQP3;SLC4A4;AREG;CLU;ACTG2;CA4;CHP2;SOSTDC1;CA9;KRT6A;DUSP4;ABCC3;DUSP5;FGFBP1;ANXA2;IL1R2;ENTPD5;TNNC2;VWA5A;MEP1A;CLDN8;SCGB2A1;DDIT4;SIK1;PPP1R12B;CRYAB;SLC27A2;CFD;HPGD;HPN;IFI6;DPT;THBS4;SI;CHN2;NNAT;MYH11;LY6G6D;CCL18;PRODH;TSPAN1;CA12;DEFA6;ISG15;PNMA2;FMO5;KRT19;AKR1B10;DES;KRT16;KCNS3;APOC1;SLC26A3;CD200;NOX1;C5ORF30",6.55737704918033,4,0,0,98.3606557377049,60
"8","estradiol homo sapiens gpl14550 gse35034 chdir up","86/562",1.70898649934313e-14,1.49109072067688e-12,0,0,2.41745515058497,76.6340312635908,"FHOD3;CHRM3;PRSS1;CSF3;SPON1;PTPRR;NRP2;ST6GALNAC2;RASL11B;ONECUT2;CTNND2;WFDC1;PTPRH;AREG;COMP;FGF7;EDNRA;BAIAP2L2;EDNRB;CCND2;SGCA;MYB;TIMP3;PGM5;HOXA7;PRSS2;EDIL3;EPHB1;NKX3-2;SGCG;DUSP4;ANXA10;WNT16;PRLR;MMP10;AJAP1;F7;ALDH1A3;GPRC5A;GAL;BANK1;KCNMA1;KIT;CHI3L1;HOXB2;IVL;PAPPA2;COL17A1;POPDC2;COLEC12;ADCYAP1R1;SLC24A3;SLC47A1;PDE1C;LUZP2;CHRD;CYP3A5;PHYHIP;PTGS1;CYP3A7;ACAN;NT5E;CHST11;HAS2;MYH11;CGA;OPCML;GDF10;BCHE;SLC14A1;RRM2;BDNF;HSPA6;KRT13;SORBS1;DHRS2;MYLPF;P2RX5;KRT17;LHX2;KRT16;BCL2;REN;RGS11;SCRG1;PCDHB8",3.48837209302326,3,0,0,100,86
"9","bleomycin mus musculus gpl1261 gse25640 chdir up","105/802",7.05359229425289e-13,5.47045269043169e-11,0,0,2.06828899315692,57.870869105707,"ERCC6L;IL1RN;BUB1B;CXCL13;MKI67;CLU;CDC20;TGM1;GJA1;LGALS1;TDO2;CAPN6;CHEK1;SLC39A2;PRND;CD177;MELK;DDIT4;MAL;ROR2;KIF20A;ASF1B;CDCA3;NCAPG;CDCA8;LPL;PLA2G7;SKA1;KNG1;SOCS3;CCNB2;CLCA2;APOE;S100A14;CLSPN;STIL;UBE2C;PLK1;FN1;ISG15;CXCL10;TPX2;IL6;GJB3;ITGBL1;SDC1;FXYD6;EZH2;TOP2A;CXCL9;KIF11;MSLN;AREG;RND3;EXO1;PBK;OLR1;ITGB8;ITGB6;TK1;DLGAP5;CEP55;ASPN;CCNA2;F7;ASPM;ESPL1;BIRC5;TLR2;PAPPA2;SEMA3D;SEMA3A;RGS16;NRXN1;GCNT1;CAPG;TTK;AFP;CENPA;AURKB;THBS4;PTGS1;IL1RL2;P2RY2;NNAT;HAS2;CCL17;BUB1;OPCML;MARCKSL1;RRM2;LAMB3;SPAG5;GDF15;PCDH7;S100B;SHCBP1;MFAP5;CENPE;CENPF;GATM;CENPN;TRIP13;CDKN3;SPC25",8.57142857142857,9,0,0,100,105
"10","celecoxib homo sapiens gpl8300 gse11237 chdir up","57/321",1.13712833543895e-12,7.93715578136388e-11,0,0,2.80521474657099,77.1504607455202,"FCGBP;SYNM;QPRT;HBB;BUB1B;AQP2;KRT20;AQP3;SLC4A4;AREG;CLU;ACTG2;CA2;CA4;CHP2;SOSTDC1;CA9;KRT6A;ABCC3;FGFBP1;ANXA2;ENTPD5;IL1R2;TNNC2;VWA5A;PTP4A3;MEP1A;CLDN8;SCGB2A1;DDIT4;SIK1;PPP1R12B;CRYAB;SLC27A2;CFD;HPGD;HPN;IFI6;DPT;PDLIM1;SI;NNAT;MYH11;LY6G6D;CCL18;PRODH;TSPAN1;CA12;DEFA6;PNMA2;FMO5;AKR1B10;KCNS3;APOC1;CD200;NOX1;C5ORF30",7.01754385964912,4,0,0,98.2456140350877,56
