"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","tamoxifen homo sapiens gpl3921 gse33366 chdir up","205/583",2.55386880591694e-41,1.78260042653002e-38,0,0,2.59792761413298,242.824083955291,"NUP107;NUDT1;ABCA12;MKI67;SMC2;CDC20;SOX3;CHEK1;DLEU2;GTSE1;TMPO;AGTR1;KIF20A;ASF1B;CDCA3;PDE1C;SHMT1;IGSF1;HSPA4L;NCAPG;CDCA8;TGFA;RACGAP1;MYO6;PLCG2;PLAC1;HIST1H3H;HIST1H3B;DTNA;MCAM;PLK1;CDC7;CDC6;DHFR;TPX2;LOC81691;HIST1H4H;PSMG1;PCDHB8;EZH2;GPR19;APOBEC3B;CEP57;TOP2A;FEN1;KIF14;KIF11;BRCA2;SERPINA5;KIF15;CHAF1A;ANXA6;PBK;TK1;ANXA9;CEP55;HELLS;ELOVL2;MYOF;ELOVL6;CIT;NR5A2;RARA;CDC42EP2;DEPDC1;KIF2C;MAPT;YAP1;CSTA;PRIM1;AMIGO2;CENPA;SLC7A2;TCOF1;CHN1;RAD54L;JAM2;CA12;GINS1;GINS3;ATAD2;GINS4;PLEKHA6;CENPE;NUDT21;FABP5;CENPI;DLC1;TACC3;CENPN;NCAPD3;TRIP13;CDKN3;MAD2L1;SPC25;ERCC6L;CLSTN2;CSE1L;NAB2;C4ORF19;CELSR2;TUBB6;NUSAP1;OIP5;NEK3;BORA;MSX2;DSCAM;CDC25C;PRLR;OLFM1;PCP4;MELK;MSH2;CCNE2;MAP7D3;SMS;HIST1H2BF;HIST1H2BE;PGR;HIST1H2BH;ROR2;RPP25;S100A7;BLM;RNASEH2A;NXPH3;TROAP;HMMR;PKMYT1;ACACB;C1ORF112;RAD51AP1;CCNB2;ALDH3B2;CCNB1;ORC6;CALHM2;PDZD2;BAG3;FANCI;TFAP2C;UBE2C;CCDC15;ESR1;FANCG;NDC80;ARHGAP32;KIF18A;DNMBP;KIF18B;KIF4A;CDK2;RLN2;BCL2;CDK1;FGFR4;MCM7;HSPB8;FHL1;MCM10;EXO1;DNMT3B;AOX1;MYBL2;SGCG;RFC5;RFC3;GPX3;CCNA2;ASPM;PSRC1;ESPL1;DDAH1;ACOX2;BIRC5;MCM4;TOP1;DTL;MCM2;ACSS3;HIST1H2BJ;HIST1H2BI;RGS16;TTK;HMGCR;AURKB;PDLIM3;CDC45;P2RY2;POLD1;PDSS1;BUB1;POLQ;TMEM30A;IRX5;SPAG5;DONSON;CYP4B1;RAD51;PRC1;MGAT4A;POLE2;TAF5;NUP37",6.82926829268293,14,0.975609756097561,2,40,82
"2","letrozole homo sapiens gpl3921 gse33366 chdir up","161/429",1.73875519773862e-36,6.0682556401078e-34,0,0,2.77274750861748,228.307735654918,"MDC1;NUP107;CLSTN2;PROS1;NAB2;C4ORF19;BUB1B;MKI67;CELSR2;CDC20;SOX3;TUBB6;STMN1;CHEK1;NUSAP1;OIP5;KNTC1;NEK3;HOXA7;GTSE1;CA14;TMPO;DDX11;NPY1R;CDC25C;TRAIP;OLFM1;PCP4;MELK;MAP7D3;TIMELESS;PGR;KIF20A;KIF20B;RPP25;S100A7;PTGES;GNAZ;BLM;CDCA3;NXPH3;TROAP;IGSF1;DNAJC22;ARHGAP19;CDCA8;PKMYT1;RAD51AP1;CCNB2;BRIP1;CCNB1;ORC6;PLCG2;PLAC1;PLK4;FANCI;UBE2C;CAV2;MCAM;FZD7;CAV1;FANCA;GGH;CDC6;FANCG;NDC80;DCLK1;DHFR;POLA2;CXCL12;LOC81691;DNMBP;CDK2;RLN2;BCL2;PSMG1;EZH2;RET;TOP2A;RARG;FEN1;MCM7;CITED1;HSPB8;FHL1;KIF14;MCM10;KIF11;FOXM1;BRCA2;SERPINA5;KIF15;CHAF1A;EXO1;PBK;DNMT3B;MYBL2;ANXA9;POLE;HELLS;RFC3;ELOVL2;MYOF;GFRA1;IL17RB;CIT;CCNA2;ASPM;DBF4;NR5A2;PSRC1;ESPL1;MPPED2;COL21A1;BIRC5;TFF2;KIF2C;DTL;CD44;MCM2;MATN2;FOXC1;PRIM1;SEMA3B;AMIGO2;TTK;PPM1E;AURKB;POLD3;PDLIM3;CDC45;TCOF1;PNMA1;POLD1;CHN1;EXOSC8;PDSS1;JAM2;E2F8;CA12;GINS1;TCF7L1;ATRNL1;GINS4;DONSON;CYP4B1;RAD51;FABP5;KRT17;ETNK2;RFWD3;DLC1;POLE2;TACC3;CENPN;NCAPD2;TRIP13;TAF5;CDKN3;MAD2L1;SPC25",8.69565217391304,14,0.62111801242236,1,39.7515527950311,64
"3","acetaminophen homo sapiens gpl6244 gse27420 chdir up","151/413",8.97866068110672e-33,2.08903505180416e-30,0,0,2.70127398163313,199.328242511444,"RAB3B;ERCC6L;DGKA;SERPINE1;CCNF;HJURP;AQP3;COMP;EDNRB;LAMP3;NUSAP1;NEK2;OIP5;FBXO5;GTSE1;WDHD1;BORA;SLC6A12;CDC25C;NEIL3;MELK;CCNE2;SFRP5;TIMELESS;S100A3;KIF20A;KIF20B;ASF1B;RAI14;BLM;CDCA3;CHRNA5;RRAD;TROAP;TMEM59L;CDCA8;LTBP2;HMMR;NCAPH;SKA1;C1ORF112;RAD51AP1;CCNB2;BRIP1;DSN1;RACGAP1;RRAS;PLAC1;CLSPN;OR2B6;PLK4;BARD1;FANCI;APOBEC3C;CDT1;STIL;UBE2C;MCAM;CYP4F3;CCDC15;LIF;CDC6;CYP4F12;NDC80;TPX2;POLA2;KIF18A;LOC81691;KIF4A;REEP2;CDK1;ALPL;HAMP;PTTG3P;SLC48A1;ARHGAP11A;DDR1;TOP2A;GPSM2;ST6GALNAC2;ITGB3;NCAPG2;CLTB;KIF14;MCM10;KIF11;BRCA1;FOXM1;BRCA2;CHAF1B;EXO1;PEA15;DNMT3B;MUC13;MYBL2;TK1;CEP55;DLGAP5;BGN;CKAP2;KIF24;KIF23;CIT;ASPM;ESPL1;KIFC1;DEPDC1;ANGPTL2;KIF2C;CRYAB;DTL;RBMS2;PON3;CSTA;C17ORF53;HIST1H2BO;TTK;DBF4B;CYP3A4;CENPA;CYP3A5;AURKB;PSMC3IP;POLD3;TTR;CDC45;SV2A;KIAA1324;HSD17B2;GCNT3;E2F2;PAK6;BUB1;CNNM4;E2F8;POLQ;RRM2;GINS4;NAGA;SHCBP1;CENPE;CENPF;RAD51;CENPI;PRC1;TACC3;EPPK1;CENPO;CDKN3;ZNF695;SPC25",9.27152317880795,14,1.32450331125828,2,44.3708609271523,67
"4","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","754/3998",1.48869925210823e-26,2.59778019492887e-24,0,0,1.39338232100905,82.8634847288808,"CNTFR;SCT;GRPR;SMC2;MYLK;ENDOU;DPYSL4;SOX15;HOXA3;HOXA2;PLCE1;HOXA1;PRSS3;HOXA7;PRSS2;HOXA6;HOXA5;HOXA4;SDS;PRKCH;DDX11;CLEC11A;DAPK3;CACNA2D3;SOX11;SOX10;EML2;DKK3;SULT2B1;AR;CLDN4;GPR161;MAP1A;MYL3;RBP1;AGTR1;HOXB3;MYL9;HPD;SKAP2;HS3ST3A1;CRABP2;SHOX2;HSPA4L;PDGFB;PLA2G3;LYPD3;PRDM13;GJC1;CYB5R2;UGT8;C7;GALR2;MYO6;ST3GAL4;S100A13;HOXC5;PLAC1;KCNMB4;S100A14;NKX2-5;ELANE;HOXC6;PLK4;GSTM3;B3GALNT1;HOMER2;MCAM;FZD7;FZD9;MTHFS;L1CAM;ELL2;FOSL2;FOSL1;FA2H;CILP;GJB3;GJB5;HRC;NMT2;SNAI2;FXYD6;PCDHB8;GPR27;RARG;CDKN1A;KCNC3;TGFB1I1;GPR22;PYGM;HOXC13;TFCP2L1;HIF3A;PRSS22;HOXC10;LRRC2;SLC6A3;WDR44;SULT1C2;MMP25;PEA15;HEY2;NEFL;DLGAP2;SLC18A2;DUSP4;MYBPC1;DUSP2;ANXA1;ELOVL4;PGAM1;TNNC1;MYOF;TNNC2;EN2;EN1;GNL1;PRSS12;SERPINB8;MMP10;HIST2H2BE;F8;MRAS;SLC7A8;PAX9;RARA;CDC42EP2;ACRV1;RARB;ANGPTL2;RAPGEF5;GAS6;GPRC5D;CHST5;CRYAB;MDFI;CHST3;PIGH;CCL11;NR1I2;PELI2;ABCB11;ASCL1;PTGS1;TCOF1;CHRNG;FRZB;EPYC;GPA33;NTF3;GCNT3;SLC17A7;PRAME;MEF2D;GABRA2;MCF2;MBD2;GABRA3;WNT7A;FMO1;GPR4;PLXDC1;POU4F1;NUDT21;FABP3;FABP5;WT1;ZNF219;PKN1;RNF141;FRK;SIGLEC5;BRDT;RAB3B;CHRM2;CHRM3;CSF3;CSF1;CTNND2;DGKA;NAB2;UBE2D3;ITGA2B;GUCA1A;HR;CDH6;GRB14;TUBB3;LAMP3;GRAP2;TUBB1;ADORA1;PLS3;ZNF324;SLC16A2;ROS1;PHLDA1;LZTS1;CD177;KCNH2;EPM2A;TPD52;PIAS3;MAP2K4;S100A2;UGT2B15;F2R;TRAIP;EDAR;CACNB1;TPST1;CACNB3;LTB4R2;LY6D;SMS;S100A6;GAPDHS;PKP1;PGR;S100A3;PPEF1;RHCG;DSC2;S100A7;COL17A1;GRIA1;DLX2;DLX6;TROAP;GPR87;GMPS;GLT8D2;RASAL1;RAP1GAP;SLC9A3R2;RAD51AP1;SNN;PORCN;BCL2L10;BAG3;SLCO1B3;CLCA2;DRD1;IGFBP6;RAB6B;BCL2L14;FANCI;KCNF1;RBPMS;SRD5A2;ODF2;BDNF;GFPT2;DEFA5;TNFRSF10C;PHKB;ESRRG;CORO2A;FOXN1;NFKB2;COPS3;DAB2;RCAN2;BCL2;CSPG4;NF2;EIF4G3;KCNK5;MIPEP;BCAR3;KCNK7;SYCP2;PSCA;FHL1;RASGRF1;HTR2B;HTR2C;FHL3;TREM2;FHL5;RLBP1;DNALI1;ADAMTS2;PTER;PRB1;SGCA;EXO1;ADAMTS1;MB;DNMT3B;PGM5;ITGB6;UPP1;CLEC1B;ADAMTS9;EDIL3;TRPC4;SH2D3A;TRPC1;NRG1;HTR3A;KCNAB1;SEZ6L;SLCO1C1;ARL4D;DBF4;MEP1A;TNMD;IL1RAPL1;DSG1;ITGA6;ITGA5;TOP1;BIRC7;DSG3;ASPA;ITGA9;SLC24A2;NLGN3;COL15A1;SLC24A3;HDAC1;CCDC68;PLAG1;USH1C;SEMA3F;CYP3A4;BARX1;CKMT2;CLEC3B;PLN;CCL8;DNAJB5;NNAT;RNF39;E2F2;PCDH1;WASF1;ALOXE3;CTNNAL1;CNNM4;MARCKSL1;TRPA1;PRRX1;KCNJ12;PRRX2;CYP4B1;TBX5;BAIAP2;PTPN14;REC8;SYT17;TBX2;NELL2;KLF5;FOLR3;INSM1;TRIM31;KCNK3;GLTP;CMAS;VIPR2;ACSM3;AQP9;FOXI1;CBLC;HSF2BP;AQP2;AQP3;ZDHHC3;RAPGEFL1;CDC20;TP53AIP1;SOX3;EDNRA;RPS6KA5;TRIM29;PDK4;BSN;KIFAP3;MYOZ1;MYOZ2;TP63;TNS1;ACTN2;KCNK12;KRT2;KCNK13;SLC6A13;KRT7;PSG3;GPR37L1;KRT5;PSG2;MAPK8IP2;OVOL1;OMP;CDC37;PSG6;MAGEB2;KIF20B;EZR;CES1;EPHA2;PTGES;SLC45A2;KLK1;PDE1C;HIST1H3J;RRAD;IGSF1;KLK5;MST1R;PPL;KLK8;TRPM2;NHLH2;CYP27B1;INPP5A;RACGAP1;RRAS;MAP2;SI;NHLH1;TSPAN7;HIST1H3F;HIST1H3G;ATP6V0A4;MAGEC1;SCN3B;TSPAN1;SPTBN2;DTNA;EGR4;BCL11B;FOXF1;GADD45A;STAC;ST8SIA3;LIF;CIDEA;RAB27B;DCLK1;GADD45G;TPX2;POLA2;LOC81691;HIST1H4B;AKR1B10;ARTN;WNK1;HIST1H4H;SIM1;SCN2A;SPRR1A;HIST1H4D;HIST1H4E;APOBEC3B;PTPRT;NRP2;ECM1;SUV39H1;ICA1;WFDC1;KIF11;DOC2B;BMI1;RYR3;KIF15;EPB41L4A;UCHL1;ACADL;RAC3;FFAR2;RAC1;PSD;PRMT8;SYK;IL18;IL19;KIF24;AMPD1;GFRA1;KIF23;CEACAM7;CCKBR;KIT;B3GNT4;TNNT3;ARHGEF4;CLDN17;CD48;TFF1;MAPT;CD44;VGLL3;TLR2;YAP1;POPDC2;CSTA;ADH1B;HDC;TMPRSS2;NOL4;ARNTL2;RELB;CST4;REM1;NT5E;PNMA1;WIF1;HSD17B1;GPC1;NPY;MSX1;LY6G6C;PCNT;FILIP1L;PAK3;GABRD;DYNC1I1;DUOX2;CA12;SVIL;MPP2;GCA;MOG;CDX1;KLK14;KRT12;PNMA3;UBE2G1;PCDHB12;SORBS1;MPP6;LYVE1;GCK;GRIN1;DSPP;KLK12;KRT19;TPPP3;CFHR2;GSTA3;CCNG1;TCAP;MAMLD1;F2RL2;CDK5R2;MAD2L1;CDK5R1;PRDM4;ARHGDIG;MPL;FAIM2;COX6A2;ACTG2;HOXA10;SCGN;CAPN5;HIST1H2AG;TGM5;GGT1;IL6R;TGM3;CA14;LMO1;HIST1H2AL;PDGFRA;OSR2;PDIA2;IL4R;SPINK1;MSX2;WNT5B;SLC30A3;LMO3;SPINK5;WNT5A;ACYP2;LMO7;ATP1B2;POU3F1;KRT75;PRLR;RUNDC3A;MID1;FOLH1;CCNE2;HIST1H2BF;UBE2V2;HIST1H2BE;HIST1H2BH;MASP1;HIST1H2BB;HIST1H2BC;DAP3;RAI14;RTN2;CHRNA3;CHRNA5;NPR3;SLC1A3;LTBP2;EFNA5;PLD2;FUT3;KCNV1;CNN1;CCNB2;EFNB3;THPO;CHAD;IL36RN;TAC3;CLSPN;KIF3C;ASIC3;RAI2;SYT5;CYP2J2;TFAP2B;MGAM;SMURF2;TGFB3;CAV1;CACFD1;CBX1;HSPA6;CRIM1;ARHGAP29;ESR1;PYY;EFNA3;GNAL;AMACR;TRPV6;TLX3;CPS1;KIF4A;FGF18;CNTN1;AMOTL2;MXD1;FGF12;PRR5;UCN;HSPB8;HSPB7;PDE3B;ELAVL4;ILK;HSPB1;OXT;ATP2A1;NR2E1;LTB4R;GRM1;ELAVL2;GRM3;FYCO1;GRM5;CASP7;GRM4;CALB1;UPK1A;ALDH2;CA2;SIX2;ZIC1;CA7;NPTN;HIST1H1D;BDKRB2;SPEG;A4GALT;SRGN;ABCC4;PTGIS;ABCC2;ABCC8;PDE4D;ARHGEF16;MMP8;YWHAZ;EPN1;TMPRSS11D;ALDH1A3;CCNA1;GAP43;ELF3;VGF;CASQ2;CDH12;CHI3L1;SCN4A;PDE5A;DNASE1;DEFB4A;FBP1;FBP2;RBMS2;RBMS3;CAMK2B;HIST1H2BJ;PRELP;PTHLH;ADD2;AGPAT4;AURKA;KRT83;DLL3;IL1RL1;GNA14;GNG3;IL1RL2;PDLIM3;MUC2;NXF3;SLC22A18AS;POLD1;SPOCK1;SNCG;SCN7A;RGS20;SLIT3;VHL;MUC4;BUB1;PDLIM4;PDLIM7;OPCML;CCDC177;ZNF185;LAMB3;NOS3;EYA4;CADPS;SSRP1;S100B;SOD3;MEIS2;TEC;CYP24A1;CAPN10;COL7A1;TBX10;CD7;CDK2AP1;TAF7;RGS12;PDE7B;HCN2",6.36604774535809,48,0.26525198938992,2,39.5225464190981,298
"5","bleomycin mus musculus gpl1261 gse25640 chdir up","209/802",4.06938977455967e-22,5.6808681252853e-20,0,0,1.9253675932076,94.8308597636956,"IL1RN;CCNF;SERPINE1;MKI67;SMC2;SCAMP5;CDC20;CHEK1;CLEC11A;ACSL4;MYO7A;DKK2;EREG;CLDN4;RNF128;KDELR3;KIF20A;KIF20B;ASF1B;CDCA3;NCAPG;CDCA8;SLC5A1;SKA1;PLAC8;RACGAP1;TSPAN6;MLEC;S100A14;SCN3B;PLK4;PLK1;LIF;PARVA;IGF1;CDC6;SMARCA1;CP;DCLK1;GADD45G;TPX2;CILP;GJB3;ITGBL1;SDC1;FXYD6;SPRR1A;EZH2;TOP2A;FKBP10;CDKN1A;FEN1;ORM1;NCAPG2;KIF11;BRCA1;PBK;OLR1;TK1;DLGAP5;CEP55;HELLS;GPR35;ARG1;KIF23;KIF22;OSMR;SLC39A14;F7;SLC7A8;CD48;KIF2C;PDZRN3;CD44;TLR2;MATN2;C1QA;GCNT1;PTGER3;CENPA;SLC7A2;PTGS1;FRZB;CCL17;MPZL2;GINS1;GINS2;MYEF2;F10;ATAD2;CENPE;CENPF;GATM;CENPI;CCNG1;TACC3;CENPN;NCAPD2;TRIP13;FMOD;CDKN3;MAD2L1;SPC25;SCARB1;ERCC6L;DSCC1;BUB1B;CXCL13;CLU;TGM1;TUBB6;CAPN6;NUSAP1;COTL1;ENPP1;KNTC1;SLC39A2;PRND;CD177;WNT5A;DIO2;PDGFRL;CACNB3;MELK;CCNE2;CLIP4;ROR2;RAI14;CHODL;KCNE4;LPL;LTBP2;FUT4;KNG1;RAD51AP1;SOCS3;CCNB2;CCNB1;CLCA2;CLSPN;ECT2;MARK1;TFAP2A;STIL;UBE2C;NDC80;IL6;DAB2;CXCL12;LCN2;CDK1;FBN1;ARHGAP11A;HTR2B;LAMC2;TREM2;MSLN;MFSD9;ADAMTS2;EXO1;ADAMTS1;ITGB8;ITGB6;POLE;RFC5;RFC4;CKAP2;MMP8;CCNA2;ASPM;TBC1D2;DBF4;PSRC1;ESPL1;BIRC5;DTL;MCM2;PAPPA2;COL15A1;SEMA3A;RGS16;NRXN1;ATP1A3;TTK;LRP2;THBS1;AURKB;THBS4;AURKA;IL1RL2;CCL8;P2RY2;NNAT;MEST;BUB1;E2F8;OPCML;NTRK2;MARCKSL1;RRM2;LAMB3;SPAG5;PCDH7;S100B;SHCBP1;MFAP5;RAD51;PRC1;POLE2",8.61244019138756,18,0.478468899521531,1,41.1483253588517,86
"6","hydrocortisone homo sapiens gpl201 gse21909 chdir up","284/1270",4.85122622587992e-19,5.64359317610698e-17,0,0,1.65217618946505,69.6720803453487,"ACSM3;AQP9;CALML3;GRPR;MYLK;PDK4;PDK3;PTGDS;KIFAP3;MNX1;TNS1;KCNK10;ACTN2;DDX11;FOXH1;CACNA2D2;MAPK8IP2;CLDN6;SULT2B1;SFRP4;BIN1;MAP1A;PRR16;KCNQ4;HOXB3;MYL9;SKAP2;SPTBN4;CTBP2;RRAD;SHMT1;PDGFB;KLK5;PRDM12;PRKCZ;HSD11B2;PDGFD;ST3GAL4;HIST1H3F;HIST1H3G;HIST1H3H;HBQ1;SCN3B;HIST1H3C;SPTBN2;BARD1;GSTM3;NFE2;XBP1;ST14;BCL11B;HOMER2;KIR2DS2;GADD45A;CYP4F3;GP2;RAB27B;MTHFS;ELL2;ALOX15B;MYLPF;SULT1B1;POLA2;SLC6A8;FXYD1;HOXD3;HIST1H4J;SCN2A;HIST1H4D;CDKN1C;RYR2;CDKN1A;CLIC3;TGFB1I1;HBB;C8B;PCSK6;LRRC2;KHK;MMP25;GNRHR;TMED2;SLC18A3;PSD;PRMT8;ACTL6B;ARG1;PGAM2;TNNC2;BGN;GFRA2;SIRT2;HIST2H2BE;KCNMA1;CDC42EP2;MDFI;PIGH;C1QA;FOXC1;CTF1;HDC;RPS27L;ABCB11;PAPSS2;PTGS1;TCOF1;PNMA1;FRZB;FLNC;SH3BGR;WWOX;SVIL;F10;CDX2;KCNB1;MBD2;KLK13;AKR1C3;KLK14;KLK11;XK;DLC1;TCAP;PKN1;FMOD;CYB561;IL18R1;NUCB2;CDK5R1;PRDM8;CSF1;PROS1;ITGA2B;CLU;CDC14B;DACH1;GRB14;PLAU;TUBB3;SESN1;GRAP2;MAP3K6;TPD52;HIST1H2AM;HGD;HIST1H2AI;TPM2;TPM1;F2R;WNT5A;HIST1H2AJ;MATK;CYBA;ACYP2;ATP1B2;POU3F1;SLC9A2;TPST1;MSH2;CCNE2;LTB4R2;PKP2;HIST1H2BF;PKP1;HIST1H2BE;HIST1H2BH;IGFALS;RHCG;HIST1H2BB;HIST1H2BC;GRIA1;CD151;NOTCH4;TMEM59L;CABP5;ALOX15;PROZ;SLC1A3;LPL;ALOX12;COX7A1;FBLN5;SNN;THPO;CALD1;CLSPN;SYT5;MGAM;SRD5A2;AMBP;BDNF;CAV2;TGFB3;ARHGAP29;BTNL3;CYP4F12;NDC80;VIL1;DAB2;EFNA3;PROC;PXMP2;LCN2;PLXNB3;BCL2;ALPL;ALPI;FGF12;EIF4G3;UCN;ST6GALNAC2;MS4A3;ITGB4;ITGB3;FHL1;ATP2A3;HSPB2;HSPB1;DBH;RLBP1;LTB4R;HAPLN2;ADAMTS2;PTER;PRB1;CA2;PSTPIP2;CA5A;HIST1H1D;HIST1H1E;EMILIN1;UPP1;HMGCS2;A4GALT;CLEC1B;PRKG1;SLC13A2;ABCC4;GPX2;VWF;YWHAZ;ADRA2B;EPN1;C1QL1;ARL4D;PTP4A3;SNPH;HAND2;CHI3L1;TOP1;FBP1;B4GALT4;HIST1H2BN;CAMK2B;HIST1H2BO;HPGD;HIST1H2BJ;HIST1H2BI;RGS16;LRP3;THBS1;KRT83;CLEC3B;NXF3;P2RY1;E2F1;SNCG;SLIT3;MEST;PDLIM7;SNCA;ZNF185;IRX5;EGF;IMMT;FOXJ1;SOD3;HS3ST1;XPNPEP1;P2RX2;POU2AF1;SARDH;CDK2AP1;FOLR3",10.5633802816901,30,0.352112676056338,1,35.5633802816901,101
"7","estradiol homo sapiens gpl6947 gse27375 chdir up","131/463",2.62972090302888e-17,2.62220741473451e-15,0,0,2.09041274481566,79.8058313064501,"NAB2;HJURP;NUDT1;CELSR2;RAPGEFL1;SMC2;CDC20;SOX3;TUBB6;DPYSL4;TUBB3;STMN1;CHEK1;ADORA1;NUSAP1;OIP5;FBXO5;PHLDA1;SPINK4;LMO1;LIG1;TPM1;GPR37L1;CDC25A;PCP4;MELK;CCNE2;SCNN1B;TIMELESS;PGR;SLC27A2;PTGES;RAI14;RNASEH2A;CDCA3;ARHGAP19;NCAPG;CDCA8;TGFA;PKMYT1;C1ORF112;CALCR;ORC1;SYNDIG1;PLCG2;PLAC1;HOXC4;HOXC6;PLK4;KCNF1;XBP1;TFAP2C;DTNA;PLK1;FZD9;POLA2;CXCL12;LOC81691;TH;CDK1;PSMG1;PTTG3P;EZH2;RET;TOP2A;GPSM2;FEN1;FAM57A;HSPB8;NCAPG2;HSPB1;MCM10;CYP26B1;EXO1;HEY2;PBK;TK1;ANXA9;A4GALT;CEP55;RFC4;VWF;PGAM1;LRRC49;GFRA1;TUBG1;SSTR2;IL17RB;CCNA2;CCNA1;NR5A2;GAL;ACOX2;ITPKA;NOS1AP;BIRC5;TFF2;PLEKHO1;TFF1;KIF2C;MNS1;FOXC1;PRIM1;HMGCR;CENPA;THBS1;SLC7A2;AURKB;PDLIM3;CDC45;PDSS1;SNCA;GINS2;POLQ;RRM2;GINS3;ATAD2;GINS4;KRT13;TUBB4B;CENPF;FABP5;RFWD3;CENPM;CENPN;CENPO;NCAPD3;TRIP13;CDKN3;MAD2L1;SPC25",4.58015267175572,6,0,0,41.9847328244275,55
"8","celecoxib homo sapiens gpl8300 gds3384 chdir down","99/318",2.50120929799483e-16,2.18230511250049e-14,0,0,2.30011639982993,82.6307320695453,"BUB1B;ATP12A;AQP3;SLC4A4;CLU;ACTG2;NR3C2;KIF5C;MAGEA1;CHP2;ENPP1;MAGEA5;EPHB3;SPINK4;IL1R2;ENTPD5;SPINK5;UGT2B15;CLDN8;TRIM15;KDELR3;SLC27A2;DSC2;KLK1;HPN;DPT;HOXB13;MST1L;GLB1L2;UGT8;SI;NKX2-1;MYH11;PCK1;IGHA1;PRODH;TSPAN1;DEFA6;BTNL3;SULT1B1;SLC6A8;AKR1B10;FXYD3;NMT2;SLC26A3;CD200;NOX1;CLIC5;SYNM;HBB;KRT20;CA4;SOSTDC1;CA9;HMGCS2;ACADS;BCAS1;APOBEC1;DUSP4;FGFBP1;PDE4D;TNNC2;CEACAM7;MEP1A;SCGB2A1;TFF2;TFF1;ITGA6;ALDOB;CRYAB;HPGD;SATB2;ADH1A;HMGCR;THBS1;PAPSS2;THBS4;MUC2;CCL8;GPA33;CHN2;HSD17B2;NNAT;CA12;NTRK2;NR1H4;MUC5B;KLK10;FMO5;KLK11;KBTBD11;FABP1;NUDT21;KRT19;XK;DES;KRT16;MYO1A;LGR5",9.09090909090909,9,0,0,42.4242424242424,42
"9","estradiol homo sapiens gpl570 gds3315 chdir down","33/54",5.1506540684646e-16,3.99461837754255e-14,0,0,4.51504330336986,158.939627941874,"DSCC1;NCAPG;MCM10;BRCA1;BRCA2;KIF15;RAD51AP1;CYP26B1;CDC45;EXO1;CHEK1;HEY2;PBK;PLAC1;TK1;FANCI;HELLS;RRM2;UGT2B15;ATAD2;CDC6;SHCBP1;CDC25A;IL17RB;PCP4;CXCL12;RAD51;CCNE2;CENPI;PGR;CENPN;DTL;SPC25",12.1212121212121,4,6.06060606060606,2,48.4848484848485,16
"10","celecoxib homo sapiens gpl8300 gse11237 chdir up","97/321",4.21313700088141e-15,2.94076962661522e-13,0,0,2.23258725791101,73.899908341988,"BUB1B;AQP2;ATP12A;AQP3;SLC4A4;CLU;ACTG2;NR3C2;KIF5C;MAGEA1;CHP2;ENPP1;MAGEA5;EPHB3;SPINK4;ENTPD5;IL1R2;SPINK5;UGT2B15;CLDN3;CLDN8;SLC27A2;DSC2;KLK1;HPN;DPT;CACNA1A;HOXB13;GLB1L2;UGT8;SI;NKX2-1;MYH11;PCK1;IGHA1;PRODH;TSPAN1;DEFA6;BTNL3;SULT1B1;SLC6A8;AKR1B10;FXYD3;CNTN1;NMT2;CD200;NOX1;CLIC5;SYNM;HBB;KRT20;CA2;CA4;SOSTDC1;CA9;HMGCS2;ACADS;BCAS1;APOBEC1;FGFBP1;PDE4D;TNNC2;ETV4;PTP4A3;CEACAM7;MEP1A;SCGB2A1;TFF2;TFF1;ALDOB;CRYAB;HPGD;SATB2;ADH1A;NR1I2;HMGCR;THBS1;PAPSS2;PDLIM1;MUC2;GPA33;HSD17B2;NNAT;CA12;NTRK2;NR1H4;MUC5B;KLK10;FMO5;KLK11;KBTBD11;FABP1;NUDT21;XK;MYO1A;APOC2;LGR5",11.340206185567,11,0,0,40.2061855670103,39
