"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","etilefrine-7350","6/100",4.26840893627476e-06,0.0068401253203803,0,0,16.0148128198222,198.01146032895,"NUP214;AIM2;PTPRCAP;TLR5;S100A9;S100A8",0,0,0,0,33.3333333333333,2
"2","suloctidil-1297","6/100",4.26840893627476e-06,0.0068401253203803,0,0,16.0148128198222,198.01146032895,"IFIH1;AIM2;SP110;OAS2;TNFSF10;ZC3HAV1",0,0,0,0,0,0
"3","prasterone-5019","5/100",6.75170061995252e-05,0.0309131435527826,0,0,13.0394736842105,125.219774588007,"IFIH1;AIM2;OAS2;IRF1;TLR5",0,0,0,0,0,0
"4","methylergometrine-6704","5/100",6.75170061995252e-05,0.0309131435527826,0,0,13.0394736842105,125.219774588007,"SMAD1;AIM2;CISH;SPOCK2;TLR5",0,0,0,0,0,0
"5","diazoxide-2214","5/100",6.75170061995252e-05,0.0309131435527826,0,0,13.0394736842105,125.219774588007,"SPOCK2;GIMAP6;TLR5;S100A9;S100A8",0,0,0,0,40,2
"6","phenylpropanolamine-3217","5/100",6.75170061995252e-05,0.0309131435527826,0,0,13.0394736842105,125.219774588007,"CD4;RNASE3;RNASE2;S100A9;S100A8",0,0,0,0,60,3
"7","hydrastine hydrochloride-6011","5/100",6.75170061995252e-05,0.0309131435527826,0,0,13.0394736842105,125.219774588007,"CDKN1C;AIM2;IRF1;PTAFR;RFTN1",0,0,0,0,0,0
"8","ethisterone-2326","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"AIM2;PTAFR;IL2RB;PTPRCAP",25,1,0,0,25,1
"9","imipenem-5997","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"AIM2;RFTN1;S100A9;S100A8",0,0,0,0,50,2
"10","oxybutynin-7126","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"IFIH1;OAS2;FYN;ZC3HAV1",0,0,0,0,0,0
"11","xylometazoline-2270","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"CD96;HP;PRKCQ;FYN",25,1,0,0,0,0
"12","acetohexamide-1829","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"CDKN1C;IFIH1;SP110;OAS2",0,0,0,0,0,0
"13","picrotoxinin-2161","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"CXCR3;S100A12;RUNX3;S100A8",0,0,0,0,25,1
"14","dacarbazine-2754","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"AIM2;OAS2;IL2RB;PTPRCAP",25,1,0,0,25,1
"15","riboflavin-1767","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"S100A12;CALM3;S100A9;S100A8",0,0,0,0,50,2
"16","cefadroxil-4080","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"IL32;SPOCK2;PRKCQ;HOPX",25,1,0,0,0,0
"17","phentolamine-3971","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"CD96;KLRB1;RNASE2;S100A9",0,0,0,0,50,2
"18","thiostrepton-2823","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"FYN;RETN;ZC3HAV1;KLF2",0,0,0,0,0,0
"19","norfloxacin-5985","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"SLPI;RETN;S100A9;S100A8",0,0,0,0,50,2
"20","sulfadimethoxine-3702","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"AIM2;HP;TNFSF10;SLAMF7",0,0,0,0,0,0
"21","Prestwick-689-7173","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"PRKCH;PTAFR;PTPRCAP;S100A9",0,0,0,0,25,1
"22","imipenem-7294","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"IFIH1;CD4;CISH;OAS2",0,0,0,0,0,0
"23","epivincamine-1783","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"S100A12;CALM3;S100A9;S100A8",0,0,0,0,50,2
"24","cimetidine-4144","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"IFIH1;AIM2;SP110;HOPX",0,0,0,0,0,0
"25","ipratropium bromide-1769","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"HP;S100A12;S100A9;S100A8",0,0,0,0,50,2
"26","hydrocotarnine-1772","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"HP;S100A12;S100A9;S100A8",0,0,0,0,50,2
"27","clomifene-4994","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"IFIH1;ARG1;IRF1;PTPRCAP",0,0,0,0,25,1
"28","talampicillin-7014","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"TLR5;S100A9;SH2B3;S100A8",0,0,0,0,50,2
"29","mephenesin-2304","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"ARG1;SPOCK2;RNASE2;S100A9",0,0,0,0,75,3
"30","prochlorperazine-5010","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"IFIH1;SP110;OAS2;S100A8",0,0,0,0,25,1
"31","N-acetylmuramic acid-4406","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"ARG1;PTAFR;TNFSF10;S100A8",0,0,0,0,50,2
"32","gallamine triethiodide-5735","4/100",0.000873595159610332,0.0499977229741271,0,0,10.1949588477366,71.8020093375497,"AIM2;SP110;SPOCK2;GIMAP6",0,0,0,0,0,0
