"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","phenylpropanolamine-3217","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"RNASE2;S100A9;S100A8",0,0,0,0,100,3
"2","paclitaxel-5320","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"BCL2A1;MMP9;S100A9",33.3333333333333,1,0,0,66.6666666666667,2
"3","mephenesin-2304","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"ARG1;RNASE2;S100A9",0,0,0,0,100,3
"4","chlormezanone-5697","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"KLRB1;LY96;RNASE2",33.3333333333333,1,0,0,66.6666666666667,2
"5","piperacillin-3939","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"BCL2A1;RNASE2;PGLYRP1",33.3333333333333,1,0,0,66.6666666666667,2
"6","phentolamine-3971","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"KLRB1;RNASE2;S100A9",0,0,0,0,66.6666666666667,2
"7","iopanoic acid-5448","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"BCL2A1;CAMP;S100A8",33.3333333333333,1,0,0,66.6666666666667,2
"8","naftopidil-7331","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"RNASE2;S100A9;S100A8",0,0,0,0,100,3
"9","cefoperazone-1627","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"BCL2A1;ARG1;S100A9",33.3333333333333,1,0,0,66.6666666666667,2
"10","labetalol-1550","3/100",0.00012997496316054,0.0110478718686459,0,0,36.1728320194057,323.680603886026,"BCL2A1;ARG1;S100A9",33.3333333333333,1,0,0,66.6666666666667,2
"11","amoxicillin-2620","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"KLRB1;RNASE2",0,0,0,0,50,1
"12","mefexamide-7478","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"S100A9;S100A8",0,0,0,0,100,2
"13","imipenem-5997","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"S100A9;S100A8",0,0,0,0,100,2
"14","benzthiazide-4952","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"ARG1;RNASE2",0,0,0,0,100,2
"15","pyrantel-2097","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"PGLYRP1;MMP9",0,0,0,0,100,2
"16","terbutaline-5764","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"BCL2A1;S100P",50,1,0,0,50,1
"17","Prestwick-674-4738","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"KLRB1;IL2RB",50,1,0,0,50,1
"18","nifenazone-6016","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"TXN;S100A8",0,0,0,0,100,2
"19","aminophenazone-2222","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"RNASE2;S100A8",0,0,0,0,100,2
"20","chlorzoxazone-7456","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"RNASE2;S100A8",0,0,0,0,100,2
"21","trifluoperazine-5584","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"ARG1;IL2RB",50,1,0,0,100,2
"22","(-)-isoprenaline-4495","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"BCL2A1;S100P",50,1,0,0,50,1
"23","iocetamic acid-4425","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"KLRB1;IL2RB",50,1,0,0,50,1
"24","chlorcyclizine-3893","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"S100A9;S100A8",0,0,0,0,100,2
"25","11-deoxy-16,16-dimethylprostaglandin E2-7519","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"LY96;S100P",50,1,0,0,100,2
"26","ipratropium bromide-1769","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"S100A9;S100A8",0,0,0,0,100,2
"27","hydrocotarnine-1772","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"S100A9;S100A8",0,0,0,0,100,2
"28","chlorpromazine-6977","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"S100A9;S100A8",0,0,0,0,100,2
"29","alfaxalone-5451","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"KLRB1;S100A8",0,0,0,0,50,1
"30","rilmenidine-5532","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"S100A9;S100A8",0,0,0,0,100,2
"31","sulfadimethoxine-4724","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"BCL2A1;S100A8",50,1,0,0,50,1
"32","Prestwick-967-7346","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"S100A9;S100A8",0,0,0,0,100,2
"33","mephenytoin-3580","2/100",0.00443449984753605,0.0405303749505983,0,0,22.5419501133787,122.139959975335,"RNASE2;S100A8",0,0,0,0,100,2
