"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","phenylpropanolamine-3217","16/100",1.57919608533071e-10,8.32710095794886e-07,0,0,9.60403592961732,216.752862817023,"CD53;MS4A3;LST1;ITGB2;PLEK;RNASE3;RNASE2;MS4A6A;CD4;TYROBP;EVI2A;ALOX5AP;HCLS1;MNDA;S100A9;ELANE",12.5,2,0,0,12.5,2
"2","cefotiam-6762","13/100",1.0837767057764e-07,0.000285737728477948,0,0,7.47509578544061,119.882923279829,"CD53;GYPA;KLRB1;BCL11B;IER3IP1;MMP9;CTSS;EEF1D;VDAC3;PGK1;RPL14;RPLP2;RPS11",0,0,0,0,7.69230769230769,1
"3","hyoscyamine-1424","12/100",8.09126133937337e-07,0.000853304420850315,0,0,6.80388281794931,95.4401804217911,"ITGAM;EEF1D;RPL27A;VDAC3;PGK1;RPL14;RPLP2;TXN;DHX29;RPS11;IER3IP1;COX5B",0,0,0,0,8.33333333333333,1
"4","pyrantel-1413","12/100",8.09126133937337e-07,0.000853304420850315,0,0,6.80388281794931,95.4401804217911,"EEF1D;RPL27A;VDAC3;PGK1;RPL14;RPLP2;TXN;DHX29;RPS11;IER3IP1;COX5B;FCGR2C",0,0,0,0,8.33333333333333,1
"5","pentetrazol-1408","12/100",8.09126133937337e-07,0.000853304420850315,0,0,6.80388281794931,95.4401804217911,"DENND2D;EEF1D;RPL27A;VDAC3;PGK1;RPL14;RPLP2;TXN;DHX29;RPS11;IER3IP1;COX5B",0,0,0,0,8.33333333333333,1
"6","antazoline-3173","11/100",5.51145238930765e-06,0.00264198985898357,0,0,6.15076817243751,74.4776981808048,"HCK;FH;TYROBP;MS4A3;CCL5;LST1;ALOX5AP;CASP1;PECAM1;HCLS1;ELANE",9.09090909090909,1,0,0,0,0
"7","ifosfamide-3485","11/100",5.51145238930765e-06,0.00264198985898357,0,0,6.15076817243751,74.4776981808048,"EEF1D;RPL27A;VDAC3;PGK1;RPL14;RPLP2;TXN;DHX29;RPS11;IER3IP1;COX5B",0,0,0,0,9.09090909090909,1
"8","tretinoin-1152","11/100",5.51145238930765e-06,0.00264198985898357,0,0,6.15076817243751,74.4776981808048,"CCR1;FGR;PRKCH;ITGAM;PLEK;ALOX5AP;PECAM1;ARHGEF3;UPP1;S100A9;FBP1",9.09090909090909,1,0,0,9.09090909090909,1
"9","oxolinic acid-1419","11/100",5.51145238930765e-06,0.00264198985898357,0,0,6.15076817243751,74.4776981808048,"EEF1D;SUB1;RPL27A;VDAC3;PGK1;RPL14;RPLP2;TXN;DHX29;RPS11;IER3IP1",0,0,0,0,9.09090909090909,1
"10","nilutamide-6763","11/100",5.51145238930765e-06,0.00264198985898357,0,0,6.15076817243751,74.4776981808048,"BST1;CPB2;EEF1D;VDAC3;PGK1;RPL14;RPLP2;TXN;IER3IP1;AIF1;CTSS",0,0,0,0,9.09090909090909,1
"11","mebendazole-2338","11/100",5.51145238930765e-06,0.00264198985898357,0,0,6.15076817243751,74.4776981808048,"PTPRE;IL4R;PTPRC;IL10RA;TRAC;ARHGEF3;SLC2A3;CYTIP;MCTP2;LILRA2;MMP9",9.09090909090909,1,0,0,9.09090909090909,1
"12","novobiocin-576","10/100",3.40407853225885e-05,0.011966470733734,0,0,5.51512581283574,56.7393451357629,"NCF2;RPL27A;RPL14;RPLP2;GIMAP5;RPS11;RNASE2;COX5B;AIF1;CCNJL",10,1,0,0,10,1
"13","valproic acid-458","10/100",3.40407853225885e-05,0.011966470733734,0,0,5.51512581283574,56.7393451357629,"NELL2;PIK3IP1;EEF1D;RPL27A;RPL14;RPLP2;FYN;TXN;RPS11;COX5B",0,0,0,0,10,1
"14","levcycloserine-3789","10/100",3.40407853225885e-05,0.011966470733734,0,0,5.51512581283574,56.7393451357629,"CYTH4;EEF1D;RPL27A;VDAC3;PGK1;RPL14;RPLP2;TXN;LILRA2;COX5B",0,0,0,0,10,1
"15","troglitazone-504","10/100",3.40407853225885e-05,0.011966470733734,0,0,5.51512581283574,56.7393451357629,"SLC7A7;PIK3IP1;CD8A;RPL27A;RPL14;RPLP2;GIMAP5;RPS11;COX5B;CTSS",0,0,0,0,0,0
"16","estradiol-782","9/100",0.000189262056068859,0.0453626737114134,0,0,4.89635744965694,41.9734267014716,"DUSP3;PIK3IP1;EEF1D;FEM1B;RPL27A;RPL14;RPLP2;RPS11;COX5B",0,0,0,0,0,0
"17","nitrofural-6721","9/100",0.000189262056068859,0.0453626737114134,0,0,4.89635744965694,41.9734267014716,"MS4A6A;EEF1D;RPL27A;RPL14;RPLP2;RPS11;IER3IP1;AIF1;F5",0,0,0,0,0,0
"18","riluzole-7365","9/100",0.000189262056068859,0.0453626737114134,0,0,4.89635744965694,41.9734267014716,"EEF1D;ENTPD7;VDAC3;PGK1;RPL14;TXN;DHX29;BTN3A2;IER3IP1",0,0,0,0,11.1111111111111,1
"19","flecainide-3937","9/100",0.000189262056068859,0.0453626737114134,0,0,4.89635744965694,41.9734267014716,"CPB2;EEF1D;IL2RB;VDAC3;PGK1;RPL14;TXN;DHX29;IER3IP1",11.1111111111111,1,0,0,22.2222222222222,2
"20","diltiazem-1948","9/100",0.000189262056068859,0.0453626737114134,0,0,4.89635744965694,41.9734267014716,"UQCRB;RPL34;RPL27A;RPLP0;RPLP2;RPSA;TXN;RPS11;COX7C",0,0,0,0,22.2222222222222,2
"21","josamycin-1950","9/100",0.000189262056068859,0.0453626737114134,0,0,4.89635744965694,41.9734267014716,"FBXW4;CD53;NELL2;FGA;PIK3IP1;CRY2;CLTA;RHAG;PLEKHO2",0,0,0,0,0,0
