"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 A549 24H-foretinib-0.37","20/54",9.13360744368144e-19,2.42497277629742e-14,0,0,23.8553921568627,990.885146189075,"CRISP3;DEFA4;HP;HBD;MPO;AQP3;MMP9;KLK11;HOPX;CEACAM6;CYP1B1;CHI3L1;MAN1A1;BPI;CEACAM8;S100A9;CAMP;S100A8;ELANE;LTF",5,1,0,0,20,4
"2","LJP006 LNCAP 3H-ZSTK-474-0.37","18/77",4.49949560581405e-13,5.97308041671816e-09,0,0,12.3052957310641,349.8351388766,"ARG1;CRISP3;DEFA4;HBD;AQP3;CA1;SLPI;DHRS9;BASP1;CEACAM6;LCN2;CTSG;BPI;CEACAM8;CD24;S100A9;S100A8;ELANE",5.55555555555556,1,0,0,16.6666666666667,3
"3","LJP006 LNCAP 3H-MK-2206-0.37","13/34",7.33513223268329e-13,6.49159202592472e-09,0,0,24.7606336168964,691.835149707517,"MS4A3;ANXA3;ARG1;KLK11;CEACAM6;CYP1B1;CHI3L1;CTSG;PRTN3;CEACAM8;CD24;ELANE;LTF",7.69230769230769,1,0,0,7.69230769230769,1
"4","LJP009 A375 24H-SB-203580-1.11","14/45",2.55156701731365e-12,1.69360260774193e-08,0,0,18.0914642240807,482.939216385389,"DEFA4;HP;AZU1;OLFM4;TCN1;CEACAM6;SPOCK2;LCN2;S100A12;S100P;CEACAM8;CD24;S100A9;CAMP",7.14285714285714,1,0,0,21.4285714285714,3
"5","LJP007 HCC515 24H-mitoxantrone-10","17/82",1.60958139459683e-11,8.54687720530919e-08,0,0,10.5238095238095,261.542575034442,"FCGBP;IDI1;HSPA8;ANXA3;IGFBP4;RPS5;HMGB3;CXCL1;SLPI;BASP1;CEACAM6;TCN1;S100P;CD24;S100A9;SPRR1A;LTF",5.88235294117647,1,0,0,11.7647058823529,2
"6","LJP009 HEPG2 24H-chelerythrine chloride-10","21/137",2.96056051052068e-11,1.3100480259054e-07,0,0,7.32603844215679,177.605570547395,"IDI1;NDUFA13;RPS9;COX7B;ANXA3;UQCR11;UQCR10;TM4SF1;HOPX;EEF1D;CEACAM6;PRDX1;MALL;SNRPG;PGK1;UQCRFS1;S100P;SNRPD3;TXNL4A;CD24;RPS21",4.76190476190476,1,0,0,4.76190476190476,1
"7","LJP009 HEPG2 24H-PF-3758309-10","18/100",4.96321387785198e-11,1.88247612081386e-07,0,0,8.84333569476774,209.82036555992,"FGB;IDI1;HSPA8;IGFBP4;KRT23;GLRX;TM4SF1;HOPX;DNAJA1;PDCD10;MALL;PSMC2;S100A12;S100P;NDUFV2;CD24;SPRR1A;LTF",0,0,0,0,5.55555555555556,1
"8","LJP006 HEPG2 24H-AZD-5438-10","19/115",6.83768598266289e-11,2.26925703549625e-07,0,0,7.98414760914761,186.876852392591,"IDI1;HSPA8;IGFBP4;MRPL18;KRT23;GLRX;MRPL15;TM4SF1;HOPX;TNFRSF1A;DNAJA1;LPAR6;PPP2R3C;TCP1;UQCRFS1;S100P;CD24;EAPP;LTF",0,0,0,0,5.26315789473684,1
"9","LJP006 MDAMB231 3H-BI-2536-1.11","13/47",8.26426681989376e-11,2.43795871186866e-07,0,0,15.2831259813987,354.82061800217,"ERAP2;CRISP3;OLFM4;CLU;AQP3;HOPX;ARL4C;S100A12;CTSG;S100A9;ELANE;S100A8;LTF",0,0,0,0,15.3846153846154,2
"10","LJP006 MDAMB231 3H-JW-7-24-1-10","16/81",1.38152738748845e-10,3.66795521378184e-07,0,0,9.88429752066116,224.399858209886,"MS4A3;ANXA3;KRT23;RNASE3;AZU1;RNASE2;CEACAM6;TCN1;CHI3L1;CTSG;S100P;CD24;S100A9;S100A8;ELANE;LTF",6.25,1,0,0,25,4
"11","LJP006 HME1 24H-A443654-1.11","14/61",2.38651208358909e-10,5.7601723472082e-07,0,0,11.9228613956746,264.163131803519,"IDI1;HSPA8;RALB;ANXA3;IGFBP4;SDHC;AQP3;XPO1;CEACAM6;TCN1;S100P;RPS11;EAPP;LTF",7.14285714285714,1,0,0,7.14285714285714,1
