"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP006 HA1E 24H-PI-103-3.33","23/134",2.88003902123298e-13,7.92442736692256e-09,0,0,8.42251685647912,243.20693217054,"IGBP1;FCGBP;RPS9;H3F3B;CAMLG;GPX4;HAUS4;EEF2;DUSP6;ARL4C;CLEC2B;QARS;LPAR6;RPL36;RGS10;CHI3L1;EIF3H;EIF2D;PGLS;EIF3F;LETMD1;EIF3D;LTF",0,0,0,0,0,0
"2","LJP006 HA1E 24H-WYE-125132-0.37","21/114",7.50131854863303e-13,1.03199389932819e-08,0,0,9.14869688194491,255.418144548612,"IGBP1;FCGBP;SET;CAMLG;GPX4;PRKCSH;PHB2;MMP9;TM4SF1;DUSP6;NELL2;NSA2;QARS;EIF3K;RPL36;CHI3L1;EIF3H;PGLS;EIF3F;LETMD1;EIF3D",0,0,0,0,4.76190476190476,1
"3","LJP005 MCF7 24H-NVP-BEZ235-1.11","20/116",9.5301689011509e-12,8.7407532438389e-08,0,0,8.421875,213.718205093699,"RPL4;IGBP1;CAMLG;RPL31;MVP;EEF2;TM4SF1;NSA2;CLEC2B;QARS;EIF3L;RPL36;RGS10;EIF3H;EIF2D;PGLS;RPL15;EIF3F;LETMD1;PFDN5",0,0,0,0,10,2
"4","LJP006 HA1E 24H-PI-103-1.11","20/122",2.49031367670999e-11,1.55257322548627e-07,0,0,7.92401960784314,193.47307943383,"IGBP1;FCGBP;CAMLG;GPX4;ANXA3;HAUS4;DUSP6;UXT;ARL4C;CLEC2B;QARS;LPAR6;EIF3L;RPL36;CHI3L1;EIF3H;PGLS;EIF3F;LETMD1;EIF3D",5,1,0,0,0,0
"5","LJP006 HA1E 24H-torin-1-0.37","19/110",3.05651068410518e-11,1.55257322548627e-07,0,0,8.42500742500743,203.979220097594,"IGBP1;FCGBP;CAMLG;GPX4;CAPG;DUSP6;QARS;EIF3K;EIF3L;RPL36;CHI3L1;EIF3H;S100P;EIF3E;FAR2;PGLS;EIF3F;LETMD1;EIF3D",0,0,0,0,5.26315789473684,1
"6","LJP006 A375 24H-torin-1-0.12","20/124",3.38558580880162e-11,1.55257322548627e-07,0,0,7.77083333333333,187.346314241842,"RPL4;BTF3;IGBP1;CXCL9;CAMLG;PTEN;EMP1;ZFAND1;EEF2;MPO;TM4SF1;QARS;PPA1;RPL36;RGS10;EIF3H;EIF2D;RPL15;EIF3F;LETMD1",5,1,0,0,0,0
"7","LJP006 SKBR3 24H-WYE-125132-0.04","19/120",1.46578128090197e-10,5.76156742057397e-07,0,0,7.58693728000659,171.79453003307,"IGBP1;RPS9;CRISP3;MVP;GLRX;NSA2;QARS;FXYD3;CEACAM6;EIF3L;RPL36;RPL14;RGS10;S100P;EIF3E;PGLS;LETMD1;RSL24D1;EIF3D",0,0,0,0,5.26315789473684,1
"8","LJP006 HA1E 24H-GSK-2126458-1.11","18/110",2.5631383037418e-10,8.81559380343196e-07,0,0,7.87804438029948,173.98360484107,"IGBP1;FCGBP;SERPINA1;CAMLG;GPX4;HAUS4;DUSP6;UXT;ARL4C;NELL2;CLEC2B;QARS;CHI3L1;EIF3H;PGLS;LETMD1;GUSB;EIF3D",0,0,0,0,0,0
"9","LJP005 HS578T 24H-pelitinib-3.33","13/53",4.31057064386567e-10,1.31783723628849e-06,0,0,12.9866529774127,280.054322635841,"DEFA4;SLC1A4;MMP8;TCN1;LCN2;CHI3L1;S100A12;CTSG;BPI;CEACAM8;CAMP;ELANE;LTF",7.69230769230769,1,0,0,7.69230769230769,1
"10","LJP006 HA1E 24H-torin-1-1.11","18/119",9.64680830748758e-10,2.65431930580521e-06,0,0,7.17271270695534,148.899948441769,"IGBP1;CAMLG;PRKCSH;PTEN;HAUS4;EMP1;HOPX;DUSP6;QARS;EIF3L;RPL36;RGS10;FAR2;PGLS;EIF3F;LETMD1;GUSB;EIF3D",0,0,0,0,0,0
"11","LJP006 HA1E 24H-WYE-125132-10","18/121",1.27317786642758e-09,3.18468081770499e-06,0,0,7.03271159811465,144.042239402453,"IGBP1;CAMLG;GPX4;ARG1;GLRX;DUSP6;ARL4C;NELL2;CLEC2B;QARS;TCN1;EIF3L;CHI3L1;EIF3E;PGLS;EIF3F;LETMD1;GUSB",0,0,0,0,5.55555555555556,1
"12","LJP005 SKBR3 24H-GDC-0980-10","21/168",1.43104474306907e-09,3.28126634212878e-06,0,0,5.77184610796302,117.542844105316,"RPL4;BTF3;IGBP1;CAMLG;ERAP2;RPL31;CRISP3;MVP;QARS;BASP1;FXYD3;CEACAM6;EIF3L;RPL36;LCN2;RPL14;RGS10;S100P;EIF3F;LETMD1;EIF3D",4.76190476190476,1,0,0,9.52380952380952,2
"13","LJP005 HA1E 24H-NVP-BEZ235-3.33","16/96",1.9292390091399e-09,4.08330856434495e-06,0,0,8.02479338842975,161.026629268989,"IGBP1;GPX4;CAMLG;ARG1;HAUS4;DUSP6;ARL4C;NSA2;CLEC2B;TCN1;RPL36;CHI3L1;S100P;PGLS;GUSB;LETMD1",0,0,0,0,12.5,2
"14","LJP005 A375 24H-GDC-0980-0.37","18/125",2.18036881991794e-09,4.28520343428872e-06,0,0,6.76841043936867,134.987633190636,"BTF3;IGBP1;CAMLG;RPL31;EMP1;TM4SF1;EEF1B2;QARS;EEF1D;RPL36;RPL13;EIF3H;EIF2D;EIF3E;FAR2;RPL15;EIF3F;LETMD1",0,0,0,0,5.55555555555556,1
"15","LJP005 HA1E 24H-NVP-BEZ235-10","17/112",2.67512146413387e-09,4.90706447237622e-06,0,0,7.18938650975264,141.913249002646,"IGBP1;CAMLG;GPX4;PTEN;HAUS4;AZU1;DUSP6;ARL4C;TCN1;CEACAM6;RPL36;S100P;FAR2;PGLS;LETMD1;GUSB;ELANE",0,0,0,0,5.88235294117647,1
