"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP009 HEPG2 24H-chelerythrine chloride-10","24/137",1.22315444914961e-13,4.05120985102843e-09,0,0,6.75077000970423,200.715062305014,"NDUFA13;COX7B;HSP90AB1;RPN2;ANXA3;UQCR11;UQCR10;TUBB2C;LSM7;EEF1D;CEACAM6;PRDX1;SNRPG;UQCRFS1;S100P;SNRPD3;TXNL4A;PPIB;CD24;SLC25A5;PTMA;RAN;SLC25A6;MPZL2",4.16666666666667,1,0,0,4.16666666666667,1
"2","LJP005 A549 24H-foretinib-0.37","16/54",2.85767803747704e-13,4.73245771396385e-09,0,0,11.417969028759,329.792013574228,"CRISP3;DEFA4;HP;HBD;MPO;MMP9;KLK11;CEACAM6;CYP1B1;BPI;CEACAM8;S100A9;CAMP;S100A8;ELANE;LTF",6.25,1,0,0,25,4
"3","LJP009 A375 24H-SB-203580-1.11","14/45",4.21041699878781e-12,4.64844071389504e-08,0,0,11.988867480197,314.02991387681,"IL1R2;DEFA4;HP;AZU1;OLFM4;CXCL5;TCN1;CEACAM6;LCN2;S100P;CEACAM8;CD24;S100A9;CAMP",7.14285714285714,1,0,0,28.5714285714286,4
"4","LJP006 LNCAP 3H-ZSTK-474-0.37","17/77",9.85597034887176e-12,8.16098984812454e-08,0,0,8.50786977954608,215.614464979504,"ARG1;CRISP3;DEFA4;HBD;SLPI;KRT17;DHRS9;BASP1;CEACAM6;LCN2;CTSG;BPI;CEACAM8;CD24;S100A9;S100A8;ELANE",5.88235294117647,1,0,0,17.6470588235294,3
"5","LJP006 HT29 24H-mitoxantrone-1.11","19/104",2.07859025869646e-11,1.37689975916571e-07,0,0,7.04016599970357,173.165175732061,"GYPA;ALAS2;MS4A3;DEFA4;CRISP3;SLC4A1;HBD;OLFM4;RNASE2;MPO;CXCL5;SLC25A37;PPA1;TCN1;AHSP;S100P;ELANE;MAP3K5;LTF",5.26315789473684,1,0,0,10.5263157894737,2
"6","LJP006 LNCAP 3H-MK-2206-0.37","12/34",2.68069211956947e-11,1.47978672820434e-07,0,0,13.6008160489629,331.075974269742,"MS4A3;ANXA3;ARG1;CEACAM6;CYP1B1;CTSG;S100A14;CEACAM8;CD24;ELANE;KLK11;LTF",8.33333333333333,1,0,0,8.33333333333333,1
"7","LJP006 MDAMB231 3H-JW-7-24-1-10","16/81",2.38598477990248e-10,1.12894574135928e-06,0,0,7.61197935250601,168.652833684552,"MS4A3;ANXA3;KRT23;RNASE3;AZU1;RNASE2;CEACAM6;TCN1;CDC42EP3;CTSG;S100P;CD24;S100A9;S100A8;ELANE;LTF",6.25,1,0,0,25,4
"8","LJP005 SKBR3 24H-GSK-1059615-10","17/110",3.51963784869278e-09,1.45717406483192e-05,0,0,5.95550884568226,115.923430205254,"TIMM8B;CCT2;COX7B;RPN2;NDUFB2;UQCR10;HIGD1A;DNAJA1;SLPI;NDUFS6;PRDX1;SNRPE;SFN;S100A9;S100A8;LTF;MPZL2",0,0,0,0,11.7647058823529,2
"9","LJP008 A375 24H-AZ20-1.11","10/32",4.9049365762414e-09,1.80507115935213e-05,0,0,12.0423892100193,230.40731785215,"CDKN1C;CEACAM1;MS4A3;ANXA3;DEFA4;RPS6KA1;BPI;CEACAM8;CD24;LTF",10,1,0,0,0,0
"10","LJP005 MCF7 3H-GDC-0980-0.37","12/52",6.596004191655e-09,2.18466254831805e-05,0,0,8.89284126278346,167.512688277144,"SLPI;DEFA4;CYP1B1;CYBB;BPI;S100P;CEACAM8;MMP9;S100A9;S100A8;ELANE;LTF",0,0,0,0,33.3333333333333,4
"11","LJP009 MCF7 24H-GSK-2334470-10","14/75",6.93025711546932e-09,2.08670041746781e-05,0,0,7.19332048811818,135.143565789014,"COX7B;GTF2A2;NDUFA2;ATP5I;COX5B;LDHB;SNRPD2;UQCRQ;MKNK1;NDUFAB1;SNRPG;SLIRP;S100A9;TMEM14B",0,0,0,0,7.14285714285714,1
"12","LJP006 BT20 24H-GSK-1059615-10","17/116",8.07399411624175e-09,2.22848965936702e-05,0,0,5.64746528469869,105.238355669113,"TIMM8B;CCT2;ANXA3;UQCR10;OLFM4;HSPD1;LDHB;MRPL3;PSMA4;KARS;SLPI;KRT17;SNRPE;SFN;PPIB;CCT5;RAN",5.88235294117647,1,0,0,0,0
"13","LJP005 HT29 24H-CGP-60474-0.12","14/78",1.17837800670916e-08,3.00223522770878e-05,0,0,6.91665431549825,126.274188776783,"IGHM;COX7B;ANXA3;ARG1;HBD;OLFM4;SOX10;CEACAM1;PSMA2;DPYD;PSMC2;LCN2;CD24;S100A9",14.2857142857143,2,0,0,14.2857142857143,2
"14","LJP009 HA1E 24H-CGP-60474-3.33","16/107",1.65496272640588e-08,3.91528717580637e-05,0,0,5.762339509841,103.243273770543,"IL4R;BCL2A1;KRT23;TUBB2C;BASP1;TCN1;EEF1D;CEACAM6;CDC42EP3;SNRPB2;S100P;CD24;S100A9;EIF3D;CCT5;LTF",6.25,1,0,0,12.5,2
"15","LJP006 SKBR3 3H-GSK-2126458-0.12","11/47",2.41865422699509e-08,5.34054977682029e-05,0,0,9.01898085516337,158.170101334942,"THBD;ACTR2;MS4A3;HP;CYP1B1;CTSG;RNASE2;OLFM4;ELANE;TGM2;LTF",0,0,0,0,9.09090909090909,1
"16","LJP006 HS578T 3H-BI-2536-1.11","12/58",2.47419657892246e-08,5.12174155565569e-05,0,0,7.97289216663345,139.643332790171,"MS4A3;SEC61G;SUB1;CTSG;SNRPE;S100P;RNASE3;AZU1;RNASE2;MPO;ELANE;F5",8.33333333333333,1,0,0,16.6666666666667,2
"17","LJP006 HT29 24H-BI-2536-10","19/163",4.98457913346564e-08,9.71142620467738e-05,0,0,4.49188505502559,75.5280455910013,"IGHM;CFLAR;RNASE2;MPO;MMP9;F5;MRPL3;SLC25A37;TRBC1;DPYD;UFC1;SNRPE;ERH;S100P;S100A9;S100A8;MAP3K5;LTF;MPZL2",5.26315789473684,1,0,0,26.3157894736842,5
"18","LJP006 HT29 24H-mitoxantrone-3.33","18/150",7.15634073596005e-08,0.000131680645286518,0,0,4.6242774566474,76.0817663075951,"ANXA3;RPS5;DEFA4;RPL22;RNASE3;HBD;OLFM4;RNASE2;LSM7;VNN1;SLPI;PPA1;LCN2;ERH;S100P;ELANE;MAP3K5;LTF",11.1111111111111,2,0,0,11.1111111111111,2
"19","LJP009 HT29 24H-mitoxantrone-10","15/104",7.61518998674184e-08,0.00013274879344783,0,0,5.55802578923966,91.0990207253359,"ARG1;HSPA6;KRT23;SAMSN1;DNAJA1;CEACAM1;SLPI;KRT17;BASP1;TCN1;CEACAM6;SFN;S100P;CD24;LTF",0,0,0,0,13.3333333333333,2
"20","LJP005 BT20 3H-GSK-690693-0.37","9/33",1.10240718333377e-07,0.000182564141595989,0,0,10.5097214923805,168.372039029068,"MS4A3;SLPI;CEACAM6;CRISP3;SRSF2;SFN;S100P;CEACAM8;LTF",0,0,0,0,11.1111111111111,1
"21","LJP009 HA1E 24H-saracatinib-10","15/107",1.12070000537241e-07,0.000176755737513997,0,0,5.40219329047593,86.4574693754453,"BCL2A1;ANXA3;HSPA6;EIF2S2;DNAJA1;CEACAM1;TCN1;CDC42EP3;EIF3H;SNRPB2;PSMG2;CD24;CCT5;RAN;LTF",13.3333333333333,2,0,0,0,0
"22","LJP006 HS578T 3H-dasatinib-3.33","12/66",1.13117032153127e-07,0.000170297691906532,0,0,7.0064809949203,112.067562595288,"MAP2K3;MGAM;MS4A3;SLPI;TCN1;BPI;S100P;CEACAM8;AZU1;CD24;ELANE;LTF",0,0,0,0,8.33333333333333,1
"23","LJP007 HCC515 24H-PHA-767491-10","16/123",1.23337891164231e-07,0.000177611925793499,0,0,5.01276689067469,79.7447908405392,"IGHM;NPM1;IL1R2;HMGB2;HSPD1;TUBB2C;CEACAM1;KRT17;TCN1;EEF1D;SFN;CD24;S100A8;CCT5;LTF;CCT4",0,0,0,0,12.5,2
"24","LJP006 LNCAP 3H-AZD-7762-10","11/56",1.67444270871267e-07,0.000231080070646968,0,0,7.56950178915497,118.104024067465,"IGHM;THBD;SLPI;TCN1;CRISP3;S100P;OLFM4;CD24;MMP9;TGM2;LTF",0,0,0,0,18.1818181818182,2
