"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 PC3 24H-WZ-3105-0.37","25/188",2.17741298283203e-11,7.21289824692938e-07,0,0,5.12442094043373,125.806064014003,"IGHM;ORM1;MS4A3;NCF4;C5AR1;HP;KRT23;SLC2A3;SAMSN1;CA4;HIST1H3H;ELANE;MGAM;RPS5;DEFA4;AZU1;OLFM4;MMP9;BST1;TYROBP;PTPRC;CD48;BPI;CEACAM8;CD24",4,1,0,0,8,2
"2","LJP005 PC3 24H-WZ-3105-1.11","22/174",9.3315657498241e-10,1.54558723514337e-05,0,0,4.87232299072044,101.307522961255,"IGHM;CD52;MGAM;ORM1;MS4A3;DEFA4;NCF4;C5AR1;HSPA6;SLC2A3;AZU1;OLFM4;MPO;SAMSN1;MMP9;PTPRC;SLPI;HIST1H3H;BPI;CEACAM8;CD24;ELANE",9.09090909090909,2,0,0,9.09090909090909,2
"3","LJP006 SKBR3 24H-WYE-125132-0.12","16/93",2.03046411922035e-09,2.24203848044311e-05,0,0,6.62978846831168,132.695225739271,"CDKN1C;NPM1;RPS27L;ATP5G2;TOMM20;HIGD2A;C6ORF48;VNN1;CEACAM6;CCNG1;RPL36;LCN2;S100P;EIF3E;RPL26;EIF3D",6.25,1,0,0,12.5,2
"4","LJP006 A549 24H-ZSTK-474-0.04","13/64",8.17157018326606e-09,6.76728584727179e-05,0,0,7.82755298651252,145.769425487356,"IGHM;LY96;CSF2RB;SAMSN1;VNN1;KRT17;TCN1;DPYD;C3AR1;S100A9;FCGR1B;S100A8;APOBEC3A",7.69230769230769,1,0,0,23.0769230769231,3
"5","LJP006 HS578T 24H-AT-7519-0.37","20/174",2.81460834581408e-08,0.000186473432126874,0,0,4.42938453701858,77.0086489189639,"ORM1;MS4A3;DEFA4;C5AR1;FPR1;RNASE2;TOMM20;FYB;TYROBP;FCGR3B;CEACAM6;TRBC1;LCN2;CTSG;BPI;CEACAM8;S100A9;S100A8;ELANE;CAMP",5,1,0,0,25,5
"6","LJP007 MCF7 24H-idelalisib-3.33","12/61",4.50324270219423e-08,0.000248624029588143,0,0,7.58078271581541,128.235633516129,"IGHM;IL1RN;CEACAM1;CLEC2B;KRT17;CEACAM6;CDC42EP3;KRT23;ATP11B;MMP9;S100A9;S100A8",8.33333333333333,1,0,0,25,3
"7","LJP006 HME1 24H-WYE-125132-3.33","19/166",6.69571849235124e-08,0.000316860529682325,0,0,4.41070640945284,72.8613962447449,"RPL4;BCL2A1;RPL22;C5AR1;NAP1L1;EEF2;TOMM20;LYST;IGF2R;CXCL5;FAM134A;C6ORF48;VNN1;RPL36;RPL14;EIF3H;EIF3E;EIF3D;SLC25A6",5.26315789473684,1,0,0,0,0
"8","LJP005 HS578T 24H-pelitinib-3.33","11/53",9.19579117718568e-08,0.000380774723169316,0,0,7.99796415457883,129.582494127646,"TCN1;DEFA4;LCN2;CTSG;BPI;CEACAM8;MMP8;CXCL5;CAMP;ELANE;LTF",9.09090909090909,1,0,0,9.09090909090909,1
"9","LJP006 HA1E 24H-OSI-027-0.37","11/53",9.19579117718568e-08,0.000338466420594947,0,0,7.99796415457883,129.582494127646,"ARG1;CEACAM6;TCN1;DEFA4;CTSG;SFN;OLFM4;CD24;MMP9;ELANE;SLC25A6",0,0,0,0,18.1818181818182,2
"10","LJP006 HS578T 24H-AZD-7762-1.11","16/124",1.38273764067583e-07,0.000458045670850277,0,0,4.97234135123376,78.5333100594242,"MS4A3;JUP;C5AR1;FPR1;CEACAM1;TYROBP;VNN1;CLEC2B;SPINT1;CEACAM6;MKNK1;C3AR1;BLNK;HIST1H3H;S100A9;S100A8",0,0,0,0,12.5,2
"11","LJP009 PC3 24H-KIN236-10","9/34",1.4650234283471e-07,0.000441185146249327,0,0,10.2006120367222,160.51912019624,"IGHM;VNN1;KRT17;BASP1;RPS6KA1;LCN2;CD24;S100A9;S100A8",11.1111111111111,1,0,0,22.2222222222222,2
"12","LJP007 PC3 24H-tyrphostin-AG-1478-0.04","8/27",2.80076864372074e-07,0.000773152184099111,0,0,11.417969028759,172.276620347793,"MS4A3;RPS6KA1;SLC2A3;S100P;AZU1;RNASE2;MPO;ELANE",12.5,1,0,0,25,2
"13","LJP006 HEPG2 24H-WYE-125132-0.04","9/37",3.24209080687289e-07,0.000826134615911319,0,0,9.37353538509608,140.058214827505,"IGHM;LDHB;TCN1;CEACAM6;CRISP3;LCN2;S100P;RNASE3;CD24",11.1111111111111,1,0,0,11.1111111111111,1
"14","LJP005 SKBR3 24H-GDC-0980-10","18/168",4.02591903162482e-07,0.000952589956011455,0,0,4.12881915772089,60.7982759509201,"RPL4;CDKN1C;CRISP3;RPL22;STXBP2;KIAA0430;ATP5G2;TOMM20;HIGD2A;C6ORF48;BASP1;CEACAM6;CCNG1;RPL36;LCN2;RPL14;S100P;EIF3D",5.55555555555556,1,0,0,5.55555555555556,1
"15","LJP005 HS578T 3H-trametinib-0.04","11/62",4.96644641293698e-07,0.001096790025833,0,0,6.83696935794642,99.2412839918675,"IL1RN;CLIC3;KRT17;RPS5;HP;KRT23;DBI;SFN;CD24;S100A9;S100A8",9.09090909090909,1,0,0,18.1818181818182,2
"16","LJP006 BT20 24H-palbociclib-1.11","11/62",4.96644641293698e-07,0.00102824064921844,0,0,6.83696935794642,99.2412839918675,"IGHM;SCPEP1;CLIC3;SLPI;CEACAM6;TCN1;LCN2;S100P;HBD;S100A9;S100A8",9.09090909090909,1,0,0,27.2727272727273,3
"17","LJP008 HT29 24H-dasatinib-3.33","11/63",5.87784937385153e-07,0.0011453508138718,0,0,6.72844603480442,96.5323740989557,"SLC34A2;MS4A3;SLPI;TCN1;CRISP3;LCN2;S100P;RNASE3;RNASE2;CD24;ELANE",9.09090909090909,1,0,0,18.1818181818182,2
"18","LJP005 SKBR3 24H-GDC-0980-3.33","16/139",6.73400538553846e-07,0.00123928145778526,0,0,4.43575775217976,63.036223087416,"RPL4;CRISP3;STXBP2;RPS27L;NAP1L1;ATP5G2;C6ORF48;CEACAM6;CCNG1;RPL36;LCN2;RPL14;S100P;RSL24D1;PFDN5;EIF3D",6.25,1,0,0,12.5,2
"19","LJP005 HA1E 24H-XMD16-144-1.11","11/64",6.93361293379545e-07,0.00120885716865741,0,0,6.6233140655106,93.9299499603612,"MS4A3;VNN1;SLPI;UQCRQ;KRT23;CTSG;AZU1;RNASE2;S100A9;S100A8;ELANE",0,0,0,0,27.2727272727273,3
"20","CPC013 MCF7 6H-BRD-K87909389-10.0","15/123",7.12395023783621e-07,0.00117993987789281,0,0,4.69946896000752,66.5192596959397,"CD52;LIMK2;CPNE6;ITGA2B;CYBB;KIAA0430;LYST;COX5A;IGF2R;C6ORF48;PTPRC;HAX1;KARS;GNG5;TGM2",6.66666666666667,1,0,0,0,0
"21","LJP005 BT20 3H-NVP-AUY922-1.11","10/52",7.54859736296239e-07,0.00119073731545472,0,0,7.41070105231955,104.46668063359,"IGHM;HSP90AA1;SLPI;KRT17;TCN1;CRISP3;HSPA6;PPIB;CXCL5;TGM2",0,0,0,0,0,0
"22","LJP005 A375 24H-GDC-0980-0.37","15/125",8.78208669126186e-07,0.00132234274424882,0,0,4.6242774566474,64.4873137914271,"NPM1;RPL22;NAP1L1;ATP5G2;EEF1B2;EIF3M;C6ORF48;EEF1D;CCNG1;RPL36;EIF3H;EIF3E;FAR2;RPL15;SLC25A6",0,0,0,0,0,0
"23","LJP005 HCC515 24H-trametinib-10","17/161",1.03653194714227e-06,0.00149287640352325,0,0,4.06898119891334,56.0690557373809,"CDKN1C;SLC34A2;CLIC3;JUP;SLC2A3;WIPI1;SCPEP1;SPINT1;SLPI;LCN2;SFN;S100P;S100A14;DYNLRB1;CD24;S100A9;S100A8",5.88235294117647,1,0,0,17.6470588235294,3
"24","LJP006 HME1 24H-WYE-125132-10","16/145",1.19294529252614e-06,0.00164656274000921,0,0,4.25220915553784,57.9962432708462,"RPL4;CDKN1C;RPL22;C5AR1;SLC2A3;WIPI1;TOMM20;IGF2R;CXCL5;C6ORF48;VNN1;RPL36;EIF3H;EIF3E;RSL24D1;EIF3D",0,0,0,0,0,0
"25","LJP005 MDAMB231 3H-radicicol-1.11","9/43",1.27960605005863e-06,0.00169552920056968,0,0,8.06560021508267,109.441792989351,"DNAJA1;IGHM;HSP90AA1;HSP90AB1;BASP1;HSPA6;SFN;CD24;HSPD1",0,0,0,0,0,0
"26","LJP006 HS578T 24H-celastrol-3.33","19/201",1.33059077029777e-06,0.00169527499449553,0,0,3.6426729550705,49.2849553766858,"UFD1L;MGAM;IL1R2;C5AR1;HSPA6;SLC2A3;HSPD1;DNAJA1;CEACAM1;FCGR3B;CEACAM6;LCN2;HIST1H3H;SFN;S100P;CD24;S100A9;FCGR1B;S100A8",5.26315789473684,1,0,0,21.0526315789474,4
"27","LJP009 PC3 24H-MGCD-265-10","10/56",1.54815330792147e-06,0.00189941209178543,0,0,6.88136526286815,92.0619856287883,"FCGR3B;SLPI;BASP1;CEACAM6;LCN2;SLC2A3;SFN;S100P;S100A9;S100A8",10,1,0,0,30,3
"28","LJP006 LNCAP 24H-HG-6-64-01-10","16/149",1.71690909278844e-06,0.0020312260931325,0,0,4.13805588961736,54.9326295444865,"ARG1;DEFA4;CRISP3;HP;LY96;KRT23;WIPI1;HBD;CCPG1;LCN2;BPI;S100P;CEACAM8;CD24;S100A9;S100A8",12.5,2,0,0,31.25,5
"29","LJP005 HS578T 3H-geldanamycin-0.04","8/34",1.9519991638066e-06,0.00222972152759509,0,0,9.06721069930862,119.203504461986,"DNAJA1;CCT2;HSP90AA1;TCN1;HSPA6;LCN2;RPS27L;HSPD1",12.5,1,0,0,0,0
