"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 HA1E 24H-PIK-93-1.11","7/77",3.68247719721546e-08,0.000439540478259637,0,0,25.4423076923077,435.498399488493,"IL32;ORM1;PRKCH;SLPI;EDEM1;S100A9;S100A8",0,0,0,0,42.8571428571429,3
"2","LJP007 HT29 24H-PHA-767491-1.11","6/54",1.08058745092468e-07,0.00064489459071185,0,0,31.4351265822785,504.238002933429,"ARG1;S100A12;S100A9;S100A8;HOPX;KLF2",0,0,0,0,50,3
"3","LJP005 HCC515 24H-HG-5-113-01-1.11","6/58",1.6706738714963e-07,0.000664705444339329,0,0,29.0111976630964,452.715927172708,"ARL4C;ORM1;EDEM1;HP;S100A9;S100A8",0,0,0,0,50,3
"4","LJP008 HEPG2 24H-I-BET-1.11","6/63",2.75746292792285e-07,0.000822826937692177,0,0,26.4596935376416,399.641512382933,"PRKCH;SLPI;ARG1;TMEM109;S100A12;S100A9",0,0,0,0,33.3333333333333,2
"5","LJP006 MCF10A 3H-BI-2536-3.33","6/66",3.65010012466697e-07,0.000871351901760499,0,0,25.1329113924051,372.553717207473,"S100A12;RNASE3;RNASE2;S100A9;S100A8;HOPX",0,0,0,0,50,3
"6","LJP005 MCF7 3H-GDC-0980-10","5/40",7.20464703977907e-07,0.00139446586448815,0,0,35.5,502.089614088373,"ORM1;SLPI;EVL;S100A9;S100A8",0,0,0,0,60,3
"7","LJP006 HT29 24H-GDC-0941-0.37","5/41",8.17800021063762e-07,0.00139446586448815,0,0,34.5121527777778,483.744697320817,"S100A12;S100A9;HOPX;S100A8;NME1",0,0,0,0,40,2
"8","LJP008 HEPG2 24H-mocetinostat-0.04","5/43",1.04348404909957e-06,0.001417197299743,0,0,32.6924342105263,450.27111126048,"AIM2;SLPI;S100A12;S100A9;S100A8",0,0,0,0,40,2
"9","LJP005 BT20 24H-NVP-BEZ235-0.37","6/79",1.06859715965877e-06,0.001417197299743,0,0,20.6436622160569,283.833093971812,"SLPI;TFF3;TMEM109;S100A9;S100A8;NME1",0,0,0,0,33.3333333333333,2
"10","LJP009 A375 24H-SB-203580-1.11","5/45",1.31562740721488e-06,0.00157033287325168,0,0,31.0546875,420.517637806267,"SPOCK2;HP;S100A12;S100A9;CAMP",0,0,0,0,40,2
"11","LJP006 MDAMB231 3H-BI-2536-1.11","5/47",1.64082477217979e-06,0.00178044404370345,0,0,29.5729166666667,393.920462929962,"ARL4C;S100A12;S100A9;HOPX;S100A8",0,0,0,0,40,2
"12","LJP006 MCF7 3H-BI-2536-10","5/51",2.47949073757947e-06,0.00223658523036536,0,0,26.9959239130435,348.448736980243,"SLPI;RFTN1;RNASE2;S100A8;HOPX",0,0,0,0,40,2
"13","LJP008 A375 24H-decitabine-0.37","5/51",2.47949073757947e-06,0.00223658523036536,0,0,26.9959239130435,348.448736980243,"PRKCH;SPOCK2;S100A12;S100A9;S100A8",0,0,0,0,40,2
"14","LJP006 HCC515 24H-mitoxantrone-0.37","6/92",2.62334058521406e-06,0.00223658523036536,0,0,17.5116279069767,225.043016300753,"ARL4C;SLPI;S100A12;DBI;S100A9;S100A8",0,0,0,0,33.3333333333333,2
"15","LJP006 MCF10A 3H-AS-605240-10","6/94",2.97526114312977e-06,0.0023675144669598,0,0,17.1119102416571,217.752116469796,"ARL4C;AIM2;S100A12;RNASE2;FCGR2B;SH2B3",0,0,0,0,16.6666666666667,1
"16","LJP005 A549 24H-foretinib-0.37","5/54",3.30492560257296e-06,0.00246547449951943,0,0,25.3392857142857,319.784233374801,"HP;S100A9;CAMP;S100A8;HOPX",0,0,0,0,60,3
"17","LJP006 HME1 3H-BMS-387032-1.11","7/156",4.55066022152708e-06,0.00313327372696544,0,0,11.9051798313543,146.436548119217,"ARL4C;S100A12;NKG7;S100A9;S100A8;KLF2;HOPX",0,0,0,0,28.5714285714286,2
"18","LJP009 PC3 24H-SB-239063-10","5/58",4.72511118342644e-06,0.00313327372696544,0,0,23.4221698113208,287.217155473898,"IL32;SLPI;MAGED1;S100A9;S100A8",0,0,0,0,40,2
"19","LJP006 SKBR3 3H-radicicol-3.33","5/63",7.128561136682e-06,0.00442488256367318,0,0,21.3976293103448,253.591888573424,"ORM1;SLPI;TFF3;S100A12;S100A9",0,0,0,0,40,2
"20","LJP005 MCF7 24H-NVP-AUY922-0.12","6/110",7.4143474592379e-06,0.00442488256367318,0,0,14.4676241480039,170.892930447376,"RFTN1;TMEM109;S100A9;S100A8;HOPX;NME1",0,0,0,0,33.3333333333333,2
"21","LJP006 HT29 24H-nintedanib-1.11","4/31",8.75760073756829e-06,0.0049776534477912,0,0,36.3749428440786,423.607618944441,"ORM1;HP;EVL;S100A9",0,0,0,0,50,2
"22","LJP006 MCF7 3H-GSK-1059615-1.11","4/32",9.97634956823389e-06,0.0054126231112018,0,0,35.0740740740741,403.888250514336,"SLPI;RNASE3;HOPX;S100A8",0,0,0,0,25,1
"23","LJP005 MCF7 24H-neratinib-10","4/34",1.27830572460607e-05,0.00663385092560783,0,0,32.7325102880658,368.80995636123,"ITK;PRKCH;TNFSF10;EVL",0,0,0,0,0,0
"24","LJP006 HME1 3H-AT-7519-0.12","6/122",1.34361172627774e-05,0.00668222898535462,0,0,12.9631165429943,145.414591518338,"ARL4C;TFF3;RUNX3;S100A8;KLF2;HOPX",0,0,0,0,16.6666666666667,1
"25","CPC004 HCC515 24H-altrenogest-10.0","5/73",1.47348828686895e-05,0.00687676704496031,0,0,18.2417279411765,202.944566183452,"CDKN1C;CD81;TMEM109;ABHD5;BMX",0,0,0,0,0,0
"26","LJP007 HA1E 24H-dasatinib-3.33","6/125",1.54344863845438e-05,0.00687676704496031,0,0,12.6344005956813,139.975338796999,"IL32;ORM1;TFF3;KLF2;HOPX;NME1",0,0,0,0,16.6666666666667,1
"27","LJP005 MCF7 3H-mitoxantrone-3.33","5/74",1.57501492357527e-05,0.00687676704496031,0,0,17.9764492753623,198.795453440711,"SLPI;ARG1;NKG7;S100A9;S100A8",0,0,0,0,60,3
"28","LJP005 PC3 24H-CP466722-3.33","4/36",1.61318261778559e-05,0.00687676704496031,0,0,30.6836419753086,338.585289034998,"DBI;S100A9;S100A8;GNE",0,0,0,0,50,2
