"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP008 MCF7 24H-belinostat-0.04","7/39",2.6816657895667e-10,3.59799098986165e-06,0,0,55.7616185897436,1228.95332855707,"IL32;PRKCH;ARG1;S100A12;S100A9;HOPX;KLF2",0,0,0,0,28.5714285714286,2
"2","LJP006 MCF10A 24H-HG-5-88-01-10","9/113",1.22150326646019e-09,8.19445466304821e-06,0,0,22.5580718623482,462.963449389781,"IL32;SLPI;SP110;OAS2;TNFSF10;PRKCQ;S100A9;S100A8;KLF2",11.1111111111111,1,0,0,22.2222222222222,2
"3","LJP005 HS578T 24H-PF-431396-0.37","6/48",5.23968584156498e-08,0.000208931715613142,0,0,35.9367088607595,602.458052057439,"TFF3;S100A12;NKG7;RAB9A;PRKCQ;S100A9",16.6666666666667,1,0,0,16.6666666666667,1
"4","LJP006 HA1E 24H-saracatinib-1.11","7/83",6.22886533839582e-08,0.000208931715613142,0,0,23.4266194331984,388.682441388017,"IFIH1;ARL4C;SLPI;SP110;ARG1;OAS2;TNFSF10",0,0,0,0,14.2857142857143,1
"5","LJP006 HEPG2 24H-withaferin-a-3.33","8/144",1.79086920326497e-07,0.000480561842004123,0,0,15.1100076394194,234.739930491296,"ITK;AIM2;IL2RB;HP;S100A12;RUNX3;S100A9;KLF2",12.5,1,0,0,25,2
"6","LJP005 HS578T 24H-AZD-8330-10","7/114",5.5529369587219e-07,0.00124172925291953,0,0,16.6134675293554,239.296543289043,"CDKN1C;SLPI;TNFSF10;RAB9A;S100A9;PDIA5;S100A8",0,0,0,0,28.5714285714286,2
"7","LJP009 A549 24H-GSK-429286A-0.04","3/5",7.36266189869864e-07,0.00132933677117085,0,0,364.262195121951,5143.99201104737,"PRKCH;S100A9;S100A8",0,0,0,0,66.6666666666667,2
"8","LJP005 MDAMB231 3H-WH-4-025-3.33","5/41",8.17800021063762e-07,0.00132933677117085,0,0,34.5121527777778,483.744697320817,"IL32;ARL4C;RFTN1;PRKCQ;HOPX",20,1,0,0,0,0
"9","LJP006 HS578T 24H-PHA-793887-3.33","6/77",9.176717107003e-07,0.00132933677117085,0,0,21.227313246568,295.089926906074,"ARL4C;PRKCH;HP;S100A9;S100A8;HOPX",0,0,0,0,33.3333333333333,2
"10","LJP005 HS578T 24H-PD-184352-3.33","6/78",9.90785399993181e-07,0.00132933677117085,0,0,20.9314345991561,289.372224624368,"CDKN1C;IL32;RAB9A;S100A9;PDIA5;S100A8",0,0,0,0,33.3333333333333,2
"11","LJP008 HCC515 24H-CGP-60474-10","7/127",1.15355090794006e-06,0.00134981879240539,0,0,14.803952991453,202.409499207768,"ITK;UQCRQ;IRF1;TNFSF10;NDUFA1;NKG7;CD3E",14.2857142857143,1,0,0,0,0
"12","LJP005 HA1E 24H-HG-5-113-01-10","8/185",1.20726134820486e-06,0.00134981879240539,0,0,11.5858830435102,157.882636931505,"AIM2;S100A12;NKG7;RNASE3;RNASE2;RUNX3;S100A9;S100A8",0,0,0,0,37.5,3
"13","LJP005 HS578T 24H-AZD-8330-1.11","6/84",1.53645504164183e-06,0.00158573979182372,0,0,19.3154819863681,258.557673795673,"IL32;HP;TFF3;RAB9A;RUNX3;PDIA5",0,0,0,0,0,0
"14","LJP006 LNCAP 3H-JW-7-24-1-1.11","5/52",2.73414603832851e-06,0.00262028838544669,0,0,26.4202127659574,338.434772398523,"PRKCH;TFF3;NKG7;S100A9;S100A8",0,0,0,0,40,2
"15","LJP006 LNCAP 24H-HG-6-64-01-10","7/149",3.35778803947634e-06,0.0030034294750436,0,0,12.4964788732394,157.508470444592,"ARL4C;ARG1;HP;S100A12;RUNX3;S100A9;S100A8",0,0,0,0,42.8571428571429,3
"16","LJP006 LNCAP 24H-KIN001-043-10","7/157",4.7467989021425e-06,0.00390538447743398,0,0,11.8252136752137,144.953943214177,"IL32;SLPI;EDEM1;S100A12;RUNX3;S100A9;HOPX",0,0,0,0,14.2857142857143,1
"17","LJP005 HS578T 3H-mitoxantrone-0.12","4/27",4.94831453502106e-06,0.00390538447743398,0,0,42.7096081588835,521.760370767157,"TNFSF10;CTSW;S100A9;S100A8",0,0,0,0,50,2
"18","LJP006 A375 24H-geldanamycin-0.04","5/60",5.59457834228573e-06,0.00400108048128617,0,0,22.5681818181818,272.933104415295,"IL32;SLPI;RPS27L;S100A9;S100A8",0,0,0,0,40,2
"19","LJP007 HT29 24H-AZ-628-0.12","6/105",5.66598562602946e-06,0.00400108048128617,0,0,15.2021480629076,183.657602152068,"CDKN1C;HP;TNFSF10;TFF3;RPS27L;RNASE3",0,0,0,0,0,0
"20","LJP005 HS578T 24H-AZD-8330-0.37","6/107",6.31984461483213e-06,0.00420698470918755,0,0,14.8996114801354,178.375406163583,"CDKN1C;IL32;TFF3;S100A9;PDIA5;S100A8",0,0,0,0,33.3333333333333,2
"21","LJP006 BT20 24H-palbociclib-1.11","5/62",6.58468203718704e-06,0.00420698470918755,0,0,21.7741228070175,259.781931619284,"SLPI;MAGED1;TNFSF10;S100A9;S100A8",0,0,0,0,40,2
"22","LJP005 HS578T 24H-trametinib-1.11","6/110",7.4143474592379e-06,0.00430852490479032,0,0,14.4676241480039,170.892930447376,"IL32;RAB9A;EVL;S100A9;PDIA5;S100A8",0,0,0,0,33.3333333333333,2
"23","LJP006 BT20 3H-BMS-345541-1.11","4/30",7.65231343324421e-06,0.00430852490479032,0,0,37.7758784425451,445.018832179912,"ORM1;ARG1;HP;S100A12",0,0,0,0,50,2
"24","LJP005 HA1E 24H-XMD16-144-1.11","5/64",7.70698350711543e-06,0.00430852490479032,0,0,21.0338983050847,247.640155266568,"SLPI;UQCRQ;RNASE2;S100A9;S100A8",0,0,0,0,60,3
"25","LJP009 HEPG2 24H-PD-0325901-3.33","6/117",1.05734268538813e-05,0.00567454672394104,0,0,13.5504618542593,155.249899038407,"SLPI;MAGED1;TNFSF10;NDUFA1;RAB9A;DBI",0,0,0,0,0,0
"26","CPC014 A549 24H-c247-10.0","5/69",1.11726271475655e-05,0.00576550532457257,0,0,19.3857421875,221.037081048236,"DNMT1;EDEM1;TMEM109;DBI;FYN",0,0,0,0,0,0
"27","LJP006 HEPG2 24H-AZD-5438-10","7/182",1.24954495172528e-05,0.00620931282122149,0,0,10.1230769230769,114.291016618592,"CDKN1C;CD81;UQCRQ;NDUFA1;TMEM109;S100A9;PDIA5",0,0,0,0,14.2857142857143,1
"28","LJP006 HS578T 24H-selumetinib-1.11","5/74",1.57501492357527e-05,0.00754713401057477,0,0,17.9764492753623,198.795453440711,"CDKN1C;IL32;RPS27L;PDIA5;S100A8",0,0,0,0,20,1
"29","LJP005 HS578T 24H-AZD-8330-0.04","5/75",1.68191224210291e-05,0.00778145398354991,0,0,17.71875,194.782113846342,"CDKN1C;HP;TFF3;S100A9;S100A8",0,0,0,0,40,2
"30","LJP005 HS578T 24H-CYT387-10","5/76",1.79437863411347e-05,0.00780297440787539,0,0,17.4683098591549,190.898348376573,"HP;COX7C;S100A9;S100A8;HOPX",0,0,0,0,60,3
"31","LJP006 SKBR3 3H-JNK-9L-0.37","4/37",1.80287848732308e-05,0.00780297440787539,0,0,29.7523381967826,325.000883690946,"CDKN1C;CD81;TFF3;EVL",0,0,0,0,0,0
"32","LJP006 HS578T 3H-PI-103-1.11","4/38",2.0084748306733e-05,0.00792650654024143,0,0,28.8758169934641,312.307837333266,"CDKN1C;TNFSF10;TFF3;RNASE2",0,0,0,0,25,1
"33","LJP009 MCF7 24H-saracatinib-3.33","6/131",2.01516980447954e-05,0.00792650654024143,0,0,12.0243037974684,130.009442088649,"IL32;SLPI;S100A12;S100A9;S100A8;HOPX",0,0,0,0,33.3333333333333,2
"34","LJP005 HS578T 24H-dovitinib-0.12","5/78",2.0368325540666e-05,0.00792650654024143,0,0,16.9880136986301,183.496531678366,"HP;TFF3;S100A9;S100A8;HOPX",0,0,0,0,40,2
