"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP006 LNCAP 3H-BI-2536-1.11","4/36",4.19475351288503e-08,4.7278304004338e-05,0,0,155.84375,2647.29380673327,"S100P;TXN;S100A9;S100A8",0,0,0,0,100,4
"2","LJP006 A549 24H-BI-2536-0.12","5/101",4.33812532399848e-08,4.7278304004338e-05,0,0,69.0416666666667,1170.47983744374,"ARG1;S100P;TXN;S100A9;S100A8",0,0,0,0,100,5
"3","LJP005 MCF7 3H-GDC-0980-10","4/40",6.49146992195593e-08,4.7278304004338e-05,0,0,138.5,2292.20155718047,"ORM1;MMP9;S100A9;S100A8",0,0,0,0,100,4
"4","LJP006 HCC515 24H-sirolimus-1.11","4/41",7.18865484801717e-08,4.7278304004338e-05,0,0,134.75,2216.39180712185,"BCL2A1;ARG1;S100P;MMP9",25,1,0,0,75,3
"5","LJP006 HT29 24H-GDC-0941-0.37","4/41",7.18865484801717e-08,4.7278304004338e-05,0,0,134.75,2216.39180712185,"BCL2A1;MMP9;S100A9;S100A8",25,1,0,0,75,3
"6","LJP006 HEPG2 24H-A443654-0.12","5/114",7.97497396755771e-08,4.7278304004338e-05,0,0,60.7675840978593,993.208021885249,"ORM1;LY96;S100P;S100A9;S100A8",20,1,0,0,100,5
"7","LJP006 HME1 3H-dasatinib-3.33","5/127",1.36989164410111e-07,5.43454097059926e-05,0,0,54.2568306010929,857.440443808721,"BCL2A1;S100P;TXN;S100A9;S100A8",20,1,0,0,80,4
"8","LJP005 A375 24H-enzastaurin-3.33","4/48",1.37505956523456e-07,5.43454097059926e-05,0,0,113.272727272727,1789.66362330518,"ARG1;MMP9;S100A9;S100A8",0,0,0,0,100,4
"9","LJP005 A549 24H-YM-201636-0.37","4/48",1.37505956523456e-07,5.43454097059926e-05,0,0,113.272727272727,1789.66362330518,"S100P;MMP9;S100A9;S100A8",0,0,0,0,100,4
"10","LJP005 MCF7 3H-GDC-0980-0.37","4/52",1.90827366120302e-07,6.59919875089914e-05,0,0,103.8125,1606.17627200728,"S100P;MMP9;S100A9;S100A8",0,0,0,0,100,4
"11","LJP005 A549 24H-foretinib-0.37","4/54",2.22632513384284e-07,6.59919875089914e-05,0,0,99.65,1526.4131245133,"MMP9;S100A9;CAMP;S100A8",0,0,0,0,100,4
"12","LJP007 HT29 24H-PHA-767491-1.11","4/54",2.22632513384284e-07,6.59919875089914e-05,0,0,99.65,1526.4131245133,"ARG1;S100P;S100A9;S100A8",0,0,0,0,100,4
"13","LJP009 A375 24H-GSK-2334470-10","4/57",2.77543613439295e-07,7.59402025387363e-05,0,0,93.9952830188679,1419.07383493137,"S100P;MMP9;S100A9;S100A8",0,0,0,0,100,4
