"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 HA1E 24H-AS-601245-3.33","5/135",1.85880172487968e-07,0.00025279273720302,0,0,50.8974358974359,788.816788602097,"IL2RB;MMP9;S100A9;CAMP;S100A8",20,1,0,0,100,5
"2","LJP006 LNCAP 3H-PF-562271-3.33","4/52",1.90827366120302e-07,0.00025279273720302,0,0,103.8125,1606.17627200728,"BCL2A1;S100P;S100A9;S100A8",25,1,0,0,75,3
"3","LJP005 MDAMB231 3H-mitoxantrone-1.11","4/56",2.58232031405844e-07,0.00025279273720302,0,0,95.8076923076923,1453.34590801399,"S100P;MMP9;S100A9;S100A8",0,0,0,0,100,4
"4","LJP006 LNCAP 24H-HG-6-64-01-10","5/149",3.03928749267232e-07,0.00025279273720302,0,0,45.9166666666667,689.047197481011,"ARG1;LY96;S100P;S100A9;S100A8",20,1,0,0,100,5
"5","LJP006 HS578T 24H-AT-7519-0.37","5/174",6.56210398914058e-07,0.000436642399437414,0,0,39.0749506903353,556.301647222198,"ORM1;RNASE2;S100A9;CAMP;S100A8",0,0,0,0,100,5
"6","LJP005 SKBR3 24H-PF-477736-1.11","4/75",8.44221966100286e-07,0.000468121080202609,0,0,70.1021126760563,980.367557371156,"ORM1;S100P;MMP9;S100A9",0,0,0,0,100,4
"7","LJP006 BT20 3H-BMS-345541-10","4/85",1.39738883455737e-06,0.000664158950367483,0,0,61.4166666666667,827.952259867338,"ORM1;MMP9;S100A9;S100A8",0,0,0,0,100,4
"8","LJP006 MCF7 3H-NVP-TAE684-10","4/93",2.00473161430388e-06,0.00080700759967716,0,0,55.873595505618,733.061593392264,"ORM1;BCL2A1;ARG1;S100P",25,1,0,0,75,3
"9","LJP006 HS578T 24H-PD-0325901-3.33","4/95",2.18306834899142e-06,0.00080700759967716,0,0,54.6401098901099,712.221766309046,"ORM1;MMP9;S100A9;S100A8",0,0,0,0,100,4
"10","LJP005 HS578T 3H-mitoxantrone-0.12","3/27",2.46305875380829e-06,0.000810905943805328,0,0,146.735294117647,1894.95522794903,"S100P;S100A9;S100A8",0,0,0,0,100,3
