"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP009 A375 24H-SB-203580-1.11","14/45",1.37456278547839e-13,3.45331408595736e-09,0,0,22.715316361224,672.724781652286,"IL1R2;DEFA4;HP;AZU1;OLFM4;TCN1;CEACAM6;SPOCK2;LCN2;S100P;CEACAM8;CD24;S100A9;CAMP",7.14285714285714,1,0,0,28.5714285714286,4
"2","LJP007 A375 24H-KIN001-266-10","16/75",1.58765272802689e-12,1.99432997431097e-08,0,0,13.6910611833749,371.969216527865,"FCN1;IGSF6;PGAM1;GZMA;TRAC;PRF1;GZMB;OLFM4;NELL2;GNLY;LCK;CCL5;TRBC1;RPS6KA1;IL2RB;CCR7",6.25,1,0,0,6.25,1
"3","LJP008 HCC515 24H-IOX2-10","12/37",4.47555295185186e-12,3.74797722697914e-08,0,0,24.0270076726343,627.883164039088,"FCN1;CD52;CCND2;FCER1G;TYROBP;GZMA;C5AR1;GZMB;MNDA;CST7;CCL18;GBP1",0,0,0,0,0,0
"4","LJP007 HA1E 24H-BMS509744-10","15/72",1.14852420228674e-11,7.21359338351242e-08,0,0,13.2528486163863,333.838702771216,"ITK;CXCL9;SERPINA1;TRAF3IP3;F13A1;CST7;AIF1;GLIPR1;FCGR2A;CCL5;TRBC1;ALOX5AP;LCN2;LCP1;GBP1",13.3333333333333,2,0,0,0,0
"5","LJP006 HCC515 24H-WZ-4-145-0.37","11/40",2.65511624140648e-10,1.3340897066571e-06,0,0,18.9345531315975,417.494825662975,"GZMK;STK10;KLRK1;CD8A;PGAM1;GZMA;NKG7;CST7;CD24;GBP1;GZMH",0,0,0,0,0,0
"6","LJP008 A375 24H-AZ20-1.11","10/32",4.28827685974413e-10,1.52856673131258e-06,0,0,22.6405274115198,488.355405177314,"CX3CR1;CEACAM1;MS4A3;SERPINA1;ANXA3;DEFA4;RPS6KA1;BPI;CEACAM8;CD24",10,1,0,0,0,0
"7","LJP006 MCF10A 24H-AT-7519-0.37","13/66",5.78892337801532e-10,1.52856673131258e-06,0,0,12.2918238993711,261.44592170848,"COX7B;NDUFB6;TXN;MMP9;CEACAM1;CEACAM6;TCN1;SUB1;SNRPG;LCN2;UPP1;SLIRP;CD24",7.69230769230769,1,0,0,15.3846153846154,2
"8","LJP005 A549 24H-foretinib-0.37","12/54",6.08433201175248e-10,1.52856673131258e-06,0,0,14.2893679210815,303.222301856861,"CCND2;CEACAM6;CRISP3;DEFA4;HP;BPI;CEACAM8;MMP9;S100A9;CAMP;ELANE;HOPX",0,0,0,0,25,3
"9","LJP006 MCF10A 3H-BMS-387032-0.12","12/54",6.08433201175248e-10,1.52856673131258e-06,0,0,14.2893679210815,303.222301856861,"ITGAM;RYBP;ANXA3;CCL5;HSPA6;LCN2;NKG7;MNDA;TARP;CD24;S100A9;GZMH",16.6666666666667,2,0,0,8.33333333333333,1
"10","LJP006 PC3 24H-MK-2206-1.11","12/54",6.08433201175248e-10,1.52856673131258e-06,0,0,14.2893679210815,303.222301856861,"GLIPR1;TYROBP;BASP1;ANXA3;ARG1;LST1;FGL2;RNASE6;CYBB;MNDA;CD24;S100A9",8.33333333333333,1,0,0,16.6666666666667,2
