"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","LJP005 HA1E 24H-AS-601245-3.33","23/135",3.56476476912231e-15,9.18105166287451e-11,0,0,10.5299577067669,350.307245781817,"CXCL9;FCER1G;DEFA4;GZMA;ITGB2;PRF1;F13A1;AZU1;CST7;MMP9;CD2;GZMK;TYROBP;KLRK1;PTPRC;CD8A;LCK;CCL5;TRBC1;IL2RB;S100A9;ELANE;CAMP",13.0434782608696,3,0,0,17.3913043478261,4
"2","LJP005 PC3 24H-WZ-3105-0.37","25/188",8.30385079980684e-14,1.06932838674513e-09,0,0,7.88538319213166,237.503577814602,"CXCL9;ORM1;MS4A3;SERPINA1;NCF4;C5AR1;HP;F13A1;SLC2A3;CST7;CCL5;ELANE;RPS5;DEFA4;AZU1;OLFM4;RUNX3;MMP9;BST1;TYROBP;PTPRC;BPI;MNDA;CEACAM8;CD24",4,1,0,0,8,2
"3","LJP006 HS578T 24H-AT-7519-0.37","23/174",9.49843799394675e-13,8.15440901780329e-09,0,0,7.79466713140467,215.775707973016,"ORM1;MS4A3;SERPINA1;NCF2;DEFA4;C5AR1;F13A1;RNASE2;CD3D;AIF1;CTSS;GLIPR1;TYROBP;FCGR3B;CEACAM6;TRBC1;LCN2;BPI;MNDA;CEACAM8;S100A9;ELANE;CAMP",8.69565217391304,2,0,0,17.3913043478261,4
"4","LJP006 HCC515 24H-CGP-60474-10","25/221",3.34072389831014e-12,1.798222342045e-08,0,0,6.54660673793327,172.992993670976,"TRAC;COX17;ITGB2;FGL2;NDUFB2;F13A1;LY96;CTSW;AIF1;CTSS;FCGR3B;GNLY;CCL5;TRBC1;CCL18;CTBS;FCER1G;CYBB;TYROBP;CEACAM6;LCK;ALOX5AP;PECAM1;HCLS1;FBP1",8,2,0,0,4,1
"5","LJP005 HA1E 24H-HG-5-113-01-10","23/185",3.49101600086392e-12,1.798222342045e-08,0,0,7.2612897985705,191.558839444251,"CX3CR1;CXCL9;MS4A3;FCER1G;DEFA4;GZMA;LST1;PLEK;PRF1;NKG7;GZMB;RNASE3;AZU1;RNASE2;CST7;RUNX3;CCND2;GNLY;CCL5;FAM53C;MNDA;S100A9;ELANE",4.34782608695652,1,0,0,8.69565217391304,2
"6","LJP005 PC3 24H-WZ-3105-1.11","22/174",7.39010703370592e-12,3.17220344421826e-08,0,0,7.38689736151402,189.332671701129,"CD52;CXCL9;ORM1;MS4A3;SERPINA1;TRDV3;DEFA4;NCF4;C5AR1;HSPA6;F13A1;SLC2A3;AZU1;OLFM4;MMP9;PTPRC;CLEC7A;CCL5;BPI;CEACAM8;CD24;ELANE",4.54545454545455,1,0,0,9.09090909090909,2
"7","LJP008 HA1E 24H-olaparib-10","22/177",1.04380263638048e-11,3.84044812856847e-08,0,0,7.24280755228177,183.138485469364,"CD53;CD52;CXCL9;KLRB1;IL10RB;GZMA;TRAC;ITGB2;OLFM4;CD3D;NELL2;CCND2;TYROBP;PTPRC;LCK;CCL5;TRBC1;ALOX5AP;HCLS1;LCP2;MNDA;ELANE",9.09090909090909,2,0,0,0,0
"8","LJP005 MDAMB231 3H-torin-2-0.04","14/65",3.4844923166336e-11,1.12178874518623e-07,0,0,13.7932355461465,332.142679773851,"DENND2D;GZMA;PRF1;GZMB;NKG7;GZMH;GZMK;CCND2;KLRK1;VNN1;GNLY;LCK;CD8A;CCL5",0,0,0,0,0,0
"9","LJP006 HA1E 24H-QL-XII-47-10","22/190",4.30364504072691e-11,1.23155975582135e-07,0,0,6.67788401449819,159.394237749606,"CXCL9;SERPINA1;FCER1G;NCF2;IL1R2;IL10RA;HSPA6;FGL2;RNASE6;F13A1;SLC2A3;MMP9;AIF1;NELL2;MS4A6A;GNLY;TRBC1;IL2RB;MNDA;CD14;MCTP2;CCL18",9.09090909090909,2,0,0,13.6363636363636,3
"10","LJP005 HA1E 24H-PF-431396-10","22/193",5.86654971943693e-11,1.40225453331135e-07,0,0,6.55971512332888,154.541439438536,"CXCL9;FCER1G;GZMA;PRF1;F13A1;GZMB;AZU1;CST7;RASGRP1;MMP9;CD2;GZMK;CD4;TYROBP;PTPRC;GNLY;CD8A;CCL5;TRBC1;FBP1;ELANE;CAMP",13.6363636363636,3,0,0,9.09090909090909,2
"11","LJP006 HS578T 24H-AZD-7762-1.11","18/124",5.98905061790908e-11,1.40225453331135e-07,0,0,8.59686351384465,202.357298624576,"CSF1R;MS4A3;NCF2;C5AR1;FGL2;F13A1;AIF1;FABP1;MS4A6A;CEACAM1;TYROBP;VNN1;CLEC7A;CEACAM6;MKNK1;MNDA;CD14;S100A9",5.55555555555556,1,0,0,5.55555555555556,1
"12","LJP006 HS578T 24H-BMS-387032-3.33","22/199",1.07098557301142e-10,2.29860278607576e-07,0,0,6.33539451636342,145.443372663231,"CSF1R;SERPINA1;FCER1G;NCF2;FGL2;F13A1;CD3D;MMP9;FABP1;CD4;VNN1;TYROBP;PTPRC;FCGR3B;CEACAM6;CD8A;CLEC7A;LCN2;CYCS;CTBS;S100A9;CAMP",13.6363636363636,3,0,0,13.6363636363636,3
"13","LJP008 HCC515 24H-CGP-60474-1.11","18/129",1.1731096895921e-10,2.32411077349574e-07,0,0,8.20751140751141,187.674538684295,"ITK;CD52;TRAC;NKG7;TARP;CD3E;CD3D;CD2;TYROBP;FCGR3B;CD8A;CCL5;TRBC1;IL2RB;LCN2;CCR7;FYN;GBP1",22.2222222222222,4,0,0,5.55555555555556,1
"14","LJP006 HCC515 24H-A443654-10","22/203",1.57984250530505e-10,2.90634598029512e-07,0,0,6.19410971418628,139.791924694783,"FCER1G;RPS5;TRAC;NDUFB2;F13A1;CTSW;UQCR11;CSF2RB;DBI;CST7;AIF1;MMP9;CTSS;TYROBP;NDUFS7;CLEC7A;UQCRQ;CCL5;TRBC1;ALOX5AP;CCL18;CTBS",0,0,0,0,4.54545454545455,1
"15","LJP005 HEPG2 24H-AS-601245-10","17/118",2.31824878604173e-10,3.98043316563365e-07,0,0,8.50130816190427,188.601851957295,"CD52;SERPINA1;TRDV3;CRISP3;C5AR1;AZU1;OLFM4;TARP;CD3D;MMP9;TYROBP;CLEC7A;CEACAM6;TRBC1;LCN2;S100A9;ELANE",5.88235294117647,1,0,0,11.7647058823529,2
"16","LJP006 HCC515 24H-A443654-3.33","22/211",3.34211669568334e-10,5.37976346858278e-07,0,0,5.92948103709259,129.376808854335,"CCR1;IGBP1;CXCL9;FCER1G;CRISP3;LST1;PLEK;FGL2;F13A1;CYBB;NKG7;CTSW;RNASE3;AZU1;RNASE2;CST7;AIF1;CCND2;GNLY;CCL5;TRBC1;ELANE",4.54545454545455,1,0,0,4.54545454545455,1
"17","LJP009 HEPG2 24H-PF-3758309-10","19/156",3.8885024681892e-10,5.89108123930664e-07,0,0,7.02820863746959,152.286007583737,"CXCL9;SERPINA1;ITGAM;FCER1G;TRDV3;GZMA;FGL2;PRF1;NDUFA1;NKG7;CTSW;TARP;TYROBP;BASP1;GNLY;CCL5;IL2RB;CD14;GBP1",5.26315789473684,1,0,0,5.26315789473684,1
"18","LJP009 HCC515 24H-ponatinib-0.12","10/34",8.40847838595349e-10,1.15309352104964e-06,0,0,20.7516963528414,433.640113854782,"MS4A3;CCND2;PRKCH;BASP1;CEACAM6;DEFA4;ALOX5AP;RNASE3;FBP1;ELANE",0,0,0,0,0,0
"19","LJP005 A375 24H-WZ-3105-1.11","20/182",8.5066111046178e-10,1.15309352104964e-06,0,0,6.26470683041614,130.838447833868,"CD52;CXCL9;ORM1;SERPINA1;FCER1G;NCF2;TRDV3;DEFA4;IL10RA;FGL2;F13A1;CYBB;MMP9;CTSS;TYROBP;VNN1;PTPRC;CLEC7A;CCL5;TRBC1",10,2,0,0,10,2
"20","LJP007 MCF7 24H-tivantinib-10","17/129",9.6011257056062e-10,1.23638496273944e-06,0,0,7.66203275351591,159.094222656624,"GZMA;TRAC;PRF1;NKG7;GZMB;CTSW;TARP;CST7;MMP9;GLIPR1;CCND2;KLRK1;CD8A;CCL5;TRBC1;LCN2;GBP1",5.88235294117647,1,0,0,5.88235294117647,1
"21","LJP006 LNCAP 24H-HG-6-64-01-10","18/149",1.29384601432949e-09,1.58680971900267e-06,0,0,6.94731833052444,142.181362101561,"CX3CR1;ITGAM;FCER1G;NCF2;ARG1;DEFA4;CRISP3;HP;SARS;LY96;RUNX3;AIF1;LCN2;BPI;S100P;CEACAM8;CD24;S100A9",16.6666666666667,3,0,0,22.2222222222222,4
"22","LJP006 HCC515 24H-BMS-387032-10","20/187",1.37472130901636e-09,1.60936124153256e-06,0,0,6.07557730492019,123.972244890588,"FCER1G;RPS5;F13A1;CYBB;NKG7;CSF2RB;CST7;CD3D;MMP9;AIF1;TYROBP;PTPRC;FCGR3B;CD8A;CLEC7A;GNLY;CCL5;TRBC1;ALOX5AP;LCN2",10,2,0,0,5,1
"23","LJP006 HS578T 24H-CGP-60474-10","19/169",1.53459472168288e-09,1.71841248073663e-06,0,0,6.41480902777778,130.188546112252,"SERPINA1;FCER1G;LST1;FGL2;F13A1;CD3D;MMP9;AIF1;CTSS;CD2;CD4;TYROBP;VNN1;CLEC7A;TRBC1;LCN2;S100A9;FCGR2C;CAMP",10.5263157894737,2,0,0,15.7894736842105,3
"24","LJP009 PC3 24H-VX-745-1.11","11/47",1.76252158364944e-09,1.89140597445381e-06,0,0,15.2473781179138,307.334087093355,"GLIPR1;CEACAM1;ITGAM;PTPRC;ARG1;PRKCB;LCK;DEFA4;TRBC1;CEACAM8;RPS11",9.09090909090909,1,0,0,9.09090909090909,1
"25","LJP005 A375 24H-AS-601245-3.33","13/76",3.60323231025587e-09,3.7120499260256e-06,0,0,10.3354497354497,200.935969373605,"CX3CR1;CXCL9;NCF2;IL10RA;HP;PRF1;GZMB;NKG7;SLC2A3;MKNK1;CCL5;LCN2;CD14",15.3846153846154,2,0,0,0,0
"26","LJP006 HCC515 24H-alvocidib-10","21/221",4.58337943935828e-09,4.54018990233356e-06,0,0,5.33163612565445,102.371834829469,"SERPINA1;FCER1G;TRAC;F13A1;CYBB;NKG7;CTSW;CST7;AIF1;PDIA6;MMP9;TYROBP;PTPRC;GNLY;CEACAM6;CD8A;CCL5;TRBC1;ALOX5AP;LCN2;CTBS",9.52380952380952,2,0,0,4.76190476190476,1
"27","LJP006 HS578T 24H-celastrol-3.33","20/201",4.85609264146582e-09,4.63217281410935e-06,0,0,5.60160408522424,107.231684605887,"FCER1G;NCF2;IL1R2;IL10RA;C5AR1;HSPA6;FGL2;F13A1;SLC2A3;FABP1;CEACAM1;RYBP;FCGR3B;CEACAM6;LCN2;MNDA;S100P;ERG;CD24;S100A9",10,2,0,0,15,3
"28","LJP006 HEPG2 24H-withaferin-a-3.33","17/144",5.3299263932848e-09,4.90258050925179e-06,0,0,6.75186650891436,128.622573620284,"ITK;NCF2;DEFA4;GZMA;C5AR1;HSPA6;HP;F13A1;RUNX3;NELL2;FCGR3B;GNLY;IL2RB;LCN2;CCR7;S100P;S100A9",17.6470588235294,3,0,0,17.6470588235294,3
"29","LJP006 LNCAP 24H-HG-6-64-01-0.37","11/52",5.58436040876106e-09,4.9594897354359e-06,0,0,13.3845196615231,254.34998801489,"MS4A6A;FCER1G;BASP1;F13A1;CYBB;LY96;MNDA;CD14;S100A9;AIF1;CTSS",9.09090909090909,1,0,0,18.1818181818182,2
"30","LJP008 HCC515 24H-CGP-60474-10","16/127",5.83947847105634e-09,5.01319226740187e-06,0,0,7.25786251367647,137.599088958931,"ITK;CXCL9;PRF1;NDUFA1;NKG7;CD3E;CST7;CD3D;GZMH;TYROBP;PTPRC;FCGR3B;CD8A;UQCRQ;CCL5;TRBC1",12.5,2,0,0,0,0
"31","LJP006 HS578T 24H-withaferin-a-10","18/167",8.15870631813772e-09,6.73683909678555e-06,0,0,6.10239693192713,113.652140234082,"CXCL9;FCER1G;ARG1;IL10RA;C5AR1;HSPA6;FGL2;HP;F13A1;SLC2A3;LRMP;FABP1;MS4A6A;TYROBP;CCR7;MNDA;S100P;CD14",0,0,0,0,11.1111111111111,2
