"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Vecuronium Bromide-0.05 mg/kg in Saline-Rat-Liver-1d-dn","48/340",1.42728076113867e-22,1.12412632747282e-18,0,0,6.98557400897078,351.382063611079,"TRAM1;COX7B;CPB2;NDUFB8;NEDD8;MRPL15;PARK7;RPL10A;PSMB10;ASGR2;EEF1B2;PSMB7;TMEM147;RPS19;PSMB3;PRDX1;PGK1;RPS11;NDUFV2;RPL39;DECR1;BTF3;FGB;RPL21;HSPA5;HSBP1;RPS8;RPL23;RPS5;RPSA;RPS3A;EEF2;DNAJC15;HSPE1;F5;FABP1;PSMA6;COX7A2L;PSMA4;SLPI;PSMA2;PSMC2;JTB;NDUFS2;RPS20;RPL29;CNOT8;PFDN5",0,0,0,0,4.16666666666667,2
"2","Stavudine-1400 mg/kg in Water-Rat-Liver-3d-up","44/319",2.30085970650743e-20,9.06078552422628e-17,0,0,6.74561403508772,305.026001994884,"COX7B;ORM1;SLC25A3;HP;NEDD8;MRPL15;PARK7;YBX1;RPL10A;CLU;PSMB10;EEF1B2;PSMB7;SNX2;RPS19;PSMB3;PRDX1;TIMM17A;RPS11;NDUFV2;RPL39;DECR1;BTF3;FGB;HSPA8;RPL21;HSBP1;RPS8;RPL23;RPS5;RPSA;RPS3A;HSPE1;FABP1;EEF1G;PSMA6;PSMA4;SLPI;PSMA2;VDAC3;NDUFS2;SUCLG1;RPS20;RPL29",0,0,0,0,4.54545454545455,2
"3","Carbon Tetrachloride-3178 mg/kg in Saline-Rat-Liver-1d-up","44/326",5.46668115334922e-20,1.43518602545928e-16,0,0,6.57577454273983,291.655526643958,"TRAM1;ORM1;CXCL9;SLC25A3;HP;RPL10A;PHB2;CLU;PSMB10;EEF1B2;PSMB7;TMEM147;RPS19;PSMB3;PRDX1;PGK1;CD14;RPS11;PCK1;RPL39;BTF3;FGB;HSPA8;HSPA5;TMEM50A;RPS8;RPL23;RPS5;RPSA;RPS3A;DYNLL1;HSPE1;EEF1G;PSMA6;PSMA4;SLPI;TCP1;PSMC2;VDAC3;LCN2;RPS20;RPL29;CNOT8;S100A9",2.27272727272727,1,0,0,6.81818181818182,3
"4","Cytarabine-487 mg/kg in Saline-Rat-Spleen-1d-up","44/329",7.86419698388525e-20,1.54846038612701e-16,0,0,6.50554016620499,286.174687769841,"C1QA;TRAM1;COX7B;SLC25A3;NDUFB8;HMGB1;YBX1;RPL10A;IL2RG;PHB2;CLU;PSMB10;EEF1B2;PSMB7;RPS19;PSMB2;PSMB3;PRDX1;PGK1;RPS11;RPL39;CD53;HSPA8;RPL21;HSPA5;HSBP1;RPL23;RPS5;RPSA;DEK;DYNLL1;HSPE1;EEF1G;PSMA6;COX7A2L;PSMA4;SLPI;PSMA2;SUB1;PSMC2;SUCLG1;RPS20;RPL29;PFDN5",0,0,0,0,4.54545454545455,2
"5","Stavudine-1400 mg/kg in Water-Rat-Liver-1d-up","42/302",1.27108276475682e-19,1.68311301181056e-16,0,0,6.78602620087336,295.254894594083,"ORM1;SLC25A3;NDUFB8;HP;NEDD8;CAPG;CXCL1;RPL10A;PHB2;PSMB10;EEF1B2;PSMB7;RPS19;PSMB3;PRDX1;PGK1;RPS11;PCK1;RPL39;BTF3;CD53;HSPA8;RPL21;HSPA5;TMEM50A;RPS8;RPL23;RPS5;RPSA;RPS3A;DNAJC15;HSPE1;PSMA6;COX7A2L;PSMA4;SUB1;TCP1;PSMC2;LCN2;RPS20;RPL29;PFDN5",2.38095238095238,1,0,0,7.14285714285714,3
"6","Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","45/349",1.28220899833207e-19,1.68311301181056e-16,0,0,6.24508386350492,271.664472922977,"C1QA;COX7B;ALAS2;NDUFB8;ALOX15;PIK3CD;PRCP;RPL10A;IL2RG;PHB2;PSMB10;EEF1B2;PSMB7;SNX2;XPO1;HLA-DMB;RPS19;PSMB3;PRDX1;PGK1;PGLS;RPL39;HMGN3;BTF3;CD53;HSPA8;HSPA5;TMEM50A;RPS8;RPL23;RPL13A;RPSA;RPS3A;DEK;EEF2;EEF1G;PSMA6;COX7A2L;SUB1;TCP1;RPS20;LCP1;RPL29;CNOT8;PFDN5",0,0,0,0,4.44444444444444,2
"7","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","43/320",1.75088559241812e-19,1.96999641798359e-16,0,0,6.52970637259162,282.011456230863,"C1QA;TRAM1;SLC25A3;HP;PIK3CD;CAPG;PARK7;YBX1;RPL10A;PSMB10;EEF1B2;SNX2;HLA-DMB;TMEM147;PRDX1;PGK1;CD14;RPS11;PGLYRP1;RPL39;BTF3;CD53;HSPA5;HSBP1;RPS8;RPL23;RPS5;TNFSF13;RPSA;MMP9;EEF1G;PSMA6;COX7A2L;PSMA4;SLPI;SUB1;LCN2;RPS20;LCP1;RPL29;CNOT8;S100A9;PFDN5",2.32558139534884,1,0,0,11.6279069767442,5
"8","Imatinib-150 mg/kg in Water-Rat-Liver-1d-dn","43/322",2.22905024468202e-19,2.08111975022727e-16,0,0,6.48222394767182,278.39557987475,"C1QA;IDI1;COX7B;NDUFB8;MRPL18;NEDD8;MRPL15;PARK7;RPL10A;PHB2;PSMB10;EEF1B2;PSMB7;RPS19;PSMB3;PRDX1;PGK1;CD14;RPS11;NDUFV2;RPL39;BTF3;FGB;HSPA8;HSPA5;RPS8;RPL23;RPS5;RPSA;RPS3A;EEF2;DNAJC15;HSPE1;FABP1;PSMA6;COX7A2L;PSMA4;PSMA2;SUB1;VDAC3;SUCLG1;RPS20;PFDN5",0,0,0,0,4.65116279069767,2
"9","Melphalan-12 mg/kg in CMC-Rat-Bone marrow-5d-dn","42/307",2.37812058812156e-19,2.08111975022727e-16,0,0,6.65625772431408,285.439010408473,"TRAM1;COX7B;SLC25A3;MRPL18;ALOX15;HP;NEDD8;YBX1;RPL10A;IL2RG;PHB2;PSMB7;RPS19;PRDX1;PGK1;PGLS;RPS11;PGLYRP1;RPL39;BTF3;CD53;HSPA8;HSPA5;RPS8;RPL23;RPS5;RPSA;DEK;DYNLL1;HSPE1;MMP9;EEF1G;PSMA6;SLPI;SUB1;VDAC3;LCN2;JTB;RPS20;LCP1;RPL29;S100A9",2.38095238095238,1,0,0,9.52380952380952,4
"10","Miconazole-920 mg/kg in Corn Oil-Rat-Liver-5d-up","41/298",5.25206112267483e-19,4.00566590352071e-16,0,0,6.68822427371294,281.510678193759,"ORM1;CXCL9;NEDD8;RPL10A;CLU;EEF1B2;PSMB7;RPS19;PSMB2;PSMB3;PRDX1;CD14;RPS11;RPL39;HMGN3;BTF3;HSPA8;RPL21;HSPA5;TMEM50A;RPS8;RPL23;RPS5;RPL13A;RPSA;RPS3A;DNAJC15;HSPE1;EEF1G;PSMA6;COX7A2L;PSMA4;PSMA2;SUB1;TCP1;PSMC2;VDAC3;LCN2;RPS20;RPL29;PFDN5",2.4390243902439,1,0,0,7.31707317073171,3
