"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Melphalan-12 mg/kg in CMC-Rat-Bone marrow-5d-dn","43/307",1.4390668137789e-19,1.13340902253226e-15,0,0,5.3975008315917,234.171231584469,"COX7B;ATP5A1;ALOX15;HP;HMGB2;NEDD8;YBX1;ATP5G3;ATP5O;RPL10A;ATP5G2;PHB2;COX5A;RPL6;SEP15;PSMB7;PRDX1;POLR2G;OSTF1;PGLYRP1;NFE2;NPM1;UBE2B;RPL23;RPS5;RPSA;DEK;DYNLL1;MMP9;GNB2L1;SOD1;BST1;PSMA6;CEACAM1;SLPI;PSMA1;SUB1;LCN2;CYCS;CD48;RPL29;S100A9;RAN",2.32558139534884,1,0,0,6.97674418604651,3
"2","Itraconazole-30 mg/kg in Corn Oil-Rat-Liver-0.25d-up","43/309",1.85263770651329e-19,7.29568728824933e-16,0,0,5.36256555112832,231.300892718304,"COX7B;ORM1;NDUFB11;NDUFB5;ATP5A1;HP;NEDD8;YBX1;ATP5G3;ATP5O;RPL10A;PHB2;COX5A;TOMM20;BZW1;RPL6;UQCRH;SEP15;EEF1B2;SEPHS2;NPM1;RPL21;UBE2B;ARG1;RPL23;RPS5;RPSA;TBCA;DYNLL1;EIF2S2;GNB2L1;DHDDS;TUBB2C;PSMA6;PSMA4;PSMA1;PSMA2;SUB1;CCNG1;VDAC2;CYCS;RPL29;RAN",0,0,0,0,4.65116279069767,2
"3","Cisplatin-1.17 mg/kg in Saline-Rat-Bone marrow-3d-dn","42/297",2.69115196650885e-19,7.06517096274123e-16,0,0,5.44948521827135,233.015341836265,"COX7B;ATP5A1;HP;ATP5C1;HMGB1;YBX1;RPL10A;ATP5G2;BZW1;RPL6;UQCRH;EEF1B2;PSMB7;PRDX1;POLR2G;OSTF1;PGLYRP1;NPM1;RPL21;UBE2B;RPL23;RPS5;RPL35A;RPSA;NAP1L1;TBCA;DYNLL1;EIF2S2;MMP9;GNB2L1;SOD1;PSMA6;COX7A2L;PSMA4;PSMA1;PSMA2;SUB1;PSMC2;LCN2;RPL29;PFDN5;RAN",2.38095238095238,1,0,0,7.14285714285714,3
"4","Cytarabine-487 mg/kg in Saline-Rat-Spleen-1d-up","43/329",2.07482206674457e-18,4.08532464942006e-15,0,0,5.03657372431201,205.072441135771,"COX7B;NDUFB8;NDUFB5;ITGB2;ATP5C1;HMGB1;YBX1;ATP5G3;ATP5O;RPL10A;ATP5G2;PHB2;BZW1;SEP15;EEF1B2;PSMB7;PRDX1;OSTF1;NPM1;RPL21;RPL23;RPS5;RPL35A;RPSA;TBCA;DEK;DYNLL1;EIF2S2;GNB2L1;SOD1;PSMA6;COX7A2L;PSMA4;PTPRC;SLPI;PSMA1;PSMA2;SUB1;PSMC2;CYCS;CD48;RPL29;PFDN5",2.32558139534884,1,0,0,2.32558139534884,1
"5","Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-1d-up","44/350",3.71012499092083e-18,5.84418888569849e-15,0,0,4.84448114505918,194.435508806264,"COX7B;NDUFB5;ATP5A1;ATP5C1;NEDD8;YBX1;ATP5G3;ATP5O;RPL10A;ATP5G2;PHB2;COX5A;BZW1;RPL6;UQCRH;SEP15;EEF1B2;PSMB7;PRDX1;OSTF1;NPM1;RPL23;RPS5;RPL35A;RPSA;DYNLL1;EEF2;GNB2L1;F5;SOD1;PSMA6;PSMA4;TYROBP;PTPRC;KARS;SLPI;PSMA1;SUB1;CCNG1;CYCS;CD48;RPL29;PFDN5;RAN",2.27272727272727,1,0,0,2.27272727272727,1
"6","1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Liver-3d-up","43/336",4.6228474395049e-18,6.06825773892343e-15,0,0,4.93164510505551,196.849182915801,"TSEN34;COX7B;ORM1;NDUFB5;ATP5A1;HP;ATP5C1;NEDD8;HMGB1;ATP5O;RPL10A;RPL6;UQCRH;SEP15;EEF1B2;PSMB7;PRDX1;OSTF1;SLC34A2;NPM1;YIPF1;RPL23;RPS5;RPL35A;RPSA;TBCA;DYNLL1;EIF2S2;GNB2L1;SOD1;TUBB2C;PSMA6;COX7A2L;PSMA4;TYROBP;PSMA2;SUB1;PSMC2;CCNG1;LCN2;VDAC2;PFDN5;RAN",2.32558139534884,1,0,0,4.65116279069767,2
"7","Catechol-40 mg/kg in Saline-Rat-Bone marrow-1d-dn","41/307",6.0346300603725e-18,6.78982090792768e-15,0,0,5.14645428128511,204.051853907253,"COX7B;ALAS2;ATP5A1;HMGB2;ATP5C1;PARK7;HMGB1;ATP5G3;RPL10A;PHB2;BZW1;RPL6;UQCRH;SEP15;EEF1B2;POLR2G;OSTF1;NFE2;NPM1;UBE2B;RPL23;RPS5;RPSA;TBCA;DEK;EEF2;EIF2S2;GNB2L1;SOD1;TUBB2C;PSMA6;COX7A2L;PSMA4;TYROBP;SUB1;SERBP1;VDAC2;CYCS;CD48;S100A9;RAN",0,0,0,0,2.4390243902439,1
"8","Miconazole-920 mg/kg in Corn Oil-Rat-Liver-5d-up","40/298",1.2961159340782e-17,1.27602613709998e-14,0,0,5.1725698620217,201.133178320013,"ORM1;ATP5A1;NEDD8;RPL10A;BZW1;RPL6;UQCRH;SEP15;EEF1B2;PSMB7;PRDX1;HMGN3;CCT2;NPM1;RPL21;UBE2B;RPL23;RPS5;RPL35A;RPSA;NAP1L1;TBCA;GNB2L1;SOD1;TUBB2C;PSMA6;COX7A2L;PSMA4;TYROBP;PSMA1;PSMA2;SUB1;PSMC2;CCNG1;LCN2;VDAC2;CYCS;RPL29;PFDN5;RAN",2.5,1,0,0,5,2
"9","Pentamidine-18 mg/kg in Saline-Rat-Bone marrow-3d-dn","47/416",1.92524871867372e-17,1.68480654536381e-14,0,0,4.35378686823774,167.57243002436,"ALAS2;NDUFB8;NDUFB11;ATP5A1;HP;HMGB2;ATP5C1;NEDD8;HMGB1;ATP5G3;RPL10A;ATP5O;ATP5G2;BZW1;COX5A;RPL6;UQCRH;SEP15;EEF1B2;PSMB7;PRDX1;POLR2G;PGLYRP1;NFE2;DUT;NPM1;UBE2B;RPL23;RPS5;RPSA;NAP1L1;EEF2;EIF2S2;MMP9;GNB2L1;SOD1;PSMA6;BST1;PSMA1;SUB1;CDC42EP3;PSMC2;LCN2;RPL29;S100A9;PFDN5;RAN",2.12765957446809,1,0,0,8.51063829787234,4
"10","Stavudine-1400 mg/kg in Water-Rat-Liver-1d-up","40/302",2.08592225238066e-17,1.64287236597501e-14,0,0,5.10405900292207,196.040452200054,"ORM1;NDUFB8;HP;NEDD8;RPL10A;ATP5G2;PHB2;COX5A;BZW1;RPL6;SEP15;EEF1B2;PSMB7;PRDX1;POLR2G;OSTF1;TGM2;NPM1;RPL21;RPL23;RPS5;RPL35A;RPSA;TBCA;EIF2S2;GNB2L1;TUBB2C;PSMA6;COX7A2L;PSMA4;TYROBP;PSMA1;SUB1;PSMC2;CCNG1;LCN2;VDAC2;RPL29;PFDN5;RAN",2.5,1,0,0,5,2
"11","Dexfenfluramine-29 mg/kg in Water-Rat-Kidney-1d-dn","34/215",2.32533156987205e-17,1.66493740402839e-14,0,0,6.0940090513958,233.401058207682,"COX7B;ALAS2;NDUFB8;NDUFB5;NEDD8;PARK7;ATP5O;RPL10A;PHB2;UQCRH;SEP15;PSMB7;PRDX1;POLR2G;HMGN3;RPL21;UBE2B;RPL23;RPL35A;RPSA;TBCA;MMP9;SOD1;TUBB2C;PSMA6;PSMA4;TYROBP;PSMA2;SUB1;PSMC2;CCNG1;CYCS;PFDN5;RAN",0,0,0,0,5.88235294117647,2
"12","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-1d-up","41/326",5.33254036762627e-17,3.49992399461871e-14,0,0,4.84650755936972,181.599214205882,"NDUFB5;ATP5A1;ITGB2;ATP5C1;YBX1;ATP5G3;ATP5O;RPL10A;ATP5G2;PHB2;COX5A;BZW1;UQCRH;SEP15;EEF1B2;PSMB7;PRDX1;NPM1;RPL21;RPL23;RPS5;RPL35A;RPSA;NAP1L1;EIF2S2;GNB2L1;F5;SOD1;PSMA6;PSMA4;TYROBP;PSMA1;PSMA2;SUB1;PSMC2;CCNG1;CYCS;CD48;RPL29;PFDN5;RAN",0,0,0,0,2.4390243902439,1
"13","Clopidogrel-400 mg/kg in Corn Oil-Rat-Bone marrow-5d-dn","40/314",8.29110634305024e-17,5.02313488906644e-14,0,0,4.90899942319257,181.774177021088,"COX7B;ALAS2;NDUFB11;NDUFB5;ALOX15;HP;HMGB2;SLC4A1;ATP5G3;RPL10A;ATP5G2;COX5A;RPL6;SEP15;PSMB7;PRDX1;OSTF1;NFE2;NPM1;UBE2B;RPL23;RPS5;RPSA;TBCA;DYNLL1;GNB2L1;SOD1;BST1;TUBB2C;PSMA6;PSMA4;TYROBP;PSMA1;PSMA2;SUB1;LCN2;CYCS;CD48;RPL29;S100A9",2.5,1,0,0,2.5,1
"14","Urethane-453 mg/kg in Water-Rat-Bone marrow-3d-up","38/288",1.54390694705449e-16,8.68557936785796e-14,0,0,5.08456433311925,185.113964034958,"COX7B;NDUFB5;ATP5A1;HP;NEDD8;HMGB1;YBX1;ATP5O;RPL10A;ATP5G2;PHB2;COX5A;RPL6;UQCRH;SEP15;PRDX1;OSTF1;NFE2;NPM1;RPL23;RPS5;RPL35A;RPSA;NAP1L1;DEK;DYNLL1;GNB2L1;F5;SOD1;PSMA6;PSMA4;PTPRC;PSMC2;NUMB;CYCS;CD48;RPL29;RAN",2.63157894736842,1,0,0,0,0
