"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Thioguanine-24 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","6/313",4.5121893067045e-07,0.00355380029796046,0,0,19.1693290734824,280.089070569384,"ORM1;PGLYRP1;MMP9;PFDN5;S100A9;RPL39",0,0,0,0,100,6
"2","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","6/315",4.68373240701264e-07,0.00184445382188158,0,0,19.047619047619,277.600006400289,"ORM1;PGLYRP1;MMP9;PFDN5;S100A9;RPL39",0,0,0,0,100,6
"3","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","6/318",4.9510741827548e-07,0.00129982200877923,0,0,18.8679245283019,273.933794175531,"ORM1;PGLYRP1;MMP9;PFDN5;S100A9;RPL39",0,0,0,0,100,6
"4","Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-0.25d-up","5/282",7.01062566023358e-06,0.0138039219249999,0,0,17.7304964539007,210.427014332815,"ORM1;IL2RB;PGLYRP1;MMP9;S100A9",20,1,0,0,100,5
"5","5-Fluoro-2'-Deoxyuridine-54 mg/kg in Saline-Rat-Bone marrow-1d-dn","5/283",7.13222541905489e-06,0.0112346814800953,0,0,17.6678445229682,209.379633423198,"ORM1;PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,5
"6","Mitomycin C-0.5 mg/kg in Saline-Rat-Bone marrow-0.25d-up","5/289",7.89703013030426e-06,0.0103661682177127,0,0,17.3010380622837,203.270307993852,"ORM1;IL2RB;PGLYRP1;MMP9;S100A9",20,1,0,0,100,5
"7","Sildenafil-2.5 mg/kg in Water-Rat-Liver-1d-up","5/293",8.44162996177184e-06,0.00949803965413072,0,0,17.0648464163823,199.357255026786,"ORM1;ARG1;PFDN5;S100A9;RPL39",0,0,0,0,100,5
"8","Bithionol-59 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","5/294",8.58227378425389e-06,0.00844924854059795,0,0,17.0068027210884,198.398157648869,"ORM1;IL2RB;PGLYRP1;S100A9;RPL39",20,1,0,0,100,5
"9","Leflunomide-30 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","5/295",8.72474901214888e-06,0.00763512480218718,0,0,16.9491525423729,197.446556895007,"ORM1;PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,5
"10","Carmustine-16 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","5/298",9.16333453758013e-06,0.00721704228179811,0,0,16.7785234899329,194.635912970387,"ORM1;IL2RB;PGLYRP1;S100A9;RPL39",20,1,0,0,100,5
"11","Altretamine-40 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","5/301",9.61902374854012e-06,0.00688722100395472,0,0,16.6112956810631,191.889830230515,"ORM1;PGLYRP1;PFDN5;S100A9;RPL39",0,0,0,0,100,5
"12","Busulfan-3 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","5/302",9.7748027259496e-06,0.00641552885579826,0,0,16.5562913907285,190.988454201739,"ORM1;PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,5
"13","Carboplatin-6 mg/kg in Saline-Rat-Bone marrow-1d-dn","5/305",1.02540359562676e-05,0.00621236824550491,0,0,16.3934426229508,188.325232427029,"ORM1;PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,5
"14","Chlorambucil-4.5 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","5/306",1.04178056166132e-05,0.00586075978831752,0,0,16.3398692810458,187.450884595297,"ORM1;PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,5
"15","1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","5/307",1.05836180502446e-05,0.00555710505091509,0,0,16.2866449511401,186.583114320362,"PGLYRP1;MMP9;PFDN5;S100A9;RPL39",0,0,0,0,100,5
"16","Amikacin-82 mg/kg in Saline-Rat-Bone marrow-1d-up","5/309",1.09214442556005e-05,0.00537608093481935,0,0,16.1812297734628,184.867028131941,"ORM1;PGLYRP1;MMP9;PFDN5;S100A9",0,0,0,0,100,5
"17","5-Fluoro-2'-Deoxyuridine-54 mg/kg in Saline-Rat-Bone marrow-5d-dn","5/314",1.18030461689712e-05,0.00546828186040101,0,0,15.9235668789809,180.687148246732,"ORM1;PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,5
"18","Chlorambucil-4.5 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","5/315",1.19858651325669e-05,0.00524448187689427,0,0,15.8730158730159,179.869563620187,"ORM1;PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,5
"19","Catechol-40 mg/kg in Saline-Rat-Bone marrow-3d-dn","5/316",1.21708943936618e-05,0.00504515601286739,0,0,15.8227848101266,179.057961423926,"PGLYRP1;MMP9;PFDN5;S100A9;RPL39",0,0,0,0,100,5
"20","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","5/320",1.29334977184826e-05,0.00509321140153844,0,0,15.625,175.870154529562,"ORM1;PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,5
"21","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","5/320",1.29334977184826e-05,0.0048506775252747,0,0,15.625,175.870154529562,"PGLYRP1;MMP9;PFDN5;S100A9;RPL39",0,0,0,0,100,5
"22","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","5/320",1.29334977184826e-05,0.00463019218321676,0,0,15.625,175.870154529562,"ORM1;PGLYRP1;MMP9;PFDN5;RPL39",0,0,0,0,100,5
"23","N-Nitrosodiethylamine-34 mg/kg in Saline-Rat-Bone marrow-5d-dn","5/326",1.41470016294485e-05,0.00484442542754505,0,0,15.3374233128834,171.257789191836,"ORM1;IL2RB;PGLYRP1;S100A9;RPL39",20,1,0,0,100,5
"24","Busulfan-9 mg/kg in Corn Oil-Rat-Spleen-5d-dn","5/327",1.43576255537615e-05,0.00471169411922605,0,0,15.2905198776758,170.50809418082,"ORM1;IL2RB;PFDN5;S100A9;RPL39",20,1,0,0,100,5
"25","Busulfan-9 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","5/335",1.61323791698098e-05,0.00508234473365689,0,0,14.9253731343284,164.696748910835,"ORM1;PGLYRP1;PFDN5;S100A9;RPL39",0,0,0,0,100,5
"26","Pentamidine-18 mg/kg in Saline-Rat-Bone marrow-3d-dn","5/416",4.55294471533198e-05,0.0137919202222903,0,0,12.0192307692308,120.158067922617,"PGLYRP1;MMP9;PFDN5;S100A9;RPL39",0,0,0,0,100,5
"27","Camptothecin-2.5 mg/kg in Saline-Rat-Bone marrow-3d-dn","4/251",0.000100170316526867,0.0292200523320594,0,0,15.9362549800797,146.751213632649,"ORM1;PGLYRP1;MMP9;S100A9",0,0,0,0,100,4
"28","Meloxicam-33 mg/kg in Corn Oil-Rat-Kidney-5d-up","4/261",0.000116470861259305,0.0327615894027959,0,0,15.3256704980843,138.817922363052,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"29","Digoxin-11 mg/kg in Corn Oil-Rat-Liver-5d-up","4/263",0.000119949030695889,0.0325765022676146,0,0,15.2091254752852,137.314732313498,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"30","Neostigmine Bromide-11 mg/kg in Water-Rat-Liver-0.25d-dn","4/265",0.00012350216140739,0.0324234341081535,0,0,15.0943396226415,135.83776454,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"31","Streptomycin-120 mg/kg in Saline-Rat-Bone marrow-3d-dn","4/265",0.00012350216140739,0.0313775168788583,0,0,15.0943396226415,135.83776454,"PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,4
"32","Streptomycin-120 mg/kg in Saline-Rat-Bone marrow-5d-dn","4/271",0.000134621169849454,0.0331336354291969,0,0,14.760147601476,131.557872670217,"ORM1;IL2RB;S100A9;RPL39",25,1,0,0,100,4
"33","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-1d-dn","4/274",0.000140445341590067,0.0335196215261627,0,0,14.5985401459854,129.499155805987,"PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,4
"34","Doxorubicin-0.65 mg/kg in Saline-Rat-Bone marrow-1d-dn","4/276",0.000144428433763129,0.0334564218917179,0,0,14.4927536231884,128.15545566917,"ORM1;MMP9;S100A9;RPL39",0,0,0,0,100,4
"35","Digoxin-11 mg/kg in Corn Oil-Rat-Liver-1d-up","4/277",0.000146450449378284,0.0329555354086677,0,0,14.4404332129964,127.492034891255,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"36","Indomethacin-12 mg/kg in Water-Rat-Liver-1d-up","4/277",0.000146450449378284,0.032040103869538,0,0,14.4404332129964,127.492034891255,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"37","Indomethacin-12 mg/kg in Water-Rat-Liver-3d-up","4/277",0.000146450449378284,0.0311741551163073,0,0,14.4404332129964,127.492034891255,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"38","Famciclovir-1200 mg/kg in Saline-Rat-Bone marrow-1d-dn","4/279",0.00015055604902462,0.0312047221609976,0,0,14.336917562724,126.181722212728,"ORM1;MMP9;S100A9;RPL39",0,0,0,0,100,4
"39","Ethinylestradiol-10 mg/kg in Corn Oil-Rat-Liver-5d-up","4/280",0.00015263988550757,0.0308254291860928,0,0,14.2857142857143,125.534701433514,"ORM1;ARG1;IL2RB;RPL39",25,1,0,0,100,4
"40","Nystatin-134 mg/kg in Corn Oil-Rat-Liver-1d-up","4/280",0.00015263988550757,0.0300547934564404,0,0,14.2857142857143,125.534701433514,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"41","Alprazolam-115 mg/kg in Corn Oil-Rat-Liver-5d-dn","4/281",0.000154744581797908,0.029726056737569,0,0,14.2348754448399,124.893020065865,"ORM1;ARG1;S100A9;RPL39",0,0,0,0,100,4
"42","Bleomycin A2-12 mg/kg in Saline-Rat-Bone marrow-1d-dn","4/281",0.000154744581797908,0.0290182934819126,0,0,14.2348754448399,124.893020065865,"ORM1;PGLYRP1;MMP9;RPL39",0,0,0,0,100,4
"43","Hydroxyurea-59 mg/kg in Saline-Rat-Liver-5d-up","4/281",0.000154744581797908,0.0283434494474495,0,0,14.2348754448399,124.893020065865,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"44","Modafinil-17.5 mg/kg in Saline-Rat-Liver-3d-up","4/281",0.000154744581797908,0.0276992801418256,0,0,14.2348754448399,124.893020065865,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"45","Nimesulide-162 mg/kg in Corn Oil-Rat-Liver-1d-up","4/281",0.000154744581797908,0.0270837405831184,0,0,14.2348754448399,124.893020065865,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"46","Pramoxine-526 mg/kg in Corn Oil-Rat-Liver-1d-up","4/282",0.000156870264629672,0.0268589174831151,0,0,14.1843971631206,124.256616087396,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"47","Rofecoxib-775 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","4/282",0.000156870264629672,0.0262874511536872,0,0,14.1843971631206,124.256616087396,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"48","Amlodipine-0.2 mg/kg in Corn Oil-Rat-Liver-0.25d-up","4/283",0.000159017061073895,0.026092049437875,0,0,14.1342756183746,123.625428397866,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"49","Catechol-195 mg/kg in Saline-Rat-Liver-3d-up","4/283",0.000159017061073895,0.0255595586330204,0,0,14.1342756183746,123.625428397866,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"50","Leflunomide-60 mg/kg in Corn Oil-Rat-Spleen-1d-dn","4/283",0.000159017061073895,0.02504836746036,0,0,14.1342756183746,123.625428397866,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"51","Naproxen-134 mg/kg in Corn Oil-Rat-Liver-1d-up","4/283",0.000159017061073895,0.0245572230003529,0,0,14.1342756183746,123.625428397866,"ORM1;ARG1;S100A9;RPL39",0,0,0,0,100,4
"52","Doxorubicin-0.65 mg/kg in Saline-Rat-Spleen-1d-up","4/285",0.00016337450399715,0.024744953720799,0,0,14.0350877192982,122.378462063188,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"53","N-Nitrosodiethylamine-34 mg/kg in Saline-Rat-Bone marrow-3d-dn","4/287",0.000167817931225444,0.0249383778553132,0,0,13.9372822299652,121.151650298822,"ORM1;PGLYRP1;MMP9;RPL39",0,0,0,0,100,4
"54","Procarbazine-54 mg/kg in Water-Rat-Bone marrow-5d-dn","4/287",0.000167817931225444,0.0244765560431777,0,0,13.9372822299652,121.151650298822,"ORM1;PGLYRP1;S100A9;RPL39",0,0,0,0,100,4
"55","Flubendazole-1200 mg/kg in Corn Oil-Rat-Liver-5d-dn","4/288",0.000170072208861788,0.024354340309008,0,0,13.8888888888889,120.545659070662,"ORM1;ARG1;PFDN5;S100A9",0,0,0,0,100,4
"56","Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-3d-dn","4/289",0.000172348366926199,0.0242395667484062,0,0,13.840830449827,119.944536199034,"PGLYRP1;MMP9;S100A9;RPL39",0,0,0,0,100,4
"57","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","4/290",0.00017464653396966,0.0241318614306147,0,0,13.7931034482759,119.348226654996,"ORM1;PGLYRP1;MMP9;S100A9",0,0,0,0,100,4
"58","Nystatin-134 mg/kg in Corn Oil-Rat-Liver-3d-up","4/291",0.000176966838813706,0.024030876249944,0,0,13.745704467354,118.756676210005,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"59","Zomepirac-11 mg/kg in Saline-Rat-Liver-1d-up","4/291",0.000176966838813706,0.0236235732626568,0,0,13.745704467354,118.756676210005,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"60","Bisphenol A-100 mg/kg in Corn Oil-Rat-Liver-5d-up","4/293",0.000181674378093461,0.0238477900310683,0,0,13.6518771331058,117.587639653913,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"61","Cytarabine-487 mg/kg in Saline-Rat-Bone marrow-5d-dn","4/293",0.000181674378093461,0.0234568426535098,0,0,13.6518771331058,117.587639653913,"ORM1;PGLYRP1;MMP9;S100A9",0,0,0,0,100,4
"62","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","4/293",0.000181674378093461,0.023078506481679,0,0,13.6518771331058,117.587639653913,"ORM1;PGLYRP1;MMP9;S100A9",0,0,0,0,100,4
"63","Artemether-74 mg/kg in Corn Oil-Rat-Liver-3d-up","4/294",0.000184061871173304,0.0230106555136657,0,0,13.6054421768707,117.010048986396,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"64","Catechol-40 mg/kg in Saline-Rat-Bone marrow-0.25d-up","4/294",0.000184061871173304,0.0226511140212647,0,0,13.6054421768707,117.010048986396,"ORM1;IL2RB;PGLYRP1;S100A9",25,1,0,0,100,4
"65","Procarbazine-54 mg/kg in Water-Rat-Liver-1d-up","4/295",0.000186472019310845,0.0225946711398802,0,0,13.5593220338983,116.437008279877,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"66","Carmofur-201 mg/kg in CMC-Rat-Bone marrow-3d-dn","4/296",0.000188904952400612,0.0225426576531396,0,0,13.5135135135135,115.868467118259,"ORM1;PGLYRP1;MMP9;RPL39",0,0,0,0,100,4
"67","Sulconazole-1200 mg/kg in Corn Oil-Rat-Liver-3d-up","4/296",0.000188904952400612,0.0222062000762271,0,0,13.5135135135135,115.868467118259,"ORM1;ARG1;PFDN5;S100A9",0,0,0,0,100,4
"68","Busulfan-3 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","4/297",0.000191360800473381,0.0221640833018875,0,0,13.4680134680135,115.304375813266,"ORM1;IL2RB;PGLYRP1;S100A9",25,1,0,0,100,4
"69","Cisplatin-1.17 mg/kg in Saline-Rat-Bone marrow-3d-dn","4/297",0.000191360800473381,0.0218428647033095,0,0,13.4680134680135,115.304375813266,"PGLYRP1;MMP9;PFDN5;RPL39",0,0,0,0,100,4
"70","Promethazine-113 mg/kg in Saline-Rat-Liver-3d-up","4/297",0.000191360800473381,0.0215308237789765,0,0,13.4680134680135,115.304375813266,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"71","Sulindac-64 mg/kg in Corn Oil-Rat-Liver-5d-up","4/297",0.000191360800473381,0.021227572739836,0,0,13.4680134680135,115.304375813266,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"72","Azathioprine-20 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","4/298",0.000193839693802526,0.0212039087276207,0,0,13.4228187919463,114.74468538386,"PGLYRP1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"73","Bisphenol A-50 mg/kg in Corn Oil-Rat-Liver-1d-up","4/298",0.000193839693802526,0.0209134442245026,0,0,13.4228187919463,114.74468538386,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"74","Etodolac-24 mg/kg in CMC-Rat-Liver-5d-up","4/298",0.000193839693802526,0.0206308301133607,0,0,13.4228187919463,114.74468538386,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"75","Azauridine-1500 mg/kg in CMC-Rat-Bone marrow-5d-up","4/299",0.000196341762856914,0.0206185029901473,0,0,13.3779264214047,114.189347547122,"PGLYRP1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"76","Bithionol-59 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","4/299",0.000196341762856914,0.0203472068981717,0,0,13.3779264214047,114.189347547122,"ORM1;PGLYRP1;S100A9;RPL39",0,0,0,0,100,4
"77","DActinomycin-0.06 mg/kg in Saline-Rat-Bone marrow-5d-dn","4/299",0.000196341762856914,0.0200829574579357,0,0,13.3779264214047,114.189347547122,"ORM1;IL2RB;PGLYRP1;RPL39",25,1,0,0,100,4
"78","Lead(IV) Acetate-600 mg/kg in Saline-Rat-Bone marrow-5d-dn","4/299",0.000196341762856914,0.0198254836443725,0,0,13.3779264214047,114.189347547122,"ORM1;IL2RB;S100A9;RPL39",25,1,0,0,100,4
"79","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","4/300",0.000198867138306136,0.0198262984974573,0,0,13.3333333333333,113.638314705572,"ORM1;PGLYRP1;PFDN5;RPL39",0,0,0,0,100,4
"80","Harringtonine-23 mg/kg in Saline-Rat-Bone marrow-5d-dn","4/300",0.000198867138306136,0.019578469766239,0,0,13.3333333333333,113.638314705572,"ORM1;IL2RB;PGLYRP1;S100A9",25,1,0,0,100,4
"81","Mitotane-5000 mg/kg in Water-Rat-Bone marrow-1d-dn","4/300",0.000198867138306136,0.0193367602629521,0,0,13.3333333333333,113.638314705572,"ORM1;PGLYRP1;MMP9;RPL39",0,0,0,0,100,4
"82","Roflumilast-17 mg/kg in CMC-Rat-Liver-3d-up","4/300",0.000198867138306136,0.0191009461134039,0,0,13.3333333333333,113.638314705572,"ORM1;ARG1;S100A9;RPL39",0,0,0,0,100,4
"83","Sildenafil-420 mg/kg in Water-Rat-Liver-1d-up","4/300",0.000198867138306136,0.0188708142325196,0,0,13.3333333333333,113.638314705572,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"84","Bupropion-895 mg/kg in Water-Rat-Liver-1d-up","4/301",0.000201415951053073,0.0188851432201667,0,0,13.2890365448505,113.091539932979,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"85","Clobetasol Propionate-17 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","4/301",0.000201415951053073,0.0186629650646353,0,0,13.2890365448505,113.091539932979,"ORM1;PGLYRP1;MMP9;S100A9",0,0,0,0,100,4
"86","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","4/301",0.000201415951053073,0.0184459538429535,0,0,13.2890365448505,113.091539932979,"ORM1;PGLYRP1;MMP9;RPL39",0,0,0,0,100,4
"87","Leucovorin-1500 mg/kg in CMC-Rat-Bone marrow-3d-dn","4/301",0.000201415951053073,0.0182339313849886,0,0,13.2890365448505,113.091539932979,"ORM1;PGLYRP1;MMP9;RPL39",0,0,0,0,100,4
"88","Mycophenolate Mofetil-63 mg/kg in CMC-Rat-Bone marrow-1d-up","4/301",0.000201415951053073,0.01802672761925,0,0,13.2890365448505,113.091539932979,"PGLYRP1;MMP9;PFDN5;RPL39",0,0,0,0,100,4
"89","Carmustine-4 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","4/302",0.000203988332167259,0.0180518213949363,0,0,13.2450331125828,112.548976967077,"ORM1;IL2RB;PGLYRP1;S100A9",25,1,0,0,100,4
"90","Geraniol-1500 mg/kg in CMC-Rat-Liver-5d-up","4/302",0.000203988332167259,0.0178512456016592,0,0,13.2450331125828,112.548976967077,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"91","Ketoconazole-25 mg/kg in Corn Oil-Rat-Liver-3d-up","4/302",0.000203988332167259,0.0176550780675751,0,0,13.2450331125828,112.548976967077,"ORM1;IL2RB;PFDN5;RPL39",25,1,0,0,100,4
"92","Melphalan-12 mg/kg in CMC-Rat-Bone marrow-1d-up","4/302",0.000203988332167259,0.0174631750451014,0,0,13.2450331125828,112.548976967077,"ORM1;PGLYRP1;MMP9;S100A9",0,0,0,0,100,4
"93","Methotrexate-0.3 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","4/302",0.000203988332167259,0.0172753989693476,0,0,13.2450331125828,112.548976967077,"PGLYRP1;MMP9;PFDN5;S100A9",0,0,0,0,100,4
"94","NN-Dimethylformamide-1400 mg/kg in Saline-Rat-Spleen-3d-up","4/302",0.000203988332167259,0.0170916181292482,0,0,13.2450331125828,112.548976967077,"ORM1;IL2RB;S100A9;RPL39",25,1,0,0,100,4
"95","Naproxen-10 mg/kg in Corn Oil-Rat-Liver-5d-up","4/302",0.000203988332167259,0.0169117063594666,0,0,13.2450331125828,112.548976967077,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"96","Acemetacin-2 mg/kg in Corn Oil-Rat-Liver-3d-up","4/303",0.000206584412945784,0.016948529545427,0,0,13.2013201320132,112.010580193957,"ORM1;ARG1;S100A9;RPL39",0,0,0,0,100,4
"97","Azathioprine-20 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up","4/303",0.000206584412945784,0.0167738024367113,0,0,13.2013201320132,112.010580193957,"ORM1;MMP9;S100A9;RPL39",0,0,0,0,100,4
"98","NN-Dimethylformamide-140 mg/kg in Saline-Rat-Bone marrow-0.25d-up","4/303",0.000206584412945784,0.0166026411873571,0,0,13.2013201320132,112.010580193957,"ORM1;MMP9;PFDN5;RPL39",0,0,0,0,100,4
"99","Sodium Arsenite-10 mg/kg in Saline-Rat-Bone marrow-3d-dn","4/303",0.000206584412945784,0.0164349377410201,0,0,13.2013201320132,112.010580193957,"ORM1;PGLYRP1;MMP9;S100A9",0,0,0,0,100,4
"100","Ticrynafen-570 mg/kg in CMC-Rat-Liver-5d-up","4/303",0.000206584412945784,0.0162705883636099,0,0,13.2013201320132,112.010580193957,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"101","NN-Dimethylformamide-1400 mg/kg in Saline-Rat-Liver-5d-up","4/304",0.000209204324861057,0.0163137946792642,0,0,13.1578947368421,111.4763046402,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"102","Roflumilast-17 mg/kg in CMC-Rat-Liver-4d-up","4/304",0.000209204324861057,0.016153855515742,0,0,13.1578947368421,111.4763046402,"ORM1;ARG1;S100A9;RPL39",0,0,0,0,100,4
"103","Benoxaprofen-89 mg/kg in CMC-Rat-Liver-5d-up","4/305",0.000211848199588834,0.016199188543317,0,0,13.1147540983607,110.946105959953,"ORM1;ARG1;S100A9;RPL39",0,0,0,0,100,4
"104","Foscarnet-350 mg/kg in Saline-Rat-Bone marrow-3d-dn","4/305",0.000211848199588834,0.0160434271150159,0,0,13.1147540983607,110.946105959953,"ORM1;MMP9;PFDN5;RPL39",0,0,0,0,100,4
"105","Interleukin 1 Beta-0.01 mg/kg in RSA/Saline-Rat-Liver-1d-up","4/305",0.000211848199588834,0.0158906325710634,0,0,13.1147540983607,110.946105959953,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"106","Phenothiazine-36 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","4/305",0.000211848199588834,0.0157407209430345,0,0,13.1147540983607,110.946105959953,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
"107","Sulindac-64 mg/kg in Corn Oil-Rat-Liver-3d-up","4/305",0.000211848199588834,0.0155936114015108,0,0,13.1147540983607,110.946105959953,"ORM1;PFDN5;S100A9;RPL39",0,0,0,0,100,4
"108","Trichloroacetic Acid-474 mg/kg in Corn Oil-Rat-Liver-1d-up","4/305",0.000211848199588834,0.0154492261107561,0,0,13.1147540983607,110.946105959953,"ORM1;ARG1;PFDN5;RPL39",0,0,0,0,100,4
