"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","43/320",3.97114901889957e-23,3.1276769672853e-19,0,0,6.66873449131514,343.976003630091,"NDUFB5;ITGB2;PRF1;HP;YBX1;RPL10A;AIF1;RPL6;CTSS;EEF1B2;STK10;SNX2;PGK1;CD14;RPS11;PGLYRP1;CD53;SYK;HSBP1;RPL23;SSR2;PGAM1;RPS5;LY86;RPSA;MMP9;BST1;HCK;PSMA6;COX7A2L;CEACAM1;SLC7A7;PSMA4;TYROBP;PTPRC;PSMA1;SUB1;ALOX5AP;LCN2;LCP1;RPL29;S100A9;PFDN5",4.65116279069767,2,0,0,9.30232558139535,4
"2","Mycophenolate Mofetil-63 mg/kg in CMC-Rat-Bone marrow-1d-up","38/301",1.37966874039224e-19,5.43313549966464e-16,0,0,6.26530258938361,272.08500810526,"FGL2;HP;CLTA;PHB2;RPL6;UQCRH;EEF1B2;STK10;CCND2;PGK1;RPS11;PGLYRP1;NDUFV2;HMGN1;CD53;NFE2;RPL23;SSR2;PGAM1;LY86;NKG7;RPSA;TBCA;EIF2S2;MMP9;PSMA5;PSMA6;CEACAM1;PSMA4;TYROBP;SUB1;VDAC3;ARHGEF3;LCN2;LCP2;LCP1;PFDN5;RAN",2.63157894736842,1,0,0,7.89473684210526,3
"3","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","37/301",1.0541558522876e-18,2.76751049753906e-15,0,0,6.10042620545246,252.519769599861,"ORM1;ITGB2;FGL2;HP;YBX1;RPL10A;AIF1;RPL6;CTSS;EEF1B2;STK10;PGK1;CD14;RPS11;PGLYRP1;CD53;SSR2;PGAM1;RPS5;LY86;NKG7;TBCA;MMP9;F5;BST1;HCK;PSMA6;COX7A2L;CEACAM1;TYROBP;PTPRC;SUB1;ALOX5AP;ARHGEF3;LCN2;LCP1;RPL29",5.40540540540541,2,0,0,8.10810810810811,3
"4","Melphalan-12 mg/kg in CMC-Rat-Bone marrow-5d-dn","37/307",2.05653376939691e-18,4.04931499194251e-15,0,0,5.98119963466186,243.587404005393,"COX7B;FGL2;HP;YBX1;RPL10A;PHB2;RPL6;CTSS;PSMB7;PGK1;RPS11;PGLYRP1;CD53;NFE2;FEM1B;RPL23;SSR2;PGAM1;RPS5;NKG7;RPSA;MMP9;PSMA5;BST1;HCK;PSMA6;CEACAM1;PSMA1;SUB1;ALOX5AP;VDAC3;LCN2;CYCS;LCP1;RPL29;S100A9;RAN",2.7027027027027,1,0,0,8.10810810810811,3
"5","Azauridine-1500 mg/kg in CMC-Rat-Bone marrow-1d-up","36/292",2.86937971590375e-18,4.51984692849159e-15,0,0,6.11849485026683,247.140910397421,"ITGB2;HP;YBX1;RPL10A;RPL6;UQCRH;PGK1;RPS11;PGLYRP1;HMGN1;CD53;NFE2;HSBP1;RPL23;SSR2;PGAM1;LY86;NKG7;RPSA;EIF2S2;MMP9;BST1;HCK;PSMA6;CEACAM1;PSMA4;PTPRC;PSMA1;PSMA2;SUB1;ALOX5AP;VDAC3;LCN2;CYCS;LCP1;S100A9",5.55555555555556,2,0,0,8.33333333333333,3
"6","Oxaliplatin-8 mg/kg in Saline-Rat-Bone marrow-3d-up","38/333",4.57947184908614e-18,6.01132004723374e-15,0,0,5.66323146968308,226.104221934585,"COX7B;ORM1;NDUFB5;ITGB2;FGL2;HP;YBX1;RPL10A;AIF1;RPL6;CTSS;PSMB7;CCL5;PGK1;PGLYRP1;CD53;HSBP1;SSR2;PGAM1;NKG7;RPSA;MMP9;F5;HCK;PSMA6;CEACAM1;PSMA4;TYROBP;PTPRC;PSMA1;PSMA2;ALOX5AP;ARHGEF3;LCN2;CYCS;SUCLG1;LCP2;LCP1",5.26315789473684,2,0,0,7.89473684210526,3
"7","Leflunomide-60 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","36/307",1.48644110849588e-17,1.67245859578765e-14,0,0,5.81954559048181,225.493202623383,"ITGB2;YBX1;RPL10A;PHB2;AIF1;RPL6;CTSS;EEF1B2;PSMB7;STK10;CCL5;PGK1;PGLYRP1;HMGN1;CD53;IK;RPL23;PGAM1;RPS5;LY86;NKG7;F5;PSMA5;HCK;PSMA6;COX7A2L;PSMA4;TYROBP;PSMA1;NDUFS7;ALOX5AP;CYCS;LCP1;RPL29;PFDN5;RAN",0,0,0,0,5.55555555555556,2
"8","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Kidney-3d-up","37/333",3.11743941781644e-17,3.06911910684029e-14,0,0,5.51419906258616,209.577803228306,"MTCH2;CXCL9;MRPS33;ITGB2;FGL2;MRPL15;RPL10A;PHB2;AIF1;RPL6;CTSS;EEF1B2;PSMB7;STK10;RPS11;HMGN1;CD53;RPL23;SSR2;RPS5;LY86;RPSA;TBCA;EIF2S2;PSMA5;HCK;PSMA6;COX7A2L;TYROBP;PSMA1;PSMA2;SUB1;VDAC3;LCP1;RPL29;PFDN5;RAN",0,0,0,0,2.7027027027027,1
"9","Cisplatin-1.17 mg/kg in Saline-Rat-Bone marrow-3d-dn","35/297",3.64524102726525e-17,3.1899909256379e-14,0,0,5.84839294516714,221.364738071551,"COX7B;PRF1;HP;CLTA;YBX1;RPL10A;RPL6;UQCRH;EEF1B2;PSMB7;RPS11;PGLYRP1;NDUFV2;HMGN1;RPL23;RPS5;NKG7;RPL13A;RPSA;TBCA;EIF2S2;MMP9;PSMA5;HCK;PSMA6;COX7A2L;PSMA4;PSMA1;PSMA2;SUB1;LCN2;LCP1;RPL29;PFDN5;RAN",2.85714285714286,1,0,0,8.57142857142857,3
"10","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","36/320",5.71386246849673e-17,4.50023808018802e-14,0,0,5.58312655086849,208.814802803578,"ORM1;NDUFB5;ITGB2;PRF1;HP;YBX1;RPL10A;PHB2;AIF1;RPL6;CTSS;EEF1B2;PSMB7;SNX2;PGK1;PGLYRP1;CD53;PGAM1;LY86;NKG7;TBCA;MMP9;PSMA5;HCK;PSMA6;CEACAM1;SLC7A7;TYROBP;PSMA1;PSMA2;ALOX5AP;LCN2;CYCS;LCP1;RPL29;PFDN5",2.77777777777778,1,0,0,11.1111111111111,4
