"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","sirolimus homo sapiens gpl96 gds2494 chdir up","108/533",2.00197928616997e-67,1.28527070172112e-64,0,0,12.3655462184874,1899.08902516764,"RPL4;NDUFA13;RPL3;RPL31;RPL34;GTF2B;PARK7;RPL8;RPL10A;RPL9;UXT;EEF1B2;RPS19;RPL36AL;RPS18;RPL36;RPL35;SNRPD3;TXNL4A;RPS11;TMSB10;RPS12;IK;RPS9;RALBP1;RPL21;RPS7;RPS8;RPL23;GTF3A;UBE2E1;SND1;COX6B1;COX7A2L;SNRPG;VDAC3;RPL24;SNRPE;SUCLG1;UBA52;SUPT4H1;COX7A2;RAP1B;PGK1;SERF2;DECR1;BTF3;XRCC6;H3F3B;TMA7;EEF2;RPL27A;RPS20;DYNLRB1;RPS24;COX7B;TRMT112;UBL5;RPLP2;UQCRFS1;GUSB;CD53;ANXA2;GSTO1;H2AFZ;RPL13A;NDUFC1;EDF1;RPS3A;PSMA6;NSA2;HAX1;EEF1D;NDUFS6;TCP1;NDUFS4;UFC1;TAX1BP1;PFDN5;SF3B5;NDUFB8;RPL12;NDUFB4;NDUFB3;POMP;UQCR11;COX5B;PCNP;PSMB7;RPS15A;PSMB1;RPS3;RPL14;RPL13;RPL15;SEC11A;TIMM8B;IGBP1;NDUFA6;NDUFA2;NDUFA1;EIF3K;EIF3L;EIF3H;EIF3E;ATXN10;EIF3F;EIF3D",0,0,0,0,4.62962962962963,5
"2","hydrocortisone homo sapiens keloid scar gds3071 chdir down","109/640",7.05353600953565e-60,2.26418505906094e-57,0,0,9.95863135231985,1356.3812902364,"RPL4;RPL30;NDUFA13;RPL3;RPL31;RPL34;PARK7;RPL8;RPL10A;SRP14;RPL36AL;RPS18;RPL36;RPL35;CYP1B1;RPL37;TXNL4A;RPS11;TMSB10;RPS9;ATP6V0E1;RPL21;RPS7;RPL23;RPS5;UBE2E1;RPSA;COX6B1;PPA1;UQCRC1;SNRPG;RPL24;RPL26;RPL29;UBA52;SET;COX7A2;TXN;HIGD1A;PRDX1;SERF2;TMA7;DNAJC15;RPS26;RPS29;RPL27A;RPS21;CNIH4;NOP10;RPS24;SLC25A3;COX7B;TRAM1;RPLP1;RPLP0;HMGB1;YBX1;MRPL33;RPS4X;TRMT112;COX8A;ANXA2;GSTO1;H2AFZ;EMP1;RPL13A;NDUFC2;EDF1;RPS3A;EEF1G;PSMA6;NSA2;RER1;PSMA2;DAD1;EEF1D;UFC1;PFDN5;SF3B5;NDUFB8;RPL12;NDUFB4;POMP;RPL36A;NDUFB1;GLRX;UQCR11;NEDD8;UQCR10;COX5B;RPS15A;RPS3;RPL14;RPL13;RPL15;CCT8;RPL17;CCT5;POLR2L;TIMM8B;NDUFA1;HNRNPAB;PDP1;EIF3K;EIF3E;EIF3F;FAU;SLIRP;LAMTOR5",0,0,0,0,5.5045871559633,6
"3","valproic acid homo sapiens gpl96 gds1050 chdir up","163/1642",1.03444205600321e-56,2.21370599984687e-54,0,0,5.89343389049061,759.727884609438,"RPL4;NDUFA13;RPL3;RPL31;GHITM;RPL8;SRP14;PHB2;RPL9;CLU;RPS19;RPL36AL;RPS18;BASP1;RPL37;RPS11;HMGN3;B2M;TMEM14B;RPS12;RPS9;ATP6V0E1;RPL21;RPS7;RPS8;RPL23;RPSA;SDHC;TM4SF1;C12ORF10;COX6B1;MYL4;COX7A2L;PPA1;SUB1;VDAC3;YME1L1;RPL24;ERH;SUCLG1;TMEM126B;RPL26;RPL29;UBA52;SET;MRPL18;COX7A2;TXN;HIGD1A;RAP1B;SNX2;PDCD10;ZNHIT3;PRDX1;PGK1;DPH5;SERF2;DECR1;MCTS1;BTF3;HSPA8;H3F3B;TMA7;IGF2R;RPS26;RPS27;FXYD3;RPS29;RPL27A;CHMP2B;RPS20;DYNLRB1;RSL24D1;RPS21;CNIH4;NOP10;RPS24;SLC25A3;COX7B;TRAM1;RPLP1;RPLP0;PTEN;HMGB1;ATRAID;MRPL33;RPS4X;TRMT112;UBL5;SCPEP1;SUMO1;NMRK1;SUMO2;RPLP2;FGA;HSP90AA1;ANXA2;CAMLG;GSTO1;H2AFZ;EMP1;RPL13A;NDUFC2;EDF1;RPS3A;DYNLL1;PSMA6;HAX1;PSMA2;DAD1;NDUFS6;C1D;NDUFS4;TAX1BP1;DLD;PFDN5;SF3B5;NDUFB8;RALB;NDUFB6;RPL12;RPL11;NDUFB3;RPL36A;NOL7;PRCP;UQCR11;NEDD8;UQCR10;PCNP;PSMB7;RPS15A;OS9;PPP1R7;LEPROTL1;PSMB1;RPS3;RPL14;RPL13;RPL15;RPS27A;SEC11A;TIMM8B;IGBP1;NDUFA6;NDUFA2;HSPE1;DNAJA1;KLF7;CLEC2B;EIF3K;EIF3L;EIF3I;RGS10;EIF3H;RHAG;EIF3E;EIF3F;SSBP1;CKLF;C11ORF58;LAMTOR5;MEGF9",0,0,0,0,4.29447852760736,7
"4","deferoxamine homo sapiens gpl91 gse1056 chdir up","60/154",8.81007151304976e-56,1.41401647784449e-53,0,0,28.1518375241779,3568.77662152436,"RPL4;RPL30;COX7B;RPL31;RPL34;RPLP1;RPLP0;PARK7;RPL10A;RPL9;EEF1B2;RPS4X;RPS18;RPL35;RPLP2;RPL37;RPS11;RPS12;HSP90AA1;TPI1;RPS7;H2AFZ;RPL23;RPS5;RPS3A;DYNLL1;EEF1G;PSMA6;TCP1;SNRPG;RPL24;JTB;SNRPE;PFDN5;RPL12;RPL11;RPL36A;COX7A2;UQCR11;TXN;COX5B;RPS15A;PRDX1;PSMB1;RPL13;RPL15;CCT8;RPS27A;RPL17;HSPA8;NDUFA1;EEF2;HSPE1;RPS27;RPS29;RPL27A;RPS20;EIF3E;RPS21;RPS24",0,0,0,0,6.66666666666667,4
"5","imatinib homo sapiens gpl571 gds3518 chdir up","83/379",2.97512642044274e-54,3.82006232384848e-52,0,0,12.9134422191976,1591.57282373286,"RPL4;RPL30;RPL3;MS4A3;RPL31;RPLP1;RPLP0;CTSW;SRP14;RPL10A;MPO;UXT;EEF1B2;RPS4X;RPS19;SUMO1;ZMIZ1;SUMO2;RPL36;RPLP2;CTSG;RPL37;RPS11;B2M;RPL39;RPS12;CD53;RPS9;RPL21;CAMLG;RPS7;RPS5;RPL13A;RPS3A;RAB32;EEF1G;COX7A2L;NSA2;EEF1D;UFC1;RPL24;JTB;RPL26;RPL29;UBA52;PFDN5;SET;RPL12;RPL11;RPL36A;GLRX;PSMB10;RAP1B;RPL14;RPS3;RPL13;RPL15;RPS27A;RPL17;ELANE;BTF3;H3F3B;GCH1;HSPA5;AZU1;EEF2;HOPX;RPS26;RPS27;SPCS1;CLEC2B;EIF3K;RPS29;EIF3H;RPS20;EIF3E;PSMG2;FAU;EIF3F;RPS21;RSL24D1;RPS24;C11ORF58",1.20481927710843,1,0,0,6.02409638554217,5
"6","dexamethasone homo sapiens gpl3921 gse28896 chdir up","74/299",2.12788025326686e-52,2.27683187099554e-50,0,0,14.8810641627543,1770.53857557984,"RPL4;RPL30;RPL3;RPLP1;RPLP0;HBD;RPL8;SRP14;RPL9;MPO;CLU;RPS4X;TRMT112;TMEM147;RPL36AL;BASP1;SUMO2;RPL36;RAC2;RPLP2;CTSG;RPL37;RPS11;B2M;RPL39;TMSB10;RPS9;ATP6V0E1;GSTO1;RPL23;GTF3A;RPL13A;RPSA;RPS3A;RNASE2;DYNLL1;EEF1G;COX7A2L;HAX1;EEF1D;UFC1;RPL24;PRTN3;RPL26;UBA52;PFDN5;SET;RPL11;POMP;RPL36A;UQCR11;NEDD8;RPS15A;HLA-DMB;PRDX1;RPS3;RPL13;NDUFV2;RPL17;SERF2;POLR2L;BTF3;H3F3B;NDUFA1;EEF2;RPS26;RPS27;CLEC2B;EIF3K;EIF3L;RPL27A;RPS20;RSL24D1;RPS24",1.35135135135135,1,0,0,6.75675675675676,5
"7","gemcitabine homo sapiens gpl96 gse6914 chdir up","169/1897",2.69086867269525e-52,2.46791098267193e-50,0,0,5.2511119503189,623.54098208187,"RPL4;RPL30;RPL3;RPL31;MAML1;CCNH;POP4;RPL34;ZDHHC7;GHITM;PARK7;CALML4;ZFAND1;RPL8;RPL10A;PHB2;RPL9;PSMD8;EEF1B2;RPS19;RPL36AL;NAMPT;RPL36;RPL35;RPL37;SNRPD3;ATP6V1E1;RPS11;SLC25A44;B2M;TMEM14B;RPS12;IK;RPS9;RPS7;RPL23;RPS5;GTF3A;VRK1;SDHC;C12ORF10;RBX1;COX6B1;DPM1;COX7A2L;KEL;PPA1;SUB1;UQCRC1;YME1L1;RPL24;ERH;SNRPE;RPL26;LETMD1;RPL29;AURKAIP1;UBA52;MMADHC;ATP6V1A;SET;HIGD1A;SNX2;ZNHIT3;DPH5;NDUFV2;DECR1;BTF3;VASP;HSPA8;XRCC6;H3F3B;TMEM50A;EEF2;PRDX6;RPS26;RPS27;QARS;FXYD3;RPS29;COPS2;CHMP2B;RPS20;CNOT8;CD24;RSL24D1;RPS21;SPRR1A;MYD88;RPS24;SLC25A3;COX7B;TRAM1;RPLP1;RPLP0;HMGB1;RPS4X;XPO1;RPLP2;UQCRFS1;MAN1A1;GUSB;COX8A;TPI1;MRPS27;CAMLG;GSTO1;RPL13A;RPS3A;MMP8;EEF1G;PSMA6;NSA2;RER1;PSMA2;TCP1;NDUFS4;UFC1;LCP1;EAPP;PFDN5;ITGB3BP;SF3B5;NDUFB8;NDUFB6;RPL12;NDUFB4;RPL11;POMP;RPL36A;NOL7;NDUFB1;COX5B;RNF4;TMEM70;PCNP;PSMB7;RPS15A;OS9;PSMB3;PSMB1;RPS3;RPL14;EIF4H;RPL13;RPL15;RPL17;SEC11A;TIMM8B;IGBP1;NDUFA6;GALNT3;CNBP;NDUFA2;KLF4;HSPE1;HNRNPAB;EIF3K;EIF3L;PSMC2;RGS10;EIF3H;EIF3E;ATXN10;EIF3F;FAU;SSBP1;EIF3D;CKLF",0,0,0,0,2.36686390532544,4
"8","paclitaxel homo sapiens gpl570 gse19136 chdir down","101/659",7.59535784289416e-51,6.09527466892256e-49,0,0,8.59290699867949,991.658438562694,"SRP19;RPL31;PARK7;RPL10A;SRP14;RPL9;EEF1B2;NARS;RPL36AL;RPS18;NAMPT;RPL35;RPL37;TXNL4A;B2M;TMEM14B;RPS12;RPS9;ATP6V0E1;RPS8;CSGALNACT2;GTF3A;RPSA;TM4SF1;DPM1;PPA1;SNRPG;VDAC3;YME1L1;JTB;ERH;SNRPE;TMEM126B;RPL26;MMADHC;ATP6V1A;SET;COX7A2;TXN;HIGD1A;ZNF706;PDCD10;PRDX1;BTF3;HSPA8;XRCC6;TMEM50A;TMA7;EEF2;PRDX6;RPS26;RPS27;RPS29;RPS20;CNIH4;TRAM1;RPLP1;RPLP0;HMGB1;YBX1;XPO1;SEC61G;SUMO2;TIMM17A;RPLP2;HSP90AA1;ANXA2;HSBP1;GSTO1;H2AFZ;RPS3A;SRP9;ARL4C;PSMA4;RER1;DAD1;EEF1D;NDUFS6;POMP;RPL36A;NOL7;GLRX;NEDD8;TMEM70;PSMB7;RPS15A;RPL14;CCT8;RPL17;CCT5;CNBP;DEK;HSPE1;HNRNPAB;DNAJA1;SPCS1;EIF3K;PSMC2;HNRNPA2B1;SSBP1;C11ORF58",0,0,0,0,3.96039603960396,4
"9","dexamethasone mus musculus gpl339 gds2314 chdir up","88/533",7.99290157891556e-47,5.7016031262931e-45,0,0,9.14606741573034,970.790535480982,"RPL4;RPL3;RPLP1;RPLP0;GHITM;CALML4;HMGB1;RPL10A;PHB2;NARS;TRMT112;SCPEP1;RPS19;RPL36AL;RPS18;BASP1;SEC61G;SUMO2;RPL36;RPL35;RPLP2;UPP1;RPS11;TMSB10;RPS9;HSP90AA1;TPI1;RPL21;ANXA2;RPS7;GPX4;IGFBP4;RPS8;H2AFZ;RPL23;RPS5;ECH1;RPL13A;RPSA;RBX1;COX6B1;EEF1G;PSMA4;HAX1;PSMA2;SUB1;TCP1;SNRPG;VDAC3;RPL24;NDUFS2;SNRPE;SUCLG1;UBA52;SET;RPL11;RPL36A;COX7A2;IL2RG;COX5B;CNN2;PSMB7;PRDX1;RPS3;RPL14;PGK1;AHSP;CCT8;NDUFV2;VASP;HSPA8;HSPA5;CNBP;TMA7;EEF2;HSPE1;HNRNPAB;ATOX1;DNAJA1;RPS26;EIF3I;RPL27A;PSMC2;HNRNPA2B1;EIF3E;ATXN10;RPS21;RPS24",0,0,0,0,2.27272727272727,2
"10","estradiol homo sapiens gpl96 gse4668 chdir up","115/980",6.00993084036564e-46,3.85837559951474e-44,0,0,6.43502740034532,670.050452245668,"RPL4;RPL3;RPL31;RPL34;ZDHHC7;GHITM;ZFAND1;RPL8;RPL10A;SRP14;CLU;AQP3;EEF1B2;NARS;CAPNS1;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL37;RPS11;RPL39;RPS12;IK;RPS9;ATP6V0E1;RPS7;RPL23;RPS5;ECH1;SARS;NOSIP;RPSA;SDHC;C12ORF10;COX6B1;COX7A2L;PPA1;SUB1;RPL26;LETMD1;RPL29;UBA52;MMADHC;ATP6V1A;SET;SUPT4H1;COX7A2;DPH5;HIST1H3H;NDUFV2;SERF2;BTF3;HSPA8;H3F3B;EEF2;RPS27;QARS;FXYD3;RPS29;COPS2;RPL27A;CHMP2B;RPS20;PSMG2;CD24;RSL24D1;RPS21;MYD88;RPLP1;RPLP0;PTEN;HMGB1;RPS4X;XPO1;RPLP2;PGLS;GUSB;CAMLG;RPL13A;PSMA6;NSA2;SYF2;EEF1D;UFC1;TAX1BP1;DLD;PFDN5;HLA-DQB1;DYNC1I2;RPL12;RPL36A;NDUFB1;COX5B;RPS15A;OS9;RPL14;RPL13;RPL15;RPL17;SEC11A;IGBP1;CRBN;TXNL1;NDUFA1;NAGK;EIF3K;EIF3L;GLB1;EIF3H;EIF3E;EIF3F;FAU;EIF3D",0,0,0,0,3.47826086956522,4
