"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","sirolimus homo sapiens gpl96 gds2494 chdir up","93/533",4.25115186303804e-51,2.96730400040055e-48,0,0,6.86945088711941,796.750855253963,"RPL4;UFD1L;RPL5;COX7B;NDUFA13;RPL3;RPL34;ITGB2;OLA1;ATP5C1;PARK7;RPL10A;ATP5G2;COX7C;RPL6;EEF1B2;UBL5;HINT1;SNRPD2;RPL36AL;C14ORF2;RPL36;RPL35;UQCRFS1;SNRPD3;TXNL4A;ACTR2;RPL21;RPS7;RPL23;UBE2E1;EDF1;NDUFC1;ATP5J2;PSMA6;NSA2;COX7A2L;HAX1;PSMA1;NDUFS6;EEF1D;SNRPG;UFC1;SRSF3;SNRPE;PPIB;PFDN5;SF3B5;NDUFB8;RPN2;UQCRB;NDUFB4;NDUFB3;ATP5I;UQCR11;ATP5H;ATP5O;COX5B;COX5A;UQCRH;PCNP;PSMB7;PSMB1;RPL14;SEC11A;SERF2;CCT4;TIMM8B;XRCC6;NPM1;NDUFA6;MDH1;NDUFA4;NDUFA2;NDUFA1;TBCA;MRPL23;EEF2;COX6C;LSM3;SOD1;C6ORF48;LSM7;PTPRC;EIF3K;CCNG1;HNRNPD;EIF3H;EIF3E;DYNLRB1;EIF3D;RPS24;RAN",1.0752688172043,1,0,0,4.3010752688172,4
"2","hydrocortisone homo sapiens keloid scar gds3071 chdir down","99/640",1.62254115625982e-49,5.66266863534676e-47,0,0,6.09005905511811,684.173531380816,"RPL4;RPL5;NDUFA13;RPL3;RPL34;ATP5C1;PARK7;RPL10A;SNRPD2;RPL36AL;RPL36;RPL35;CYP1B1;TXNL4A;RPL21;RPS7;RPL23;RPS5;RPL22;UBE2E1;RPSA;ATP5J2;PPA1;NCL;MORF4L2;SNRPG;VDAC2;RPL26;RPL29;UQCRB;ATP5J;ATP5I;ATP5H;HIGD1A;UQCRH;MRPL20;ATP5B;PRDX1;SERF2;TBCA;UQCRQ;CYCS;NOP10;RPS24;DOCK5;COX7B;RPLP0;DBI;ATP5G3;YBX1;HMGB1;COX7C;HINT1;YWHAQ;NDUFC2;EDF1;PSMA6;NSA2;DNAJC1;PSMA1;PSMA2;EEF1D;UFC1;STRAP;PTMA;PFDN5;SF3B5;NDUFB8;NDUFB4;ATP5A1;NDUFB2;RPL36A;RPS27L;NDUFB1;UQCR11;NEDD8;UQCR10;COX5B;COX5A;HSPD1;RPL14;CCT8;RPL17;CCT5;POLR2L;TIMM8B;DUT;NPM1;NDUFA4;NDUFA1;NAP1L1;COX6C;SOD1;EIF3M;EIF3K;NDUFAB1;EIF3E;SLIRP;RAN",0,0,0,0,4.04040404040404,4
"3","imatinib homo sapiens gpl571 gds3518 chdir down","82/432",7.08460678604977e-48,1.64835184555425e-45,0,0,7.47302420530767,811.317542241914,"COX7B;NDUFA13;HSP90AB1;RPL34;ITGA2B;NCF4;HMGB2;ATP5C1;PARK7;HBD;HMGB1;YBX1;ATP5G3;UBL5;MRPL3;YWHAQ;SEC61G;UQCRFS1;SNRPD3;TXNL4A;CCT2;HSP90AA1;RPL23;NDUFC2;RPSA;RNASE3;RNASE2;DYNLL1;ATP5J2;PSMA6;PSMA1;PPA1;NDUFS6;MORF4L2;NCL;SUB1;SNRPG;SRSF2;NDUFS3;SRSF3;ERH;PPIB;S100A9;PTMA;S100A8;LTF;NDUFB8;RPN2;NDUFB11;NDUFB4;ATP5A1;ATP5I;UQCR10;COX5B;HSPD1;PSMB6;MRPL20;ATP5B;PRDX1;CCT8;SERF2;CCT5;POLR2L;TIMM8B;DUT;XRCC6;NPM1;NDUFA1;MRPL23;COX6C;HNRNPM;LSM7;DHRS9;UQCRQ;PSMC2;SERBP1;NDUFAB1;HNRNPD;SLIRP;EIF3D;NOP10;RAN",0,0,0,0,3.65853658536585,3
"4","testosterone mus musculus gpl1261 gse17553 chdir up","125/1154",1.40751403592443e-45,2.45611199268813e-43,0,0,4.26452326041567,440.416525076729,"RPL4;RPL5;NDUFA13;ATP5C1;RPL10A;BZW1;TOMM20;RPL6;PSMD8;EEF1B2;CAPNS1;SNRPD2;RPL36AL;BASP1;RPL36;RPL35;RPS7;RPS5;APLP2;RPL22;RBX1;ATP5J2;DPM1;COX7A2L;NCL;MORF4L2;SUB1;CMPK1;VDAC2;SNRPE;ERH;RPL26;RPL29;PPIB;HIST1H2BC;RPN2;UQCRB;NDUFB11;COX17;ATP5J;ATP5H;ATP5O;UQCRH;SEP15;ATP5B;PDCD10;PRDX1;UBE2B;TBCA;EEF2;EIF2S2;HIGD2A;COPS5;UQCRQ;COPS2;LCN2;ALPL;MAN2B1;DYNLRB1;NOP10;HSP90AB1;RPLP0;OLA1;KRT23;DBI;ATP5G3;YBX1;ATP5G2;COX7C;HINT1;YWHAQ;SEC61G;UQCRFS1;CCT2;CD52;ATP6AP1;NDUFC2;EDF1;NDUFC1;DYNLL1;PSMA6;NSA2;PSMA1;UFC1;NDUFS3;PFDN5;SF3B5;NDUFB8;NDUFB5;ATP5A1;NDUFB2;UQCR11;NEDD8;NPL;COX5B;COX5A;HSPD1;PCNP;PSMB7;GNG5;CNIH;LMAN2;PSMB1;RPL14;POLR2G;MBNL3;POLR2L;TIMM8B;NDUFA8;NPM1;NDUFA6;MDH1;IL10RB;CSNK1A1;NDUFA4;NDUFA3;NDUFA1;DNAJA1;EIF3M;SPCS1;EIF3K;EIF3H;TCEA1;EIF3E;RAN",0.8,1,0,0,2.4,3
"5","dexamethasone mus musculus gpl339 gds2314 chdir up","85/533",2.10648470034589e-43,2.94065264168286e-41,0,0,6.27853038070054,616.966935711481,"RPL4;RPL3;HSP90AB1;RPLP0;ATP5C1;SLC2A3;DBI;CALML4;ATP5G3;HMGB1;RPL10A;ATP5G2;PHB2;COX7C;TOMM20;RPL6;SCPEP1;HINT1;SNRPD2;YWHAQ;RPL36AL;BASP1;SEC61G;SUMO2;RPL36;RPL35;UPP1;TGM2;ACTR2;CCT2;HSP90AA1;RPL21;RPS7;RPL23;RPS5;RPSA;RBX1;ATP5J2;PSMA4;HAX1;PSMA1;PSMA2;MORF4L2;SUB1;SNRPG;SRSF2;SRSF3;VDAC2;SNRPE;PPIB;PTMA;UQCRB;NDUFB5;NDUFB11;ATP5A1;NDUFB2;RPL36A;RPS27L;ATP5H;ATP5O;COX5B;COX5A;HSPD1;SEP15;PSMB7;ATP5B;PRDX1;RPL14;AHSP;CCT8;MPZL2;NDUFA8;NPM1;NDUFA4;CBX3;EEF2;COX6C;EIF2S2;DNAJA1;PSMC2;NDUFAB1;CYCS;EIF3E;RPS24;RAN",0,0,0,0,2.35294117647059,2
"6","paclitaxel homo sapiens gpl570 gse19136 chdir down","91/659",3.30204853507919e-41,3.84138312914212e-39,0,0,5.43653591100809,506.747372238382,"RPL5;SRP19;DOCK5;HNRPDL;HSP90AB1;RPLP0;OLA1;ATP5C1;PARK7;ATP5G3;YBX1;HMGB1;RPL10A;C14ORF166;RPL6;EEF1B2;MRPL3;HINT1;SNRPD2;YWHAQ;RPL36AL;SEC61G;SUMO2;RPL35;TXNL4A;TMEM14B;ACTR2;CCT2;HSP90AA1;CSGALNACT2;RPSA;DPM1;TUBB2C;PSMA3;DNAJC1;PSMA4;PPA1;NDUFS6;EEF1D;MORF4L2;SNRPG;YME1L1;SRSF3;VDAC2;SNRPE;ERH;RPL26;PPIB;PTMA;ATP5A1;RPL36A;RPS27L;NEDD8;ATP5H;ATP5O;HIGD1A;COX5A;HSPD1;SEP15;MRPL20;PSMB7;ATP5B;PDCD10;PRDX1;RPL14;SNRPB2;CCT8;RPL17;CCT5;CCT4;NAA50;XRCC6;NPM1;CSNK1A1;NDUFA4;DEK;EEF2;DNAJA1;LSM7;EIF3M;COPS5;SPCS1;EIF3K;UQCRQ;PSMC2;SERBP1;NDUFAB1;CYCS;SSBP1;C11ORF58;RAN",0,0,0,0,1.0989010989011,1
"7","dexamethasone homo sapiens gpl3921 gse28896 chdir up","61/299",1.72839264596163e-37,1.72345438125888e-35,0,0,8.03202275300872,679.898329181627,"RPL4;RPL3;RPLP0;ATP5C1;HBD;ATP5G2;C14ORF166;COX7C;MPO;RPL6;HINT1;SNRPD2;RPL36AL;C14ORF2;BASP1;SUMO2;RPL36;CTSG;RPL23;RPL22;RPSA;RNASE2;DYNLL1;COX7A2L;HAX1;PSMA1;EEF1D;UFC1;RPL26;PPIB;PTMA;PFDN5;GTF2A2;RPN2;UQCRB;NDUFB11;RPL36A;ATP5J;RPS27L;ATP5I;UQCR11;NEDD8;CSF2RB;UQCRH;PRDX1;RPL17;FCGR1B;SERF2;POLR2L;NFE2;NPM1;NDUFA4;NDUFA1;NAP1L1;EEF2;C6ORF48;EIF3M;CLEC2B;EIF3K;RSL24D1;RPS24",1.63934426229508,1,0,0,8.19672131147541,5
"8","sirolimus homo sapiens gpl8300 gds3603 chdir up","115/1225",1.20596315959387e-35,1.05220285674565e-33,0,0,3.69596657560662,297.167538679854,"SRP19;IL1RN;SLC4A1;RPL10A;PHB2;TOMM20;PSMD8;SNRPD2;RPL36AL;BASP1;TRBC1;RPL35;CYP1B1;TXNL4A;HMGN3;MAP3K5;MAP2K3;IL4R;RPL21;RPS5;APLP2;ATP5J2;DPM1;COX7A2L;TYROBP;NCL;SNRPG;SRSF2;YME1L1;VDAC2;ERH;S100A9;RPN2;KLRB1;COX17;ATP5I;FPR2;ATP5H;ATP5O;UBE2J1;ATP5B;SEC14L1;BLOC1S1;PRDX1;N4BP1;ZC3H15;XRCC6;KIAA0430;EEF2;HNRNPM;LSM7;PTPRC;MAN2B1;CDKN1C;UFD1L;IGHM;ALAS2;RPLP0;ITGB2;TCIRG1;YBX1;CXCL5;THBD;HINT1;FCGR3B;SUMO1;YWHAQ;UQCRFS1;NCOA1;CCT2;CD52;ATP6AP1;PPP2R5A;PSMA3;PSMA4;PSMA2;EEF1D;CDC42EP3;PECAM1;TRIM58;STRAP;PLEKHO2;PFDN5;NDUFB8;GTF2A2;DGCR14;BCL2A1;ATP5A1;DCTN3;UQCR11;COX5B;PSMB6;PSMB7;PSMB1;SNRPB2;POLR2L;IL10RB;LIMK2;EMR1;NDUFA2;NDUFA1;NAP1L1;CFLAR;KIAA0232;COX6C;SOD1;DNAJA1;EIF3K;KRT17;NDUFAB1;TCEA1;SSBP1;EIF3D;C11ORF58;RAN",2.60869565217391,3,0,0,1.73913043478261,2
"9","valproic acid homo sapiens gpl96 gds1050 chdir up","134/1642",2.25030669996002e-35,1.74523786285788e-33,0,0,3.21290532958654,256.323697160352,"RPL4;RPL5;IL1RN;NDUFA13;RPL3;ATP5C1;PHB2;BZW1;TOMM20;RPL6;SNRPD2;RPL36AL;BASP1;HMGN3;TMEM14B;TGM2;RPL21;RPS7;RPL23;RPL22;MUL1;RPSA;COX7A2L;PPA1;SUB1;YME1L1;VDAC2;ERH;RPL26;RPL29;RPN2;UQCRB;LY96;ATP5J;ATP5I;HIGD1A;UQCRH;SEP15;KLRK1;SEC14L1;PDCD10;PRDX1;NRBF2;SERF2;N4BP1;ZC3H15;NAA50;UBE2B;TBCA;IGF2R;UQCRQ;CCPG1;HNRNPD;CYCS;DYNLRB1;SELT;RSL24D1;NOP10;RPS24;UFD1L;COX7B;HSP90AB1;RPLP0;OLA1;ATP5G3;HMGB1;ATP5G2;COX7C;UBL5;SCPEP1;THBD;HINT1;SUMO1;YWHAQ;C14ORF2;SUMO2;CTBS;NCOA1;ACTR2;CCT2;HSP90AA1;NDUFC2;EDF1;DYNLL1;PSMA6;HAX1;PSMA2;NDUFS6;FAM96B;DLD;PTMA;PFDN5;TSEN34;SF3B5;NDUFB8;USP10;ATP5A1;NDUFB3;DCTN3;RPL36A;UQCR11;NEDD8;UQCR10;PCNP;PSMB7;CNIH;PSMB1;RPL14;SEC11A;TIMM8B;NPM1;NDUFA6;MDH1;IL10RB;NDUFA4;NDUFA3;NDUFA2;KCNJ15;NAP1L1;COX6C;KTN1;DNAJA1;KLF7;C6ORF48;EIF3M;CLEC2B;EIF3K;CCNG1;EIF3H;EIF3E;SSBP1;FCGR2C;C11ORF58;RAN",1.49253731343284,2,0,0,4.47761194029851,6
"10","gemcitabine homo sapiens gpl96 gse6914 chdir up","145/1897",2.44356962861887e-35,1.70561160077597e-33,0,0,3.00931018309058,239.833048798426,"RPL4;RPL5;HNRPDL;RPL3;RPL34;CTNND1;ATP5C1;PARK7;CALML4;RPL10A;C14ORF166;PHB2;BZW1;TOMM20;RPL6;PSMD8;EEF1B2;FAM134A;IL18RAP;SNRPD2;RPL36AL;RPL36;RPL35;SNRPD3;SEPHS2;TMEM14B;NUP214;MAP2K3;IL4R;RPS7;RPL23;RPS5;RPL22;RBX1;DPM1;COX7A2L;KEL;PPA1;SUB1;CMPK1;YME1L1;SRSF3;VDAC2;SNRPE;ERH;MATR3;RPL26;RPL29;RPN2;UQCRB;ATP5J;C2ORF28;ATP5O;HIGD1A;UQCRH;CYB5R4;TBXA2R;SFN;S100A14;N4BP1;NAA50;XRCC6;TBCA;MRPL23;EEF2;HNRNPM;LSM7;UQCRQ;COPS2;CD24;SELT;RSL24D1;RPS24;CDKN1C;UFD1L;COX7B;HSP90AB1;RPLP0;CLTB;HMGB2;ARRB1;ATP5G3;HMGB1;COX7C;MRPL3;HINT1;C14ORF2;XPO6;UQCRFS1;FLOT2;ACTR2;CCT2;HSDL2;MMP8;PSMA6;TUBB2C;NSA2;PSMA1;PSMA2;UFC1;NDUFS3;TLR5;PTMA;PFDN5;SF3B5;NDUFB8;NDUFB4;DCTN3;RPL36A;NDUFB1;COX5B;PSMB6;PCNP;PSMB7;GNG5;CNIH;PSMB1;RPL14;EIF4H;SNRPB2;POLR2G;RPL17;SEC11A;POLR2J;TIMM8B;NPM1;NDUFA6;MDH1;CSNK1A1;LIMK2;NDUFA2;NAP1L1;COX6C;C6ORF48;EIF3M;EIF3K;PSMC2;SERBP1;NDUFAB1;CCNG1;EIF3H;EIF3E;SSBP1;EIF3D;RAN",0,0,0,0,2.75862068965517,4
