"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","sirolimus homo sapiens gpl8300 gds3603 chdir up","25/1225",2.33308399088864e-11,1.62849262564027e-08,0,0,4.80192076830732,117.55699894024,"CDKN1C;KLRB1;CD81;CTSW;ZC3HAV1;SNRPD2;SPOCK2;TNFSF10;FYN;SH2B3;PARP1;RFTN1;NDUFA1;NKG7;COX6C;RUNX3;SND1;NME1;ARL4C;IRF1;RAB9A;PRKCQ;CD247;S100A9;GNE",4,1,0,0,4,1
"2","imatinib homo sapiens gpl571 gds3518 chdir down","13/432",3.35376486807034e-08,1.17046393895655e-05,0,0,7.08061002178649,121.861526929838,"DNMT1;PARP1;MAGED1;NDUFA1;RNASE3;RNASE2;COX6C;NME1;ATIC;UQCRQ;S100A12;S100A9;S100A8",7.69230769230769,1,0,0,23.0769230769231,3
"3","troglitazone rattus norvegicus gpl341 liver gds3850 chdir down","7/123",9.2951698670813e-07,0.000216267618907425,0,0,13.3907221425155,185.978393656515,"ORM1;CD81;ARG1;HP;NDUFA1;DBI;COX6C",0,0,0,0,28.5714285714286,2
"4","baclofen mus musculus gpl1261 gse17266 chdir down","11/402",1.06147253333892e-06,0.000185226957067642,0,0,6.438396254024,88.5656352040555,"ORM1;CISH;UQCRQ;IRF1;RPL22;HP;DBI;RPL26;COX6C;COX7C;PDIA5",0,0,0,0,27.2727272727273,3
"5","estradiol homo sapiens gpl6102 gse11567 chdir down","9/289",3.82167704792049e-06,0.0005335061158897,0,0,7.32749847343782,91.4092334013035,"ATIC;PARP1;UQCRQ;RPL22;TFF3;CALM3;RPL26;COX6C;S100A9",11.1111111111111,1,0,0,22.2222222222222,2
"6","hydrocortisone homo sapiens gpl201 gse21909 chdir up","18/1270",5.13896348964534e-06,0.000597832752628741,0,0,3.33487725798981,40.6143334472964,"CDKN1C;SMAD1;KLRB1;CD81;ARG1;RPS27L;NKG7;CTSW;HK3;ATIC;CXCR3;SLAMF7;RAB9A;FYN;CALM3;PTPRCAP;CD247;FCGR2B",5.55555555555556,1,0,0,5.55555555555556,1
"7","vitamin c mus musculus gpl1261 gse37676 chdir down","15/1029",2.57655066613207e-05,0.00256918909280026,0,0,3.4299434059338,36.2424075172863,"DAZAP2;ENY2;MAGED1;NDUFA1;RPS27L;DBI;COX6C;COX7C;PDIA5;NME1;ARL4C;SNRPD2;UQCRQ;RPL26;GNE",0,0,0,0,13.3333333333333,2
"8","letrozole homo sapiens gpl96 gds3116 chdir up","5/94",5.02166561737021e-05,0.00438140325115551,0,0,12.5156445556946,123.894415394367,"MAGED1;TNFSF10;NDUFA1;DBI;COX7C",0,0,0,0,20,1
"9","letrozole homo sapiens gds3116 chdir up","5/94",5.02166561737021e-05,0.00389458066769378,0,0,12.5156445556946,123.894415394367,"MAGED1;TNFSF10;NDUFA1;DBI;COX7C",0,0,0,0,20,1
"10","hydrocortisone homo sapiens keloid scar gds3071 chdir down","11/640",8.22528589048957e-05,0.00574124955156172,0,0,4.04411764705882,38.0378075412529,"SNRPD2;UQCRQ;RPL22;RFTN1;NDUFA1;RPS27L;DBI;RPL26;COX6C;COX7C;NME1",0,0,0,0,18.1818181818182,2
"11","titanium dioxide mus musculus gpl1261 non-pregnant gds2878 chdir up","6/170",8.66726723705603e-05,0.00549977502860464,0,0,8.30449826989619,77.6750609392473,"RPL22;RPS27L;DBI;RPL26;COX6C;COX7C",0,0,0,0,33.3333333333333,2
"12","trastuzumab homo sapiens gpl6947 gse31432 chdir up","9/432",9.08685322311258e-05,0.00528551962477715,0,0,4.90196078431372,45.6181215528952,"DAZAP2;SLPI;UQCRQ;TNFSF10;TFF3;RPS27L;CALM3;COX6C;COX7C",0,0,0,0,11.1111111111111,1
"13","captopril mus musculus gpl1261 gds3683 chdir down","14/1034",0.000109290633791383,0.00586806633741424,0,0,3.18580043235863,29.0592781949489,"RPL22;NDUFA1;RPS27L;DBI;RETN;ZC3HAV1;COX6C;KLF2;NME1;SNRPD2;SLPI;TMEM109;EVL;RPL26",0,0,0,0,7.14285714285714,1
"14","decitabine homo sapiens gpl96 gse19610 chdir down","5/112",0.000115608425320269,0.00576390577668199,0,0,10.5042016806723,95.2237575734089,"S100A12;RNASE3;RNASE2;S100A9;S100A8",0,0,0,0,60,3
"15","pioglitazone rattus norvegicus gpl341 liver gds3850 chdir down","5/123",0.000179528614751703,0.00835406487311258,0,0,9.56480153036824,82.4980961174791,"ORM1;CD81;DBI;COX6C;COX7C",0,0,0,0,40,2
"16","rosiglitazone mus musculus gpl1261 diabetes gds4036 chdir up","4/71",0.000237651624461602,0.0103675521171374,0,0,13.2560066280033,110.617461069183,"HP;S100A9;CAMP;S100A8",0,0,0,0,75,3
"17","vitamin c homo sapiens gpl570 gds3635 chdir up","30/3773",0.000255175003608069,0.0104771854422607,0,0,1.87087822141844,15.4788250127721,"DAZAP2;DNMT1;ENY2;CD81;MAGED1;RPS27L;DBI;ZC3HAV1;COX7C;IFIH1;ATIC;SNRPD2;TMEM109;FYN;SH2B3;IL32;SMAD1;PARP1;CISH;SP110;NDUFA1;RNASE3;PDIA5;KLF2;NME1;ARL4C;UQCRQ;RAB9A;CALM3;RPL26",3.33333333333333,1,0,0,6.66666666666667,2
"18","dexamethasone homo sapiens gpl3921 gse28896 chdir up","7/299",0.000283670861163337,0.0110001256162228,0,0,5.50855793822546,44.9922262602478,"SNRPD2;RPL22;NDUFA1;RPS27L;RPL26;RNASE2;COX7C",0,0,0,0,42.8571428571429,3
"19","troglitazone mus musculus gpl81 gds734 chdir down","5/138",0.000306433044273501,0.0112573823633107,0,0,8.52514919011083,68.9728156783228,"HP;DBI;RETN;COX6C;COX7C",0,0,0,0,20,1
"20","niacin mus musculus gpl1261 gds2605 chdir down","6/225",0.000395651745660834,0.0138082459235631,0,0,6.27450980392157,49.1606347531593,"SLPI;NDUFA1;DBI;RPL26;RETN;COX6C",0,0,0,0,16.6666666666667,1
"21","estradiol homo sapiens gpl6102 gse11567 chdir up","7/316",0.000395795864098486,0.0131555006257497,0,0,5.21221146686523,40.8356543710094,"DAZAP2;CD81;RPL22;NDUFA1;DBI;SND1;KLF2",0,0,0,0,0,0
"22","vorinostat homo sapiens gpl10558 gse35242 chdir up","17/1617",0.000398021140330608,0.0126281252704893,0,0,2.47371675943104,19.3667419608705,"DAZAP2;DNMT1;PRKCH;CD81;MAGED1;RPL22;NDUFA1;RPS27L;DBI;ARHGAP17;KLF2;NME1;SNRPD2;OAS2;UQCRQ;CALM3;RPL26",0,0,0,0,5.88235294117647,1
"23","estradiol mus musculus gpl81 gse1839 chdir up","10/645",0.000402756139107596,0.0122227732650914,0,0,3.64797081623347,28.5168419263103,"CDKN1C;ARL4C;SMAD1;DNMT1;MAGED1;SPOCK2;EVL;FYN;CALM3;COX6C",0,0,0,0,0,0
"24","sirolimus homo sapiens gpl96 gds2494 chdir down","11/775",0.000430932841696967,0.0125329634793534,0,0,3.33965844402277,25.880877813141,"ITK;DAZAP2;CD4;PRKCH;CD81;RPL22;DBI;CALM3;RPL26;CD3E;NME1",9.09090909090909,1,0,0,9.09090909090909,1
"25","deferoxamine homo sapiens gpl91 gse1056 chdir up","5/154",0.000506837467265418,0.0141509020860505,0,0,7.63941940412529,57.962721032504,"CD81;NDUFA1;DBI;CALM3;COX7C",0,0,0,0,20,1
"26","doxorubicin homo sapiens gpl570 gse11940 chdir up","6/236",0.000509305753158321,0.0136729006040195,0,0,5.98205383848455,45.3586960793439,"ORM1;UQCRQ;RPL22;HP;RPS27L;COX7C",0,0,0,0,33.3333333333333,2
"27","vitamin e mus musculus gpl1261 gse42813 chdir up","10/666",0.000517339210859602,0.0133741766362964,0,0,3.5329447094153,26.7331276620953,"DAZAP2;DNMT1;CD4;SLPI;RPL22;NDUFA1;RPL26;CD3E;COX6C;NME1",10,1,0,0,10,1
"28","dexamethasone mus musculus gpl339 gse2342 chdir up","6/237",0.000520778730878371,0.0129822697911823,0,0,5.95681310498883,45.0346109142583,"CISH;RPL22;RPS27L;COX6C;COX7C;NME1",0,0,0,0,16.6666666666667,1
"29","diethylstilbestrol mus musculus gpl81 gds982 chdir up","12/953",0.000679760469042882,0.016361131289377,0,0,2.96278007530399,21.6098366468936,"CDKN1C;ARL4C;SMAD1;DNMT1;MAGED1;SPOCK2;RPL22;TMEM109;EVL;FYN;CALM3;COX6C",0,0,0,0,0,0
"30","prednisolone homo sapiens gpl570 gse32962 chdir down","11/845",0.000881929801924217,0.0205195667247701,0,0,3.06300034806822,21.5433008124135,"ARG1;PTAFR;S100A12;NKG7;RNASE3;RETN;ABHD5;RNASE2;FCGR2B;S100A9;S100A8",0,0,0,0,36.3636363636364,4
"31","mifepristone homo sapiens gpl6947 gse39654 chdir up","9/593",0.000925425319564055,0.0208369959050229,0,0,3.5710742981847,24.9448721717134,"DAZAP2;ATIC;SNRPD2;MAGED1;UQCRQ;RPL22;NDUFA1;RPS27L;COX6C",11.1111111111111,1,0,0,0,0
"32","rosiglitazone homo sapiens gpl570 gds2453 chdir up","7/366",0.000942334059115487,0.0205546616644566,0,0,4.50016072002571,31.3532979949828,"ARL4C;DAZAP2;CD81;UQCRQ;RFTN1;NDUFA1;COX7C",0,0,0,0,14.2857142857143,1
"33","ethanol rattus norvegicus gpl341 gse3311 chdir up","5/178",0.000974457400837588,0.0206112504783223,0,0,6.60938532716457,45.8270307590095,"SNRPD2;UQCRQ;NDUFA1;RPS27L;DBI",0,0,0,0,0,0
"34","rosiglitazone rattus norvegicus gpl341 liver gds3850 chdir down","4/106",0.00108559724716863,0.0222866728977559,0,0,8.87902330743618,60.6048833315546,"ORM1;RPL22;HP;RPL26",0,0,0,0,50,2
"35","imatinib homo sapiens gpl201 gds838 chdir up","6/275",0.00112853285844559,0.0225061695770006,0,0,5.13368983957219,34.8415153550855,"DAZAP2;SNRPD2;S100A12;CTSW;CAMP;S100A8",0,0,0,0,33.3333333333333,2
"36","etoposide homo sapiens gpl10558 gse33990 chdir up","9/635",0.00148920483807927,0.0288740271383146,0,0,3.33487725798981,21.7084267548838,"CD81;RPL22;NDUFA1;EVL;FYN;RPL26;COX6C;COX7C;NME1",0,0,0,0,22.2222222222222,2
"37","letrozole homo sapiens gpl3921 gse33366 chdir down","7/404",0.0016628076687114,0.0313686419665015,0,0,4.0768782760629,26.088954088928,"IFIH1;SMAD1;SP110;OAS2;RFTN1;TNFSF10;B3GALT4",0,0,0,0,0,0
"38","ethanol mus musculus gpl6885 gse46492 chdir up","6/299",0.0017276957641092,0.0317350432460058,0,0,4.72162108990753,30.0340744593565,"SNRPD2;MAGED1;RPS27L;DBI;COX6C;NME1",0,0,0,0,0,0
"39","testosterone mus musculus gpl8321 gse13388 chdir up","4/121",0.00176923927733239,0.0316648465532823,0,0,7.77831793874575,49.2928000902213,"NDUFA1;RPS27L;DBI;COX6C",0,0,0,0,0,0
"40","valproic acid mus musculus gpl1261 gds3002 chdir up","14/1372",0.0018380675957286,0.032074279545464,0,0,2.40096038415366,15.1237466481179,"DAZAP2;CD81;RPL22;NDUFA1;DBI;COX6C;COX7C;HOPX;SNRPD2;UQCRQ;FYN;CALM3;RPL26;FRYL",0,0,0,0,14.2857142857143,2
"41","valproic acid mus musculus gpl6885 gse41020 chdir down","5/207",0.00189847592043778,0.0323203949381846,0,0,5.68343279340722,35.6163902349526,"HK3;HP;ST8SIA4;PGLYRP1;CAMP",0,0,0,0,40,2
"42","isotretinoin homo sapiens gpl8300 gds3215 chdir down","4/128",0.00217239070594745,0.0361030645893172,0,0,7.35294117647059,45.0876986033424,"IRF1;SPOCK2;TNFSF10;S100A9",0,0,0,0,25,1
