"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","dexamethasone homo sapiens gpl3921 gse28896 chdir up","6/299",3.45020416328303e-07,0.000240824250597156,0,0,20.066889632107,298.588540011427,"RPL26;RNASE2;COX7C;PFDN5;RPL39;RPS24",0,0,0,0,100,6
"2","doxorubicin homo sapiens gpl570 gse11940 chdir up","5/236",2.94171567900493e-06,0.00102665877197272,0,0,21.1864406779661,269.841474206223,"ORM1;TMA7;COX7C;RPL39;RPS24",0,0,0,0,100,5
"3","estradiol homo sapiens gpl570 gds3217 chdir up","6/438",3.18427484691189e-06,0.0007408746143815,0,0,13.6986301369863,173.387479074538,"TMA7;S100P;RPL26;RPL39;S100A8;RPS24",0,0,0,0,100,6
"4","paclitaxel homo sapiens gpl570 gse11552 chdir up","4/122",5.91975374694687e-06,0.00103299702884223,0,0,32.7868852459016,394.662810056821,"TMA7;RPL26;PFDN5;RPL39",0,0,0,0,100,4
"5","mifepristone homo sapiens gpl6947 gse39654 chdir down","5/298",9.16333453758013e-06,0.00127920150144619,0,0,16.7785234899329,194.635912970387,"TXN;RPL26;PFDN5;RPL39;RPS24",0,0,0,0,100,5
"6","deferoxamine homo sapiens gpl91 gse1056 chdir up","4/154",1.48782193517083e-05,0.00173083285124873,0,0,25.974025974026,288.717200076466,"TXN;COX7C;PFDN5;RPS24",0,0,0,0,100,4
"7","isotretinoin homo sapiens gpl571 gse10433 chdir up","3/55",2.17012882887197e-05,0.00216392846078948,0,0,54.5454545454545,585.716668965617,"S100P;S100A9;S100A8",0,0,0,0,100,3
"8","isotretinoin homo sapiens gpl571 gds3218 chdir up","3/56",2.29150579491596e-05,0.00199933880606418,0,0,53.5714285714286,572.341945239207,"S100P;S100A9;S100A8",0,0,0,0,100,3
"9","mycophenolate mofetil homo sapiens gpl6255 gse13922 chdir up","4/178",2.62890500898449e-05,0.00203886188474575,0,0,22.4719101123595,236.996810154393,"S100P;S100A9;CAMP;S100A8",0,0,0,0,100,4
"10","etoposide homo sapiens gpl10558 gse33990 chdir up","6/635",2.65005116529993e-05,0.00184973571337935,0,0,9.44881889763779,99.5749277243918,"TXN;RPL26;COX7C;PFDN5;RPL39;RPS24",0,0,0,0,100,6
"11","hydrocortisone homo sapiens keloid scar gds3071 chdir down","6/640",2.76976762176409e-05,0.00175754345453757,0,0,9.375,98.3827691189056,"TMA7;TXN;RPL26;COX7C;PFDN5;RPS24",0,0,0,0,100,6
"12","imatinib homo sapiens gpl571 gds3518 chdir up","5/379",2.91835458989318e-05,0.00169750958645453,0,0,13.1926121372032,137.756009289259,"RPL26;COX7C;PFDN5;RPL39;RPS24",0,0,0,0,100,5
"13","rosiglitazone homo sapiens gpl570 gds2453 chdir down","5/403",3.91360134366864e-05,0.00210130287529286,0,0,12.4069478908189,125.911506887424,"TMA7;PFDN5;S100A9;RPL39;S100A8",0,0,0,0,100,5
"14","rosiglitazone mus musculus gpl1261 diabetes gds4036 chdir up","3/71",4.67983774597195e-05,0.00233323339049173,0,0,42.2535211267606,421.253325012921,"S100A9;CAMP;S100A8",0,0,0,0,100,3
"15","imatinib homo sapiens gpl571 gds3518 chdir down","5/432",5.44809638597242e-05,0.00253518085160583,0,0,11.5740740740741,113.630314864439,"TMA7;TXN;RNASE2;S100A9;S100A8",0,0,0,0,100,5
"16","estradiol homo sapiens gpl96 gse1045 chdir up","3/82",7.20061549773837e-05,0.00314126851088836,0,0,36.5853658536585,348.97898622457,"RPL26;RPL39;RPS24",0,0,0,0,100,3
"17","prednisolone homo sapiens gpl570 gse32962 chdir down","6/845",0.000130113217356991,0.00534229563030467,0,0,7.10059171597633,63.5297437901422,"BCL2A1;ARG1;S100P;RNASE2;S100A9;S100A8",16.6666666666667,1,0,0,83.3333333333333,5
"18","decitabine homo sapiens gpl96 gse19610 chdir down","3/112",0.000181806942066189,0.0070500691979,0,0,26.7857142857143,230.693710493769,"RNASE2;S100A9;S100A8",0,0,0,0,100,3
"19","tretinoin homo sapiens gpl96 gds3089 chdir up","3/113",0.000186646312608688,0.00685679611583498,0,0,26.5486725663717,227.954737392339,"ORM1;S100P;RPS24",0,0,0,0,100,3
"20","rosiglitazone homo sapiens gpl96 gds2705 chdir up","3/148",0.000412708837605806,0.0144035384324426,0,0,20.2702702702703,157.961517715919,"RPL26;RPL39;RPS24",0,0,0,0,100,3
"21","methotrexate homo sapiens gpl571 gse9412 chdir up","5/712",0.00055991709508468,0.0186105777318622,0,0,7.02247191011236,52.5823162197078,"TXN;COX7C;PFDN5;RPL39;RPS24",0,0,0,0,100,5
"22","baclofen mus musculus gpl1261 gse17266 chdir down","4/402",0.000603534927922029,0.0191485172586171,0,0,9.9502487562189,73.758275059758,"ORM1;RPL26;COX7C;RPS24",0,0,0,0,100,4
"23","titanium dioxide mus musculus gpl1261 non-pregnant gds2878 chdir up","3/170",0.000618397047561111,0.018767006052072,0,0,17.6470588235294,130.383173559203,"RPL26;COX7C;RPS24",0,0,0,0,100,3
"24","tocilizumab homo sapiens gpl6244 gse25160 chdir down","3/176",0.000684008961280136,0.0198932606238973,0,0,17.0454545454545,124.219423962627,"S100P;MMP9;S100A9",0,0,0,0,100,3
"25","valproic acid homo sapiens gpl96 gds1050 chdir up","7/1642",0.000739194961762333,0.0206383233324043,0,0,4.26309378806334,30.7366881694301,"TMA7;LY96;TXN;RPL26;COX7C;PFDN5;RPS24",14.2857142857143,1,0,0,100,7
"26","imatinib homo sapiens gpl571 gds4175 chdir down","3/181",0.000741962689436886,0.0199188445087287,0,0,16.5745856353591,119.439971268049,"TMA7;TXN;RPL39",0,0,0,0,100,3
"27","cisplatin homo sapiens gpl201 gse6410 chdir down","2/50",0.00113075900599833,0.029232214303216,0,0,40,271.394647400571,"TXN;RPL39",0,0,0,0,100,2
"28","candesartan rattus norvegicus gpl85 gse2739 chdir down","2/50",0.00113075900599833,0.0281882066495297,0,0,40,271.394647400571,"RPL26;RPL39",0,0,0,0,100,2
"29","ethanol rattus norvegicus gpl341 gse1996 chdir down","3/214",0.00120385518508122,0.028975548937472,0,0,14.018691588785,94.2368161331952,"TMA7;RPL26;RPS24",0,0,0,0,100,3
"30","estradiol bos taurus gpl2112 gse45857 chdir up","2/53",0.00126970524314654,0.0295418086572094,0,0,37.7358490566038,251.659264055085,"RPL26;RPL39",0,0,0,0,100,2
"31","imatinib homo sapiens gpl570 gds4177 chdir down","3/222",0.00133782425745014,0.0301226236032322,0,0,13.5135135135135,89.4150090959473,"COX7C;PFDN5;RPS24",0,0,0,0,100,3
"32","candesartan rattus norvegicus gpl85 gds2070 chdir down","2/58",0.00151854004166737,0.0331231546588696,0,0,34.4827586206897,223.793307055229,"RPL26;RPL39",0,0,0,0,100,2
"33","dexamethasone mus musculus gpl339 gse2342 chdir up","3/237",0.00161364702451101,0.0341310794881419,0,0,12.6582278481013,81.3830180904012,"TMA7;COX7C;RPS24",0,0,0,0,100,3
