"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1","sirolimus homo sapiens gpl96 gds2494 chdir up","79/533",1.35504449298181e-45,9.45821056101306e-43,0,0,7.35571394652675,759.937159548085,"RPL4;COX7B;NDUFA13;RPL3;RPL34;ITGB2;CLTA;RPL10A;COX6A1;RPL9;COX7C;CD3D;RPL6;EEF1B2;UBL5;HINT1;SNRPD2;RPL36AL;RPL36;RPL35;RPLP2;UQCRFS1;RPS11;CLIC1;CD53;IK;RPS9;RPS7;PRKCB;RPL23;SSR2;RPL13A;PDIA6;PSMA6;NSA2;COX7A2L;HAX1;PSMA1;LCK;EEF1D;NDUFS4;SNRPG;VDAC3;SNRPE;SUCLG1;SLC25A5;PFDN5;FH;UQCRB;NDUFB3;UQCR11;COX7A2;COX5B;UQCRH;PCNP;PSMB7;PSMB1;RPL14;PGK1;SEC11A;NDUFA9;IGBP1;TIMM8B;MDH1;NDUFA4;NDUFA2;NDUFA1;ARPC5;TBCA;EEF2;COX6C;LSM3;PTPRC;EIF3K;RPL27A;EIF3H;EIF3E;RPS24;RAN",1.26582278481013,1,0,0,5.06329113924051,4
"2","sirolimus homo sapiens gpl8300 gds3603 chdir up","102/1225",4.16377047053729e-36,1.45315589421751e-33,0,0,4.13227325669722,336.642427375579,"FCN1;RPL10A;PHB2;PSMD8;STK10;SNRPD2;RPL36AL;BASP1;TRBC1;RPL35;LGALS9;RPS11;SLC25A46;HMGN1;MAP2K3;IK;RPS9;IL4R;PRKCB;RPS5;RUNX3;DPM1;COX7A2L;TYROBP;CD8A;SNRPG;ERH;S100A9;KLRB1;COX17;COX7A2;FPR2;TXN;RIPK1;CYC1;APOBEC3G;NKG7;EEF2;PTPRE;PTPRC;SERPINA1;RPLP0;ITGB2;PLEK;CTSW;YBX1;CD3D;HINT1;FCGR3B;GNLY;TIMM17A;RPLP2;UQCRFS1;CD52;FCER1G;BTN3A1;SYK;HSBP1;YWHAZ;FGR;HCK;ZAP70;PSMA3;PSMA4;SLC7A7;PSMA2;EEF1D;PECAM1;HCLS1;LCP2;PLEKHO2;LCP1;PFDN5;SASH3;GTF2A2;STAU1;UQCR11;COX5B;CST7;AIF1;PSMB6;PSMB7;SPOCK2;PSMB1;SNRPB2;FYN;GBP1;NDUFA9;IL10RB;IL10RA;NDUFA2;NDUFA1;GZMB;COX6C;GZMH;GZMK;EIF3K;CD247;C11ORF58;MYO1F;RAN;LAMTOR5",2.94117647058824,3,0,0,2.94117647058824,3
"3","hydrocortisone homo sapiens keloid scar gds3071 chdir down","75/640",5.25989382368865e-36,1.22380196297823e-33,0,0,5.81575682382134,472.431097860869,"RPL4;COX7B;NDUFA13;RPL3;RPL34;RPLP0;CLTA;ETFA;DBI;YBX1;RPL10A;IER3IP1;COX6A1;SRP14;COX7C;ACTB;HINT1;SNRPD2;RPL36AL;MPC2;RPL36;RPL35;RPS11;CLIC1;CAP1;RPS9;RPS7;RPL23;RPS5;RPL22;RPL13A;RPSA;PSMA6;NSA2;PSMA1;PSMA2;EEF1D;SNRPG;RPL26;RPL29;SLC25A5;PFDN5;FH;UQCRB;RPL36A;NDUFB2;RPS27L;NDUFB1;UQCR11;COX7A2;TXN;UQCR10;COX5B;HIGD1A;UQCRH;RPL14;RPL17;TIMM8B;NDUFA4;NDUFA1;TBCA;COX6C;RPS14P3;EIF3M;EIF3K;UQCRQ;ARPC3;RPL27A;CAPZA1;CYCS;EIF3E;SLIRP;RPS24;RAN;LAMTOR5",0,0,0,0,6.66666666666667,5
"4","testosterone mus musculus gpl1261 gse17553 chdir up","96/1154",8.08825536387413e-34,1.41140056099604e-31,0,0,4.12848179382534,314.579909358763,"RPL4;NDUFA13;NCF2;RPLP0;CLTA;DBI;YBX1;RPL10A;IER3IP1;COX6A1;SRP14;COX7C;RPL6;ACTB;PSMD8;EEF1B2;HINT1;SIN3B;SNRPD2;RPL36AL;BASP1;RPL36;RPL35;UQCRFS1;SEC61B;CLIC1;HMGN1;CAP1;CD52;RPS9;RPS7;SYK;HSBP1;PGAM1;RPS5;RPL22;SARS;RPL13A;PDIA6;YWHAZ;RBX1;DPM1;PSMA6;NSA2;COX7A2L;PSMA1;PPA2;SUB1;NDUFS3;ERH;SNRPE;RPL26;LCP1;RPL29;SLC25A5;PFDN5;STAU1;UQCRB;NDUFB5;COX17;NDUFB2;UQCR11;COX7A2;COX5B;UQCRH;PRDX3;PCNP;PSMB7;PDCD10;ORMDL2;PSMB1;RPL14;PGK1;NDUFV2;IGBP1;TIMM8B;NDUFA8;MDH1;IL10RB;NDUFA4;NDUFA3;NDUFA1;ARPC5;TBCA;EEF2;EIF2S2;HOPX;ATOX1;EIF3M;EIF3K;UQCRQ;ARPC3;LCN2;EIF3H;EIF3E;RAN",2.08333333333333,2,0,0,3.125,3
"5","dexamethasone homo sapiens gpl3921 gse28896 chdir up","52/299",1.81519609880345e-33,2.53401375392962e-31,0,0,8.63092027187399,650.677437164787,"RPL4;RPL3;RPLP0;CLTA;COX6A1;SRP14;RPL9;COX7C;ACTB;RPL6;HINT1;SNRPD2;RPL36AL;BASP1;RPL36;RPLP2;RPS11;RPS9;FCER1G;RPL23;RPL22;RPL13A;RPSA;RNASE2;COX7A2L;HAX1;PSMA1;EEF1D;RPL26;PFDN5;GTF2A2;UQCRB;RPL36A;RPS27L;UQCR11;CSF2RB;CST7;AIF1;UQCRH;NDUFV2;RPL17;NFE2;NDUFA4;NDUFA1;EEF2;EIF3M;EIF3K;ARPC3;RPL27A;ALOX5AP;RSL24D1;RPS24",0,0,0,0,9.61538461538461,5
"6","deferoxamine homo sapiens gpl91 gse1056 chdir up","40/154",3.99880171936011e-33,4.65193933352226e-31,0,0,12.8903354709806,961.610174634703,"RPL4;COX7B;UQCRB;RPL34;RPLP0;RPL36A;CLTA;COX7A2;DBI;UQCR11;TXN;RPL10A;COX5B;RPL9;COX7C;ACTB;UQCRH;EEF1B2;HINT1;PSMB1;RPL35;RPLP2;RPS11;RPL17;HMGN1;HSP90AA1;RPS7;RPL23;RPS5;NDUFA1;EEF2;LSM3;PSMA6;RPL27A;SNRPG;SNRPE;EIF3E;PFDN5;RPS24;RAN",0,0,0,0,10,4
"7","dexamethasone mus musculus gpl339 gds2314 chdir up","66/533",4.37288875569624e-33,4.36039478782282e-31,0,0,6.14528000595906,457.884101839326,"RPL4;RPL3;RPLP0;DBI;SLC2A3;RPL10A;COX6A1;PHB2;COX7C;RPL6;HINT1;GLIPR1;SNRPD2;RPL36AL;BASP1;RPL36;RPL35;RPLP2;UPP1;LGALS9;SEC61B;RPS11;ACTR3;CAP1;RPS9;HSP90AA1;RPS7;RPL23;SSR2;RPS5;RPL13A;RPSA;RBX1;PSMA5;PSMA4;HAX1;PSMA1;PSMA2;SUB1;SNRPG;VDAC3;SNRPE;SUCLG1;UQCRB;NDUFB5;RPL36A;NDUFB2;RPS27L;COX7A2;COX5B;PSMB7;RPL14;PGK1;NDUFV2;NDUFA8;SEMA4D;NDUFA4;EEF2;COX6C;EIF2S2;ATOX1;RPL27A;CYCS;EIF3E;RPS24;RAN",0,0,0,0,3.03030303030303,2
"8","captopril mus musculus gpl1261 gds3683 chdir down","86/1034",3.96729218707356e-30,3.46146243322168e-28,0,0,4.1276499752821,279.439711530362,"RPL4;NDUFA13;RPL3;RPL34;RPLP0;CLTA;GIMAP4;DBI;SLC2A3;YBX1;RPL10A;COX6A1;PHB2;RPL9;RPL6;ACTB;CTSS;EEF1B2;HINT1;GLIPR1;CCND2;SNRPD2;RPL36AL;BASP1;RPL36;RPL35;RPLP2;SEC61B;RPS11;CYTIP;HMGN1;MAP2K3;ACTR3;CD53;CD52;IK;RPS9;RPS7;RPS5;RPL22;RPL13A;RPSA;YWHAZ;PSMA5;PSMA6;PSMA3;COX7A2L;PPA2;NDUFS7;EEF1D;SNRPG;ARHGEF3;ERH;SNRPE;EVL;RPL26;LCP1;PFDN5;CSF1R;NFIX;RPL36A;RPS27L;COX7A2;RETN;COX5B;PCNP;SNX2;CCL5;PSMB1;RPL14;NDUFV2;IL10RB;FEM1B;NDUFA2;LY86;NDUFA1;TBCA;EEF2;COX6C;EIF2S2;PTPRC;RPL27A;EIF3H;EIF3E;RPS24;RAN",1.16279069767442,1,0,0,3.48837209302326,3
"9","vitamin c mus musculus gpl1261 gse37676 chdir down","83/1029",4.10479505651382e-28,3.18349661049627e-26,0,0,4.00301914455963,252.431295090662,"NDUFA13;RPL3;CLTA;F13A1;DBI;YBX1;IER3IP1;COX6A1;PHB2;COX7C;RPL6;ACTB;HINT1;SIN3B;SNRPD2;RPL36AL;MPC2;TIMM17A;RPL35;SEC61B;RPS11;CLIC1;CAP1;RPS7;HSBP1;VBP1;SSR2;PDIA6;YWHAZ;SRP9;RBX1;PSMA5;PSMA6;PSMA3;NSA2;PSMA1;NDUFS7;EEF1D;SUB1;ERH;SUCLG1;RPL26;SLC25A5;PFDN5;UQCRB;NDUFB6;NDUFB5;MRPS33;NDUFB3;RPL36A;NDUFB2;RPS27L;COX7A2;COX5B;UQCRH;PSMB6;PSMB7;SNX2;PSMB1;RPL14;SNRPB2;NDUFV2;SEC11A;MCTS1;NDUFA9;MDH1;NDUFA4;NDUFA2;NDUFA1;ARPC5;COX6C;EIF2S2;LSM3;ATOX1;EVI2A;UQCRQ;ARPC3;RPL27A;CAPZA1;CYCS;EIF3E;RPS24;RAN",0,0,0,0,6.02409638554217,5
"10","valproic acid homo sapiens gpl96 gds1050 chdir up","105/1642",2.14314109493018e-27,1.49591248426127e-25,0,0,3.17351894893052,194.877944056706,"RPL4;NDUFA13;RPL3;F13A1;COX6A1;SRP14;PHB2;RPL9;RPL6;ACTB;CCND2;SNRPD2;RPL36AL;BASP1;RPS11;RPS9;RPS7;RPL23;RPL22;RPSA;PDIA6;COX7A2L;PPA2;SUB1;VDAC3;ERH;SUCLG1;RPL26;RPL29;UQCRB;KMT2A;LY96;COX7A2;TXN;HIGD1A;UQCRH;KLRK1;SNX2;PDCD10;PGK1;MCTS1;TBCA;RPS14P3;UQCRQ;ARPC3;RPL27A;CYCS;RSL24D1;RPS24;COX7B;RPLP0;CLTA;ETFA;COX7C;UBL5;HINT1;GLIPR1;RPLP2;CTBS;CAP1;FGA;HSP90AA1;BTN3A1;SSR2;RPL13A;BTN3A2;PSMA6;HAX1;PSMA2;NDUFS4;SLC25A5;PFDN5;FH;STAU1;NDUFB6;NDUFB3;RPL36A;UQCR11;UQCR10;PCNP;PSMB7;LEPROTL1;PSMB1;RPL14;SEC11A;NDUFA9;IGBP1;TIMM8B;SVIL;MDH1;IL10RB;NDUFA4;NDUFA3;NDUFA2;COX6C;EIF3M;EIF3K;ALOX5AP;EIF3H;RHAG;EIF3E;FCGR2C;C11ORF58;RAN;LAMTOR5",0.952380952380952,1,0,0,6.66666666666667,7
