"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"verteporfin-6133","35/100",2.42967383783064e-12,1.48210104107669e-08,0,0,3.7037037037037,99.049126261851,"GRN;NOTCH1;LY75;PLOD3;MAGT1;HMGCR;HSPA13;TM9SF3;NCSTN;GANAB;GPNMB;ANPEP;QSOX1;CTSG;GALNT7;ABCC4;SUN2;SLC38A1;ANXA3;FUCA1;ATP11B;DHCR24;SLC39A14;SORL1;IGF2R;TM9SF2;POR;SLC9A6;OSTM1;TMBIM1;FAT1;PPT1;PIGK;HYOU1;CES1"
"verteporfin-6817","33/100",6.30714794556008e-11,1.92368012339582e-07,0,0,3.49206349206349,82.0172307364653,"IGSF1;LAMA3;SLC38A10;PLOD2;PTPRK;HMGCR;LTBP1;TM9SF3;MUC1;MAN2A1;ARHGDIB;QSOX1;ACVR1;GALNT7;CISH;LAMB3;ATP13A1;ITGA2;GAA;FZD6;ATP11B;DHCR24;SORL1;IGF2R;TM9SF2;EXT2;POR;SLC9A6;SOAT1;FAT1;STT3A;DSG2;ATP13A3"
"monastrol-614","31/100",1.37018492641681e-09,2.78604268371418e-06,0,0,3.28042328042328,66.9479284472298,"RPL34;MEPCE;CISD1;MRPL12;HSPBP1;CXORF40A;CHCHD2;RPS18;PES1;BSG;RNPEP;PMPCB;TMEM109;CXORF40B;CTSA;G6PD;ALG8;ATP6AP1;LSR;YIF1A;ATOX1;RBX1;C12ORF10;RHOB;ARCN1;NFKBIA;IRF3;ERP29;RPP25;FBP1;NOP10"
"MG-262-7063","30/100",5.96434269768688e-09,9.09562261397248e-06,0,0,3.17460317460317,60.1189427957057,"CITED2;HIST1H2BI;AMD1;HIST1H2BK;NRGN;C1GALT1C1;CA2;AGR2;HIST1H2AG;HIST1H3H;MAN1A1;HIST1H2AC;HIST1H1C;SPINK4;EGR3;SLC6A14;SEMA4C;NPY1R;ARID5B;EMP2;H2BFS;SULF1;GTF2H5;EFNA1;WEE1;CTDSP1;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BD"
"scriptaid-6919","30/100",5.96434269768688e-09,7.27649809117799e-06,0,0,3.17460317460317,60.1189427957057,"BCAR3;POGK;MEPCE;CXCL1;ASAP1;CAPNS1;SERPINH1;TSPAN1;PSENEN;TNFRSF12A;SMAGP;SETD1B;CAD;YIPF5;LIF;ALG3;HMGA2;VEGFC;NUTF2;NFKB1;ITPKB;SNRNP40;CTDSP1;PSAT1;MALL;TRIB3;ADNP;LCP1;RIN2;ZNF532"
"AG-012559-6920","29/100",2.47821826996802e-08,2.51952190780082e-05,0,0,3.06878306878307,53.7440302183777,"SLC25A1;NAPA;KDELR1;POGK;TECR;ASAP1;CRIP2;PRPF8;TOMM22;CNN2;POLD4;CAPNS1;RRAS;BSG;NEU1;STX4;TSPAN1;PSENEN;AKIRIN1;GPX4;TNFRSF12A;CAD;YIPF5;ALG3;NUTF2;MLF2;FXYD5;LCP1;TLN1"
"trichostatin A-6951","29/100",2.47821826996802e-08,2.15959020668642e-05,0,0,3.06878306878307,53.7440302183777,"BCAR3;LAMA5;FOXC1;SLC35F2;POGK;MEPCE;GATA3;HOXC11;COIL;CCND1;STC2;BANP;TGIF1;EGR3;CISH;SETD1B;SEMA4C;NPY1R;INHBB;NR2F2;CBFA2T3;SMAD7;TNFRSF1A;EFNA1;CTDSP1;TRIB3;AMOTL2;ADNP;LUC7L2"
"trichostatin A-5594","27/100",3.70920318915127e-07,0.000282826743172784,0,0,2.85714285714286,42.3065102034853,"BCAR3;FOXC1;POGK;MEPCE;PDGFA;GATA3;HOXC11;COIL;CCND1;STC2;BANP;TGIF1;EGR3;SETD1B;SLC6A14;SEMA4C;WDR74;INHBB;NR2F2;CBFA2T3;SMAD7;EFNA1;ITPKB;FERMT1;TRIB3;ADNP;LY6G5C"
"trichostatin A-7043","27/100",3.70920318915127e-07,0.000251401549486919,0,0,2.85714285714286,42.3065102034853,"BCAR3;FOXC1;SLC35F2;MEPCE;GATA3;COIL;CCND1;STC2;BANP;TGIF1;EGR3;CHKB;CISH;SETD1B;SLC6A14;SEMA4C;NPY1R;INHBB;NR2F2;CBFA2T3;DHRS3;SMAD7;TNFRSF1A;EFNA1;ITPKB;TRIB3;ADNP"
"trichostatin A-1535","26/100",1.3337622175541e-06,0.000813594952708001,0,0,2.75132275132275,37.2185374313021,"BCAR3;FOXC1;POGK;MEPCE;CAPG;GATA3;PLD3;COIL;CCND1;STC2;BANP;EGR3;CHKB;SETD1B;SEMA4C;WDR74;INHBB;CBFA2T3;DHRS3;SMAD7;EFNA1;CYP26A1;CTDSP1;TRIB3;ADNP;LY6G5C"
"trichostatin A-5981","26/100",1.3337622175541e-06,0.000739631775189092,0,0,2.75132275132275,37.2185374313021,"BCAR3;POGK;MEPCE;TOMM22;IFIT2;SERPINH1;TGIF1;SLC14A1;TNFRSF12A;SMAGP;FST;SETD1B;LIF;HMGA2;VEGFC;INHBB;TMC5;NFKB1;PARP12;ITPKB;TMBIM1;TRIB3;ADNP;RIN2;ZNF532;SMPDL3A"
"trichostatin A-6493","26/100",1.3337622175541e-06,0.000677995793923334,0,0,2.75132275132275,37.2185374313021,"BCAR3;POGK;MEPCE;GATA3;HOXC11;COIL;CCND1;STC2;BANP;TGIF1;EGR3;SPHK1;SLC6A14;NPY1R;WDR74;NR1H3;INHBB;NR2F2;CBFA2T3;EFNA1;CYP26A1;CTDSP1;TRIB3;ADNP;LY6G5C;LUC7L2"
"dequalinium chloride-1276","26/100",1.3337622175541e-06,0.000625842271313847,0,0,2.75132275132275,37.2185374313021,"IDI1;CD83;NARF;FICD;INSIG1;USP11;HP;PLOD1;PTGS2;HSPA13;RHOBTB2;RGS2;NEU1;ATP6V0E2;FILIP1L;EGR1;EGR2;JUN;CHKB;ARG1;MRPL52;IL1B;TXNIP;ATF3;RNF187;TMEM45A"
"trichostatin A-5572","26/100",1.3337622175541e-06,0.000581139251934287,0,0,2.75132275132275,37.2185374313021,"BCAR3;FOXC1;POGK;MEPCE;LAMA3;GATA3;HOXC11;COIL;CCND1;STC2;TNS3;BANP;EGR3;DENND4B;SETD1B;SLC6A14;SEMA4C;INHBB;CBFA2T3;NFKB1;SMAD7;ITPKB;TRIB3;ADNP;LY6G5C;LUC7L2"
"trichostatin A-4458","26/100",1.3337622175541e-06,0.000542396635138668,0,0,2.75132275132275,37.2185374313021,"BCAR3;OTUB2;POGK;MEPCE;IFIT2;COIL;SERPINH1;MPP3;CHKB;SMAGP;FST;SETD1B;SPHK1;LIF;HMGA2;VEGFC;INHBB;NFKB1;ITPKB;CTDSP1;KRT15;TRIB3;ADNP;RIN2;ZNF532;LUC7L2"
"vorinostat-5217","26/100",1.3337622175541e-06,0.000508496845442501,0,0,2.75132275132275,37.2185374313021,"BCAR3;FOXC1;SLC35F2;POGK;MEPCE;GATA3;HOXC11;COIL;CCND1;STC2;TGIF1;EGR3;SETD1B;SLC6A14;SEMA4C;WDR74;INHBB;NR2F2;CBFA2T3;NFKB1;SMAD7;EFNA1;CTDSP1;TRIB3;ADNP;LY6G5C"
"verteporfin-3556","26/100",1.3337622175541e-06,0.000478585266298824,0,0,2.75132275132275,37.2185374313021,"NOTCH2;NOTCH1;PLOD2;PTPRK;MAGT1;ATP1A1;LTBP1;TMEM164;TM9SF3;NCSTN;GANAB;CHST11;MAN2A1;OLFML3;SLC12A2;GALNT7;GAA;SLC6A14;EPHX1;SORL1;IGF2R;TM9SF2;SLC9A6;FAT1;DSG2;FKBP9"
"vorinostat-1645","26/100",1.3337622175541e-06,0.00045199719594889,0,0,2.75132275132275,37.2185374313021,"BCAR3;FOXC1;POGK;MEPCE;GATA3;WDR43;COIL;NCSTN;CCND1;STC2;TNS3;BANP;RNF44;EGR3;SETD1B;SLC6A14;SEMA4C;NPY1R;INHBB;NR2F2;CBFA2T3;EFNA1;CYP26A1;CTDSP1;TRIB3;ADNP"
"trichostatin A-1072","26/100",1.3337622175541e-06,0.000428207869846317,0,0,2.75132275132275,37.2185374313021,"BCAR3;FOXC1;SLC35F2;POGK;MEPCE;GATA3;WDR43;COIL;CCND1;STC2;TNS3;BANP;TGIF1;EGR3;DENND4B;SETD1B;NPY1R;WDR74;INHBB;CBFA2T3;SMAD7;EFNA1;TRIB3;AMOTL2;ADNP;LUC7L2"
"trichostatin A-6891","26/100",1.3337622175541e-06,0.000406797476354001,0,0,2.75132275132275,37.2185374313021,"BCAR3;FOXC1;SLC35F2;POGK;MEPCE;GATA3;HOXC11;COIL;CCND1;STC2;BANP;TGIF1;EGR3;CHKB;SETD1B;SLC6A14;SEMA4C;NPY1R;INHBB;NR2F2;CBFA2T3;SMAD7;EFNA1;TRIB3;ADNP;LY6G5C"
"demecolcine-1103","26/100",1.3337622175541e-06,0.000387426167956191,0,0,2.75132275132275,37.2185374313021,"IFITM2;TOMM40;HTRA1;SUMO4;UQCR11;SLC1A5;SLC9A3R1;SLC25A28;ATP6V1H;EFHD1;HIST1H3H;S100A14;ATP6V0E2;HOXA5;HIST1H2AC;VASP;WDR18;NPY1R;PDZK1;ASRGL1;SCAMP2;COX6B1;TMEM134;HIST1H2BF;RBM42;SFXN1"
"trichostatin A-5231","26/100",1.3337622175541e-06,0.000369815887594546,0,0,2.75132275132275,37.2185374313021,"BCAR3;LAMA5;FOXC1;POGK;MEPCE;GATA3;COIL;CCND1;STC2;TNS3;TGIF1;EGR3;CISH;SETD1B;SLC6A14;SEMA4C;WDR74;INHBB;CBFA2T3;SMAD7;TNFRSF1A;EFNA1;CTDSP1;TRIB3;ADNP;LY6G5C"
"trichostatin A-7499","26/100",1.3337622175541e-06,0.000353736935960001,0,0,2.75132275132275,37.2185374313021,"FOXC1;POGK;MEPCE;GATA3;HOXC11;COIL;CCND1;STC2;TGIF1;EGR3;CISH;SETD1B;ITGA2;SEMA4C;NPY1R;INHBB;CBFA2T3;NFKB1;SMAD7;EFNA1;ITPKB;TRIB3;AMOTL2;ADNP;LY6G5C;LUC7L2"
"trichostatin A-873","26/100",1.3337622175541e-06,0.000338997896961667,0,0,2.75132275132275,37.2185374313021,"BCAR3;FOXC1;POGK;MEPCE;GATA3;HOXC11;COIL;STC2;BANP;PRNP;EGR3;SETD1B;SEMA4C;NPY1R;INHBB;NR2F2;LHFPL2;CBFA2T3;NFKB1;SMAD7;EFNA1;CYP26A1;CTDSP1;TRIB3;AMOTL2;ADNP"
"paclitaxel-6720","25/100",4.56177386940564e-06,0.00111307282413498,0,0,2.64550264550265,32.5338597979703,"CRABP2;KDELR1;RPL11;UQCR10;NRGN;CHST11;PPP2R1A;FCGRT;PES1;ARHGDIB;SERPINH1;POLR2F;TMEM8A;MBTPS1;IGFBP4;CD70;H2BFS;DRAP1;GCHFR;KRT19;KRT15;MGAT4B;UBA1;RPP25;PFN1"
"trichostatin A-6579","25/100",4.56177386940564e-06,0.00107026233089902,0,0,2.64550264550265,32.5338597979703,"BCAR3;SLC35F2;POGK;MEPCE;GATA3;HOXC11;COIL;CCND1;STC2;JUNB;TGIF1;EGR3;SETD1B;SEMA4C;NPY1R;WDR74;INHBB;CBFA2T3;NFKB1;SMAD7;EFNA1;CTDSP1;TRIB3;ADNP;LUC7L2"
"tranexamic acid-1401","25/100",4.56177386940564e-06,0.00103062298531016,0,0,2.64550264550265,32.5338597979703,"CD151;RETSAT;FICD;SLC20A1;ZDHHC7;SPATA20;WFDC2;IFIT2;NRGN;CYB5R3;KIF5A;ACP2;PIM2;MAPK3;NQO2;GAA;PNRC1;TIAM2;CS;SLPI;IRF7;CRYL1;EAPP;RPS21;IRF9"
"MG-132-1140","25/100",4.56177386940564e-06,0.000993815021549086,0,0,2.64550264550265,32.5338597979703,"CITED2;HIST1H2BK;GATA3;C1GALT1C1;MT2A;AGR2;HIST1H2AC;EGR3;FUCA1;NPY1R;ARID5B;INHBB;ISG15;H2BFS;DHRS1;HIST2H2BE;GTF2H5;RBX1;EFNA1;NFKBIA;DPM3;MGP;HIST1H2BH;HIST1H2BD;SLC2A4RG"
"trichostatin A-7503","25/100",4.56177386940564e-06,0.000959545538047393,0,0,2.64550264550265,32.5338597979703,"BCAR3;SLC35F2;POGK;MEPCE;PCMTD2;SERPINH1;TMPO;TNFRSF12A;SLC2A10;SMAGP;FST;FZD6;YIPF5;LIF;HMGA2;VEGFC;INHBB;PSAT1;OAS3;ESRP1;KBTBD2;TRIB3;ADNP;RIN2;ZNF532"
