"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"mefloquine-2210","61/100",4.26280883710145e-23,2.60031339063189e-19,0,0,3.6094674556213,185.921968018343,"HIST1H1T;TNFAIP3;MT1X;SLC7A11;ETS2;IFIT2;RND1;OASL;ZFP36;MT2A;RGS2;HIST1H2AE;CYP1B1;HIST1H2AG;SOX9;JUNB;IER2;HIST1H1C;DUSP1;FOS;GEM;HIST2H2BE;RHOB;IRF1;MT1F;HIST1H2BF;MT1G;TXNIP;MT1H;HOXB2;HIST1H2BH;TRIB3;HIST1H2BG;ATF3;MT1E;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;HIST1H2BN;DLX2;HIST1H2BO;HIST1H2BJ;HIST1H2BI;DDX60;DNAJB9;HES1;HIST1H3B;IL32;EGR1;JUN;GADD45B;GADD45A;AKR1C1;KLF2;EFNA1;CXCL10;NR4A1;KLF6;HIST1H4H;HIST1H4E"
"felodipine-965","60/100",3.26689883547183e-22,9.96404144818907e-19,0,0,3.55029585798817,175.64389661291,"NAB1;TNFAIP3;SLC7A11;ETS2;RND1;OASL;ZFP36;HIST1H2AE;FLOT1;HIST1H1D;HIST1H2AG;MAP3K8;PHLDA1;JUNB;IER5;HIST1H2AC;IER2;NKX3-1;HIST1H1C;PAQR6;HIST1H2AI;DDX58;DUSP1;FOS;GEM;HIST2H2BE;PTBP2;IRF1;HIST1H2BF;TXNIP;SIK1;HIST1H2BG;ATF3;HBEGF;PPP1R15A;DLX2;HIST1H2BO;HIST1H2BJ;HIST1H2BI;TUFT1;NEDD9;HIST1H3H;HES1;HIST1H3B;MCL1;EGR1;JUN;GADD45B;GADD45A;TIPARP;KLF4;PNRC1;KLF2;NR4A2;EFNA1;NFKBIA;NR4A1;KLF6;HIST1H4H;NFKBIE"
"calmidazolium-486","59/100",2.40225287415396e-21,4.88458084411304e-18,0,0,3.49112426035503,165.751178552498,"TNFAIP3;MT1X;SLC7A11;PWP2;ZFP36;MT2A;MYC;HIST1H2AE;HIST1H1D;CYP1B1;LGALS8;JUNB;HIST1H2AI;RING1;DUSP1;FOS;GEM;HIST2H2BE;DUSP22;SLCO4A1;SCNN1A;MT1F;HIST1H2BF;MT1G;MT1H;HIST1H2BH;HIST1H2BG;ATF3;PADI1;HIST1H2BD;MT1E;PPP1R15A;CEBPB;CEBPD;INSIG1;SOCS2;HIST1H3H;HES1;NADK;HOXC6;MCL1;EGR1;JUN;GADD45B;GADD45A;TIPARP;ASNS;H2BFS;KLF2;EFNA1;NFKBIA;NR4A1;CYP26A1;IL6;KLF6;ID1;REL;HIST1H4H;HIST1H4J"
"anisomycin-6764","59/100",2.40225287415396e-21,3.66343563308478e-18,0,0,3.49112426035503,165.751178552498,"BTG2;MT1M;HIST1H1T;TNFAIP3;MT1X;CXCL3;SAT1;CXCL2;RND1;ZFP36;DMBT1;HIST1H2AE;CYP1B1;HIST1H2AG;SOX4;HIST1H1C;DUSP1;FOS;GEM;HIST2H2BE;RHOB;MT1F;HIST1H2BF;TXNIP;HIST1H2BE;MT1H;HIST1H2BH;HIST1H2BG;ATF3;HIST1H2BD;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;PTGER4;HIST1H2BJ;HIST1H2BI;TUFT1;GATA6;NEDD9;PTGS2;HDAC9;PTHLH;IL1RL1;STC2;HIST1H3H;HIST1H3B;EGR1;JUN;GADD45B;LIF;INHBA;IL6;KLF6;DHRS9;LPAR6;HIST1H4H;FOSB;HIST1H4D"
"anisomycin-5364","58/100",1.69546645132935e-20,2.06846907062181e-17,0,0,3.43195266272189,156.235334315632,"CD83;TNFAIP3;RND1;OASL;ZFP36;HIST1H2AE;HIST1H1D;CYP1B1;HIST1H2AG;CCNL1;PHLDA1;JUNB;IER2;HIST1H1C;BRD2;HIST1H2AI;DUSP1;HIST1H2AJ;TAP1;FOS;GEM;HIST2H2BE;DUSP6;SFPQ;IRF1;HIST1H2BF;TXNIP;HIST1H2BE;HIST1H2BH;HIST1H2BG;ATF3;EPHA2;HIST1H2BC;BIRC3;PPP1R15A;DLX2;HIST1H2BO;HIST1H2BJ;HIST1H2BI;DDX60;HIST1H3F;CCL2;HIST1H3H;HES1;HIST1H3B;MCL1;EGR1;EGR2;JUN;PNRC1;EFNA1;NFKBIA;IL6;ID1;HIST1H4H;FOSB;NFKBIE;HIST1H4D"
"azacyclonol-1520","57/100",1.14888241545711e-19,1.16803045571473e-16,0,0,3.37278106508876,147.088085517835,"TNFAIP3;MT1X;SLC7A11;SAT1;ETS2;RND1;OASL;ZFP36;MT2A;RGS2;HIST1H2AE;HIST1H1D;HIST1H2AG;CCNL1;PHLDA1;JUNB;HIST1H2AC;IER2;HIST1H1C;BRD2;DDX58;DUSP1;FOS;GEM;HIST2H2BE;SLC9A8;IRF1;MT1F;TXNIP;MT1H;HIST1H2BG;ATF3;HIST1H2BC;HBEGF;PPP1R15A;DLX2;HIST1H2BO;HIST1H2BJ;NEDD9;DNAJB9;HIST1H3B;EGR1;EGR2;JUN;EGR3;GADD45B;GADD45A;KLF4;PNRC1;KLF2;NR4A2;EFNA1;NFKBIA;NR4A1;KLF6;HIST1H4H;FOSB"
"8-azaguanine-1791","57/100",1.14888241545711e-19,1.0011689620412e-16,0,0,3.37278106508876,147.088085517835,"CSF2;CD83;TNFAIP3;CXCL1;CXCL3;CLDN1;SAT1;CXCL2;RND3;ETS2;AKAP12;ZFP36;RGS2;MYC;CYP1B1;UPP1;PHLDA1;JUNB;IER2;DUSP5;SERPINB2;DUSP1;FOS;RHOB;GPRC5A;IL1B;ATF3;HBEGF;PPP1R15A;PTGER4;CEBPB;BCL2A1;RRAD;NEDD9;PTGS2;IL1RL1;STC2;MCL1;EGR1;JUN;GADD45B;GADD45A;TIPARP;CCL20;LIF;INHBA;SOD2;KLF2;NFKBIA;NR4A1;IL6;KLF6;KRT17;KRT16;SNAI2;SPRY2;PTX3"
"cicloheximide-5743","57/100",1.14888241545711e-19,8.76022841786048e-17,0,0,3.37278106508876,147.088085517835,"TNFAIP3;CLDN1;CXCL2;ETS2;IFIT2;RND1;OASL;AKAP12;DMBT1;HIST1H2AE;PIM1;CYP1B1;HIST1H2AG;PHLDA1;HIST1H2AC;SOX4;HIST1H1C;DUSP1;ARID5B;GEM;HIST2H2BE;RHOB;HIST1H2BF;TXNIP;HIST1H2BE;HIST1H2BH;HIST1H2BG;ATF3;HIST1H2BD;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;DLX2;HIST1H2BJ;HIST1H2BI;TUFT1;GATA6;GATA3;PTGS2;HDAC9;PTHLH;STC2;HIST1H3H;HIST1H3B;EGR2;JUN;GADD45B;GADD45A;TIPARP;LIF;INHBA;H2BFS;IL6;KLF6;HIST1H4H;SNAI2"
"anisomycin-1304","57/100",1.14888241545711e-19,7.78686970476488e-17,0,0,3.37278106508876,147.088085517835,"BTG2;CD83;PRDM1;SAT1;CXCL2;ZFP36;NAMPT;HIST1H2AE;HIST1H1E;OLR1;HIST1H2AG;PHLDA1;HIST1H2AC;HIST1H1C;DUSP2;SERPINB2;DUSP1;ARID5B;IL19;FOS;GEM;HIST2H2BE;RHOB;ARL4C;IL1B;HIST1H2BE;HIST1H2BH;HIST1H2BG;ATF3;HIST1H2BD;HIST1H2BC;BIRC3;HBEGF;PPP1R15A;HIST1H2BJ;HIST1H2BI;CREM;PTGS2;HIST1H3H;FILIP1L;MCL1;EGR1;EGR2;JUN;EGR3;TIPARP;CCL20;LIF;OSM;INHBA;H2BFS;NR4A2;NR4A1;KLF6;HIST1H4H;UBAP1;FOSB"
"thioridazine-1068","56/100",7.47637756976567e-19,4.56059031755706e-16,0,0,3.31360946745562,138.301338991829,"TNFAIP3;MT1X;AHR;SLC7A11;AQP3;SAT1;ETS2;RND1;OASL;FADS3;ZFP36;MT2A;TRIM2;HIST1H2AE;HIST1H1D;SOX9;PHLDA1;IER5;HIST1H2AC;IER2;HIST1H1C;DUSP5;DUSP1;HIST1H2AJ;FOS;GEM;HIST2H2BE;MT1F;MT1H;ATF3;PPP1R15A;HIST1H2BJ;INSIG1;NDRG1;ATXN1;NEU1;LRIG1;DNAJB9;HES1;HIST1H3B;EGR1;JUN;GADD45B;GADD45A;AKR1C1;PNRC1;KLF2;NR4A2;EFNA1;NFKBIA;NR4A1;KLF6;BCL6;CCNG2;S100P;TGFBI"
"thioridazine-1010","56/100",7.47637756976567e-19,4.14599119777914e-16,0,0,3.31360946745562,138.301338991829,"TNFAIP3;MT1X;SLC7A11;SAT1;N4BP2L2;ETS2;RND1;OASL;HERC5;ZFP36;MT2A;RGS2;TRIM2;HIST1H2AE;SOX9;PHLDA1;IER5;HIST1H1C;TSPYL2;DUSP5;HIST1H2AI;DUSP1;WIPI1;FOS;GEM;HIST2H2BE;IRF1;HIST1H2BF;TRIB3;HIST1H2BG;ALPK1;ATF3;HIST1H2BC;BIRC3;PPP1R15A;HIST1H2BO;HIST1H2BJ;HIST1H2BI;INSIG1;ITPR1;NDRG1;LRIG1;HES1;HIST1H3B;EGR1;JUN;GADD45B;GADD45A;AKR1C1;PNRC1;KLF2;NR4A2;NR4A1;KLF6;BCL6;CCNG2"
"astemizole-6807","56/100",7.47637756976567e-19,3.80049193129755e-16,0,0,3.31360946745562,138.301338991829,"CD83;TNFAIP3;MT1X;SLC7A11;SAT1;ETS2;IFIT3;CLGN;IFIT2;RND1;OASL;HERC5;ZFP36;MT2A;TRIM2;SOX9;PHLDA1;IER2;TGIF1;DDX58;DUSP1;FOS;GEM;DUSP6;IRF1;MT1F;TXNIP;MT1H;TRIB3;NUPR1;ATF3;MT1E;BIRC3;HBEGF;PPP1R15A;HIST1H2BJ;INSIG1;SLC1A4;HMGCR;DDX60;DNAJB9;EGR1;EGR2;JUN;EGR3;GADD45A;LIF;ASNS;LARP6;KLF2;NR4A2;NR4A1;KLF6;BCL6;CCNG2;FOSB"
"terfenadine-6823","54/100",2.8066723937189e-17,1.31697704628348e-14,0,0,3.19526627218935,121.777818819116,"CD83;HIST1H1T;TNFAIP3;MT1X;SLC7A11;CLDN1;SAT1;IFIT2;RND1;OASL;ZFP36;MT2A;HIST1H1D;CYP1B1;SOX9;PHLDA1;JUNB;IER2;TGIF1;DUSP1;FOS;GEM;DUSP6;IRF1;MT1F;TXNIP;MT1H;TRIB3;NUPR1;ATF3;MT1E;BIRC3;HBEGF;PPP1R15A;CEBPB;HIST1H2BO;HIST1H2BJ;INSIG1;DNAJB9;HIST1H3B;EGR1;JUN;JAG1;EGR3;GADD45A;ASNS;LARP6;KLF2;NR4A2;NR4A1;KLF6;BCL6;CCNG2;CCL27"
"suloctidil-1297","54/100",2.8066723937189e-17,1.22290725726324e-14,0,0,3.19526627218935,121.777818819116,"IFITM1;MT1M;UBE2L6;MT1X;IFI35;SAT1;IFI44L;IFIT3;IFIT2;OASL;HERC5;MT2A;TNFSF10;TRIM21;TRIM22;HERC6;DSP;RSAD2;DDX58;ITGA2;TAP1;PLSCR1;AIM2;OAS1;OAS2;OAS3;MT1F;IRF7;MT1G;MT1H;RIN2;IRF9;MT1E;ZC3HAV1;DDX60;USP18;STAP1;CCL2;CD70;PHF11;MX1;IFI44;EIF2AK2;ISG15;PARP12;EXT1;BST2;CXCL10;LPAR6;AXL;XAF1;GCLM;RGL1;ZCCHC2"
"spiperone-5777","53/100",1.61969322441355e-16,6.58675244594845e-14,0,0,3.13609467455621,114.02565741921,"CSF2;TNFAIP3;SLC7A11;CXCL3;CLDN1;CXCL2;DMBT1;CREB3L2;TMED7;JUNB;TSPYL2;DUSP1;FST;FNDC3B;WIPI1;PDIA4;MED25;GPRC5A;TRIB3;NUPR1;CRELD2;ATF3;HBEGF;PPP1R15A;FICD;INSIG1;SEL1L;AMIGO2;PTGS2;HSP90B1;IL1RL1;CBS;STC2;AGR2;DNAJB9;PCK2;SDF2L1;LAMB3;TMEM50B;GFPT1;EIF2AK3;LIF;ASNS;NFATC1;INHBA;MANF;NR4A2;IL6;KRT17;KRT16;HYOU1;S100P;PTX3"
