"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"butyl hydroxybenzoate-6446","52/100",8.98289414181643e-16,5.47956542650802e-12,0,0,3.07692307692308,106.603198061559,"PIGR;TRAF3IP3;ICA1;RNF19B;SIX1;IKZF1;CLDN1;AQP1;CDH6;RGS5;HYAL1;PPP4R4;MYOZ3;TGM2;HGD;TPSG1;CDC25C;OSMR;EML2;GAP43;PPAP2B;ORAI2;PGR;CHST4;DSC1;PTGER3;HSD17B3;CACNA1D;GATA4;SLC6A20;PLD1;PHYHIP;AIF1;C18ORF25;SLC22A18AS;CALD1;CLCA2;SPRR2B;MUC4;MFAP3L;FAM5B;PLCL2;GNG11;FOSL2;GNAO1;FBXL8;CD4;AKR1B10;TBX10;RIMBP2;TRIM36;C21ORF2"
"josamycin-1534","51/100",4.78836905113529e-15,1.46045256059626e-11,0,0,3.01775147928994,99.5030717824645,"KCNK5;SLC48A1;CHRM3;SH3GL3;DOCK5;VIPR1;GRIK5;RPL10L;ICA1;HR;ABCA12;PAIP2B;GLIPR1;C6ORF105;GM2A;PPP4R4;TRIM3;TIMP3;GPR137;HOMER3;BAHCC1;CD34;IKBKE;ACADS;SYBU;RALGPS2;AMT;CDC25A;KRT9;KCTD7;EPN2;DOK1;PLA2G10;RIN1;BLZF1;OTUB2;EGFR;KIAA0754;PDLIM3;ADAP2;GPR153;ERBB4;C16ORF57;STXBP6;MARK4;STX2;ESRRA;BAIAP3;ARHGAP33;SLC6A6;C21ORF2"
"flunisolide-4303","51/100",4.78836905113529e-15,9.73635040397509e-12,0,0,3.01775147928994,99.5030717824645,"PTPRU;KDM5C;PTPRR;NRP2;ATN1;HR;HNMT;AQP3;CD3D;ARHGDIA;TRIM3;SIRPA;GPR137;TNS4;TPSAB1;CD34;XYLB;CD52;ACTN2;MINK1;BGN;SOX11;PRKCA;LIME1;RUNX1;C1ORF116;SCNN1A;COL4A6;RARA;MAPRE3;TLN1;PDE9A;GLYR1;NNMT;PXN;PLD1;HPX;MAPK7;HSF1;WDTC1;ABCA2;GPR56;IRF2BP1;MYO9B;SSH3;SORBS3;RAB11B;WT1;SNAI2;CALR;LRCH4"
"cinnarizine-5817","50/100",2.45346324582849e-14,3.74153144988845e-11,0,0,2.9585798816568,92.7180198395954,"DOCK6;SLC48A1;PLXND1;TRAF3IP2;SYCP2;AQP7;SLC4A4;CDC14B;PAIP2B;RASSF4;TRIM2;SLC34A2;SLC11A1;KRT75;MAPK8IP3;MUC3A;EHBP1L1;ORAI2;PKP3;CD300C;INO80B;CCL11;PTGER3;LPAR4;GLYAT;FYB;FUT6;SBNO2;FZR1;P2RY6;KIAA1009;PALMD;EPB41L1;MYH14;TSNAXIP1;SUSD5;LRRC8B;SKIL;BEND5;GABBR2;ODF2;GABRA5;OSGIN1;CYHR1;CTNS;ATP2B2;SEMA4G;SULF1;ESR1;PPFIBP2"
"nizatidine-6305","50/100",2.45346324582849e-14,2.99322515991076e-11,0,0,2.9585798816568,92.7180198395954,"CRTC1;GRIK5;PRF1;RAPGEFL1;FGF5;PAIP2B;C6ORF105;TK2;KPNA5;EDIL3;PPFIA3;SLC11A1;VPS13D;MTUS1;SIRT5;PRKCA;KCNAB1;EDAR;NPEPL1;NINJ1;LY6D;PKP4;ACPP;CUL9;ACSS3;MEGF6;PLA2G3;ALOX12;ATP2C2;PLD3;NEURL;KIAA1009;AMDHD2;ALDH3B1;MAP7;RNF39;MYH14;KCNMB4;STX2;PDLIM4;TP53I11;CYP2J2;TTC12;DTNA;SRD5A2;EPHX2;INADL;TTC9;PLCH1;RGS12"
"acenocoumarol-2077","50/100",2.45346324582849e-14,2.49435429992564e-11,0,0,2.9585798816568,92.7180198395954,"RARG;CSF2;SMEK2;ICA1;FAIM3;CABIN1;HOXA10;GM2A;MCF2L;BAI2;OGFOD2;CASP1;ZFPL1;ACADS;LAT2;ERN2;C9ORF9;PACS1;SCNN1B;C9ORF7;CDC42EP2;ZNF358;ZNF552;TLR2;PLEC;RBMS3;INO80B;CASZ1;NOTCH1;NNMT;GDPD3;AAAS;KLK7;CYB5R2;DPP4;DCAF15;FZR1;APBB1;ANKMY1;RIBC2;FLJ22184;IRF2BP1;SEMA4G;COQ7;CLCN7;COL5A1;KRT17;CAPN10;FGFR4;LPIN2"
"tretinoin-1049","49/100",1.20840515890864e-13,1.05303878133467e-10,0,0,2.89940828402367,86.2408836503294,"RET;PRR5;DYRK2;HOXC13;AQP3;CDH5;CYP26B1;FAM174B;TRIM2;BDKRB2;AOX1;HOXA5;PRKCH;IGFBP3;PRKCD;SLC35C1;RIPK4;OSMR;DOPEY2;TRAF4;ELF3;CRISPLD2;CEACAM6;SCNN1A;PLA2G10;ACOX3;SLC22A4;CSTA;SLC22A5;PEX11A;TMPRSS4;LAMA3;TMPRSS2;CACNA1D;NPL;FOXO3;C1ORF112;RAP1GAP;EPB41L1;CLMN;P2RY2;SMAD3;FZD5;MICAL2;PBX1;ITCH;FXYD3;BCL3;TGFBI"
"sparteine-4568","48/100",5.72130339178869e-13,4.36249383623888e-10,0,0,2.84023668639053,80.0645952107674,"CD86;IL1RN;C1ORF38;GLS2;DCTN1;RPL10L;PDGFB;ICA1;PCDH12;EFCAB6;C1ORF114;TREM1;CYP3A5;FGF5;POU5F1B;ING4;NHLH2;EDNRB;FAM174B;TBXA2R;FRZB;P2RY1;HIST1H1E;MUC4;N4BP1;GPSM3;CD33;SLC16A5;C11ORF63;HIST1H2AL;GPR17;CADM3;ACTN2;KRT34;KCNAB1;C1ORF21;CLEC4A;CYP24A1;ASPHD1;ARTN;SLCO2A1;KRT14;TAOK2;SERPINI2;RIMBP2;SERHL2;SMPDL3B;TLR2"
"pentoxifylline-2127","48/100",5.72130339178869e-13,3.877772298879e-10,0,0,2.84023668639053,80.0645952107674,"SLC48A1;CUL7;PTPRR;CSF2;DYRK2;SYCP2;ICA1;LYPD3;PCSK7;SAMSN1;ADCY6;SMG6;RBM4;SMPD2;SH3TC2;TRIM29;TAF1C;UAP1L1;PDK3;GPC4;STX2;PDLIM4;RAI2;GIT1;PDLIM7;SEC63;ESRRA;ARHGEF11;ZNF580;BTN2A1;RARRES2;ABCA3;SLC35C1;ACOT11;COBL;HNF1B;KIAA0232;BCR;TTLL7;HOOK1;COL6A2;TNFRSF25;TAB1;DZIP1;MDFI;RPL23AP32;TLR2;SLC29A2"
"azapropazone-7277","48/100",5.72130339178869e-13,3.4899950689911e-10,0,0,2.84023668639053,80.0645952107674,"PDE1C;LDB1;WWC1;C16ORF5;RNF19B;DTX2;CST6;PTHLH;RGS4;SEC14L2;RGS5;MAPK7;RUSC2;RNF216;GRK5;CSPP1;GOLGA1;MAP7;ZNF426;SLITRK5;HOMER3;ZNF688;CTBS;MBD3;ZNF165;PTPRN2;HOMER2;BCL11A;IL1R2;PLEKHG6;ARAP2;WNT7A;KCNAB1;MYO9B;C10ORF57;BAIAP2;SPATA2L;PEX7;ZEB1;FCGR2A;RPS6KB1;FAM131B;PKP2;COPS8;FGF13;PION;LGR5;SLC26A6"
