"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"riluzole-7365","34/100",1.3613266755413e-11,8.3040927208019e-08,0,0,3.58839050131926,89.7814453051602,"HIST1H2BJ;CCDC68;CLEC10A;STRN4;CCT6B;SCEL;HIST1H3A;APOL6;MB;ADAMTS1;HIST1H2AG;EPS8L2;PIP5K1C;HIST1H3B;MNX1;RAP1GAP2;TSC22D4;STARD5;COG7;HIST1H2AI;CBX4;ZNF580;NDE1;HIST1H2AJ;KRT34;RAB27B;BRAF;SPATA2L;EPN3;MYO1D;KRT15;CUEDC1;MDFI;SOLH"
"benperidol-4196","34/100",1.3613266755413e-11,4.15204636040095e-08,0,0,3.58839050131926,89.7814453051602,"FOXA1;HIST1H2BN;TINAGL1;HIST1H2BJ;TMPRSS4;RTDR1;RAPGEFL1;PAIP2B;SCIN;MB;ADAM23;HIST1H1D;TBC1D17;CNNM4;GPX2;TPRA1;SLC37A1;HIST1H2AI;KCNJ12;HIST1H2AJ;TNK1;PLEKHG6;NBEAL2;PPP2R3B;VASH1;PROX1;FMO4;PRSS12;ERN2;GSTA3;IRF2;LY6D;RAPSN;SOLH"
"epirizole-1803","31/100",1.46117196768447e-09,2.97104966762509e-06,0,0,3.27176781002639,66.5609326833589,"PLEKHB1;SIX1;EFNB1;FAM160B2;CYP26B1;APH1B;RUSC2;C16ORF57;CAMTA2;PRSS8;APBB1;HIST1H3B;OR7E47P;ACADS;GIT1;TSC22D4;KRT4;ATP8B2;ZNF282;C11ORF80;GBF1;PCOLCE;SPATA2L;FA2H;EFNA3;TBC1D2;KIFC3;NUP62CL;SMPDL3B;CUEDC1;SOLH"
"asiaticoside-2943","31/100",1.46117196768447e-09,2.22828725071882e-06,0,0,3.27176781002639,66.5609326833589,"IPPK;KCNK5;MAPKBP1;KDM5C;HIST1H2BO;HIST1H2BI;C1ORF56;SEMA3G;DCUN1D2;ECSIT;SCAMP4;APH1B;UAP1L1;ADAM23;C16ORF57;HIST1H1E;CIC;PROSAPIP1;C11ORF68;NDE1;SUPT5H;GMIP;A1CF;PLA2G15;DNAJC1;ITGA10;MAP6D1;CRELD1;LZTR1;CES3;FBXL7"
"bicuculline-2796","31/100",1.46117196768447e-09,1.78262980057505e-06,0,0,3.27176781002639,66.5609326833589,"IPPK;CEBPA;GLS2;C2ORF67;RPL10L;STXBP2;CRABP1;PLA2G3;SLC38A10;ZDHHC24;MED15;SLC9A1;DEAF1;MBIP;HIST1H1D;QSOX1;KPNA5;MAN2C1;PLXNA3;STARD5;ZNF282;NBEAL2;SIRT6;BSPRY;EFNA3;MMP15;ULBP2;SLC26A6;ZNF552;FBXL6;SLC29A2"
"fursultiamine-6630","31/100",1.46117196768447e-09,1.48552483381255e-06,0,0,3.27176781002639,66.5609326833589,"GLS2;PLEKHB1;CLDN1;FUT1;HSD17B8;CCT6B;SLC9A1;PLD2;DDN;PAIP2B;CYP26B1;DEAF1;MKNK1;PRSS8;KRT6A;RAP1GAP2;STARD5;ARL14;ELOVL4;ARHGEF16;YOD1;FMO4;ERN2;TMEM212;VNN1;CRISPLD2;NINJ1;CTAGE9;PLEKHO1;MDFI;SOLH"
"ethotoin-4366","30/100",6.34190085916819e-09,5.52651360584657e-06,0,0,3.16622691292876,59.7659755990805,"HIST1H2BM;STEAP4;HIST1H2BO;PLEKHB1;RPL10L;LTBP2;PPP1R9A;RND1;GNA14;PGBD5;KIF13B;PAK6;TSNAXIP1;LY6G6C;ACADS;SPTBN2;TPSG1;HIST1H2AK;GPR1;TM4SF5;C1ORF21;DLK2;PLA2G15;XAB2;EFNA3;TBC1D2;SLPI;PPARG;DNASE1L2;CUEDC1"
"mepenzolate bromide-3829","30/100",6.34190085916819e-09,4.83569940511575e-06,0,0,3.16622691292876,59.7659755990805,"C16ORF7;VIPR1;CSTA;NLRX1;CALML5;TGFB1I1;C4BPA;EVPL;FAM160B2;DEAF1;C16ORF57;BLNK;TBC1D17;ACADS;MNX1;MSMB;EGLN3;STARD5;FLJ22184;FBXO2;OSGIN1;PLEKHA6;VEGFC;SPATA2L;CNKSR1;C10ORF81;PLEKHO1;IRF6;SMPDL3B;CES3"
"Prestwick-689-7173","30/100",6.34190085916819e-09,4.298399471214e-06,0,0,3.16622691292876,59.7659755990805,"FOXA1;HIST1H2BO;MAST3;INPPL1;CORO1A;EVPL;MED15;LOXL1;RAPGEFL1;STRN4;SLC9A1;PLD2;ATP7B;CHST12;BTBD2;SUSD4;REPS2;ANO10;SLC35C1;HIST1H2AJ;IRF2BP1;NBEAL2;AMPD2;TRPC4AP;VWA1;ELMO3;MAN2B1;PLEKHO1;NUP62CL;CUEDC1"
"Prestwick-984-6603","30/100",6.34190085916819e-09,3.8685595240926e-06,0,0,3.16622691292876,59.7659755990805,"OLFML2B;IGSF3;GLS2;C4ORF19;LYPD3;PLD2;DDN;DEAF1;H2AFJ;TOM1;KIF13B;KPNA5;SPTBN2;OSR2;STARD5;CBX4;SLC35C1;ARHGEF16;EYA4;GPR1;VASH1;MCC;MUC3B;SLC9A2;ERN2;GPRIN2;EFNA3;INF2;PLEKHO1;SSBP3"
"Prestwick-1082-7027","30/100",6.34190085916819e-09,3.51687229462963e-06,0,0,3.16622691292876,59.7659755990805,"PTPRU;C6ORF97;LRP5;FURIN;EVPL;GLB1L2;PBLD;NKAIN1;OLFML3;CAPN5;C3ORF52;REPS2;PIP5K1C;CNNM4;CENPT;BCL11B;EYA2;HIST1H2AJ;GBF1;IRF2BP1;VEGFC;NBEAL2;ABHD14A;TMC5;INF2;LY6D;SNAI2;VWA1;HIST1H4J;CUEDC1"
"diethylcarbamazine-7425","30/100",6.34190085916819e-09,3.2237996034105e-06,0,0,3.16622691292876,59.7659755990805,"C16ORF7;CSTA;HIST1H2BO;DYSF;FURIN;RFNG;FRAT1;PRRG2;CAPN5;RPS6KA1;BTBD2;HIST1H2AE;REPS2;PRODH;PROSAPIP1;C17ORF48;ATP8B2;MAP1S;TNK1;KRT13;VEGFB;PRSS16;MCC;SPATA2L;EDAR;SNAI2;HIST1H4J;ITGA5;PLEKHO2;FBXL6"
"harmalol-2892","29/100",2.62744498814465e-08,1.23287803289865e-05,0,0,3.06068601583113,53.4232608826846,"CSTA;MAST3;RPL10L;DYSF;CXXC4;DNALI1;SLC9A1;PLD2;HSD17B1;OR7E47P;MAP1S;EPHX2;HIST1H2AJ;KRT13;PLEKHA6;ABHD14A;OVOL1;MAPK10;TSGA10;CNKSR1;EFNA3;NOS1AP;ATP13A2;ITGA5;CRELD1;PVRL3;HIST1H4E;SLC26A6;FRK"
"lomustine-7089","29/100",2.62744498814465e-08,1.14481531626303e-05,0,0,3.06068601583113,53.4232608826846,"TTC26;SRPX;NLRX1;SYCP2;C6ORF97;DNAJC22;CORO1A;C1ORF106;H2AFJ;P2RY2;PRRG2;C3ORF52;SUSD4;MAN2C1;TBC1D17;PRODH;PLXNA3;OSR2;TSC22D4;EGLN3;HIST1H2AI;BCL11B;HIST1H2AJ;KRT13;SYTL2;SYT17;PRR15L;MPPED2;SMPDL3B"
"ginkgolide A-3260","29/100",2.62744498814465e-08,1.06849429517883e-05,0,0,3.06068601583113,53.4232608826846,"KDM5C;CSTA;GPR87;LRP5;RASAL1;PRSS22;MAN2C1;OR7E47P;HMGXB3;FBRS;SLC37A1;CBX4;ZNF580;NDE1;ATG9A;GBF1;GMIP;TOPORS;SLC9A2;C19ORF21;PLA2G10;CCDC88C;LY6D;VWA1;ELMO3;ATP13A2;CUEDC1;SOLH;FBXL6"
