"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"epivincamine-1783","68/100",1.40625189611087e-24,8.57813656627632e-21,0,0,3.30739299610895,181.645708762882,"CHIC2;MRFAP1L1;ZWILCH;WDR3;CISD1;GDE1;BMI1;PPP1CC;ABHD11;TUBA1A;PPIP5K2;DPYSL2;RUVBL1;SLC25A40;AZI2;NSF;ACTR6;COMMD10;GOLPH3L;THOC1;VRK1;DCK;GOLGA8B;TMEM135;DMTF1;CDC37;CRY1;TMEM106B;TARS2;AIDA;DCTN6;CLDND1;RPE;DCTN4;XPC;NMD3;NDRG1;RPAP3;PAPSS1;TMEM168;PPP4C;RAP1A;ERMP1;MXI1;VPS54;HEATR3;RPRD1A;CEPT1;ATG7;SMNDC1;ZNF266;VASP;CASP8AP2;SEC24B;GCA;PLEKHA2;GLMN;TTC19;PNRC1;PSMB9;CDK8;PRPF39;SNRNP40;EIF2S3;PSMC6;CTNNB1;ZCCHC2;NFE2L2"
"ethosuximide-1433","67/100",1.14308847958321e-23,3.48641986272878e-20,0,0,3.25875486381323,172.146082891773,"ATF1;MCTP1;CDKN1B;FASTKD3;HMGB2;JMJD1C;TTF2;CDC73;MRPL33;CEP170;AZI2;TMEM38B;HMGN3;MORC3;CHUK;CSGALNACT2;AP1AR;VRK2;TFB2M;DCK;CLPX;IMPACT;DPYD;TBPL1;ADAM9;EIF1B;ZCCHC8;RALA;STXBP3;ABHD3;MRPL19;STK39;DNAJC24;MFF;MYL12B;PCNP;TMEM123;RAP1A;RNF138;NRBF2;PIBF1;SMNDC1;NAA50;FANCL;ATP8B1;AGL;RANBP6;MEX3C;PNRC1;GPN3;WDR11;TM9SF2;RPS25;LYRM2;GOLPH3;NECAP1;FUBP3;OSTM1;UBA3;CYCS;ZNF217;CTNNB1;NAA16;TRMT11;RSL24D1;NUCB2;NFE2L2"
"midecamycin-2026","67/100",1.14308847958321e-23,2.32427990848585e-20,0,0,3.25875486381323,172.146082891773,"GPI;ARL6IP1;RPL34;FAF1;GDE1;APIP;HMGB2;ZDHHC7;PARK7;LASP1;TBK1;MRPL40;XPO1;TMEM43;AIFM1;SACS;MFSD1;HMGN3;PDCD6IP;PRMT1;UBE2E1;BAZ1A;GMIP;SRP9;PSMA3;FRG1;TBPL1;VDAC2;RPL26;FAR2;PLEKHO2;DCTPP1;ZCCHC8;PRPS2;GTF3C3;CTR9;POMP;DDX21;MTIF2;NT5C2;MTMR6;MYL12B;PACSIN2;IARS2;SNRPB2;NAE1;CEPT1;SLC38A2;SNX5;SLC25A24;NAA50;XRCC5;CBX3;CCDC59;HPS5;NMI;RANBP6;HNRNPAB;GPN3;FAM111A;CNOT7;APEX1;ECHDC1;CDK2AP1;CTNNB1;RSL24D1;RBMX"
"fisetin-579","61/100",1.31562262595571e-18,2.00632450458245e-15,0,0,2.96692607003891,122.154937746635,"SRP19;POP7;BTG1;NXT1;C2CD2;PITPNB;JMJD1C;ADO;RND3;HERPUD1;RGS2;FAM102A;ZMIZ1;MYC;NUP62;RBM7;IER2;TGIF1;LRRC47;KLF10;TSC22D1;NCOA6;CKAP2;DNTTIP2;PTRH2;FASTKD5;CKS2;ADNP;TRIB1;RIN2;EIF1B;BIRC2;EPHA2;ARF6;CDC42SE1;ANKRD17;CEBPB;ABHD3;CTR9;BCL10;RNF4;DNAJB1;RNF139;SERTAD2;MAPK6;ST3GAL1;SLC38A2;HSPA8;PHC2;YTHDF1;YTHDF2;TIPARP;SETD1B;MID1IP1;G0S2;NFKBIA;GOLPH3;RNF103;MFAP1;QRICH1;GCLM"
"verteporfin-6133","61/100",1.31562262595571e-18,1.60505960366596e-15,0,0,2.96692607003891,122.154937746635,"PLOD3;MAGT1;ANPEP;FAM53B;QSOX1;ITGAV;TMEM38B;IL6R;CTSC;HGSNAT;ABCC4;SUN2;SLC38A1;ABCC1;ADAM10;ATP11B;TMEM131;IL17RA;POR;SLC9A6;SLC9A8;TMBIM1;PIGK;ADAM9;TNFRSF21;CES1;PCYOX1;GRN;NOTCH1;SGMS1;HMGCR;HSPA13;GLG1;ZMPSTE24;TM9SF3;LMAN1;NCSTN;GANAB;ERMP1;GPNMB;TYW1;UGGT1;GALNT7;TMEM30A;SEMA4D;ERAP2;FUCA1;ERLIN1;DHCR24;SORL1;IGF2R;TM9SF2;TSPAN14;OSTM1;MAN2B2;CPD;FAT1;PPT1;HYOU1;SERINC1;ESYT1"
"aztreonam-1435","61/100",1.31562262595571e-18,1.33754966972163e-15,0,0,2.96692607003891,122.154937746635,"ATF1;GALNT11;MCTP1;CDKN1B;HMGB2;TTF2;CDC73;MRPL33;PPP1CC;TUBA1A;TMEM38B;TMEM14A;CSGALNACT2;DNAJB14;ACSL4;VRK2;TFB2M;ARFGAP3;DCK;CLPX;DYNC1LI1;TBL1XR1;FRG1;C1D;CRY1;ADAM9;RPL26;FAR2;ZCCHC8;CLDND1;STXBP3;ABHD3;CTR9;SRBD1;HSD17B4;MTMR6;MYL12B;PRRC1;MAN2A1;RPRD1A;PIBF1;NAA50;CASP8AP2;DENND4A;ATP8B1;NDUFA1;STAM;NMI;SUPT5H;RANBP6;PNRC1;TRIT1;GPN3;LYRM2;FUBP3;CYCS;ZNF217;NAA16;TRMT11;RCOR1;NFE2L2"
"hexamethonium bromide-1982","60/100",7.91182942607666e-18,6.89459421415251e-15,0,0,2.91828793774319,114.916846221867,"ATF1;DENND1B;MRPS15;USPL1;UBXN2B;UBE3C;WDR3;CETN3;SNX10;TTF2;PPP1CC;PPP2R5E;DPF2;ACTR6;CSGALNACT2;PAQR3;ACSL5;LRRC40;DNAJB14;AP1AR;TFB2M;ARMCX3;TMEM135;DMTF1;NPC2;DPYD;TMEM106B;HDAC4;OAT;STXBP3;NIP7;DCTN4;MRPL19;SAMSN1;NSL1;PIK3R5;ATAD2B;TMEM123;RAP1A;PNPO;ANKRD10;RPRD1A;SH2B3;ZNF146;TMEM184C;TAF15;AGL;RPRD2;SUPT5H;LYZ;NPM3;RANBP6;OXR1;KTN1;SP3;ZNF217;SERINC1;GCLM;NUCB2;NFE2L2"
"baclofen-2036","59/100",4.56592662298693e-17,3.48151905002753e-14,0,0,2.86964980544747,107.971506862369,"POP5;ASNSD1;RPL34;CETN2;PAK1IP1;OLA1;TTF2;RCBTB2;CCND3;PPP2R1A;RPL36AL;RPL35;MTPAP;BCAS2;CTSC;NDEL1;USP47;ATP6V0B;RPS5;UBE2E1;MRPL48;REXO2;DYNC1LI1;WDR82;CTDSP1;NCL;PSME1;TARS2;DOCK2;FKBP3;DLD;RGS19;SAR1B;ABHD3;COX7A2;UAP1;UQCR10;PACSIN2;BNIP2;SCAND1;RPS27A;SNX5;UTP3;UROS;TTC1;NMI;HNRNPAB;GTF2H5;BATF;UBE2W;TDP2;NDUFAB1;CDK2AP1;DEGS1;MAN2B1;CEBPZ;DUS1L;NIT2;NUCB2"
"acepromazine-1777","58/100",2.52949850865573e-16,1.71443787808888e-13,0,0,2.82101167315175,101.31195255441,"CHIC2;ZWILCH;PAK1IP1;FAF1;PCMTD2;SCPEP1;TUBA1A;DPYSL2;PSMD3;SPIN1;SLC25A40;TMEM38B;SLC35A5;GTF2I;ABCC4;MAP2K1;COMMD10;NCOA4;THOC1;DNAJB14;GAB2;F3;RSBN1;DYNC1LI1;BRMS1;TBL1XR1;CDC37;ADAM9;ERH;LAP3;EXOC5;AIDA;ANKRA2;BCL2A1;INSIG2;NMD3;MKNK1;ANKRD10;CCL2;NRBF2;RPRD1A;BCAP31;CASP8AP2;PHC2;SEMA4D;TAF12;ATAD2;NDUFA1;CLK3;PNRC1;DHRS3;CS;RPIA;MFHAS1;WEE1;EIF2S3;NECAP1;PSMC6"
"flumequine-1429","58/100",2.52949850865573e-16,1.54299409027999e-13,0,0,2.82101167315175,101.31195255441,"MCTP1;HMGB2;TTF2;MAGT1;TXNDC15;RCBTB1;CDC73;MRPL33;CCDC91;TUBA1A;TMEM38B;ACOT9;MORC3;ALG6;AP1AR;ACSL4;VRK2;TFB2M;DCK;THOC7;IMPACT;TBL1XR1;LACTB2;RP2;DPYD;TBPL1;ANKRA2;CCDC90B;ZCCHC8;PARG;STXBP3;ABHD3;CTR9;STK39;MTMR6;MYL12A;MYL12B;PCNP;NRIP1;NAE1;PIBF1;NAA50;CASP8AP2;TMEM184C;DENND4A;ATP8B1;NMI;RPRD2;LYZ;RANBP6;TM9SF2;GOLPH3;FUBP3;ZNF217;NAA16;ZCCHC2;RCOR1;NFE2L2"
