"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"estradiol-782","64/100",4.70557297189666e-21,2.87039951285696e-17,0,0,3.11284046692607,145.698177145184,"ARF3;PHF3;WDR48;USPL1;FAM89B;NUP188;SNAP23;CISD1;CDC73;LMNB1;MRPL33;PPME1;MYC;TCTN2;ENSA;PAPOLA;SNIP1;RPLP2;RPL38;DLAT;RPS11;MAP3K7;NDEL1;C11ORF24;ATP6V0E1;DUSP3;RFC1;ATRX;ARNT;JOSD1;ETV5;ELF4;TBC1D5;DHX9;IQGAP1;COX5B;ARPP19;STYXL1;TMEM168;CYB5R3;FIP1L1;VPS52;RPL14;RPS2;EPS15;MCL1;KLHDC10;MBD4;YTHDF3;WTAP;RYK;FEM1B;KIDINS220;DHCR24;PTPN11;SEC23IP;SCD;RPL27A;DNAJC10;NBR1;CTNNB1;TCF3;COPS8;EIF3A"
"lomustine-7094","61/100",1.31562262595571e-18,4.0126490091649e-15,0,0,2.96692607003891,122.154937746635,"UHRF1BP1L;SMG1;NCF2;HSPB8;RNF19B;CXCL3;BACH1;CXCL2;RND3;GLS;HERPUD1;ZFP36;RASSF1;AZI2;IL6R;HMGCS1;DST;DUSP1;NCOA3;CSGALNACT2;TRAFD1;ETV5;ELF1;ASPH;DDIT3;TMBIM1;NUPR1;HBEGF;B4GALT5;PPP1R15A;ABHD3;INSIG1;CREM;SLC1A4;SLC3A2;MTMR6;ARNTL;STIP1;NXF1;DNAJB1;HSPH1;DNAJB4;HMOX1;DNAJB9;LDLR;ATP6V1C1;PCK2;MICB;HSPA6;EAF2;KIAA0232;SETX;DNAJA1;GCLC;KLF6;RPS6KB1;MAFG;MAFF;GCLM;GLA;NFE2L2"
"chlorprothixene-5291","60/100",7.91182942607666e-18,1.60873864996892e-14,0,0,2.91828793774319,114.916846221867,"TES;BTG1;TNFAIP3;IRS2;SAT1;IFIT2;HERPUD1;OASL;HERC5;IFIH1;RASSF1;TRIM2;DSE;MAP3K8;CCNL1;IL6R;IER2;TGIF1;KLF10;MBNL2;HMGCS1;DUSP1;TSC22D3;FOS;ARMCX3;NDUFS8;TBL1XR1;RFX7;DDIT3;IRF1;TRIB1;EPHA2;PPP1R15A;CEBPB;INSIG1;SLC1A4;HMGCR;DDX60;PRDX2;KCTD20;DNAJB9;EGR1;JUN;EGR3;GADD45A;KIDINS220;KLF4;QKI;PNRC1;KLF2;NR4A2;EFNA1;SQLE;KLF6;ZBTB6;BCL6;CCNG2;MAFF;BHLHE40;LPIN1"
"parthenolide-1736","60/100",7.91182942607666e-18,1.20655398747669e-14,0,0,2.91828793774319,114.916846221867,"INVS;USP34;SNX11;GABPB1;IFIT2;GOLGA2;ZMYM2;PAPOLA;FAM53C;PKNOX1;IER5;TGIF1;HSP90AA1;GGPS1;BUD31;ADAM10;AHSA1;PGD;JMJD6;DNAJC3;DDIT3;TRIB3;SIDT2;PPP1R15A;CANT1;MRPL18;HSPA14;CLCN3;CRYZ;GGA2;STIP1;DNAJB1;HSPH1;C18ORF25;DNAJB4;HMOX1;DNAJB9;HEXIM1;PRNP;HSPA8;XRCC4;HSPA5;ST13;SLC31A1;TXNRD1;SLC33A1;CFLAR;KIAA0232;PUS7L;MANF;DNAJA1;KLF6;RIT1;EIF5;BCL6;DHRS9;PSMC4;STK17A;GCLM;AVL9"
"monastrol-614","59/100",4.56592662298693e-17,5.57043048004405e-14,0,0,2.86964980544747,107.971506862369,"IFITM3;HNRNPR;LITAF;RND3;CLINT1;PTPRF;PCMT1;PSMD7;MAPK1IP1L;PRKCI;MBNL1;CPT1A;PARP1;SCAMP1;COQ10B;CKAP5;COPZ1;ACLY;AFTPH;RAB31;EWSR1;UBE2V2;WAC;TRIB3;DNASE2;SNRPA1;DCTN5;GTF2A2;TXNDC9;DDX27;CANT1;INSIG1;MYL12A;TM9SF3;CNN2;SNX3;PCNP;G3BP1;RWDD1;EIF2B4;MBTPS1;HSPA4;GOT2;DHCR24;EIF2S1;MANF;HNRNPL;GLUD1;MYO1C;PSMC4;EIF3L;SP3;HNRNPD;ZYX;RAD1;HNRNPC;DYNLRB1;PSMG2;SLC25A36"
"tyrphostin AG-1478-1141","59/100",4.56592662298693e-17,4.64202540003671e-14,0,0,2.86964980544747,107.971506862369,"TES;FKBP14;TNFAIP3;IRS2;MT1X;ETS2;HERPUD1;OASL;RASSF1;TRIM2;CASP3;CREB3L2;TSPYL2;KLF10;KDM6B;BNIP3L;MBNL2;TSC22D3;CSGALNACT2;GOLPH3L;FNDC3B;ARFGAP3;PJA2;ARMCX3;ARMCX1;SIKE1;DDIT3;IRF1;TRIB1;SEC22A;CEBPB;FICD;SLC1A4;GLRX;HSPA13;KIAA0513;MNT;MKNK2;DNAJB9;CD55;EGR1;JUN;SDF2L1;TGDS;GADD45A;MID1IP1;TNFRSF10B;MANF;EFNA1;NFKBIA;RCAN1;UFM1;KLF6;CCPG1;ID2;BHLHE40;PDCD4;HYOU1;HBP1"
"mianserin-2068","58/100",2.52949850865573e-16,2.20427727182856e-13,0,0,2.82101167315175,101.31195255441,"SCARB2;BTG2;DDX3X;WDR1;SNAP23;CHM;SMC5;LIMD1;SENP7;PAPOLA;CASP2;SLC25A44;EIF5A;MBNL2;BTN3A1;SP110;SCAMP1;MED28;MTAP;CREB1;OAS2;CTDSP2;TXNIP;SOS2;MET;MTMR2;COPA;STX16;TM2D1;SEL1L;IFI6;RNF6;BRCC3;HSP90B1;ARNTL;GNA13;LMAN1;PRKAR2A;IGF2BP3;MAP4;MCL1;RANBP1;DENND4A;TAF13;PTPN12;SMAD5;QKI;SMARCA4;GULP1;EHD1;PPP5C;ALDH6A1;KRT17;TAOK3;CCNG2;MBTPS2;PICALM;BCL2L1"
"tanespimycin-450","56/100",6.87570595877743e-15,5.24272579356779e-12,0,0,2.72373540856031,88.8231418295786,"AHCYL2;SMG1;TES;B4GALT1;HSPB1;CLU;N4BP2L2;HSPB11;AFF1;HERPUD1;CASP7;CREB3L1;TMED7;HIBCH;MBNL2;IFRD1;ZFR;AHSA1;DNAJB14;CACYBP;PDIA4;DNAJC3;AKAP9;PLEKHO2;FKBP4;STAM2;NOTCH1;DHX9;SEL1L;TOB2;SLC7A1;HSP90B1;ZBTB40;KIAA0513;DNAJB1;HSPH1;TMEM127;DNAJB4;GNA11;RPS2;SPTBN1;CD55;NAA50;SDF2L1;HSPA5;SIAH2;FBXO38;SLC33A1;HSPA6;KTN1;DNAJA1;CCNG2;HYOU1;NUCB2;PICALM;CUL4B"
"PNU-0293363-6573","56/100",6.87570595877743e-15,4.66020070539359e-12,0,0,2.72373540856031,88.8231418295786,"APP;ARF1;WDR1;TRRAP;POGK;GDI2;ACTB;GLE1;HERC4;SPTLC1;LAMP1;NNT;TMED2;EIF5A;SIGMAR1;HPCAL1;PRPF4B;SDHC;C6ORF62;CDYL;PGD;MED6;MSH6;GART;ATP6V1A;MTMR2;SEC23A;RAB5C;CLDND1;PRKDC;FLII;RHOBTB3;TANK;RELA;SEL1L3;SNX3;STIP1;MUC1;PGRMC1;POLR2E;DVL3;MPDU1;EDEM3;SRPK2;FUS;NFYC;YIPF5;PDAP1;RANBP9;FKBP1A;SQLE;NUCB1;HNRNPC;ALDH18A1;ZNF654;PICALM"
"geldanamycin-1066","56/100",6.87570595877743e-15,4.19418063485424e-12,0,0,2.72373540856031,88.8231418295786,"TES;TMEM41B;FKBP14;ZMYND8;SNAP23;HERPUD1;TRIM2;CREB3L2;HTATIP2;TSPYL2;MBNL2;FNDC3B;FNDC3A;ARFGAP3;PDIA4;ARMCX3;DNAJC3;ARMCX1;DDIT3;CRELD2;PPID;GTF3C3;ABHD4;SEL1L;SLC1A4;RRBP1;GLRX;HMGCR;SLC7A1;HSPA13;HSP90B1;DNAJB1;HSPH1;PRRC1;DNAJB4;HMOX1;DNAJB9;LDLR;SDF2L1;HSPA5;GFPT1;HSPA6;EAF2;RSRC2;CLK4;MANF;SETX;DNAJA1;CCNG2;HNRNPD;CDK2AP2;HYOU1;CALR;LPIN1;NUCB2;BET1"
"niclosamide-1916","56/100",6.87570595877743e-15,3.81289148623112e-12,0,0,2.72373540856031,88.8231418295786,"CBLB;IRS2;CXCL3;SAT1;CXCL2;RND3;ETS2;HERPUD1;STK10;SPTLC2;PIM1;TGIF1;DUSP5;BRD2;DUSP1;IFRD1;MSL2;DNAJC3;NPC1;DDIT3;TRIB3;NUPR1;SQSTM1;BIRC3;PPP1R15A;CEBPB;RNMT;INSIG1;ANKRD12;CEBPG;NEDD4L;SLC1A4;SLC3A2;PTGS2;SLC7A1;HDAC9;HSP90B1;HMOX1;DNAJB9;SLC38A2;LDLR;CD55;SDF2L1;HSPA5;GADD45A;GFPT1;USF2;MANF;NFKBIA;RCAN1;TNIP1;KRT17;CCNG2;MAFF;HBP1;C2CD2L"
"digitoxigenin-4801","56/100",6.87570595877743e-15,3.4951505290452e-12,0,0,2.72373540856031,88.8231418295786,"CCNT2;DDX3X;BTG1;TCF25;SLC35F5;AMD1;AKAP8L;IRS2;NR3C1;N4BP2L2;IKZF5;RASSF1;ZMYM2;ZMYM5;CCNL1;IER2;RBM5;KLF10;MORC3;DUSP1;FOS;HCFC2;TOPORS;SFPQ;EWSR1;DDIT3;TXNIP;EPHA2;AVPI1;PPP1R15A;NFAT5;YTHDC1;ANKRD12;RLF;CDKN2AIP;STRN3;ZBTB40;PPP3R1;VPS11;IP6K2;MCL1;EGR1;ZNF143;JUN;TNFRSF10B;CLK4;KLHL20;NR4A2;EFNA1;PDP1;KLF6;BCL6;MAFG;ETNK1;MAFF;ZNF654"
