"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"clotrimazole-5726","14/100",1.8639937366074e-06,0.0113703617933052,0,0,4.62809917355372,61.0575368021618,"STEAP4;URM1;MVP;SIX1;WDR78;WFDC2;USP19;ZNF204P;ITGA10;HIST1H1D;SYMPK;CA8;PLEKHO2;MCTP2"
"tetrandrine-5821","13/100",9.95676796182209e-06,0.0303681422835574,0,0,4.29752066115702,49.4956543904511,"CYP2J2;PTGFR;STEAP4;SERPINB2;PRKAA2;ITGB2;COBL;ASS1;ITPKB;DNAJB2;NT5E;SETBP1;HIST1H2AG"
"phenelzine-2319","13/100",9.95676796182209e-06,0.0202454281890382,0,0,4.29752066115702,49.4956543904511,"AUTS2;SPINK5;OSMR;ITPKB;DOK2;MICAL1;ITGA10;MAL;HIST1H1E;HS1BP3;PLEKHO2;CCNO;FRK"
"3-hydroxy-DL-kynurenine-1109","13/100",9.95676796182209e-06,0.0151840711417787,0,0,4.29752066115702,49.4956543904511,"PYGB;STEAP3;C4ORF19;SLC38A10;PRSS23;ZNF33B;TMEM127;HOOK1;GNB2;PES1;RPS6KA1;MYH9;TGFBI"
"dilazep-7364","13/100",9.95676796182209e-06,0.0121472569134229,0,0,4.29752066115702,49.4956543904511,"PTGFR;CXCL6;ECM1;SERPINB2;CXCL1;CXCL2;SMAD7;ZNF204P;PLA2G15;MYO1D;SCEL;SETBP1;BIRC3"
"diltiazem-6710","12/100",4.88834885558889e-05,0.0496982133651537,0,0,3.96694214876033,39.3761489289771,"PLA2G15;LGALS3BP;MT2A;SLPI;FCGRT;PAX9;RPL11;HIST1H1E;EMP3;UQCR10;PGD;OSMR"
"mycophenolic acid-4019","12/100",4.88834885558889e-05,0.0425984685987032,0,0,3.96694214876033,39.3761489289771,"STIM1;EYA4;HIST1H1D;HIST1H1E;CXCL1;NME5;ITGAL;OSMR;CCNO;QSER1;WFDC2;USP19"
"felbinac-3061","12/100",4.88834885558889e-05,0.0372736600238653,0,0,3.96694214876033,39.3761489289771,"PLA2G15;GPX2;DHRS9;SEMA3A;PLEKHA5;MCTP2;STATH;SLC25A23;PLA2G7;QSER1;WFDC2;RHOB"
"cefamandole-7394","12/100",4.88834885558889e-05,0.0331321422434358,0,0,3.96694214876033,39.3761489289771,"ZNF253;INF2;ENTPD3;STIM1;NBEA;SETBP1;MICAL1;MVP;KRT15;NINJ1;LMO7;CCNO"
"dilazep-3665","12/100",4.88834885558889e-05,0.0298189280190922,0,0,3.96694214876033,39.3761489289771,"CXCL6;IL33;SERPINB2;DHRS9;UNC93B1;SH3TC1;SEMA3A;KRT15;MAL;COBL;CXCL1;BIRC3"
"phenoxybenzamine-5613","12/100",4.88834885558889e-05,0.0271081163809929,0,0,3.96694214876033,39.3761489289771,"MEIS1;NBEA;DDAH1;TRPS1;HIST1H1D;ARID5B;OSMR;PTPN13;SSBP2;SYTL2;SMAD7;RHOB"
"oxolinic acid-1419","12/100",4.88834885558889e-05,0.0248491066825768,0,0,3.96694214876033,39.3761489289771,"IFITM3;SF3B4;TRIM28;CD81;PES1;NT5DC2;UQCRC1;MYH9;BANF1;MGAT1;PIP5K1C;ARHGAP4"
"CP-690334-01-4380","12/100",4.88834885558889e-05,0.0229376369377632,0,0,3.96694214876033,39.3761489289771,"ITPKB;NT5E;IL4R;IFI27;PSCA;SH3TC1;ARID5A;GAS2;HIST1H1E;ZNF532;FRK;ZNF750"
"tretinoin-6243","12/100",4.88834885558889e-05,0.0212992342993516,0,0,3.96694214876033,39.3761489289771,"PYGB;DDAH1;HOOK1;TRPS1;AGR2;PLEKHA5;ARID5B;COBL;SSBP2;HIST1H2AC;SMAD7;RHOB"
"metamizole sodium-3754","11/100",0.000219481188193422,0.0495864906659213,0,0,3.63636363636364,30.6336146622291,"DNAJB2;HIST1H2AL;THRB;KRT4;DHRS9;SH3TC1;HIST1H2AG;ARHGEF10L;PLEKHO2;PPL;CCNO"
