"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"cicloheximide-2723","21/100",1.93587221969004e-12,1.18088205401093e-08,0,0,6.94214876033058,187.232967193736,"RBPMS;HIST1H2BK;ARID5B;THBS1;ISG20;NR4A2;RGS2;PCLO;MYO5C;TNFSF10;MAP7;HIST1H1D;HIST1H2AG;HIST1H2BH;NLRP1;HIST1H2AC;HIST1H2BD;FGFR2;HIST1H2BC;HIST1H1C;BIRC3"
"etilefrine-4590","20/100",1.69066582153921e-11,5.1565307556946e-08,0,0,6.61157024793388,163.988850210552,"ABCA1;SERPINB3;PTGFR;IL33;TGFB2;AQP3;CXCL2;TM4SF1;TTC39A;ISG20;SCEL;GPRC5A;KRT17;TRIM29;MAP7;S100P;RGS12;CD24;SPTBN1;HBEGF"
"fenoterol-6331","19/100",1.38751573196653e-10,2.82128198833194e-07,0,0,6.28099173553719,142.568060983547,"SERPINB3;IL33;TGFB2;NEBL;AQP3;CXCL2;TM4SF1;IFFO1;SERPINB5;ISG20;NR4A2;GPRC5A;DHRS9;MAP7;RPLP2;S100P;TGFBI;CD24;HBEGF"
"emetine-2145","19/100",1.38751573196653e-10,2.11596149124896e-07,0,0,6.28099173553719,142.568060983547,"ARID5B;PRDM1;THBS1;ISG20;NR4A2;RGS2;ADAM28;PCLO;SH3TC1;TNFSF10;HIST1H1D;HIST1H4H;HIST1H2BH;NLRP1;HIST1H2AC;HIST1H2BD;HIST1H1C;BIRC3;HBEGF"
"orciprenaline-4248","19/100",1.38751573196653e-10,1.69276919299916e-07,0,0,6.28099173553719,142.568060983547,"ABCA1;SERPINB3;IL33;TGFB2;SLC15A2;NME5;AQP3;CXCL2;TM4SF1;HS3ST1;ISG20;GPRC5A;KRT17;TRIM29;SLCO2B1;MAP7;PTK2B;TFF1;S100P"
"lycorine-2195","19/100",1.38751573196653e-10,1.41064099416597e-07,0,0,6.28099173553719,142.568060983547,"ABCA1;SERPINB2;ABHD2;ARID5B;CXCL2;THBS1;RHOB;NR4A2;NT5E;MARCKS;SETBP1;DHRS9;HIST1H2BH;HIST1H2AC;HIST1H2BD;HIST1H2BC;HIST1H1C;BIRC3;HBEGF"
"16,16-dimethylprostaglandin E2-6562","18/100",1.06771717903765e-09,9.30439256018524e-07,0,0,5.9504132231405,122.922106780837,"SERPINB3;IL33;TGFB2;HSPB8;COBL;AQP3;ISG20;GPRC5A;RAB40B;ELF3;KRT17;DHRS9;CEACAM5;MAP7;RARA;S100P;CD24;CCNO"
"anisomycin-1304","18/100",1.06771717903765e-09,8.14134349016209e-07,0,0,5.9504132231405,122.922106780837,"SERPINB2;ARID5B;PRDM1;CXCL2;THBS1;RHOB;NR4A2;HIST1H4H;HIST1H1E;HIST1H2AG;HIST1H2BH;MCTP2;HIST1H2AC;HIST1H2BD;HIST1H2BC;HIST1H1C;BIRC3;HBEGF"
"(-)-isoprenaline-4495","16/100",5.15965353903097e-08,3.49709850978766e-05,0,0,5.28925619834711,88.7527209801615,"ABCA1;SERPINB3;TGFB2;SERPINB2;AQP3;ISG20;NR4A2;GPRC5A;KRT17;TRIM29;CEACAM6;GPD1;MAP7;TFF1;S100P;CD24"
"beta-escin-4544","16/100",5.15965353903097e-08,3.14738865880889e-05,0,0,5.28925619834711,88.7527209801615,"TGFB2;SERPINB2;GADD45A;RPL35A;CXCL1;CXCL2;RND3;RHOB;NR4A2;C1ORF116;GPRC5A;KRT17;KHSRP;HIST1H1D;HIST1H4H;BIRC3"
