"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"trichostatin A-1785","23/100",1.42202620804489e-08,8.6743598690738e-05,0,0,3.88841927303466,70.2582846312065,"TOE1;ACOT9;RAB4B;SDC4;PUS1;SSNA1;CAD;URB2;PLOD1;H2BFS;LILRB4;NRBP1;TTC27;TMUB2;RIC8A;NCSTN;PTER;NFIC;C3AR1;TRIB3;PIP5K1C;BAP1;CD33"
"vorinostat-6179","22/100",6.86334393316658e-08,0.000209331989961581,0,0,3.71935756551141,61.3488911712052,"SPI1;IL1R2;MEPCE;SLA;DDX54;GMIP;PLA2G7;CBFA2T3;DOK2;ZEB2;FMNL1;BDH1;ADORA3;GPR183;P2RY2;NFIC;C3AR1;TRIB3;LCP2;PLEKHO1;FCGR1B;LAIR1"
"trichostatin A-6193","21/100",3.13004569335315e-07,0.000636442624315141,0,0,3.55029585798817,53.172951649695,"TOE1;ZHX2;SPI1;IL1R2;SLA;RHOH;ITGAL;GMIP;PLA2G7;CBFA2T3;DOK2;ZEB2;FMNL1;BDH1;P2RY2;NFIC;CCL4;C3AR1;TRIB3;FCGR1B;LAIR1"
"PHA-00851261E-4330","20/100",1.34655432136203e-06,0.00205349534007709,0,0,3.38123415046492,45.7073933486746,"IGFBP4;PRICKLE3;NBEAL2;SLC1A5;GMIP;PPL;STRN4;SCAMP4;C3ORF18;NECAP2;FAM102A;INF2;PRR15L;CNOT3;OGDH;APBB1;TLN1;UNKL;TMEM8A;GRINA"
"acetohexamide-1870","20/100",1.34655432136203e-06,0.00164279627206167,0,0,3.38123415046492,45.7073933486746,"GLTP;LILRA6;IGSF6;SDC4;FAM114A1;NKG7;ACYP2;URB2;DTX4;LILRB4;NRBP1;DNAJC1;ADAP2;RUSC2;MICAL1;BCL7C;CLTCL1;TOM1;PADI2;RGL1"
"nocodazole-621","20/100",1.34655432136203e-06,0.00136899689338473,0,0,3.38123415046492,45.7073933486746,"RAB4B;ZNF185;ZFC3H1;RFNG;PEPD;DHRS1;TARBP1;EPN3;XAB2;TUBB6;RBM15B;MB;HECTD3;ATG2A;PMPCB;PNPLA6;TLN1;CIC;CCNO;HIST1H1C"
"propoxycaine-3583","20/100",1.34655432136203e-06,0.00117342590861548,0,0,3.38123415046492,45.7073933486746,"SPINK4;PTPRU;IFITM1;IFT140;TGFB1I1;SIX1;ZDHHC24;NBEAL2;RFNG;MEFV;CLN6;ADAP2;MMP15;IRF2;HIST1H1D;LPXN;PKN1;PNPLA6;TLN1;BCAS1"
"etofylline-5467","20/100",1.34655432136203e-06,0.00102674767003855,0,0,3.38123415046492,45.7073933486746,"SPINK4;STEAP3;MAP1S;RHBDF2;UBE2L6;ARHGEF10L;CHD3;GMIP;PISD;CNKSR1;XAB2;XK;RP2;LY6D;OGDH;LCP1;PLEKHO2;TLR5;SMPDL3B;BCAS1"
"ipratropium bromide-5823","19/100",5.45455894003545e-06,0.00369697883713514,0,0,3.21217244294167,38.9285066995556,"EHF;SLC37A1;MAP1S;SSNA1;URM1;C4ORF19;ITGB2;GBF1;DDX54;LHFPL2;TANC2;PISD;NINJ1;TCTN1;MACROD1;ULK1;SDF2;ITGA5;HIST1H3B"
"Prestwick-1084-3546","19/100",5.45455894003545e-06,0.00332728095342163,0,0,3.21217244294167,38.9285066995556,"SH3GLB2;PTPRU;CD151;CLIC3;WBP2;GBF1;DDX54;ZDHHC24;CYBA;FMO4;TMUB2;PLA2G15;CLDN4;ZDHHC18;ANXA6;CDK2AP2;PRSS8;SMPDL3B;TMEM8A"
"trimethobenzamide-2002","19/100",5.45455894003545e-06,0.00302480086674693,0,0,3.21217244294167,38.9285066995556,"ACOT9;CD151;SSNA1;LRRK1;SLC1A5;PISD;TARBP1;BATF;APH1A;RIC8A;GALNS;FIBP;LIMA1;DOK3;MACROD1;STT3A;MAN1C1;PLEKHO1;ANAPC2"
"verteporfin-6133","19/100",5.45455894003545e-06,0.00277273412785136,0,0,3.21217244294167,38.9285066995556,"SUN2;KDM5C;GRN;LRRK1;ITGB2;PLOD3;MOGS;NBEAL2;HMGCR;SLC39A14;HSPA13;NCSTN;GANAB;OSTM1;CPD;PIGK;SLC38A6;HYOU1;QSOX1"
"lycorine-2195","19/100",5.45455894003545e-06,0.00255944688724741,0,0,3.21217244294167,38.9285066995556,"HSPA8;LRRK1;SLA;CD1D;CBFA2T3;SLC39A14;UBAC1;PIK3C2B;TARBP1;RPS6KA4;ITPKB;SLC7A5;SH3YL1;BDH1;CHST12;PSAT1;TMEM109;ZNF248;LAIR1"
"diclofenac-2756","18/100",2.07628962495965e-05,0.00904669050875278,0,0,3.04311073541843,32.8118637312054,"HIST1H2AL;PTPRU;SMARCD1;CHKB;NBEAL2;HPS6;ARHGEF10L;MEFV;NCALD;PLA2G15;MRPL52;PAIP2B;XK;TOM1;MGAT1;ITGA5;PNPLA6;RIN1"
"carbarsone-3250","18/100",2.07628962495965e-05,0.00844357780816926,0,0,3.04311073541843,32.8118637312054,"SUN2;CDKN1A;CSTA;RAB4B;CHKB;MAP1S;INPPL1;COBL;UBE2L6;HPS6;RHOC;SND1;PIK3C2B;TMUB2;SYT17;ELF3;CCNO;EPHA2"
"LY-294002-5236","18/100",2.07628962495965e-05,0.00791585419515868,0,0,3.04311073541843,32.8118637312054,"STEAP3;KDM5C;CHKB;DENND4B;ZNF580;TIMM9;SIX1;URB2;KRI1;IL17RB;SERTAD3;TCTN2;PLEKHO1;MAMLD1;CCNO;RAI14;STRA6;ZNF750"
"dapsone-1827","18/100",2.07628962495965e-05,0.00745021571309052,0,0,3.04311073541843,32.8118637312054,"TOE1;CDKN1A;EDN1;GPX2;SLC44A4;GMIP;PLD3;CLN6;COX6B1;MRPL52;RUSC2;CLCF1;MACROD1;B3GNT3;KIFC3;APBB1;RIN1;UNKL"
