"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"flunisolide-4303","30/100",5.34633705121504e-14,3.26126560124117e-10,0,0,5.07185122569738,154.994655818201,"PTPRU;KDM5C;NRP2;ATN1;PLAT;AQP3;DMBT1;ARHGDIA;HSF1;SIRPA;GPR137;ABCA2;MINK1;ARNT;PRKCA;MYO9B;SSH3;SORBS3;RUNX1;RAB11B;C1ORF116;DOK3;SCNN1A;COL4A6;RARA;CALR;TLN1;LRCH4;PDE9A;GLYR1"
"tretinoin-1049","25/100",5.18115585307583e-10,1.58025253518813e-06,0,0,4.22654268808115,90.3669601052457,"CSTA;SLC22A5;TMPRSS4;TMPRSS2;NPL;FOXO3;AQP3;RAP1GAP;FAM174B;CLMN;TRIM2;P2RY2;LDLRAP1;PRKCH;SMAD3;FZD5;MICAL2;OSMR;PBX1;ELF3;FXYD3;CEACAM6;SCNN1A;BCL3;ACOX3"
"promazine-4308","25/100",5.18115585307583e-10,1.05350169012542e-06,0,0,4.22654268808115,90.3669601052457,"CDKN1A;LRP1;PTAFR;ATN1;DENND3;LTB4R;SBNO2;DMBT1;ARHGDIA;HSF1;TNFSF10;RPLP2;SNCA;ABCC3;ABCA2;TMEM176A;SORBS3;SLC6A6;C1ORF116;CEACAM1;ELF3;BCL3;EIF3F;LRCH4;ENG"
"diltiazem-1948","25/100",5.18115585307583e-10,7.90126267594063e-07,0,0,4.22654268808115,90.3669601052457,"RPLP0;ARHGEF10L;TXN;SMC3;SBNO2;RUSC2;FAM174B;RPLP2;RPL38;HIF1AN;RPS11;RPS10;UNKL;TOE1;CIZ1;ZNF580;IQSEC1;RPSA;RPL23A;EEF1A1;RPL27A;RPL37A;ADAM8;MAN2B1;CALR"
"mebendazole-2338","25/100",5.18115585307583e-10,6.32101014075251e-07,0,0,4.22654268808115,90.3669601052457,"CD86;IL1RN;CDKN1A;FAM114A1;LILRA2;CXCL2;TREM1;THBS1;NT5E;RGS1;KYNU;C3AR1;MARK4;ST3GAL2;PDLIM7;MEF2C;ARAP2;PLAUR;H2BFS;MMP9;NR4A2;FMNL1;BCL3;MCTP2;HBEGF"
"tacrolimus-284","24/100",2.78826321107502e-09,2.83473426459293e-06,0,0,4.0574809805579,79.9236393167507,"SMAD3;NUP210;ZNF580;GADD45A;ATP2A3;ARNT;COBL;NAGA;NBEAL2;SUPT6H;PBX1;HLA-E;CLCN7;SBNO2;ARHGDIA;CPD;FKBP8;CALU;RARA;CALR;MARK2;PLCD1;GLYR1;GRINA"
"spiperone-5777","24/100",2.78826321107502e-09,2.42977222679394e-06,0,0,4.0574809805579,79.9236393167507,"ZNF165;TGFB2;CDKN1A;EDN1;SEL1L;FNDC3B;WIPI1;PVR;CXCL2;PDIA4;RELB;NR4A2;THBD;IL1RL1;C1ORF116;KLF5;DMBT1;KRT17;CLCF1;AGR2;DNAJB9;TRIB3;HYOU1;HBEGF"
"thapsigargin-7103","23/100",1.42202620804489e-08,1.08429498363423e-05,0,0,3.88841927303466,70.2582846312065,"ZNF165;TGFB2;XBP1;CDKN1A;GADD45A;SEL1L;FHL2;SLC3A2;CXCL2;PDIA4;RELB;NR4A2;THBD;IL1RL1;C1ORF116;KLF5;PSAT1;OSBP;BCL3;DNAJB9;TRIB3;HYOU1;HBEGF"
"W-13-440","23/100",1.42202620804489e-08,9.63817763230422e-06,0,0,3.88841927303466,70.2582846312065,"SH3GLB2;MAP2K2;IGFBP4;NPRL3;RHBDF2;ATP2A3;C20ORF27;NBEAL2;PVR;AQP3;HLA-G;SORBS3;PLD3;IFFO1;ARHGDIA;FKBP8;RPLP2;GPR137;ULK1;ITGA5;LLGL2;PLEC;MAPK3"
"haloperidol-1628","22/100",6.86334393316658e-08,4.18663979923161e-05,0,0,3.71935756551141,61.3488911712052,"SPINK4;PLEKHA1;VDR;ABHD2;TMPRSS3;SEL1L;ITPK1;TBC1D2B;PVR;SLC4A4;WDR46;LMF2;EPB41L4B;ARHGDIA;ALDH3B1;FKBP8;TCP11L1;EPPK1;CLUAP1;N4BP1;PLCD1;MAP3K12"
