"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HME1 3H-dasatinib-3.33","64/127",3.10571476579075e-32,1.02864378757755e-27,0,0,5.33266674998958,386.882194864806,"CXCL6;PLAT;CXCL1;CXCL3;CXCL2;CCND1;ENC1;PIM1;SOX9;PRSS3;PHLDA1;JUNB;SERPINB2;TNFRSF12A;FST;WNT5A;PLAUR;EMP1;KRT5;OLFM4;F3;DUSP6;UGDH;GPRC5A;IFI27;VSNL1;CEACAM6;IL1B;TAGLN3;S100A9;S100A8;EPHA2;HBEGF;PPP1R15A;COL15A1;BCL2A1;SLC20A1;TACSTD2;PDGFA;UAP1;TXN;PTGS2;PI3;EGR2;JUN;EGR3;SMURF2;LAMB3;GADD45A;CCL20;LIF;MICAL2;HMGA2;INHBB;INHBA;IL6;MARCKS;KLF6;MYO1B;DHRS9;AXL;AMOTL2;S100P;PTX3"
"LJP005 HA1E 24H-NVP-AUY922-10","74/169",6.5174095759875e-32,1.07931561283141e-27,0,0,4.63354309508156,332.726602344974,"SPARC;CALML5;SERPINE1;CALML3;MT1X;PLAT;CXCL1;MT2A;DPYSL3;DENND5A;QSOX1;CEP170;SOX9;PHLDA1;KRT6A;NKX3-1;TLE1;SERPINB2;S100A2;TNFRSF12A;IGFBP3;MMP2;SPHK1;RRAS2;TM4SF1;DUSP6;RAB32;GREM1;VCAN;MAP1B;TFF3;RBMS1;TFF1;EPHA2;HBEGF;INSIG1;SATB2;HIST1H2BK;TACSTD2;GATA6;PDGFA;AK4;SRM;POLD4;PDLIM2;SPOCK1;CCL2;HES1;MCL1;TIMM8B;IL32;EGR1;JUN;GADD45A;LIF;INHBA;PDZK1IP1;KLF4;HOPX;MLLT11;NFKBIA;MARCKS;KLF6;COL5A1;FABP5;AXL;KRT16;SNAI2;CPE;PTX3;TGFBI;SPRR1A;NOP10;SPRR1B"
"LJP006 HME1 3H-canertinib-10","65/139",2.96101288262988e-30,3.26905692285281e-26,0,0,4.94842221460926,336.453229062174,"BTG2;CTSZ;TNFAIP3;CXCL1;CXCL3;CXCL2;ETS2;ZFP36;HHEX;CCND1;ENC1;SOX9;PHLDA1;SERPINB2;TNFRSF12A;FST;SPHK1;FNDC3B;PLAUR;KRT7;EMP1;KRT5;MMP8;MMP9;TM4SF1;DUSP6;F5;CH25H;COL4A2;ASPH;COL4A1;CEACAM6;IL1B;MALL;BPI;CEACAM8;LTF;HBEGF;SLC20A1;TACSTD2;PDGFA;UAP1;PTGS2;EPCAM;TSPAN4;S100A12;PI3;JUN;EGR3;SMURF2;CCL20;DEFA4;LIF;ARHGAP29;MICAL2;HMGA2;INHBA;SMAD7;IL6;KRT19;WEE1;AXL;PTX3;CD24;SPRR1A"
"LJP006 HME1 3H-alvocidib-3.33","74/194",2.95088349373379e-27,2.44340530489892e-23,0,0,4.03643702612775,246.576625445829,"BTG2;BTG1;CITED2;FHL2;TNFAIP3;CXCL1;ADO;CXCL3;CXCL2;RND3;ETS2;RND1;ZFP36;RGS2;CLP1;PIM1;SOX9;UPP1;JUNB;PHLDA1;TGIF1;SERPINB2;DST;KRT7;ARID5B;TM4SF1;DUSP6;SERPINB5;GEM;RHOB;TNFRSF1A;TGFBR3;ARL4C;GPRC5A;CDC42EP4;IRF1;TFF1;ATF3;EPHA2;HBEGF;LTF;PTGER4;PPP1R15A;CEBPB;CEBPD;CRCT1;GATA6;TACSTD2;PDGFA;NEDD9;DDX21;BCL10;FOXO1;CHSY1;HES1;MCL1;JUN;EGR3;GADD45A;LIF;PDZK1IP1;KLF4;SMAD7;NR4A2;NFKBIA;IL6;MARCKS;WEE1;KLF6;KRT15;KRT14;FOSB;PTX3;CD24"
"LJP006 HA1E 24H-QL-X-138-10","78/219",2.27588056272043e-26,1.50758880235727e-22,0,0,3.76893527578459,222.536200605154,"FKBP11;HSPB8;SERPINE1;TNFAIP2;TNFAIP3;PLOD2;DEFB1;PLOD1;WFDC2;LAPTM4B;UCHL1;ALCAM;LBH;CCND1;BASP1;DPYSL3;ENC1;PHGDH;HOXA5;ABCC4;KRT4;S100A2;IGFBP5;IGFBP4;IGFBP3;KRT7;KAZN;NME4;C6ORF62;TM4SF1;MMP10;RHOB;PDIA4;ACLY;GPRC5A;MAL;KDELR3;RHCG;CRYAB;DBN1;NOTCH2;IDI1;SEMA3C;NXN;INSIG1;TACSTD2;NEDD9;TXN;CNN3;FAM171A1;RAB11FIP1;PRDX1;STC2;NT5DC2;SH3BP4;CCL2;IL32;HSPA8;JUN;PPP1R14B;SMURF2;MYO10;CCL20;DHCR24;NR2F2;INHBA;MLLT11;DRAP1;NFKBIA;SPCS3;KRT19;KLF6;COL5A1;AXL;PSAT1;FXYD5;TGFBI;CD24"
"LJP006 HS578T 24H-geldanamycin-10","59/132",2.77690577913355e-26,1.53289827184471e-22,0,0,4.7298380631714,278.331460093585,"ACADVL;CALML5;SERPINE1;FHL2;TNFAIP3;EPS8;ALCAM;CCND1;PMEPA1;SOX9;UPP1;PRSS3;PHLDA1;TIMP4;SERPINB2;S100A2;TNFRSF12A;WNT5A;BGN;PLAUR;EMP1;F3;TM4SF1;DUSP6;GREM1;SOAT1;VSNL1;ASPH;TFF1;GART;MET;EPHA2;HBEGF;SLC20A1;LAMA3;GATA6;POLD4;EIF4EBP1;SPOCK1;HES1;MCL1;JUN;TGFB1;MYO10;HMGA2;VEGFC;INHBA;SMAD7;DRAP1;BST2;MARCKS;GATM;KLF6;KRT17;AXL;MFAP2;SNAI2;PTX3;CRLF1"
"LJP005 HA1E 24H-NVP-AUY922-0.12","60/137",4.02056120608904e-26,1.90235725295536e-22,0,0,4.63445718920172,271.003549630185,"CALML5;SERPINE1;TNFAIP2;PLAT;LAPTM4B;UCHL1;CYP1B1;DENND5A;CEP170;SOX9;UPP1;PHLDA1;ACOT9;TLE1;SERPINB2;S100A2;TNFRSF12A;IGFBP3;EMP1;RRAS2;SERPINB9;TM4SF1;GEM;ACLY;VCAN;TUBB2B;MAP1B;ATF3;EPHA2;BIRC3;CRABP2;RRAD;INSIG1;GATA6;AK4;CNN3;POLD4;PDLIM2;PNMA1;PACSIN2;CCL2;HES1;CTNNAL1;MCL1;IL32;EGR3;LIF;ISG15;PPBP;INHBA;KLF4;NFKBIA;MARCKS;KLF6;FABP5;KRT14;SNAI2;PTX3;TGFBI;CD24"
"LJP006 HME1 3H-BMS-387032-1.11","64/156",7.88728189798164e-26,3.26543329678813e-22,0,0,4.34133767467101,250.937830273073,"BTG2;BTG1;FHL2;TNFAIP3;ADO;ETS2;ZFP36;RGS2;SOX9;UPP1;PHLDA1;JUNB;HOXA5;TGIF1;SRGN;SERPINB2;DST;SPHK1;EMP1;GEM;DUSP6;RHOB;ARL4C;CDC42EP4;RIN2;S100A9;S100A8;ATF3;LTF;HBEGF;NOTCH2;PTGER4;CEBPB;CEBPD;INSIG1;TACSTD2;PDGFA;GATA3;FOXO1;S100A12;HES1;MCL1;EGR2;JUN;LAMB3;GADD45A;MICAL2;KLF4;SORL1;HOPX;KLF2;SMAD7;NR4A2;NFKBIA;KLHL9;MARCKS;WEE1;KLF6;MAFB;BCL6;KRT15;KRT14;PTX3;TJP2"
"LJP006 HME1 3H-A443654-1.11","60/142",4.11151502153514e-25,1.51308321142517e-21,0,0,4.47127207690588,251.065663965516,"BTG1;TNFAIP3;CALML3;CXCL1;ADO;CXCL3;CXCL2;RND3;ZFP36;RGS2;BASP1;SOX9;PHLDA1;SLC16A3;JUNB;HOXA5;TGIF1;SERPINB2;KRT5;GEM;DUSP6;RHOB;ARL4C;PRPF4;IL1B;TFF1;KCTD12;DSG3;RIN2;ATF3;BIRC3;LTF;HBEGF;CEBPB;CEBPD;SLC20A1;TACSTD2;PDGFA;S100A12;HES1;MCL1;CA12;IL32;EGR2;JUN;EGR3;CCL20;LIF;PDZK1IP1;KLF4;NR4A2;NFKBIA;KLHL9;IL6;WEE1;MAFB;KRT14;ZYX;SNAI2;PTX3"
"LJP006 HS578T 24H-QL-X-138-10","78/230",8.70542908986518e-25,2.88332516885425e-21,0,0,3.58868184955141,198.815416421396,"IFITM3;FKBP11;LGALS3BP;IFITM2;SPARC;GOLT1B;CETN2;HSPB8;CTSZ;PLOD2;TMEM97;PLOD1;TXNDC15;CLU;LAPTM4B;ALCAM;DPYSL3;TNFSF10;TMED2;OLR1;TMEM109;PHGDH;SRGN;IGFBP5;LIMCH1;IGFBP3;WNT5A;BGN;NME4;SLC39A14;PDIA5;DCN;PDIA4;ACLY;VCAN;RAB31;SLPI;ASPH;TMSB15A;CEACAM5;HOXB2;KDELR3;PPIC;TMEM45A;PRPS1;GSTP1;CFI;SLC1A4;PIK3R1;AEBP1;PRDX4;PDGFD;NT5DC2;SERPINH1;EIF4EBP1;CD99;HSPA8;LAPTM5;DHCR24;NR2F2;LYZ;SULF1;MEIS2;HOPX;MLLT11;BST2;FKBP1A;COL5A1;PSAT1;FASN;GSTA1;MGP;APOC1;PIR;CPE;FXYD5;CD24;NUCB2"
