"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 MCF10A 24H-AS-605240-1.11","83/183",4.68332357515752e-37,1.55139776750668e-32,0,0,4.79949113828895,401.485306886004,"LGALS3BP;SCARB1;IFITM1;BTG1;HSPB8;TNFAIP3;KRT23;DEFB1;SPINT2;SPATA20;CLU;WFDC2;PIK3C2B;RGS2;GM2A;FTH1;CAPN1;TNS3;CTSD;HIST1H2AC;KRT6A;VAV3;SERPINB3;SERPINB2;KRT4;SERPINF1;ANXA4;DCN;TAPBP;ALDH3A2;ALDH3A1;IFI27;SLPI;IL1B;SCNN1A;CLDN7;TXNIP;BLVRB;CRYAB;S100A8;ATF3;CFB;HIST1H2BD;PTGES;COL15A1;NOTCH1;CRABP2;C1R;MVP;TACSTD2;PLAC8;MUC1;ABLIM1;RAB25;GPNMB;S100A14;FILIP1L;P4HTM;ATP9A;IL32;GSN;MUC16;CCL20;AKR1C1;AHNAK2;KRT13;ISG15;KLF4;PNRC1;ASS1;DHRS3;BST2;KRT19;BCL6;FXYD3;KRT15;LCN2;PIR;RAB9A;MAN2B1;S100P;CD24;YPEL5"
"LJP006 MCF10A 24H-lapatinib-10","76/164",7.92504358531906e-35,1.3126249690364e-30,0,0,4.90385856239515,385.053183190361,"LGALS3BP;STEAP3;BTG2;PROS1;HSPB8;SPATA20;MSLN;CLU;RND3;WFDC2;ALCAM;LBH;GM2A;FTH1;CAPN1;PGLS;CTSD;SYBU;KRT6A;SERPINB3;SLC34A2;KRT4;SERPINF1;ANXA4;GAA;EMP2;KRT5;DCN;ALDH3A2;SLPI;CEACAM6;IL1B;CEACAM5;BLVRB;HOXB2;S100A9;S100A8;CFB;HIST1H2BD;IRF9;S100A7;PPIC;PTGES;TMEM45A;CRABP2;C1R;MVP;HIST1H2BK;LTBP1;MUC1;GPNMB;PDGFD;CLCA2;S100A14;PI3;P4HTM;ATP9A;TFAP2A;AKR1C1;AHNAK2;KRT13;ISG15;DHCR24;PDZK1IP1;SULF1;PNRC1;ASS1;EFNA1;GCLC;KRT19;BCL6;FXYD3;LCN2;CD24;YPEL5;SPRR1B"
"LJP005 MCF10A 24H-dasatinib-0.37","70/144",7.59624365178113e-34,8.38777224029672e-30,0,0,5.1440329218107,392.285181548533,"LGALS3BP;BTG1;HSPB8;TNFAIP2;KRT23;DEFB1;AQP3;ETS2;RGS2;CAPN1;TNS3;CTSD;HOXA5;HIST1H2AC;KRT6A;SERPINB3;SERPINB4;SERPINF1;ANXA4;SLC6A14;SERPINB9;TM4SF4;DCN;DUSP22;CLDN10;SCNN1A;CLDN7;S100A9;CRYAB;S100A8;CFB;HIST1H2BD;SKAP2;NOTCH1;CRABP2;MAOB;TACSTD2;CRIP2;KLK8;SULT1A1;SELENBP1;MUC1;RAB11FIP1;GMDS;RAB25;GCNT3;HES1;S100A14;PI3;CD14;PROM1;S100A10;MUC16;WFS1;AKR1C1;AHNAK2;KRT13;TPD52L1;CP;ASS1;EFNA1;KRT19;MAFB;AKR1B10;BCL6;MGP;LCN2;CPE;YPEL5;SPRR1B"
"LJP006 MCF10A 24H-afatinib-1.11","78/179",2.15348895424391e-33,1.78341187745709e-29,0,0,4.61115544914428,346.842899367812,"LGALS3BP;IFITM1;BTG1;RPL31;HSPB8;SLC2A1;TNFAIP2;DEFB1;CLU;RND3;WFDC2;PIK3C2B;SCPEP1;FGF9;GM2A;TNFSF10;CAPN1;UBXN4;CTSD;HIST1H2AC;SYBU;KRT6A;VAV3;SLC34A2;KRT4;SERPINF1;GAA;DCN;ALDH3A1;IFI27;SLPI;SCNN1A;CLDN7;TXNIP;BLVRB;S100A9;CFB;HIST1H2BD;PTGES;TMEM45A;GRN;CRABP2;C1R;HIST1H2BK;PIK3R1;FOXO3;LTBP1;SULT1A1;SELENBP1;SLC9A3R1;MUC1;GPNMB;MAN2A1;PDGFD;STOM;S100A14;P4HTM;ABCA1;CA12;GSN;AKR1C1;EPHX1;AHNAK2;KRT13;PDZK1IP1;SULF1;CP;PNRC1;ASS1;EFNA1;BST2;KRT19;BCL6;FXYD3;KRT15;LCN2;RAB9A;YPEL5"
"LJP005 A549 24H-nilotinib-10","72/164",3.5751925016875e-31,2.368636536218e-27,0,0,4.64576074332172,325.696254873372,"CXCL6;MCTP1;SERPINA1;SERPINE1;TNFAIP3;MT1X;PLAT;CXCL1;CXCL3;CXCL2;RND3;PTPRF;MT2A;MAP3K8;UPP1;PHLDA1;SLC16A3;SERPINB2;S100A2;TNFRSF12A;ANXA3;RIPK2;HLA-B;PLAUR;HLA-C;OLFM4;SLC39A14;F3;GEM;MMP10;GREM1;CH25H;GPRC5A;IL1B;MT1F;MT1H;TRIB3;ATF3;CFB;EPHA2;MT1E;BIRC3;HBEGF;PPP1R15A;BCL2A1;CEBPD;INSIG1;PIK3R1;PTN;PTGS2;NT5E;CCL2;SH2B3;MCL1;IL32;EGR1;PRNP;EGR2;JUN;SMURF2;LAMB3;GADD45A;CCL20;LIF;KLF4;NR4A2;NFKBIA;IL6;KLF6;FOSB;PTX3;FXYD5"
"LJP006 A375 24H-PD-0325901-0.04","81/204",3.69302651185036e-31,2.03891993719259e-27,0,0,4.20168067226891,294.427275495899,"IFITM1;BTG2;IFITM2;BTG1;CITED2;PROS1;SERPINE1;ABAT;MT1X;SPATA20;CLU;WFDC2;MYLK;PIK3C2B;TRIM2;TNFSF10;CAPN1;RPS11;TNS3;HIST1H2AC;KRT6A;VAV3;SERPINB3;CPA3;ATP6V0E1;SERPINF1;ANXA4;ARID5B;SERPINB9;WIPI1;OLFM4;NPC2;RPL37A;TXNIP;CRYAB;CFB;HIST1H2BD;IRF9;PPIC;TAGLN;CRABP2;CEBPD;C1R;MVP;CFI;PIK3R1;PTN;SULT1A1;SELENBP1;HMGCL;POLD4;MUC1;ABLIM1;PDGFD;NEU1;UCP2;ERBB2;CD14;SERF2;IL32;JUN;GSN;EPHX1;AHNAK2;C14ORF132;DHRS1;TPD52L1;ASS1;PNRC1;BST2;EFNA1;ALDH6A1;GSTA4;BCL6;TCN1;LCN2;PIR;FOSB;MAGED2;TPP1;YPEL5"
"LJP005 MCF10A 24H-AZD-8330-10","66/140",5.75955802579192e-31,2.72558741660548e-27,0,0,4.98866213151927,347.356938126773,"IFITM1;RPL31;HSPB8;DEFB1;SPINT2;CLU;ETS2;WFDC2;PIK3C2B;SCPEP1;RGS2;GM2A;SLC22A18;TNFSF10;CAPN1;CTSD;HIST1H2AC;SYBU;HERC6;VAV3;SERPINF1;IGFBP3;ANXA4;GAA;ALDH3A2;IFI27;SLPI;IL1B;SCNN1A;BLVRB;S100A9;ATF3;CFB;HIST1H2BD;IRF9;PTGES;LAMA5;C1R;MVP;HIST1H2BK;GATA3;SULT1A1;MUC1;ABLIM1;RAB25;GPNMB;STOM;S100A14;P4HTM;GSN;MUC16;JUP;AKR1C1;MX1;AHNAK2;ISG15;SULF1;KLF4;GULP1;EFNA1;BST2;KRT19;PIR;FOSB;RAB9A;S100P"
"LJP006 MCF10A 24H-canertinib-0.04","71/163",1.71546668697978e-30,7.10331868411151e-27,0,0,4.60934203265492,315.914474074911,"LGALS3BP;IFITM1;BTG1;SLC2A1;TNFAIP2;KRT23;DEFB1;SPATA20;CLU;WFDC2;PIK3C2B;SCPEP1;GM2A;TNFSF10;CAPN1;CTSD;HIST1H2AC;KRT6A;VAV3;KRT4;SERPINF1;ANXA4;GAA;DCN;TGFBR3;IFI27;SLPI;IL1B;SCNN1A;CLDN7;TXNIP;BLVRB;S100A9;CRYAB;SMPDL3A;S100A8;ATF3;CFB;HIST1H2BD;TMEM45A;GRN;NOTCH1;CRABP2;C1R;PTN;SULT1A1;MUC1;ABLIM1;GPNMB;PDGFD;S100A14;P4HTM;GSN;JUP;AKR1C1;AHNAK2;KRT13;ISG15;PDZK1IP1;SULF1;CP;PNRC1;ASS1;EFNA1;BST2;KRT19;BCL6;FXYD3;LCN2;YPEL5;NFE2L1"
"LJP006 A375 24H-PD-0325901-1.11","82/214",3.10467101822115e-30,1.14272591277327e-26,0,0,4.05478910151807,275.501206183537,"BTG2;BTG1;CITED2;HSPB8;ABAT;SPATA20;PYGL;CLU;MYLK;PIK3C2B;SCPEP1;FTH1;TRIM2;SLC22A18;TNFSF10;CAPN1;HIST1H2AC;VAV3;SERPINB3;SERPINB4;IGFBP5;SERPINF1;ANXA4;HLA-B;WIPI1;DCN;RHOB;TMEM134;CEACAM5;NINJ1;SCNN1A;TXNIP;CRYAB;ATF3;CFB;HIST1H2BD;IRF9;PPIC;TMEM45A;BEX4;GPM6A;TAGLN;CRABP2;C1R;MVP;PIK3R1;PTN;HMGCR;SULT1A1;SELENBP1;SLC9A3R1;POLD4;MUC1;ABLIM1;GPNMB;OLFML3;PDGFD;NEU1;ERBB2;AMZ2;VAT1;CTSA;JUN;GSN;AHNAK2;SORBS2;C14ORF132;TPD52L1;PNRC1;GULP1;BST2;EFNA1;NFKBIA;KRT19;GSTA4;KRT15;GSTA1;PIR;FOSB;MAGED2;TPP1;YPEL5"
"LJP006 MCF10A 24H-selumetinib-1.11","74/180",9.77566798436091e-30,3.23828777649939e-26,0,0,4.35038212815991,290.595330389263,"SCARB1;IFITM1;BTG2;BTG1;RPL31;PROS1;HSPB8;TNFAIP3;KRT23;CLU;WFDC2;PIK3C2B;RGS2;GM2A;TNFSF10;CAPN1;CTSD;HIST1H2AC;VAV3;SERPINF1;IGFBP3;ANXA4;WIPI1;NIPSNAP1;DCN;TGFBR3;IFI27;SLPI;IL1B;SCNN1A;CLDN7;TXNIP;BLVRB;DNASE2;S100A9;CRYAB;S100A8;ATF3;CFB;HIST1H2BD;C1R;MVP;HIST1H2BK;PIK3R1;GATA3;SELENBP1;CYB5R1;MUC1;ABLIM1;RAB25;PDGFD;STOM;S100A14;PROM1;FILIP1L;P4HTM;GSN;JUP;AKR1C1;AHNAK2;DHCR24;PPBP;PDZK1IP1;SULF1;KLF4;TPD52L1;PNRC1;ASS1;EFNA1;KRT19;FXYD3;CD24;YPEL5;PF4"
