"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HA1E 24H-BI-2536-10","50/154",1.87150485590166e-15,6.1986112332319e-11,0,0,3.42665250316965,116.204754658171,"TGFB1I1;SERPINE1;AQP3;SLC4A4;PRSS23;LOXL1;MRPL3;EFEMP1;PTGIS;S100A2;IGFBP4;IGFBP3;MMP2;PGAM1;BGN;PCOLCE;EMP3;SLC39A14;VCAN;LOX;CLDN8;KDELR3;MYL9;TLR3;NOTCH3;TIMM9;THBS1;RAB25;CALD1;OLFML3;SERPINH1;TSPAN4;CCL2;PDLIM7;CA12;GPR56;HOMER2;EGF;TMEM176B;TPBG;CRIM1;CFLAR;SORBS3;MAPK13;COL1A1;KRT18;COL5A1;KRT17;KRT14;FBN1"
"LJP006 BT20 24H-fostamatinib-10","39/108",4.62469795887784e-14,7.65873105479964e-10,0,0,3.81119906185869,117.022029642496,"NNMT;TGFB1I1;LAMC2;CLDN1;PRSS23;THBS1;CYR61;CTGF;CNN3;TUBB6;CDH3;TRIM29;CALD1;PEA15;SFN;PI3;PTRF;KRT6B;FGFBP1;S100A2;CAV2;CAV1;SAMD4A;MICAL2;SERPINB5;FOSL2;VCAN;COL4A2;VSNL1;KRT17;COL4A1;GJB3;KRT16;KRT14;SDC1;MYL9;VGLL1;S100A7;RAI14"
"LJP009 HA1E 24H-JWE-035-10","41/118",4.7376699663851e-14,5.23054556522136e-10,0,0,3.66709896695139,112.508964721527,"TGFB1I1;SERPINE1;AQP3;PRSS23;THBS1;LOXL1;CTGF;RAB25;CALD1;CHN2;PDGFC;PEA15;SERPINH1;TSPAN4;SOSTDC1;PTRF;KRT6B;PDLIM7;KRT6A;MSMB;CA12;FGFBP1;S100A2;RBPMS;IGFBP4;IGFBP3;CRIM1;BGN;MICAL2;KRT5;SORBS3;HOPX;C1ORF116;LOX;COL5A1;KRT17;FXYD3;KRT14;SNAI2;MYL9;FGFR3"
"LJP005 HEPG2 24H-GSK-1059615-1.11","25/48",7.96979088485882e-14,6.59918609743522e-10,0,0,5.49692172383465,165.790089309823,"SPRR3;SERPINE1;ODC1;CRCT1;CNN3;SFN;SPRR2B;KRT6B;KRT6A;MPZL2;FGFBP1;S100A2;SPINK5;MICAL2;SERPINB5;HOPX;MAPK13;BMP2;LY6D;DSG3;CD24;RHCG;SPRR1A;SPRR1B;DSC2"
"LJP008 HEPG2 24H-I-BET-3.33","29/67",3.73870217379549e-13,2.47659109396561e-09,0,0,4.56818808333005,130.718097496494,"GUCY1B3;SPRR3;IL1RN;CSTA;SERPINB13;SDC2;SHB;AQP3;PI3;CD34;SPRR2B;KRT6A;CA12;IGFBP4;IL1R2;SPINK5;AHNAK2;MUC5B;COL1A1;VCAN;BDH1;SLCO4A1;CEACAM6;KRT16;CEACAM5;CD24;SPRR1A;FGFR3;SPRR1B"
"LJP008 MCF7 24H-pracinostat-10","42/131",5.3270206149637e-13,2.94060416313688e-09,0,0,3.38375395274829,95.6276414562991,"IL1RN;HPGD;AQP9;FZD10;ROD1;PRSS23;CCND1;SOX17;MECOM;RAB25;ERBB3;CDH1;TRIM29;BLNK;SPDEF;DENND2D;CA12;HSPA8;GABRP;ST14;GPX2;ANXA1;RBPMS;MUC16;TPBG;KRT13;KRT5;ANK3;MUC5B;ESR1;ALDH3A1;FA2H;AZGP1;BDH1;FXYD3;KRT15;KRT14;SDC1;PGR;IRF6;GAS6;LTF"
"LJP006 HS578T 24H-XMD-1150-3.33","41/131",2.4388660749667e-12,1.15396690384246e-08,0,0,3.30318838244476,88.3255658102777,"NNMT;HPGD;CRISP3;TGFB1I1;CALML3;MSLN;AQP3;THBS1;CYR61;CTGF;PDZD2;EFS;TRIM29;OLFML3;MAP7;CCL2;SFN;TP63;PRKCH;IGFBP4;IGFBP3;TMEM176B;SPINK5;BGN;KRT13;EPHX3;BBOX1;TMPRSS11E;HOPX;COL1A1;AZGP1;VCAN;AIM1;ZEB1;CEACAM6;CEACAM5;LY6D;NOX4;SLC27A2;FGFR3;RAI14"
"LJP005 SKBR3 3H-TG-101348-3.33","36/105",2.58657648888374e-12,1.07087499860398e-08,0,0,3.61854504334715,96.5452638379646,"C4BPA;LAMC2;VTCN1;CTGF;CCL8;EPCAM;KIAA1324;AGR2;CCL2;SFN;PROM1;SPDEF;DENND2D;CA12;GPX2;SLC35A3;LAMB3;VDR;PRKCD;BGN;CYP4B1;KRT5;ESR1;SERPINB5;COL1A1;SFRP4;ANO1;VCAN;CLDN3;KRT17;TCN1;CEACAM5;KRT15;CHI3L1;RAPGEF5;FGFR2"
"LJP008 MCF7 24H-PFI-1-10","45/154",3.10807718203261e-12,1.14380693717891e-08,0,0,3.08398725285269,81.7164622052184,"GUCY1B3;IL1RN;CSTA;SERPINB13;CALML5;KRT23;CALML3;PRSS23;SCEL;RAB25;S100A14;PITX1;MUC4;KRT6B;KRT6A;EXPH5;SPDEF;CA12;ST14;FGFBP1;ANXA1;S100A2;MUC16;IL1R2;TPBG;PLAUR;PCOLCE;KRT5;MUC5B;ESR1;KLK10;SORBS3;KLK11;COL1A1;PIGB;VCAN;CLDN3;BDH1;KRT17;KRT16;COL6A2;KRT15;KRT14;LY6D;LTF"
"LJP008 HT29 24H-pracinostat-10","39/123",5.28042786079851e-12,1.74893051177507e-08,0,0,3.34641868846129,86.8965008904736,"SPRR3;IL1RN;HPGD;SLC35F2;C4ORF19;TMPRSS4;IL20RA;MGST2;ATP10B;ROD1;MSLN;C11ORF9;HOXA10;SOX17;MECOM;RAB25;EPCAM;MSMB;MPZL2;DENND2D;GPX2;SMAD3;ANXA1;RBPMS;VWF;TMEM30B;KRT13;ESR1;KLK10;KLK11;MAPK13;FA2H;ANO1;AZGP1;ALDH5A1;COL4A1;ESRP1;PPARG;SLC27A2"
