"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HA1E 24H-JNK-9L-10","58/209",2.86981046133897e-14,9.50653413423148e-10,0,0,2.92888613955133,91.3283674393169,"CD84;FLT1;NCF2;PLEKHB1;AQP9;TREM2;AQP1;MS4A4A;BLNK;TIMP3;HIST1H1C;MEF2C;EGFL6;SSR4;CD93;ITGA4;MAGI2;PCOLCE;ITFG1;DKK3;SFRP4;ANO1;ALDH5A1;RNF128;VSNL1;SPARCL1;CHST1;CHI3L1;IRF6;CSTA;IGSF6;MAOA;SEMA3A;LAMA4;HTRA1;VTCN1;THBS2;C2;PBLD;CCL8;ERBB4;CCL4;SLAMF8;SUSD4;FCGR1B;EXPH5;SPDEF;CYP2J2;MSR1;SLC35A3;TMEM30B;NEBL;BIK;CYP4B1;SULF1;FXYD3;COL5A2;FGFR3"
"LJP006 MCF10A 24H-radicicol-0.12","42/123",4.64719159292232e-14,7.69714343535723e-10,0,0,3.60383551065062,110.6374915055,"CSTA;CLIC3;KRT23;LYPD3;F11R;AQP3;PPL;PAPSS2;WISP2;LRRC1;GJA1;CDH1;MB;PERP;MAP7;ENPP4;EPS8L2;S100A14;PROM1;CLCA4;AP1M2;KRT6A;HIST1H1C;OSR2;KRT4;GPR56;RARRES2;KRT13;HOPX;TRAPPC6A;CLDN3;ALDH5A1;SPINT1;SLPI;PRR15L;FXYD3;ESRP1;SCNN1A;CLDN7;CD24;GAS6;MYL9"
"LJP006 HA1E 24H-alvocidib-10","58/212",5.65919096049797e-14,6.24887865858186e-10,0,0,2.88743963757654,88.0753124342145,"CD84;FLT1;NCF2;TREM2;AQP1;MS4A4A;TMEM47;GJA1;GM2A;CDH1;CCRL2;BLNK;TIMP3;HIST1H1C;MEF2C;EGFL6;ITGA4;MAGI2;PCOLCE;ITFG1;DKK3;SFRP4;ANO1;ALDH5A1;RNF128;VSNL1;COL6A2;SCGB2A1;COL4A6;SIDT1;SPARCL1;CHST1;CHI3L1;CSTA;IGSF6;HTRA1;FPR3;THY1;VTCN1;THBS2;CCL8;ERBB4;CCL4;SLAMF8;MAN1C1;FCGR1B;EXPH5;SPDEF;MSR1;P2RY13;TMEM30B;NEBL;RARRES2;SULF1;ESR1;ARHGAP32;COL5A2;SDC1"
"LJP005 MCF10A 24H-PF-431396-0.37","35/91",1.03289966954371e-13,8.55395861332626e-10,0,0,4.05926527298559,121.377049518258,"IL1RN;HPGD;LYPD3;AQP3;PPL;PAPSS2;C1ORF106;GJA1;CDH3;CDH1;TRIM29;S100A14;PI3;CTSD;SERPINB3;RARRES2;SLC6A14;KRT8;KRT13;CYP4B1;CFLAR;SULF1;KLK10;TTC39A;CEACAM1;AKR1B10;SPINT1;CEACAM6;PRR15L;KRT16;CEACAM5;CD24;MYL9;SPRR1B;S100A7"
"LJP006 MCF10A 24H-WZ-4-145-1.11","37/101",1.22563917308638e-13,8.12010464953186e-10,0,0,3.86634969565558,114.947132150894,"CLIC5;CSTA;ITGB4;PEX11A;TMPRSS2;AQP3;FBLN2;PPL;WISP2;C1ORF106;HSD11B2;TUBB6;CDH3;CDH1;TRIM29;PERP;EPS8L2;PRSS8;S100A14;ABP1;PTGIS;GPR56;AHNAK2;CYP4B1;PDZK1IP1;CLDN3;VNN1;SPINT1;SLPI;ELF3;ESRP1;SCNN1A;CLDN7;LCN2;EIF3F;CD24;MYL9"
"LJP005 MCF10A 24H-radicicol-0.12","39/111",1.29410158254147e-13,7.14473483721144e-10,0,0,3.70819368180846,110.043575175482,"SPRR3;CSTA;SERPINB13;HPGD;CELF2;SPATA20;AQP3;PPL;ADAM28;EFEMP1;CCND1;CDH1;TRIM29;PERP;SYBU;KRT6A;SERPINB3;ANXA1;GPR56;RARRES2;SPINK5;AHNAK2;KRT13;CYP4B1;SULF1;VCAN;AIM1;SPINT1;SLPI;RNF128;PRR15L;CEACAM5;KRT15;SCNN1A;KRT14;CD24;MYL9;SPRR1A;SPRR1B"
"LJP005 MCF10A 24H-PF-431396-3.33","39/111",1.29410158254147e-13,6.12405843189552e-10,0,0,3.70819368180846,110.043575175482,"CSTA;IGSF3;DEFB1;ITPR3;THBS2;AQP3;PPL;PAPSS2;AQP1;C1ORF106;GJA1;CDH3;CCND1;GM2A;CDH1;TRIM29;KRT6B;SYBU;KRT6A;EGFL6;S100A2;GPR56;SLC6A14;AHNAK2;KRT13;CYP4B1;KRT5;PDZK1IP1;ALOX15B;COL1A1;VCAN;SLPI;KRT17;KRT16;KRT15;KRT14;MYL9;SPRR1B;S100A7"
"LJP006 HS578T 24H-A443654-1.11","49/164",1.33207718884526e-13,5.515798619711e-10,0,0,3.15335607181929,93.4871270838596,"IL1RN;PLEKHB1;MSLN;CELSR2;AQP1;CDH3;CDH1;ADAMTS1;BLNK;EGFL6;NUP210;ARAP2;IL18;ANK3;COQ10B;IL17RB;SFRP4;ANO1;BCAM;SPINT1;ESRP2;SCNN1A;SPARCL1;KCTD14;SHANK2;HLF;STXBP2;C5AR1;VTCN1;PPL;PDZD2;RAB25;ERBB4;NACC2;PERP;STAP2;EXPH5;CYP2J2;FZD5;MUC16;TMEM30B;RARRES2;SULF1;KLK10;KLK11;BMP2;RAB17;FGFR3;FGFR2"
"LJP006 HA1E 24H-PHA-793887-0.37","29/67",3.73870217379549e-13,1.37609164676832e-09,0,0,4.56818808333005,130.718097496494,"CLIC5;HPGD;HIST1H2BI;HIST1H2AE;BLNK;HIST1H3H;PI3;HIST1H1C;MPZL2;ANXA1;NEBL;HIST1H2AJ;KLK10;SERPINB5;CEACAM1;AKR1B10;SLPI;MALL;SCNN1A;PKP2;HIST1H2BF;CHI3L1;HIST1H2BE;HIST1H4H;HIST1H2BH;HIST1H2BG;SLC26A3;S100A7;HIST1H2BC"
"LJP005 A375 24H-CP466722-10","34/92",8.95602401049524e-13,2.96677251371666e-09,0,0,3.90042445795572,108.202766341001,"FLG;CSTA;SERPINB13;HPGD;CALML3;SLC3A2;CDH3;CDH1;SFN;S100A14;PI3;PROM1;SPRR2B;KRT6B;KRT6A;SERPINB3;SERPINB4;S100A2;SPINK5;SLC6A14;KRT5;PDZK1IP1;MUC5B;AKR1B10;KLF5;KRT17;TNNT1;CCPG1;KRT16;KRT14;CD24;SPRR1A;SPRR1B;S100A7"
"LJP006 PC3 24H-torin-1-1.11","49/172",9.74058180051768e-13,2.93333193385408e-09,0,0,3.00668834754863,83.156897750324,"RPL4;ST6GALNAC2;SERPINE1;KRT23;RPL10A;PRSS23;CYR61;CTGF;EFEMP1;CCND1;TIMP3;CTSD;ANXA1;RIPK4;KRT8;IL18;GLTSCR2;DKK3;SFRP4;TRAPPC6A;CEACAM6;SCGB2A1;HIST1H2BG;IRF6;GAS6;MYL9;LAMA3;THBS2;THBS1;EGFR;EPCAM;ERBB2;TSPAN4;MAP7;PROM1;SMAD3;CAV2;CRIM1;CYP4B1;EEF2;DAB2;PPFIBP2;VNN1;KRT18;KLF5;LCN2;EIF3H;AMOTL2;EIF3F"
