"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 SKBR3 24H-PF-477736-10","28/124",5.12679215642664e-17,1.69804483013007e-12,0,0,7.46467608637697,279.996017057421,"EHF;SMARCD2;CRISP3;VTCN1;NDRG2;AQP3;RAB25;ERBB3;EPCAM;TRIM2;STMN1;EFHD1;PITX1;TPD52;GABRP;SLC15A2;GSN;KRT4;AUTS2;PBX1;HS3ST1;TOX3;KRT19;KRT18;ELF3;ESRP1;LRP10;SSBP2"
"LJP007 HT29 24H-vorinostat-10","31/173",1.12361847537039e-15,1.86076837613713e-11,0,0,5.92366120479625,203.905581848623,"SPRR3;PSCA;ADH1C;TMPRSS4;SCEL;UPK1B;TSPAN8;MECOM;RAB25;PTPRZ1;TRIM29;EPCAM;ARHGDIA;COBLL1;MAP7;MPZL2;GABRP;GPX2;AUTS2;GALNT3;ANK3;TM4SF1;TOX3;GPRC5A;ESRP1;MAL;TAGLN2;DSG2;TFF1;S100P;SLC27A2"
"LJP007 HA1E 24H-GSK-1059615-10","33/203",2.6117604297824e-15,2.88347057316076e-11,0,0,5.37393640841917,180.450077421096,"PTGER4;CXCL6;PRPS1;EHF;HSPB8;SLC2A1;AK4;CXCL1;AQP3;PRSS23;WFDC2;TRIM29;CCL2;SLC16A3;SERPINB2;KRT4;S100A2;RBPMS;EMP2;KRT5;KLK11;ASS1;RHOB;MEIS1;PLCB4;CEACAM5;TFF3;LCN2;MAL;CD24;SPRR1A;SMPDL3A;SPRR1B"
"LJP007 MCF7 24H-vorinostat-10","28/152",1.33004936222356e-14,1.10131412315516e-10,0,0,6.08960417572858,194.568792276142,"ITGB5;ADH1C;PRSS23;THBS1;CCND1;RAB25;ERBB3;ARHGDIA;COBLL1;MSMB;GABRP;GPX2;AUTS2;RBPMS;GALNT3;KRT5;ANK3;FMO3;INPP4B;MARCKS;KRT19;ESRP1;MYO5C;GAS2;SDC1;TFF1;SLC27A2;FBP1"
"LJP006 BT20 24H-BI-2536-10","28/162",7.10113657464904e-14,4.70393488977902e-10,0,0,5.71370268339965,172.987699335342,"PSCA;EGFR;NT5E;CCND1;TSPAN8;RAB25;ALOX5;PERP;CEP170;SLC16A3;PRNP;GABRP;S100A2;KRT4;GALNT3;KRT7;EMP3;TM4SF1;PBX1;HS3ST1;KRT19;KRT18;ELF3;KRT17;NFIB;TFF1;S100P;RAI14"
"LJP009 PC3 24H-XMD-892-10","27/157",2.2602503359732e-13,1.24769585629614e-09,0,0,5.685108174975,165.539722505314,"LGALS3BP;CFH;VTCN1;WFDC2;EGFR;CNN3;TM9SF3;STMN1;RPL38;RPS11;NKX3-1;MPZL2;GABRP;SERPINB2;S100A2;MUC16;KRT5;TM4SF1;KLK11;KRT19;KRT15;MAL;TAGLN2;TGFBI;SLC27A2;SNRPB;RAI14"
"LJP006 SKBR3 3H-XMD-1150-1.11","16/49",5.35969721383893e-13,2.53597902027942e-09,0,0,10.79440040479,304.99253135858,"SATB1;KRT8;SORBS2;ANK3;TM4SF1;KRT19;KRT18;TSPAN8;CEACAM6;EPCAM;NFIB;TFF3;AGR2;CCL2;HES1;NKX3-1"
"LJP006 MCF10A 3H-GSK-1059615-10","24/129",8.34291340640232e-13,3.45407043666814e-09,0,0,6.15029790505478,171.053276797222,"SPRR3;ECM1;SERPINB2;KRT4;SPINK5;CRCT1;CXCL1;AQP3;TM4SF1;NR4A2;C1ORF116;NT5E;GPRC5A;CCND1;SLPI;CEACAM6;CEACAM5;LCN2;ZYX;HES1;S100P;SPRR1A;SPRR1B;HBEGF"
"LJP005 BT20 24H-WH-4-025-0.37","18/68",1.09145423950655e-12,4.0166728740774e-09,0,0,8.75060768108897,241.022451432071,"SPRR3;C1QA;S100A2;CRISP3;KRT5;TM4SF1;SERPINB5;MT2A;KRT19;GPRC5A;PLCB4;KRT18;KRT17;MXRA7;CD24;SPRR1A;FGFR2;MT1E"
"LJP006 MCF7 3H-AZD-7762-10","17/65",5.76875402511779e-12,1.91066902065926e-08,0,0,8.64589955499046,223.743473607907,"C1QA;PRKCSH;RHOBTB3;KRT7;SERPINB5;HS3ST1;KRT19;CCND1;TSPAN8;DHRS9;CEACAM6;NFIB;CEACAM5;SDC1;HES1;PITX1;SLC16A3"
