"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 MCF10A 24H-radicicol-0.12","33/111",6.11342852534676e-24,2.02513433330637e-19,0,0,9.82800982800983,525.322402777449,"IFITM3;LGALS3BP;SPAG16;SPRR3;IFITM1;HSPB8;HIST1H2BK;SPATA20;AQP3;PPL;ADAM28;CCND1;TRIM29;PERP;TNFSF10;GCNT3;HIST1H2AC;SYBU;SERPINB3;SERPINB2;SPINK5;HLA-B;ASS1;KRT19;IFI27;SLPI;CEACAM5;KRT15;TAGLN2;CD24;SPRR1A;HIST1H2BD;SPRR1B"
"LJP007 HT29 24H-GDC-0068-10","39/168",1.1030819183583e-23,1.82703458137685e-19,0,0,7.6741440377804,405.665607275474,"PTGER4;LEPROT;GRN;ITGB5;PROS1;MVP;HSD17B11;RND3;PRSS23;EGFR;NT5E;TSPAN8;ERBB3;TNFSF10;AGR2;GCNT3;SYBU;ABCC3;MBNL2;GSN;PAWR;ANK3;TMC5;CP;TM4SF1;HLA-E;GULP1;ISG20;TOX3;KRT18;IFI27;CEACAM6;CEACAM5;TFF3;TFF1;S100P;LRP10;SMPDL3A;MT1E"
"LJP006 PC3 24H-GSK-2126458-0.37","38/176",6.59892687855193e-22,7.28653505929704e-18,0,0,7.13749060856499,348.09516719763,"IFITM1;LEPROT;ITGB5;MVP;SPATA20;HSD17B11;AQP3;PPL;RND3;PRSS23;NT5E;ADAM28;DEPTOR;TSPAN8;ERBB3;TRIM2;PERP;MAP7;AGR2;HIST1H2AC;ABCC3;MBNL2;GSN;KRT8;PLEKHA5;ARID5B;ANK3;TM4SF1;HLA-E;GULP1;KRT19;KRT18;IFI27;CEACAM6;TFF1;S100P;SMPDL3A;HIST1H2BD"
"LJP006 MCF10A 24H-gefitinib-3.33","36/156",7.36928576345009e-22,6.1028740050012e-18,0,0,7.62873490146217,371.21081695385,"LGALS3BP;IFITM1;GRN;PROS1;HIST1H2BK;TNFAIP2;VTCN1;PPL;WFDC2;DNAJB2;ABLIM1;RAB25;TRIM29;PERP;TNFSF10;SLC16A7;S100A14;APOL1;CTSD;HIST1H2AC;ABCA1;SERPINB3;GSN;KRT4;GAA;OSMR;CP;MEIS1;KRT19;IFI27;NBEA;ELF3;KRT15;LCN2;SSBP2;SPRR1B"
"LJP006 MCF10A 24H-AS-605240-10","39/199",7.59263661343591e-21,5.03027360913356e-17,0,0,6.4786743635533,300.13824720856,"IFITM1;PROS1;HSPB8;MVP;TMPRSS4;SLC2A1;TNFAIP2;PPL;WFDC2;DNAJB2;ABLIM1;RAB25;TRIM29;PERP;S100A14;CTSD;HIST1H2AC;SERPINB3;GSN;KRT4;NEBL;GAA;CP;ASS1;TTC9;KRT19;MEIS1;IFI27;SLPI;ELF3;CEACAM6;CEACAM5;KRT15;LCN2;S100P;CD24;SPRR1B;HIST1H2BD;NFE2L1"
"LJP007 HT29 24H-BMS509744-10","34/150",1.90912128567131e-20,1.05402586181913e-16,0,0,7.4931129476584,340.225233860137,"LGALS3BP;GRN;LINC00342;MVP;WFDC2;DNAJB2;TSPAN8;ERBB3;TNFSF10;AGR2;MUC13;GCNT3;HIST1H2AC;ABCC3;GSN;TMC5;PBX1;ASS1;HLA-E;ISG20;TOX3;MEIS1;PLCB4;KRT18;IFI27;LCN2;TFF3;TFF1;S100P;LRP10;CD24;FBP1;SMPDL3A;CFTR"
"LJP009 PC3 24H-sirolimus-10","31/129",1.50283691607247e-19,7.11185366883095e-16,0,0,7.94413479402909,344.312800870247,"PSCA;ITGB5;PRSS23;THBS1;DNAJB2;UPK1B;TSPAN8;MECOM;AGR2;GCNT3;CTSD;HIST1H2AC;HIST1H1C;GSN;GAA;KRT8;KRT7;ANK3;CP;PBX1;NR4A2;MARCKS;MEIS1;KRT19;PLCB4;KLF5;SLPI;CEACAM6;MAN2B1;TFF1;S100P"
"LJP006 MCF10A 24H-AS-605240-1.11","36/183",2.16002232680619e-19,8.94411244972275e-16,0,0,6.50318385042677,279.500327058728,"LGALS3BP;IFITM1;HSPB8;MVP;SPATA20;PPL;WFDC2;DNAJB2;RGS2;ABLIM1;RAB25;TRIM29;S100A14;APOL1;CTSD;HIST1H2AC;SERPINB3;SERPINB2;GSN;KRT4;MUC16;NEBL;PBX1;ASS1;MEIS1;KRT19;IFI27;SLPI;ELF3;KRT15;RFX5;LCN2;MAN2B1;S100P;CD24;HIST1H2BD"
"LJP006 MCF10A 24H-lapatinib-10","34/164",3.88093856847297e-19,1.42844412243595e-15,0,0,6.85345696432171,290.538873468265,"LGALS3BP;STEAP3;PROS1;HSPB8;MVP;ITGB2;HIST1H2BK;SPATA20;PPL;RND3;WFDC2;TRIM29;CLCA2;S100A14;CTSD;SYBU;SERPINB3;KRT4;NEBL;GAA;EMP2;KRT5;ASS1;HLA-E;MEIS1;KRT19;SLPI;ELF3;CEACAM6;CEACAM5;LCN2;CD24;HIST1H2BD;SPRR1B"
"LJP006 PC3 24H-GSK-2126458-0.12","35/178",7.01135943507757e-19,2.3225829264638e-15,0,0,6.50013928869904,271.716126006775,"LEPROT;ITGB5;MVP;HSD17B11;COX7C;RND3;PRSS23;NT5E;TSPAN8;ERBB3;PERP;AGR2;HIST1H2AC;HIST1H1C;ABCC3;GSN;KRT8;PLEKHA5;ANK3;CP;TM4SF1;HLA-E;NR4A2;INPP4B;KRT19;KRT18;IFI27;KRT17;CEACAM6;TFF1;S100P;MXRA7;RGL1;SSBP2;HIST1H2BD"
