"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 SKBR3 24H-NVP-TAE684-10","35/140",1.85601173417598e-13,6.14729646476427e-09,0,0,4.22654268808115,123.901843838907,"SMARCD2;CSTA;CLIC3;CFH;PSIP1;VTCN1;NDRG2;RAB25;TRIM29;TRIM2;PEA15;CLCA2;EFHD1;KRT6B;TP63;GPM6B;SERPINB3;GABRP;S100A2;IL1R2;WNT5A;KRT13;EMP2;KRT5;KLK10;SERPINB5;COL1A1;DHFR;KRT15;PCCB;PXDN;LY6D;SDC1;VGLL1;S100A7"
"LJP007 MCF7 24H-vorinostat-10","35/152",2.47082364600447e-12,4.0918074989657e-08,0,0,3.8928682653379,104.042625198354,"EIF4A1;IL1RN;ITGB5;AQP9;FHL2;PRSS23;THBS1;ALDH3B2;CCND1;RAB25;ERBB3;ARHGDIA;PDLIM4;MSMB;SPDEF;HSPA8;GABRP;XBP1;ST14;GPX2;GALNT3;IGFBP4;NR1H2;KRT13;KRT5;ANK3;INPP4B;MARCKS;BDH1;FXYD3;MYO5C;LY6D;SDC1;TFF1;FBP1"
"LJP008 MCF7 24H-belinostat-10","38/181",5.91826028711036e-12,6.53395663231274e-08,0,0,3.54936181540516,91.7615749886167,"IL1RN;AQP9;FHL2;PRSS23;RAB25;PTPRZ1;TRIM29;EPCAM;ARHGDIA;TSPAN6;PDLIM4;KRT6B;MSMB;SPDEF;HSPA8;GABRP;XBP1;ST14;GPX2;GALNT3;IGFBP4;KRT13;KRT5;ANK3;KLK10;INPP4B;ALDH5A1;KRT18;BDH1;KRT17;FXYD3;KRT15;CLDN7;MYO5C;PXDN;TFF1;IRF6;S100A7"
"LJP007 HT29 24H-dinaciclib-0.04","25/86",1.46296357102102e-11,1.21137041089468e-07,0,0,4.91458452102459,122.608916046105,"SDC4;TIMM9;PTBP1;PUF60;TRIM29;HSD17B2;ERBB2;NOP56;HSPA8;GPX2;XBP1;SMAD3;S100A2;IGFBP4;ATP1B1;SERPINB5;CEACAM1;MARCKS;KLF5;CEACAM7;FXYD3;CEACAM5;DPYD;SPRR1A;S100A7"
"LJP008 MCF7 24H-pracinostat-10","31/131",2.06967215674665e-11,1.37099223007211e-07,0,0,4.00069689558826,98.4213275866239,"IL1RN;AQP9;FHL2;PLAT;PRSS23;CCND1;RAB25;ERBB3;TRIM29;BLNK;PDLIM4;SPDEF;HSPA8;GABRP;XBP1;ST14;GPX2;ZHX2;MUC16;KRT13;KRT5;ANK3;MUC5B;INPP4B;BDH1;FXYD3;KRT15;MYO5C;SDC1;TFF1;IRF6"
"LJP006 MCF10A 3H-PD-0325901-10","30/127",4.5660149856704e-11,2.52051637233982e-07,0,0,3.9935836422814,95.0864086081143,"CAB39;CRCT1;FHL2;LTBP2;UAP1;AQP3;NT5E;CCND1;EPCAM;PERP;ZBED2;AGR2;PI3;ITGB6;KRT6B;SMAD3;S100A2;PLAUR;KRT5;KLK10;SERPINB5;F5;C1ORF116;CLDN4;CEACAM6;BCL3;ID4;TFF1;EPHA2;HBEGF"
"LJP007 HT29 24H-CGP-60474-1.11","25/91",5.72043347968656e-11,2.70666396115284e-07,0,0,4.64455240448478,109.5389419582,"VCP;TIMM9;PUF60;TRIM29;HSD17B2;ERBB2;KRT6B;NOP56;HSPA8;GPX2;XBP1;S100A2;NR1H2;KRT5;ATP1B1;SERPINB5;CEACAM1;MARCKS;KLF5;CEACAM7;KRT17;FXYD3;CEACAM5;S100A7;PLEC"
"LJP007 HT29 24H-CGP-60474-0.12","25/92",7.41864884298283e-11,3.07141335410543e-07,0,0,4.59406813921864,107.154062437842,"SDC4;TIMM9;PUF60;TRIM29;GAS2L1;NOP56;ELOVL1;XBP1;S100A2;IGFBP4;IL1R2;CSNK1D;KRT5;ATP1B1;SERPINB5;CEACAM1;MARCKS;XK;KLF5;CEACAM7;CEACAM6;CEACAM5;RPL37A;S100A7;PLEC"
"LJP006 BT20 24H-BI-2536-10","34/162",7.72258099278137e-11,2.84199561179902e-07,0,0,3.5482086764138,82.617510538764,"DDR1;SLC44A4;TIMM9;FHL2;PLAT;EGFR;NT5E;CCND1;RAB25;ALOX5;PERP;CYP1B1;CEP170;SLC25A24;GABRP;S100A2;GALNT3;IGFBP4;RARRES1;FNDC3B;KRT7;EMP3;GNG12;SORBS3;PBX1;HS3ST1;MAPK13;KRT18;ELF3;KRT17;NFIB;TFF1;VGLL1;RAI14"
"LJP008 MCF7 24H-PFI-1-10","33/154",8.17340713939446e-11,2.70711417863884e-07,0,0,3.62275087549813,84.1476277157469,"IL1RN;CSTA;SERPINB13;PLAT;PRSS23;SCEL;RAB25;ARHGDIA;KYNU;S100A14;KRT6B;EXPH5;SPDEF;XBP1;ST14;S100A2;MUC16;IL1R2;NR1H2;PLAUR;KRT7;KRT5;CNPY3;MUC5B;KLK10;SORBS3;KLK11;COL1A1;CLDN3;BDH1;KRT17;KRT15;LY6D"
"LJP008 HT29 24H-belinostat-10","32/146",8.48251297386219e-11,2.55408465642991e-07,0,0,3.70546208270128,85.9312563629454,"IL1RN;ITGB5;TMPRSS4;FHL2;PLOD3;LAMC1;COMT;MSLN;RAB25;PUF60;EPCAM;PEA15;PAK2;MSMB;XBP1;GPX2;VWF;KRT13;ANK3;KLK10;KLK11;TARBP1;MAPK13;ALDH5A1;KRT18;ELF3;BDH1;PSAT1;ID4;PKP4;TFF1;ENG"
"LJP007 HT29 24H-dinaciclib-0.12","23/79",9.20803622053899e-11,2.54149473050393e-07,0,0,4.9220497127021,113.74049383403,"NOP56;HSPA8;GPX2;XBP1;S100A2;IGFBP4;TIMM9;CSNK1D;ATP1B1;SERPINB5;CEACAM1;MARCKS;XK;KLF5;CCND1;CEACAM7;PUF60;KRT17;TRIM29;CEACAM5;ERBB2;MAP3K4;S100A7"
