"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 MCF10A 24H-PF-431396-0.37","31/91",3.68206395298626e-16,1.21972050506623e-11,0,0,5.75924498156113,204.67140332751,"IFITM1;IL1RN;CDKN1A;CXCR4;LYPD3;AQP3;PPL;PAPSS2;PLN;RGS1;TRIM29;DNAJB9;S100A14;PI3;CTSD;HIST1H2AC;SERPINB3;KRT8;KRT13;EMP2;H2BFS;KLK10;HLA-E;CEACAM1;SPINT1;IFI27;CEACAM6;PRR15L;CEACAM5;HIST1H2BD;S100A7"
"LJP006 SKBR3 24H-canertinib-1.11","29/82",1.05274824381238e-15,1.74366691622644e-11,0,0,5.97901160752943,206.200399145669,"DDR1;IFITM1;SDC4;LEF1;RAB25;ERBB3;PERP;KIAA1324;TNFSF10;ENPP4;PRSS8;SPDEF;EXPH5;TPD52;CTSA;XBP1;SORBS3;KLK11;HLA-E;CEACAM1;P2RX4;ELF3;IFI27;CEACAM6;FXYD3;SCNN1A;TFF3;FBP1;HIST1H2BD"
"LJP006 MCF10A 24H-dasatinib-0.37","34/128",6.05722291776707e-14,6.6883855457984e-10,0,0,4.49070160608622,136.67423336103,"IFITM1;ITGB2;PPL;KLK8;WFDC2;TRIM29;KYNU;TNFSF10;S100A14;PI3;CTSD;GPM6B;SERPINB3;GABRP;MUC16;RARRES1;KRT13;KRT7;COBL;CYBA;HLA-F;LYZ;HLA-E;GULP1;NR4A2;CLDN3;VNN1;SPINT1;PRR15L;FXYD3;KRT15;SCNN1A;CLDN7;S100A7"
"LJP005 HEPG2 24H-PLX-4720-10","38/163",1.88047488916711e-13,1.55731527946375e-09,0,0,3.94131588091003,115.488760591779,"CD151;SLC44A4;ITGB5;ABHD2;CLTB;FHL2;PLAT;AQP3;THBS1;EGFR;LIMA1;IL1RL1;NT5E;LPXN;TIMP3;GCNT3;BID;HIST1H2AC;MCL1;ACOT9;EDN1;SMAD3;S100A2;IGFBP4;ACTN1;PLAUR;KRT7;SERPINB5;ISG20;INPP4B;CEACAM1;KRT18;CEACAM6;CPD;CEACAM5;ZYX;EPHA2;HBEGF"
"LJP006 SKBR3 24H-PI-103-10","34/140",1.00650325410417e-12,6.66828535909093e-09,0,0,4.10578432556454,113.420398885328,"IFITM1;TMPRSS4;FOXO3;RAP1GAP;PAPSS2;HEBP1;DEPTOR;ERBB3;TRIM2;KIAA1324;MAP7;RPL14;AGR2;PRSS8;HIST1H2AC;SPDEF;PRKCH;MTUS1;COBL;EEF2;MUC5B;KLK11;CLDN4;PPFIBP2;ELF3;CEACAM6;EIF3L;CPD;CEACAM5;SCNN1A;TFF3;MAGED2;TFF1;HIST1H2BD"
"LJP006 A549 24H-mitoxantrone-1.11","31/119",1.36437853680582e-12,7.53273390170493e-09,0,0,4.40412851531145,120.32220949957,"CDKN1A;RNF19B;TMPRSS2;COMT;PPL;TRIM29;PERP;CCL4;TNFSF10;FLNA;S100A14;PDLIM4;KRT6B;TP63;S100A2;GADD45A;GAA;KRT5;HLA-F;HLA-G;SERPINB5;C1ORF116;ALDH5A1;KRT17;KRT15;NINJ1;SFXN3;MAN2B1;DSG3;HIST1H2BD;HBEGF"
"LJP006 HS578T 24H-BMS-387032-3.33","41/199",1.65895005826012e-12,7.8506256614178e-09,0,0,3.48318090877039,94.4807116356451,"CDS1;IFITM1;HLF;CLEC10A;CTSZ;ATP10B;FPR3;VTCN1;WFDC2;EPB41L4B;SYNGR2;RAB25;ALOX5;TCTN1;BLNK;STAP2;ZNF467;BID;CTBS;EXPH5;PLS1;HIST1H1C;TPD52;CYP2J2;NUP210;FZD5;IL18;MMP9;NR4A2;NR4A1;CD4;VNN1;ALDH5A1;SPINT1;CEACAM6;SCNN1A;FOSB;MXRA7;RAB17;PDE9A;IDO1"
"LJP006 MCF10A 24H-AS-605240-10","41/199",1.65895005826012e-12,6.86929745374057e-09,0,0,3.48318090877039,94.4807116356451,"DDR1;IFITM1;IL1RN;CSTA;SERPINB13;TMPRSS4;LYPD3;PPL;WFDC2;PIK3C2B;RAB25;TRIM29;PERP;KYNU;C1RL;PRSS8;S100A14;PI3;CTSD;HIST1H2AC;KRT6B;SERPINB3;OSR2;GAA;RARRES1;IL18;KRT13;COL1A1;TTC9;SH3YL1;SPINT1;IFI27;ELF3;FXYD3;CEACAM6;CEACAM5;KRT15;SCNN1A;IRF6;HIST1H2BD;S100A7"
"LJP005 HA1E 24H-dovitinib-10","35/151",2.01439040809976e-12,7.41429962874584e-09,0,0,3.91864884987656,105.531974189028,"DDR1;IL1RN;CDKN1A;GRN;CSTA;SDC4;WBP2;RELB;KYNU;RPS6KA1;HSD17B2;CLCA2;CTSD;TP63;ABCC3;GPX2;S100A2;FZD5;GADD45A;MTUS1;KRT13;KRT5;SERPINB5;NR4A2;ALDH5A1;KLF5;IFI27;KRT17;FXYD3;KRT15;NINJ1;MDM2;DSG3;FBP1;HIST1H2BD"
"LJP006 PC3 24H-GSK-2126458-0.12","38/178",3.45266348595439e-12,1.14372930635725e-08,0,0,3.60918252015918,95.2530944938595,"LEPROT;ITGB5;TMPRSS3;RND3;PRSS23;NT5E;ERBB3;KYNU;PERP;CHN2;PDGFC;ERBB2;MAN1C1;AGR2;HIST1H2AC;HIST1H1C;CTSA;ABCC3;MEF2C;SMAD3;VWF;KRT8;MTUS1;ANK3;HLA-E;NR4A2;INPP4B;VNN1;KRT18;IFI27;KRT17;FXYD3;CEACAM6;TFF1;MXRA7;RGL1;SSBP2;HIST1H2BD"
