"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Allopurinol-175 mg/kg in Corn Oil-Rat-Kidney-3d-up","90/329",5.08696510881759e-21,4.00649371970473e-17,0,0,2.8947749312491,135.265901131711,"LGALS3BP;EIF4A1;SPARC;KDELR1;HEXA;UBE2L6;PLOD2;PLAT;YBX1;RPL10A;CLU;WFDC2;RPS15;EEF1B2;LAPTM4B;RGS2;LGALS1;RPS19;FCGRT;FTH1;BSG;PSMD3;ENC1;ARHGDIB;AKT1;SDF4;RPS11;RPL39;JAK3;SLC34A2;TMED9;RPL21;TNFRSF12A;RPS8;RPL23;RPS5;FST;RPS6;RHOG;RPSA;RPS3A;DYNLL1;GEM;DCN;EEF1G;UGDH;PSMA4;COL4A1;NPC2;JTB;TXNIP;MYH9;TLN1;RPL29;RIN2;S100A9;C1QA;TAGLN;GRN;CEBPD;CAPG;CNN3;PLAC8;PSMB7;DNPEP;GPNMB;EIF4EBP1;POLR2F;APOE;CD14;TSPAN1;BTF3;HSPA8;SLC31A2;LYZ;EEF2;CP;PSMB9;FKBP1A;TM9SF1;KLF6;COL5A1;MGP;LCN2;RPS20;MAGED2;VIM;AGRN;COPE;TPT1",3.33333333333333,3
"2","2-Amino-4-Nitrophenol-625 mg/kg in CMC-Rat-Kidney-3d-up","85/309",4.33345589714024e-20,1.70651493229383e-16,0,0,2.91090905977637,129.783859972953,"LGALS3BP;ITGB1;EIF4A1;DAZAP1;KDELR1;FHL2;RPL10A;CLU;TOMM22;HK1;RPS15;PCMTD2;EEF1B2;LGALS1;RPS19;ZC3H7B;FTH1;ARHGDIB;AKT1;CYP1B1;TMED2;BANF1;RPS11;RPL39;CTSD;CD53;SLC34A2;ABCC4;TMED9;RPL21;TNFRSF12A;RPS8;RPL23;RPS6;RHOG;BGN;RPSA;RPS3A;DYNLL1;COPZ1;DCN;NISCH;EEF1G;SLPI;COL4A1;NPC2;MYH9;LCP1;TLN1;RPL29;RAI14;C1QA;TAGLN;SF3B2;GRN;WBP2;SRM;PLAC8;SELENBP1;PSMB7;SLC9A3R1;HLA-DMB;TSPAN8;GPNMB;PRDX1;CCL2;CD14;BTF3;HSPA8;EPHX1;HMGA2;NR2F2;LYZ;CP;FKBP1A;TJP1;GCLC;COL5A1;MGP;LCN2;RPS20;VIM;AGRN;CNOT8;TPT1",3.52941176470588,3
"3","44'-Methylenedianiline-81 mg/kg in Corn Oil-Rat-Liver-3d-up","89/333",4.55581850048375e-20,1.19605421699367e-16,0,0,2.82822505044727,125.955841621871,"FKBP11;ITGB1;EIF4A1;BTG2;ORM1;KDELR1;HSPB8;HP;CXCL1;YBX1;RPL10A;CLU;ETS2;RPS15;ZFP36;RGS2;AKR7A3;RPS19;FGF9;FTH1;SLC22A18;BSG;ENC1;TMED2;RPS11;RPL39;JUNB;CTSD;CD53;TMED9;TNFRSF12A;RPS8;RPS5;RPS6;RPSA;RPS3A;LSR;TM4SF4;FOS;DYNLL1;COPZ1;GEM;PDIA4;UGDH;PSMA4;COL4A1;NPC2;IRF1;NINJ1;MYH9;RPL29;CRELD2;ATF3;ARF5;C1QA;TAGLN;CEBPD;CFI;SLC3A2;HMGCR;CNN3;SULT1A1;PLAC8;SELENBP1;PSMB7;SLC9A3R1;PGRMC1;GPNMB;PRDX1;EIF4EBP1;SC5D;CCL2;BTF3;HSPA8;GADD45A;EPHX1;NR1H3;LYZ;EEF2;CP;PSMB9;NET1;FKBP1A;KLF6;PSAT1;LCN2;RPS20;VIM;TPT1",3.37078651685393,3
"4","Sulindac-132 mg/kg in Corn Oil-Rat-Liver-1d-up","81/296",4.71390041498475e-19,9.28166991710498e-16,0,0,2.8957528957529,122.196721297212,"FKBP11;DPAGT1;EIF4A1;BTG2;ORM1;ACADVL;SPARC;KDELR1;HP;CXCL1;UBE2Z;RPL10A;CLU;RPS15;EEF1B2;RPS19;BSG;ENC1;TMED2;RPS11;TMED7;RPL39;JAK3;TMED9;TNFRSF12A;RPL23;SSR3;RPS6;FNDC3B;RPSA;RPS3A;LSR;TM4SF4;COPZ1;NIPSNAP1;F5;PDIA4;TNFRSF1A;PSMA6;PSMA2;NINJ1;ERP29;JTB;MYH9;CRELD2;S100A9;ARF5;GNE;IDI1;RETSAT;CEBPD;SHMT2;CFI;SLC3A2;ABCB11;CNN3;SRM;TGOLN2;SULT1A1;PLAC8;SLC9A3R1;PPCS;PRKAR2A;EIF4EBP1;SC5D;DNAJB9;MGAT2;SEC23B;PCK2;HSPA8;SDF2L1;NDUFA5;GADD45A;YIPF5;EEF2;CP;TM9SF2;PSAT1;LCN2;RPS20;COPE",2.46913580246914,2
"5","Diflunisal-207 mg/kg in Corn Oil-Rat-Kidney-1d-up","85/321",6.02918826663555e-19,9.49717735760431e-16,0,0,2.80209002950436,117.554694238806,"EIF4A1;PIGR;BTG2;ACAA2;HEXA;HP;PLAT;CXCL1;RPL10A;EPS8;RPS15;ZFP36;AKR7A3;RPS19;FCGRT;TMED2;SDF4;BANF1;PMPCA;RPS11;JUNB;CTSD;NDEL1;TMED9;TNFRSF12A;RPS8;RPL23;RPS5;MMP2;RPS6;RPSA;RPS3A;FOS;F3;GEM;DCN;UGDH;SLPI;COL4A1;NPC2;TXNIP;CYP2E1;RHCG;CRYAB;S100A9;ATF3;RAI14;LRPAP1;C1QA;PRPS1;RETSAT;CEBPD;SHMT2;ALOX15;NEDD4L;CNN3;SULT1A1;PLAC8;HLA-DMB;PPCS;DNAJB9;CCL2;APOE;CD14;SEC23B;HSPA8;EGR2;JUN;CHKB;GADD45A;EPHX1;HMGA2;LYZ;KLF4;CP;PNRC1;KLF6;PSAT1;MGP;LCN2;RPS20;VIM;GCLM;TPT1;PNPLA2",3.52941176470588,3
"6","Ibuprofen-263 mg/kg in Corn Oil-Rat-Liver-3d-up","81/301",1.42562749522074e-18,1.87137369205976e-15,0,0,2.84765068818225,117.015433154931,"FKBP11;EIF4A1;SCARB1;BTG2;COX7B;ORM1;ACADVL;HP;UBE2L6;CXCL1;CLU;IFIT3;IFIT2;RPS15;GYS2;EEF1B2;ZFP36;RPS19;FCGRT;ANPEP;FTH1;BSG;ENC1;BANF1;RPS11;RPL39;JUNB;TMED9;ATP6V0B;TNFRSF12A;RPL23;RPS5;LSR;TM4SF4;FOS;DYNLL1;PDIA5;NIPSNAP1;DCN;PDIA4;TNFRSF1A;PSMA6;SLPI;PSMA2;IL1B;PCCB;ERP29;IRF7;RPL29;CRELD2;S100A9;ATF3;RAI14;C1QA;GRN;RETSAT;CEBPD;SHMT2;CFI;USP18;TGOLN2;SULT1A1;PLAC8;PSMB7;SLC9A3R1;POLD4;PRDX4;PPCS;PRKAR2A;EIF4EBP1;HSPA8;CHKB;SDF2L1;GADD45A;LYZ;PNRC1;TM9SF2;LCN2;RPS20;TPT1;PNPLA2",3.7037037037037,3
"7","Lovastatin-1500 mg/kg in Corn Oil-Rat-Liver-3d-up","83/315",2.18157879431583e-18,2.45458779771878e-15,0,0,2.78827580414882,113.389370147163,"EIF4A1;SCARB1;ORM1;ACADVL;ACAA2;HSPB8;HP;UBE2L6;TMEM97;HMGB1;RPL10A;CLU;IFIT3;ETS2;RPS15;EEF1B2;ANPEP;BSG;ENC1;SDF4;PMPCA;RPS11;RPL39;SLC34A2;ATP6V0B;TNFRSF12A;RPS8;RPL23;RPS5;RPS6;RPSA;LSR;ALDH3A2;UGDH;PSMA6;ACLY;PSMA4;PSMA2;COL4A1;NPC2;SUB1;IRF1;NINJ1;IRF7;MYH9;ATF3;NOTCH2;IDI1;RETSAT;SHMT2;WBP2;SLC3A2;NREP;HMGCR;ABCB11;USP18;RELA;CNN3;SULT1A1;PLAC8;PSMB7;POLD4;GPNMB;PPCS;EIF4EBP1;SC5D;CCL2;BTF3;EGLN1;HSPA8;NDUFA5;GADD45A;LYZ;CP;PNRC1;PSMB9;FASN;PXMP2;LCN2;RPS20;PDCD2;TPT1;PNPLA2",4.81927710843374,4
"8","Calcitriol-0.04 mg/kg in CMC-Rat-Kidney-5d-up","82/317",1.16603525090089e-17,1.14796170451192e-14,0,0,2.73730242184501,106.728344613346,"LGALS3BP;BTG2;SPARC;ACAA2;HP;PLOD2;YBX1;RPL10A;PHB2;CLU;WFDC2;RPS15;EEF1B2;CALB1;RPS19;TMEM43;CLP1;CA2;FTH1;SLC22A18;BSG;RPS11;RPL39;CTSD;NDEL1;CD53;SLC34A2;TMED9;MAP2K1;RPL21;TNFRSF12A;DST;RPS8;RPL23;RPS6;RPSA;RPS3A;DCN;F5;MRPL52;EEF1G;UGDH;PSMA6;PSMA4;PSMA2;COL4A1;NPC2;IRF7;TXNIP;MYH9;RIN2;SF3B2;GRN;CEBPD;SHMT2;CAPG;CNN3;TGOLN2;PLAC8;HLA-DMB;TSPAN8;GPNMB;PRDX1;BTF3;GADD45A;HMGA2;LYZ;CP;PNRC1;GCLC;KLF6;HIST1H4B;RHEB;PSAT1;MGP;APOC1;SERPINI2;LCN2;RPS20;VIM;TPT1;PNPLA2",2.4390243902439,2
"9","Indomethacin-10 mg/kg in Corn Oil-Rat-Liver-3d-up","81/311",1.19122326045724e-17,1.04245271104014e-14,0,0,2.75608635737253,107.401835145035,"FKBP11;LGALS3BP;EIF4A1;SCARB1;ORM1;SPARC;SLC44A4;KDELR1;CTSZ;CXCL1;TMEM97;RPL10A;PHB2;CLU;RPS15;GYS2;EEF1B2;RPS19;FTH1;BSG;ENC1;AKT1;CYP1B1;TMED2;SDF4;RPS11;TMED7;RPL39;CTSD;JAK3;CD53;TMED9;ATP6V0B;RPS8;RPL23;SSR3;RPS6;FNDC3B;RPSA;LSR;TM4SF4;DYNLL1;PDIA5;DCN;F5;PDIA4;TNFRSF1A;SLPI;COL4A1;NPC2;IL1B;NINJ1;MYH9;CRELD2;S100A9;FBP1;ARF5;C1QA;SF3B2;GRN;CEBPD;CFI;STX18;ALOX15;USP18;CNN3;SRM;PLAC8;SLC9A3R1;HLA-DMB;PRKAR2A;DNAJB9;CD14;SEC23B;PCK2;EGLN1;HSPA8;SDF2L1;CP;LCN2;RPS20",6.17283950617284,5
"10","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Liver-0.25d-up","77/288",1.52230598458122e-17,1.19896819345617e-14,0,0,2.82921810699588,109.557850644553,"FKBP11;DPAGT1;LGALS3BP;EIF4A1;COX7B;ORM1;HP;UBE2L6;CXCL1;RPL10A;PHB2;CLU;IFIT3;EEF1B2;C1GALT1C1;RGS2;RPS19;FGF9;FTH1;TMED2;SDF4;RPS11;TMED7;RPL39;TMED9;WARS;TNFRSF12A;RPS8;RPL23;SSR3;RPS6;RPSA;RPS3A;TM4SF4;DYNLL1;PDIA5;PDIA4;UGDH;PSMA6;SLPI;PSMA2;COL4A1;SUB1;NINJ1;IRF7;JTB;MYH9;CRELD2;S100A9;CEBPD;STX18;USP18;TGOLN2;PLAC8;SLC9A3R1;DNPEP;PPCS;PRKAR2A;CCL2;CD14;EIF4E;SEC23B;HSPA8;SDF2L1;YIPF5;HMGA2;CP;PNRC1;PSMB9;NET1;TM9SF2;HIST1H4B;LCN2;RPS20;CNOT8;TPT1;PNPLA2",2.5974025974026,2
