Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,%protein,num_protein
Daunorubicin-3.25 mg/kg in Saline-Rat-Bone marrow-3d-up,93/336,4.31261192631235e-07,0.00339661315316361,0,0,1.63778529163145,24.0042851524363,ORM1;CDKN1A;ARPC1B;ITGB2;PRF1;HP;PLOD2;LSP1;YBX1;RPL10A;LOXL1;KHK;CTGF;STK10;GJA1;RPS19;CDH1;FTH1;SMPD1;SLCO2B1;SDF4;SH3BGRL3;OSTF1;PGLYRP1;CTSD;SLC16A3;ADAMTS9;DLGAP4;APOBEC1;CD97;ANXA1;PCYT1A;TPM4;IGFBP5;VWF;GPX3;MMP2;RHOG;BGN;COPZ2;HMHA1;PCOLCE;KCNAB1;ATP5F1;PDGFRL;SCAMP2;F5;TYROBP;SLPI;COL4A1;PPAP2B;NINJ1;FEZ2;NUMB;SERPING1;MYH9;TAGLN2;PPARG;CD48;LCP2;TLN1;RPL29;C1QB;POPDC2;C1QA;LRP1;PTAFR;ODC1;FGL2;HTRA1;AIF1;C2;CCL5;SERPINH1;PRKCDBP;FLNA;TSPAN3;XDH;VCAM1;CMA1;RARRES2;DHRS1;ZFHX4;COL1A1;EHD1;BMP4;EHD2;PTPRC;COL5A1;CPD;MGP;FGFR2;MXD4,1.0752688172043,1
Thioguanine-12 mg/kg in Corn Oil-Rat-Bone marrow-3d-up,86/309,8.99163664727448e-07,0.00354090651169669,0,0,1.64684705386722,22.9270765777708,PECR;ORM1;RPL32;GMFG;GBE1;ITGB2;ICAM2;HP;ILK;LSP1;YBX1;ARRB2;RPL6;PYCARD;EEF1B2;STK10;SMPD1;ADORA3;SLCO2B1;SH3BGRL3;OSTF1;UPP1;PGLYRP1;CCR5;APOBEC1;CD97;ANXA1;PCYT1A;TPM4;VWF;RPS8;GPX3;PGAM1;RPS5;IGFBP3;USP2;RHOG;HMHA1;IL16;PCOLCE;F5;BCR;EEF1G;CEACAM1;TYROBP;SLPI;PITPNM1;COL4A1;CTDSP1;PPAP2B;SERPING1;MYH9;TAGLN2;TLN1;RPL29;VAMP4;RAI14;C1QB;POPDC2;C1QA;NOTCH1;LRP1;PTAFR;FGL2;AIF1;CHST12;CHST10;PRKCDBP;FLNA;PIP5K1C;CD14;XDH;JAM2;VCAM1;PKLR;CMA1;FMO1;RPL35A;COL1A1;EHD1;EHD2;FMNL1;MGP;SERPINI2;LCN2;PTPN6,0,0
Dobutamine-43 mg/kg in Saline-Rat-Heart-5d-up,84/304,1.64744408817149e-06,0.00432508987947954,0,0,1.63500467144192,21.7721890126887,CLIC5;HIP1;RPL32;COL14A1;AQP7;ILK;PLOD2;ECE1;LSP1;YBX1;SLC4A3;RPL10A;LOXL1;CTGF;EEF1B2;RPS19;CPT2;SMPD1;ADORA3;SDF4;RPS10;HMGN1;TGM2;APOBEC1;VKORC1;ABCC3;ANXA1;RPL21;IGFBP5;VWF;ACTN2;GPX3;CACNA2D1;RPL23;PGAM1;RPS5;TPM1;BGN;RPSA;PCOLCE;SYTL2;EEF1G;TYROBP;SLPI;CASQ2;JTB;SERPING1;CDH13;MYH9;KDELR3;TLN1;RPL29;ANAPC2;C1QB;NDRG4;LRP1;WBP2;UNC93B1;HPN;FGL2;HTRA1;LTBP2;PDLIM3;SERPINH1;PRKCDBP;FLNA;TNNI3;CD14;BTF3;AOC3;HSPA8;TGFB3;RARRES2;RPL35A;LAMB1;EEF2;GNB2L1;COL1A1;COL5A1;NFIB;CPD;MGP;FBN1;MXD4,2.38095238095238,2
Acyclovir-980 mg/kg in Saline-Rat-Liver-5d-dn,85/310,2.01303459637718e-06,0.00396366512026667,0,0,1.62244703187631,21.2797998496491,PIGR;PECR;ORM1;RPL32;HP;ATP5C1;CIB2;C4BPA;YBX1;CSAD;RPL10A;RPL6;KHK;EEF1B2;LIPC;RPS19;ACADL;CPT2;ADORA3;SLCO2B1;BANF1;ACADS;SULT2A1;VKORC1;PDIA3;SDS;ARG1;RPL23;RPS5;MMP2;USP2;ABCC6;RPSA;MIF;F5;EEF1G;AZGP1;CLDN3;TYROBP;SLPI;CTDSP1;EHHADH;PPAP2B;SERPING1;FETUB;MYH9;SLC25A10;CYP2E1;TLN1;RPL29;SLC27A2;RAI14;ANAPC2;POPDC2;PFKFB1;LRP1;GLS2;WBP2;SDC2;HPN;ATP5A1;NR1I2;AIF1;PAPSS2;PLD2;CHST10;HSD17B2;PRKCDBP;STAP2;HSPA8;YIPF1;SDF2L1;PKLR;F10;SRD5A1;RARRES2;FMO3;DHRS1;EEF2;AGT;HAL;GSTA3;TOLLIP;KLKB1;SOLH,1.17647058823529,1
Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-5d-up,79/289,5.14995733659996e-06,0.00811221279661226,0,0,1.6174934993141,19.6954453854504,PIGR;GMFG;ITGB2;ARRB2;RPL10A;PHB2;STK10;RPS19;RASSF4;ADORA3;SLCO2B1;SH3BGRL3;CD37;BANF1;PRSS8;OSTF1;RPS10;XYLB;GPSM3;NDEL1;APOBEC1;PDIA3;TPM4;IGFBP5;GPX3;RPL23;USP2;RHOG;IL18;IL16;RPSA;GLTSCR2;SCAMP2;EEF1G;HCK;TYROBP;CTDSP1;NINJ1;SERPING1;MYH9;TAGLN2;CD48;CYP2E1;TLN1;RAPGEF5;RIN2;C1QB;POPDC2;LRPAP1;C1QA;WBP2;UNC93B1;ODC1;FGL2;SLC3A1;AIF1;CLCN1;HSD11B2;SLC9A3R1;P2RY6;CCL5;CHST10;UAP1L1;FLNA;FZD5;PKLR;VDR;NR1H4;LY86;MYO9B;EEF2;GNB2L1;EHD1;BCKDK;HIST1H4B;LCN2;RPS20;PTPN6;SOLH,2.53164556962025,2
Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-3d-up,84/314,6.56805580154291e-06,0.008621667915492,0,0,1.58293445897562,18.8896202078504,CDKN1C;RPL32;GMFG;ARPC1B;GBE1;ITGB2;HP;ATP5C1;ILK;PLOD2;LSP1;YBX1;ARRB2;RPL10A;RPL6;EEF1B2;STK10;GJA1;CDH1;FTH1;SMPD1;SLCO2B1;SDF4;SH3BGRL3;OSTF1;PGLYRP1;TPSAB1;GUSB;GPSM3;APOBEC1;CD97;MORC3;ANXA1;TPM4;VWF;RPS8;SSR2;PGAM1;RPS5;RHOG;IL16;RPSA;PCOLCE;MIF;F5;EEF1G;CEACAM1;TYROBP;COL4A1;NINJ1;SERPING1;MYH9;TAGLN2;CD48;TLN1;RPL29;C1QB;C1QA;LRP1;ATP5A1;FGL2;AIF1;C2;CHST12;CCL5;PRKCDBP;FLNA;BTF3;VCAM1;CMA1;RARRES2;NKG7;RPL35A;NAP1L1;COL1A1;EHD1;EHD2;FMNL1;PTPRC;MGP;LCN2;RPS20;PTPN6;MXD4,1.19047619047619,1
Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-5d-up,80/301,1.39131532585428e-05,0.0156542850091832,0,0,1.57266704672787,17.5866258627817,FKBP11;PECR;ORM1;RPL32;ITGB2;HP;ILK;LSP1;YBX1;ARRB2;RPL10A;FAIM3;RPL6;PYCARD;EEF1B2;STK10;ADORA3;SDF4;SH3BGRL3;CD37;OSTF1;PGLYRP1;RPS10;GPSM3;CD97;MORC3;ANXA1;TPM4;GPX3;SSR2;PGAM1;RPS5;MMP2;USP2;RHOG;IL16;GLTSCR2;F5;EEF1G;HCK;CEACAM1;TYROBP;SLPI;MYH9;CD48;RPL29;RAI14;C1QB;POPDC2;LRPAP1;C1QA;UNC93B1;ATP5A1;FGL2;AIF1;PLD2;CHST12;TSPAN3;CD14;XDH;BTF3;HSPA8;VCAM1;PKLR;CMA1;LY86;NKG7;RPL35A;DHRS1;BST1;FMNL1;PTPRC;MGP;SERPINI2;LCN2;RPS20;PTPN6;PKN1;CALM2;SOLH,0,0
Ifosfamide-17 mg/kg in Saline-Rat-Spleen-0.25d-up,82/313,1.93545735938891e-05,0.0190545777031838,0,0,1.55018243000548,16.8234816342712,CLIC5;HIP1;CCNT2;RPL32;ARPC1B;ITGB2;ATP5C1;ILK;LSP1;YBX1;RPL10A;FAIM3;KHK;PYCARD;EEF1B2;STK10;GJA1;FTH1;ADORA3;SH3BGRL3;CD37;OSTF1;RPS10;PTRF;GPSM3;PDIA3;CD97;TPM4;RPS8;PDPK1;RPS5;MMP2;HMHA1;RPL13A;RPSA;ATP5F1;GLTSCR2;RUNX1;PDIA4;PIAS1;EEF1G;HCK;LCK;PPAP2B;MYH9;TAGLN2;CD48;IRF5;TLN1;RPL29;AHDC1;C1QB;C1QA;UNC93B1;ATP5A1;FGL2;RASGRP2;AIF1;STRN4;GGA3;CCL5;BTF3;HSPA8;SDF2L1;VCAM1;RARRES2;LY86;RPL35A;UBE2G1;MYO9B;NAP1L1;DHRS1;EEF2;RAB11B;XAB2;FMNL1;PTPRC;GSTA3;MGP;PKN1;CALM2;MXD4,0,0
Etodolac-24 mg/kg in CMC-Rat-Liver-3d-up,83/323,3.66583369404601e-05,0.0320801179714515,0,0,1.5205085459908,15.5302761375954,FKBP11;PIGR;ORM1;PLEKHB1;HP;C4BPA;C4BPB;TMEM53;RPL10A;RND2;SLC4A4;ASGR1;KHK;SCAMP4;RPS19;TRIM28;ACADL;FTH1;SMPD1;ADORA3;SLCO2B1;GMPPA;ACP2;RPS10;ACADS;XYLB;HMGN1;TGM2;APOBEC1;SSR2;MMP2;ABCC6;RPSA;PCOLCE;LSR;GLTSCR2;F5;DNAJC3;TYROBP;SLPI;PPAP2B;NINJ1;PKP2;JTB;SERPING1;MYH9;TAGLN2;SLC25A10;TLN1;RPL29;ANAPC2;C1QB;C1QA;MVK;WBP2;SDC2;HPN;ABCB11;AIF1;C2;CPN1;SLC9A3R1;HSD17B2;PRKCDBP;FLNA;MGAT1;STAP2;MBD3;NQO1;SDF2L1;F10;SRD5A1;RARRES2;YIPF5;DHRS1;EEF2;FMO5;GNB2L1;NET1;PROC;FABP7;LCN2;KLKB1,2.40963855421687,2
Ibuprofen-263 mg/kg in Corn Oil-Rat-Liver-5d-up,80/309,3.79882163321697e-05,0.0299195191832168,0,0,1.53195074778346,15.5925540190339,FKBP11;ORM1;HP;C4BPA;C4BPB;PCSK7;PCSK6;RPL10A;RND2;RPL6;ASGR1;EEF1B2;CAPN9;RPS19;GRM7;FTH1;SMPD1;BANF1;CCR5;RPS10;SDS;RPL23;PGAM1;RPS5;USP2;RPSA;PCOLCE;LSR;TM4SF4;PDIA5;F5;PDIA4;DNAJC3;SLC7A7;TYROBP;SLPI;COL4A1;GORASP1;EHHADH;NINJ1;SERPING1;RDH5;RPL29;SLC27A2;RAI14;ANAPC2;C1QB;CHRNA1;C1QA;SDC2;HPN;ODC1;AIF1;PPM1F;C2;CPN1;SLC9A3R1;PERP;SLC17A5;MGAT1;STAP2;PIP5K1C;PCK1;PLXNA3;MBD3;HSPA8;SDF2L1;F10;TNFSF12;MAPK14;AGT;GNB2L1;PROC;AMACR;FABP7;LCN2;RPS20;PLXNB1;KLKB1;SOLH,5,4
