"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","2-Amino-4-Nitrophenol-625 mg/kg in CMC-Rat-Kidney-3d-up","37/309",9.9306247853386e-13,7.82136008093268e-09,0,0,3.95838348177271,109.401734639974,"LGALS3BP;ITGB1;C1QA;DAZAP1;GRN;LRP1;SLC4A4;HK1;RPS15;TRIM28;TSPAN8;ZC3H7B;PERP;STMN1;AKT1;FLNA;CCL2;BANF1;RPS11;RPL39;CTSD;TMED9;GPX2;RPL21;RPS8;RPL23;RPSA;RPS3A;CP;TJP1;SLPI;LCN2;MYH9;TAGLN2;RPS20;TPT1;RAI14",2.7027027027027,1
"2","Tobramycin-40 mg/kg in Saline-Rat-Kidney-28d-up","35/311",2.43628329758658e-11,9.59408362589595e-08,0,0,3.72033695623289,90.9174545908514,"LGALS3BP;ITGB1;C1QA;UNC93B1;PHB2;AIF1;RPL6;RPS15;TRIM28;TSPAN8;PERP;STMN1;AKT1;FLNA;CCL2;TSPAN3;RPS11;RPL39;CTSD;TMED9;GPX2;RPS8;RPL23;RPSA;RPS3A;FMO3;CP;HIST1H4B;SLPI;NINJ1;LCN2;MYH9;TAGLN2;RPS20;TPT1",2.85714285714286,1
"3","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-3d-up","34/295",2.44571177697192e-11,6.42080865181029e-08,0,0,3.81005743101275,93.0953236161499,"LGALS3BP;C1QA;GRN;UNC93B1;ITGB2;PHB2;AIF1;RPL6;CORO1B;RPS15;APH1A;TRIM28;SLCO2B1;STMN1;AKT1;FLNA;CD37;BANF1;TSPAN3;RPS11;RPL39;RPS8;RPL23;TBC1D2B;RPSA;RPS3A;CP;SCAMP2;HIST1H4B;LCN2;MYH9;TAGLN2;RPS20;TPT1",0,0
"4","2-Amino-4-Nitrophenol-625 mg/kg in CMC-Rat-Kidney-1d-up","33/300",1.6735044402327e-10,3.29513024281819e-07,0,0,3.63636363636364,81.8579310364127,"LGALS3BP;ITGB1;PRPS1;GRN;WFDC2;HK1;RPS15;NCLN;TRIM28;TSPAN8;ZC3H7B;PERP;CCL2;BANF1;RPS11;RPL39;CTSD;TMED9;GPX2;RPL21;RPS8;RPL23;RPSA;RPS3A;CP;TJP1;SLPI;NINJ1;LCN2;MYH9;TAGLN2;RPS20;TPT1",3.03030303030303,1
"5","Diflunisal-207 mg/kg in Corn Oil-Rat-Kidney-1d-up","34/321",2.4436563637609e-10,3.84924750419617e-07,0,0,3.50145464843851,77.4954390552713,"PIGR;C1QA;PRPS1;NEDD4L;CXCL1;AIF1;RPL6;CNN3;RPS15;FCGRT;PERP;SDF4;CCL2;BANF1;RPS11;CTSD;CPT1A;TMED9;GPX2;GADD45A;RPS8;RPL23;PAWR;RPSA;RPS3A;CP;SLPI;TOLLIP;LCN2;TAGLN2;RPS20;TPT1;PNPLA2;RAI14",0,0
"6","Carbon Tetrachloride-3178 mg/kg in Saline-Rat-Liver-5d-up","33/310",3.95458237845636e-10,5.19104846878705e-07,0,0,3.51906158357771,76.1911176338071,"LGALS3BP;ITGB1;C1QA;DAZAP1;GRN;UNC93B1;AIF1;RPL6;CNN3;RPS15;NCLN;PERP;STMN1;FLNA;TSPAN3;RPS11;RPL39;CTSD;CPT1A;TMED9;RPS8;RPL23;RPSA;RPS3A;CP;SLPI;LCN2;MYH9;TAGLN2;RPS20;SLC27A2;TPT1;PNPLA2",6.06060606060606,2
"7","Kanamycin-225 mg/kg in Saline-Rat-Kidney-3d-up","33/318",7.65308259832785e-10,8.61081122063287e-07,0,0,3.43053173241853,72.0094079219088,"LGALS3BP;C1QA;NEDD4L;CXCL1;LSP1;AIF1;RPL6;CNN3;RPS15;TGOLN2;NT5E;STMN1;FLNA;CCL2;CRYM;RPL39;CTSD;TMED9;GPX2;GADD45A;RPS8;RPL13A;RPL35A;RPSA;RPS3A;NINJ1;TFF3;MYH9;TAGLN2;RPS20;FBP1;TPT1;SNRPB",0,0
"8","Bacitracin-380 mg/kg in Corn Oil-Rat-Kidney-3d-up","32/304",9.71004214542332e-10,9.55953649216925e-07,0,0,3.47977381470204,72.2146683157279,"LGALS3BP;C1QA;PRPS1;CXCL1;LSP1;AIF1;RPL6;WFDC2;CNN3;RPS15;TSPAN8;STMN1;AKT1;FLNA;CCL2;TSPAN3;RPS11;RPL39;CTSD;TMED9;GPX2;RPL21;RPS8;RPL23;RPL35A;RPSA;RPS3A;LCN2;MYH9;TAGLN2;RPS20;SNRPB",0,0
"9","Manganese (II) Chloride-700 mg/kg in Water-Rat-Liver-1d-up","31/295",1.85499872211437e-09,1.6233299928192e-06,0,0,3.47387589298221,69.8436012576558,"LGALS3BP;PIGR;C1QA;GRN;ACADVL;LRP1;ABHD2;HTRA1;NEDD4L;CXCL1;PHB2;AIF1;RPL6;RPS15;SLCO2B1;AKT1;MGAT1;RPL39;CPT1A;GADD45A;RPSA;CP;PDIA4;SLPI;LCN2;MYH9;TAGLN2;SLC27A2;FBP1;FGFR2;TPT1",3.2258064516129,1
"10","N-Nitrosodimethylamine-10 mg/kg in Saline-Rat-Liver-5d-up","31/295",1.85499872211437e-09,1.46099699353728e-06,0,0,3.47387589298221,69.8436012576558,"LGALS3BP;ITGB1;PIGR;C1QA;GRN;UNC93B1;HSPB8;CXCL1;AIF1;RPL6;RPS15;PERP;STMN1;FLNA;RPS11;RPL39;CTSD;TMED9;RPL23;RPSA;FMO3;CP;SLPI;NINJ1;LCN2;MYH9;TAGLN2;RPS20;SLC27A2;TPT1;PNPLA2",6.45161290322581,2
"11","Miconazole-920 mg/kg in Corn Oil-Rat-Liver-5d-up","31/298",2.37167882702285e-09,1.69812204014836e-06,0,0,3.4389039880193,68.2954906837792,"PRPS1;HSPB8;SLC3A2;RPL6;RPS15;TGOLN2;PERP;STMN1;FLNA;CCL2;BANF1;RPS11;RPL39;CTSD;ABCC3;TMED9;GPX2;RPL21;GADD45A;RPS8;RPL23;RPL13A;RPL35A;RPSA;RPS3A;LCN2;MYH9;TAGLN2;RPS20;TPT1;RAI14",0,0
"12","Primaquine-45 mg/kg in CMC-Rat-Liver-3d-up","32/316",2.54965564531044e-09,1.67342398853875e-06,0,0,3.34763050528298,66.2405942979799,"PIGR;C1QA;GRN;ACADVL;ABHD2;SEMA3A;CXCL1;SLC4A4;AIF1;WFDC2;RPS15;FCGRT;SLCO2B1;AKT1;FLNA;RPS11;CIC;RPL39;CPT1A;TMED9;ARHGEF12;RPS8;RPL23;RPSA;RPS3A;CP;NINJ1;LCN2;MYH9;RPS20;TPT1;PNPLA2",0,0
"13","Calcitriol-0.04 mg/kg in CMC-Rat-Kidney-5d-up","32/317",2.75670975068006e-09,1.6701419997197e-06,0,0,3.33707015668587,65.7710765289903,"LGALS3BP;GRN;PHB2;SLC4A4;RPL6;WFDC2;CNN3;RPS15;TGOLN2;TRIM28;TSPAN8;PERP;STMN1;RPS11;RPL39;CTSD;TMED9;GPX2;RPL21;GADD45A;RPS8;RPL23;RPSA;RPS3A;CP;HIST1H4B;LCN2;MYH9;TAGLN2;RPS20;TPT1;PNPLA2",0,0
"14","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Liver-1d-up","31/307",4.85525909233892e-09,2.73143004366153e-06,0,0,3.33808921312623,63.9017206758906,"LGALS3BP;LRP1;ABHD2;PHB2;RPL6;RPS15;TGOLN2;SDF4;FLNA;CCL2;TSPAN3;RPS11;RPL39;CTSD;TMED9;RPS8;RPSA;CP;PDIA4;HIST1H4B;SLPI;NFIB;NINJ1;LCN2;MYH9;TAGLN2;RPS20;SLC27A2;FBP1;TPT1;SNRPB",3.2258064516129,1
"15","Indomethacin-10 mg/kg in Corn Oil-Rat-Liver-3d-up","31/311",6.61208289286629e-09,3.47178432428099e-06,0,0,3.29515558980628,62.0621700970357,"LGALS3BP;C1QA;GRN;CXCL1;PHB2;SLC4A4;AIF1;RPL6;CNN3;RPS15;TRIM28;AKT1;SDF4;RPS11;RPL39;CTSD;CPT1A;TMED9;RPS8;RPL23;RPSA;CP;PDIA4;SLPI;NINJ1;LCN2;MYH9;TAGLN2;RPS20;SLC27A2;FBP1",3.2258064516129,1
"16","Calcitriol-0.04 mg/kg in CMC-Rat-Kidney-3d-up","31/312",7.13644464109194e-09,3.51291487457751e-06,0,0,3.2845941936851,61.6125858397154,"LGALS3BP;C1QA;GRN;HTRA1;LSP1;SLC4A4;AIF1;WFDC2;TRIM28;TSPAN8;FCGRT;ZC3H7B;FLNA;RPS11;RPL39;CTSD;TMED9;GPX2;GADD45A;RPS8;RPL23;RPSA;RPS3A;CP;TFF3;LCN2;MYH9;TAGLN2;RPS20;SLC27A2;TPT1",3.2258064516129,1
"17","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-5d-up","29/289",1.75684268660727e-08,8.13934882336403e-06,0,0,3.31722382681804,59.236204838055,"PIGR;C1QA;GRN;UNC93B1;ITGB2;PHB2;AIF1;CORO1B;RPS15;APH1A;SLCO2B1;AKT1;FLNA;CD37;BANF1;RPL39;GADD45A;RPL23;TBC1D2B;RPSA;CP;SCAMP2;HIST1H4B;NINJ1;LCN2;MYH9;TAGLN2;RPS20;TPT1",0,0
"18","Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-up","30/307",1.83000512839351e-08,8.00728910623736e-06,0,0,3.23040891592861,57.5541345724892,"LGALS3BP;C1QA;GRN;LRP1;HTRA1;PHB2;AIF1;RPS15;TGOLN2;FCGRT;SLCO2B1;SDF4;FLNA;CCL2;TSPAN3;CRYM;RPL39;TMED9;RPL21;RPS8;RPL23;TBC1D2B;RPS3A;CP;NINJ1;MYH9;TAGLN2;RPS20;FGFR2;TPT1",0,0
"19","Vancomycin-160 mg/kg in Saline-Rat-Kidney-5d-up","29/290",1.89753439297297e-08,7.86577941002901e-06,0,0,3.30578512396694,58.7772740112894,"LGALS3BP;C1QA;UNC93B1;PHB2;HK1;RPS15;TGOLN2;TSPAN8;SLCO2B1;AKT1;FLNA;TSPAN3;RPL39;CTSD;TMED9;GPX2;GADD45A;RPL23;RPL13A;RPL35A;RPSA;RPS3A;CP;TJP1;NINJ1;LCN2;MYH9;TAGLN2;TPT1",0,0
"20","Allyl Alcohol-32 mg/kg in Saline-Rat-Liver-1d-up","29/291",2.04871110293457e-08,8.06782432335635e-06,0,0,3.29442503763029,58.3227544216907,"LGALS3BP;PRPS1;GRN;UNC93B1;CXCL1;LSP1;PHB2;RPL6;RPS15;TRIM28;STMN1;AKT1;FLNA;CCL2;TSPAN3;RPS11;RPL39;TMED9;RPS8;RPL23;RPSA;RPS3A;CP;SLPI;NINJ1;LCN2;MYH9;TAGLN2;RPS20",0,0
"21","Gentamicin-40 mg/kg in Saline-Rat-Kidney-14d-up","30/309",2.12181090829362e-08,7.95780129224788e-06,0,0,3.20950012035625,56.7067666464449,"LGALS3BP;ITGB1;C1QA;NEDD4L;PHB2;AIF1;RPS15;TRIM28;TSPAN8;RPS11;CRYM;RPL39;CTSD;TMED9;GPX2;RPL21;GADD45A;RPS8;RPL23;PAWR;RPS3A;CP;PDIA4;LCN2;MYH9;TAGLN2;RPS20;SLC27A2;TPT1;PNPLA2",6.66666666666667,2
"22","Allopurinol-175 mg/kg in Corn Oil-Rat-Kidney-3d-up","31/329",2.47922980579429e-08,8.87564270474356e-06,0,0,3.11487352106308,54.5499476620742,"LGALS3BP;C1QA;GRN;UNC93B1;AIF1;WFDC2;CNN3;RPS15;RGS2;TRIM28;FCGRT;STMN1;AKT1;SDF4;FLNA;RPS11;RPL39;TMED9;GPX2;RPL21;RPS8;RPL23;RPSA;RPS3A;CP;LCN2;MYH9;TAGLN2;RPS20;TPT1;SNRPB",0,0
"23","1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Liver-3d-up","30/312",2.64217463281712e-08,9.04772496002941e-06,0,0,3.17863954227591,55.4643307098445,"ITGB1;C1QA;GRN;HSPB8;SLC4A4;AIF1;RPL6;WFDC2;TRIM28;PERP;STMN1;FLNA;BANF1;RPL39;ABCC3;CPT1A;TMED9;GPX2;RPS8;RPL23;RPSA;RPS3A;CP;LCN2;MYH9;TAGLN2;RPS20;SLC27A2;PNPLA2;RAI14",6.66666666666667,2
"24","Methapyrilene-100 mg/kg in CMC-Rat-Liver-1d-up","30/314",3.05299015502252e-08,1.00188960253989e-05,0,0,3.15839343054166,54.6546062690777,"LGALS3BP;PIGR;PRPS1;DAZAP1;HSPB8;SLC3A2;PHB2;RPL6;RPS15;NCLN;TRIM28;PERP;STMN1;RPS11;RPL39;ABCC3;CPT1A;RPL21;GADD45A;RPS8;RPL23;RPSA;RPS3A;FMO3;SLPI;MYH9;TAGLN2;RPS20;TPT1;PNPLA2",0,0
"25","Netilmicin-40 mg/kg in Saline-Rat-Kidney-28d-up","30/314",3.05299015502252e-08,9.61814018438295e-06,0,0,3.15839343054166,54.6546062690777,"LGALS3BP;C1QA;AIF1;RPL6;WFDC2;CNN3;RPS15;TRIM28;TSPAN8;SLCO2B1;STMN1;FLNA;CCL2;TSPAN3;RPS11;RPL39;GPX2;RPS8;RPL23;RPSA;RPS3A;FMO3;CP;SLPI;NINJ1;LCN2;MYH9;TAGLN2;RPS20;TPT1",0,0
"26","Antimycin A-0.03 uM in DMSO-Rat-Primary rat hepatocytes-1d-dn","28/281",3.6043075214053e-08,1.09182792456108e-05,0,0,3.29402076409517,56.454743124166,"LGALS3BP;GRN;HTRA1;CXCL1;PHB2;SLC4A4;WFDC2;EGFR;RPS15;TRIM28;STMN1;AKT1;FLNA;CCL2;RPL39;GADD45A;RPL23;PAWR;RPS3A;CP;PDIA4;TJP1;NINJ1;MYH9;TAGLN2;RPS20;TPT1;SNRPB",0,0
"27","Pralidoxime Chloride-48 mg/kg in Saline-Rat-Liver-5d-up","28/281",3.6043075214053e-08,1.05138985328104e-05,0,0,3.29402076409517,56.454743124166,"LGALS3BP;ITGB1;C1QA;GRN;LRP1;UNC93B1;ITGB2;CXCL1;AIF1;RPL6;CNN3;RPS15;STMN1;AKT1;FLNA;BANF1;TSPAN3;RPL39;RPS8;CP;PDIA4;SLPI;NINJ1;LCN2;MYH9;TAGLN2;FGFR2;TPT1",3.57142857142857,1
