"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","Azathioprine-20 mg/kg in Corn Oil-Rat-Spleen-3d-up","52/294",1.01493291591392e-12,7.99361164573802e-09,0,0,2.99020707183972,82.5781523460108,"RPL32;CTSZ;ITGB2;ILK;PARK7;LSP1;YBX1;BZW2;RPL6;EEF1B2;TRIM28;CD37;OSTF1;RPS11;CD53;RPL21;VWF;RPS8;RPS5;IL18;RPL13A;RPSA;RPS3A;F5;EEF1G;LCK;NINJ1;MYH9;LCP1;TLN1;RPL29;RAI14;ANAPC2;GRN;LRP1;UNC93B1;AIF1;MAN1C1;PIP5K1C;BTF3;HSPA8;RAB4B;RPL35A;MYO9B;LYZ;EEF2;SMAD5;EHD2;FMNL1;GLB1;RPS20;MXD4",1.92307692307692,1
"2","Lead (II) Acetate-600 mg/kg in Saline-Rat-Spleen-5d-up","48/296",1.75843347780671e-10,6.92471103560284e-07,0,0,2.74154120307966,61.5789292088334,"SF3B2;RPL32;LRP1;UNC93B1;CTSZ;ITGB2;HTRA1;CHD3;LSP1;AIF1;RPL6;APH1A;EEF1B2;SCAMP4;RPS19;TRIM28;EIF4EBP1;FLNA;CD37;TSPAN3;RPS11;CIC;RPS10;FNBP4;BTF3;HSPA8;CHKB;RAB4B;RPL21;SYK;RPS8;RPL23;RPS5;IL18;TBC1D2B;RPSA;RPS3A;SMAD5;PIAS1;EEF1G;FMNL1;GLB1;MYH9;PRKD2;RPS20;PKN1;TLN1;RPL29",0,0
"3","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","49/314",4.4479109871336e-10,1.16772489782214e-06,0,0,2.63822409829269,56.8099780256831,"RPL32;ARPC1B;ITGB2;CHD3;LSP1;YBX1;COMT;RPL10A;RPL6;CABIN1;EEF1B2;TRIM28;CYP1B1;CD37;RPS11;RPS10;FNBP4;CD53;RPL21;SYK;RPS5;RPSA;RPS3A;PIAS1;EEF1G;LCK;MYH9;PRKD2;LCP1;TLN1;RPL29;GRN;LRP1;UNC93B1;HTRA1;AIF1;STRN4;CLN6;FLNA;BTF3;HSPA8;CHKB;RAB4B;MYO9B;LYZ;EEF2;SMAD5;FMNL1;PKN1",2.04081632653061,1
"4","Dobutamine-43 mg/kg in Saline-Rat-Heart-5d-up","48/304",4.46579699574099e-10,8.79315428461401e-07,0,0,2.66939538194599,57.4704895663693,"GRN;RPL32;LRP1;WBP2;UNC93B1;HTRA1;ILK;LTBP2;LSP1;YBX1;RPL10A;EEF1B2;PLN;RPS19;ADORA3;TMED2;SDF4;FLNA;RPS11;RPS10;BTF3;VKORC1;ABCC3;HSPA8;TMED9;RPL21;VWF;RPL23;RPS5;RPL35A;RPSA;RPS3A;LYZ;RHOC;ATP1B1;EEF2;SMAD5;SYTL2;COL1A1;EEF1G;NFIB;CPD;MYH9;TLN1;RPL29;CRAT;ANAPC2;MXD4",2.08333333333333,1
"5","N-Nitrosodiethylamine-1.67 mg/kg in Saline-Rat-Spleen-0.25d-up","47/298",7.04446829228899e-10,1.10964464540136e-06,0,0,2.66640948107133,56.1908688661763,"RPL32;UNC93B1;ARPC1B;CTSZ;LSP1;YBX1;RPL10A;AIF1;EEF1B2;RPS19;ADORA3;CD37;TSPAN3;RPS11;CIC;RPS10;FNBP4;BTF3;CD53;HSPA8;RPS8;RPL23;RPS5;IL18;RPL13A;RPL35A;MYO9B;RPSA;RPS3A;LYZ;RUNX1;RAB11B;EEF1G;XAB2;FMNL1;LCK;GLB1;NINJ1;MYH9;PRKD2;RPS20;LCP2;PKN1;LCP1;TLN1;RPL29;MXD4",0,0
"6","Lipopolysaccharide E. Coli O55:B5-1.25 mg/kg in Saline-Rat-Kidney-5d-up","46/289",7.87910233739723e-10,1.03426350015568e-06,0,0,2.69094759379561,56.4066665102883,"SF3B2;GRN;WBP2;UNC93B1;CTSZ;ITGB2;PLAT;RPL10A;PHB2;AIF1;APH1A;RPS19;RASSF4;ADORA3;SLCO2B1;TMED2;FLNA;CD37;BANF1;PRSS8;OSTF1;RPS10;NDEL1;CD53;FZD5;GADD45A;VDR;RPL23;USP2;IL18;MYO9B;TBC1D2B;RPSA;LYZ;EEF2;SCAMP2;EEF1G;HIST1H4B;GLB1;NINJ1;PCCB;MYH9;RPS20;LCP1;TLN1;MAP3K12",2.17391304347826,1
"7","Famciclovir-112 mg/kg in Saline-Rat-Spleen-0.25d-up","49/321",9.593045321102e-10,1.07935464212856e-06,0,0,2.58069273166326,53.5876007956127,"RPL32;ARPC1B;CTSZ;ITGB2;CHD3;LSP1;YBX1;COMT;RPL10A;RPL6;TRIM28;CD37;OSTF1;RPS11;RPS10;FNBP4;CD53;RPL21;RPS5;RPSA;RPS3A;PIAS1;EEF1G;CD8B;LCK;MYH9;PRKD2;LCP1;TLN1;RPL29;RAI14;LRP1;WBP2;UNC93B1;AIF1;FLNA;ATP6V1H;BTF3;HSPA8;RAB4B;ATP13A1;NKG7;MYO9B;LYZ;DHRS1;EEF2;SMAD5;RAB11B;FMNL1",2.04081632653061,1
"8","Thioguanine-24 mg/kg in Corn Oil-Rat-Spleen-5d-up","48/315",1.50923260600941e-09,1.48583950061627e-06,0,0,2.57617840035422,52.3264714200167,"SF3B2;GRN;RTN1;RPL32;LRP1;UNC93B1;ARPC1B;HTRA1;CHD3;LSP1;YBX1;BZW2;RPL10A;MSLN;AIF1;CLN6;EEF1B2;TRIM28;FCGRT;SLCO2B1;CD37;TSPAN3;OSTF1;RPS10;FNBP4;CD53;HSPA8;RAB4B;RPL21;RPS8;ATP13A1;RPS5;IL18;RPL35A;RPSA;RPS3A;EEF1G;FMNL1;LCK;TOLLIP;NINJ1;MYH9;RPS20;PKN1;LCP1;TLN1;RPL29;MXD4",2.08333333333333,1
"9","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-3d-up","44/284",4.31803477394367e-09,3.77876020884226e-06,0,0,2.61926589120522,50.4482802062011,"GRN;RPL32;LRP1;UNC93B1;ARPC1B;ITGB2;HTRA1;CHD3;LSP1;RPL10A;AIF1;RPL6;STRN4;EEF1B2;TRIM28;ADORA3;MAN1C1;FLNA;CD37;OSTF1;RPS11;BTF3;CD53;SYK;ATP13A1;RPL23;MYO9B;RPSA;RPS3A;LYZ;EEF2;RUNX1;PIAS1;BST1;FMNL1;LCK;NINJ1;MYH9;RPS20;PKN1;LCP1;TLN1;RPL29;MXD4",0,0
"10","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","45/301",8.93669858468777e-09,7.03854380530009e-06,0,0,2.52750061081265,46.8424205637832,"GRN;RPL32;UNC93B1;ITGB2;ILK;LSP1;YBX1;RPL10A;AIF1;RPL6;EEF1B2;CHST12;ADORA3;SDF4;CD37;TSPAN3;OSTF1;RPS11;RPS10;FNBP4;BTF3;CD53;HSPA8;RAB4B;RPS5;USP2;NKG7;RPL35A;LYZ;DHRS1;SMAD5;MMP9;F5;EEF1G;BST1;CEACAM1;FMNL1;ETHE1;MYH9;PRKD2;RPS20;PKN1;LCP1;RPL29;RAI14",0,0
"11","Calcitriol-0.04 mg/kg in CMC-Rat-Kidney-3d-up","46/312",9.53535802887707e-09,6.82731634867598e-06,0,0,2.4925764570735,46.033547710384,"EIF4A1;SF3B2;GRN;WBP2;HTRA1;UBE2L6;LSP1;UBE2Z;COMT;RPL10A;SLC4A4;AIF1;WFDC2;EEF1B2;RPS19;TRIM28;CTSL;FCGRT;FLNA;OSTF1;RPS11;RPS10;CTSD;BTF3;CD53;HSPA8;TMED9;GPX2;GADD45A;RPS8;RPL23;MYO9B;RPSA;RPS3A;SORBS1;LYZ;RHOC;ATP1B1;RAB11B;VNN1;ETHE1;TFF3;MYH9;RPS20;LCP1;MAP3K12",4.34782608695652,2
"12","Bisphenol A-610 mg/kg in Corn Oil-Rat-Spleen-3d-up","42/276",1.65176760796335e-08,1.08411014002661e-05,0,0,2.57267815796244,46.0993947823377,"RPL32;UNC93B1;ARPC1B;CTSZ;CHD3;LSP1;BZW2;RPL6;STRN4;EEF1B2;ADORA3;CD37;BANF1;OSTF1;RPS11;CIC;FNBP4;BTF3;NCOA1;CD53;RPL21;ATP13A1;RPS5;IL18;MYO9B;RPSA;RPS3A;LYZ;RUNX1;EEF1G;FMNL1;LCK;GLB1;MYH9;PRKD2;RPS20;LCP2;PKN1;LCP1;TLN1;RPL29;MXD4",2.38095238095238,1
"13","Tobramycin-40 mg/kg in Saline-Rat-Kidney-28d-up","45/311",2.46053598842031e-08,1.49070626498449e-05,0,0,2.44623049470935,42.8586958945246,"EIF4A1;SF3B2;RPL32;UNC93B1;FHL2;YBX1;RPL10A;PHB2;AIF1;RPL6;EEF1B2;RPS19;TRIM28;CTSL;PERP;ADORA3;TMED2;FLNA;TSPAN3;RPS11;RPS10;CTSD;FNBP4;BTF3;CD53;TMED9;GPX2;RPS8;RPL23;RPS5;RPSA;RPS3A;LYZ;RHOC;SMAD5;RAB11B;EEF1G;HIST1H4B;NINJ1;MYH9;RPS20;LCP1;TLN1;RPL29;MAP3K12",0,0
"14","Ifosfamide-17 mg/kg in Saline-Rat-Spleen-0.25d-up","45/313",2.99312622934214e-08,1.68384729873562e-05,0,0,2.43059962892846,42.1085886777381,"DAZAP1;RPL32;UNC93B1;ARPC1B;CTSZ;ITGB2;ILK;LSP1;YBX1;COMT;RPL10A;AIF1;STRN4;EEF1B2;ADORA3;CD37;OSTF1;RPS11;RPS10;BTF3;CD53;HSPA8;RPS8;RPS5;RPL13A;RPL35A;MYO9B;RPSA;LYZ;DHRS1;EEF2;RUNX1;RAB11B;PDIA4;PIAS1;EEF1G;XAB2;FMNL1;LCK;MYH9;PKN1;LCP1;TLN1;RPL29;MXD4",2.22222222222222,1
"15","Primaquine-45 mg/kg in CMC-Rat-Liver-3d-up","45/316",3.99975314213089e-08,2.10013704982819e-05,0,0,2.40752431599559,41.0108480083989,"SF3B2;GRN;RPL32;WBP2;ABHD2;SEMA3A;PARK7;RPL10A;SLC4A4;AIF1;WFDC2;PAPSS2;EEF1B2;RPS19;PPCS;CTSL;FCGRT;SLCO2B1;HSD17B2;FLNA;STAP2;RPS11;CIC;RPS10;NCOA1;TMED9;F10;RPS8;RPL23;RPS5;RPSA;RPS3A;SORBS1;EEF2;PDIA5;F5;CLDN3;NINJ1;PCCB;MYH9;RPS20;TLN1;RPL29;COPE;MXD4",0,0
"16","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Spleen-3d-up","40/265",4.53385490062362e-08,2.23179007483198e-05,0,0,2.55187483053956,43.1499276094056,"RPL32;ARPC1B;CHD3;LSP1;YBX1;RPL6;EEF1B2;TRIM28;ADORA3;SLCO2B1;CD37;BANF1;PIP5K1C;CIC;BTF3;CD53;RPS8;ATP13A1;RPL23;RPS5;RPL35A;MYO9B;RPS3A;LYZ;EEF2;F5;PIAS1;EEF1G;BST1;FMNL1;GLB1;MYH9;PRKD2;RPS20;PKN1;LCP1;TLN1;RPL29;RAI14;MXD4",0,0
"17","Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Spleen-5d-up","42/286",4.67843054614181e-08,2.16748935184782e-05,0,0,2.4827243762155,41.902722001874,"SF3B2;GRN;RPL32;LRP1;UNC93B1;ARPC1B;CTSZ;ITGB2;RPL10A;EEF1B2;RPS19;TRIM28;FCGRT;ADORA3;SLCO2B1;CD37;TSPAN3;OSTF1;CIC;RPS10;FNBP4;CD53;HSPA8;RPL21;RPS8;RPL23;RPS5;RPL35A;MYO9B;RPSA;RPS3A;EEF1G;BST1;FMNL1;NINJ1;MYH9;RPS20;LCP1;TLN1;RPL29;MXD4;MAP3K12",0,0
"18","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-3d-up","42/287",5.17430885895926e-08,2.26404758739795e-05,0,0,2.47407376863287,41.5074736842117,"EIF4A1;VIPR1;RPL32;CHD3;LSP1;RPL6;EEF1B2;CAPN9;TRIM28;ADORA3;CYP1B1;CD37;MGAT1;BANF1;PIP5K1C;RPS11;BTF3;CD53;RAB4B;RPS5;USP2;MTUS1;RPSA;RPS3A;LYZ;RHOC;DHRS1;EEF2;SMAD5;BST1;FMNL1;LCK;GLB1;GORASP1;MYH9;RPS20;PKN1;TLN1;RPL29;RAI14;ANAPC2;MXD4",2.38095238095238,1
"19","Carmustine-4 mg/kg in Corn Oil-Rat-Spleen-3d-up","40/267",5.59527486126699e-08,2.31938867407047e-05,0,0,2.5327596632696,42.2939413910887,"GRN;RPL32;PARK7;LSP1;BZW2;MSLN;AIF1;RPL6;EEF1B2;ADORA3;SLCO2B1;MAN1C1;CD37;BANF1;RPS11;CIC;NCOA1;CD53;RPL21;RPS8;ATP13A1;RPL23;RPS5;RPL35A;MYO9B;RPS3A;DHRS1;EEF2;SMAD5;RUNX1;EEF1G;EHD2;GLB1;RPS20;LCP2;LCP1;TLN1;RPL29;RAI14;MXD4",2.5,1
"20","Vinblastine-0.3 mg/kg in Saline-Rat-Bone marrow-1d-up","45/321",6.41739714114983e-08,2.5271709941848e-05,0,0,2.37002393724177,39.251549928157,"GRN;RPL32;LRP1;WBP2;UNC93B1;ARPC1B;CTSZ;ITGB2;ILK;CHD3;LSP1;AIF1;RPS19;FCGRT;ADORA3;SLCO2B1;FLNA;CD37;TSPAN3;OSTF1;RPS11;CD53;RAB4B;VWF;RPL23;RHOC;DHRS1;EEF2;MMP9;F5;COL1A1;EHD2;XAB2;FMNL1;TOLLIP;NINJ1;MYH9;PRKD2;LCP2;PKN1;LCP1;TLN1;RAI14;ANAPC2;MXD4",0,0
"21","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","44/314",9.08295231099976e-08,3.40653963816353e-05,0,0,2.36901755765058,38.4119174629637,"EIF4A1;RPL32;LRP1;ARPC1B;GBE1;ITGB2;ILK;LSP1;YBX1;RPL10A;AIF1;RPL6;EEF1B2;CHST12;FCGRT;SLCO2B1;SDF4;FLNA;OSTF1;BTF3;CD53;VWF;RPS8;RPS5;NKG7;RPL35A;TBC1D2B;RPSA;RPS3A;LYZ;MMP9;F5;COL1A1;EEF1G;EHD2;CEACAM1;FMNL1;NINJ1;MYH9;RPS20;LCP1;TLN1;RPL29;MXD4",0,0
"22","Cyclosporin A-70 mg/kg in Corn Oil-Rat-Spleen-0.25d-up","47/347",9.49398220342695e-08,3.39884562882685e-05,0,0,2.28988479930621,37.0274889523593,"RPL32;LRP1;WBP2;UNC93B1;ARPC1B;ITGB2;HTRA1;CHD3;LSP1;YBX1;COMT;RPL10A;PHB2;AIF1;CLN6;EEF1B2;RAB21;TRIM28;TMED2;FLNA;CD37;TSPAN3;OSTF1;RPS10;FNBP4;BTF3;CD53;HSPA8;RPL21;RPS8;RPL23;RPL13A;MYO9B;RPSA;LYZ;EEF2;RAB11B;PDIA4;EEF1G;FMNL1;LCK;MYH9;PRKD2;RPS20;LCP1;TLN1;RPL29",2.12765957446809,1
