"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","tamoxifen homo sapiens gpl3921 gse33366 chdir down","73/507",3.55831331161828e-29,2.48370269150956e-26,0,0,4.75980895561315,311.794527320122,"LGALS3BP;EHF;PSCA;AQP3;RND3;SOX2;HEY1;TNFSF10;TP63;NKX3-1;BCAS1;MSMB;TPD52;ABCC3;S100A2;KHNYN;GAA;LMO3;PAWR;COBL;KRT7;NME5;TMPRSS11E;HLA-E;TOX3;PLCB4;ELF3;CEACAM6;CEACAM5;ORAI2;MXRA7;FBP1;CCNO;PRPS1;TBC1D9B;FAM114A1;ABHD2;MVP;TMPRSS4;SEL1L;RHOBTB3;HTRA1;SLC38A10;HSD17B11;PPL;CORO1B;ABLIM1;RAB40B;ERBB3;PERP;KIAA1324;FLNA;TSPAN3;MPZL2;GSN;NEBL;PLEKHA5;PTPN13;KLK11;MAPK10;TSGA10;MYO1B;MEIS1;KLF5;NBEA;KRT15;GSTA1;LCN2;SDC1;S100P;RGL1;LRP10;FGFR2",1.36986301369863,1
"2","methotrexate homo sapiens gpl571 gse9412 chdir up","85/712",5.81968216039847e-28,2.03106907397907e-25,0,0,3.94651313956728,247.490325990886,"PYGB;CD81;PRKCSH;SPATA20;AQP5;PHB2;RPL9;COX7C;RPL6;RPL7A;RPS14;RPS16;TRIM28;FCGRT;AKT1;RPLP2;BANF1;RPL37;RPL39;RPS13;ABCC3;GPX2;RPS7;RPS8;RPL23;CAD;RPL13A;CYBA;RPS3A;EMP3;PGD;DDOST;TM4SF1;DDB1;EEF1A1;MZT2A;TOX3;DDAH1;TMBIM1;UQCRC1;RPL24;RPL27;TKT;HIST1H2BD;SNRPB;TBC1D9B;RPL12;URM1;RPL11;HIST1H2BK;SLC1A5;ATP1A1;CORO1B;RIC8A;APH1A;TGOLN2;GANAB;ABLIM1;RPS15A;SYNGR2;RAB25;TSPAN8;LMAN2;NT5DC2;AGR2;HS1BP3;TSPAN3;ZNF467;SPTBN1;RPL19;RPL41;GSN;RPL35A;ATOX1;HS3ST1;RPS26;RPS25;RPS27;RPS29;NUCB1;SDC1;MAN2B1;TACC2;TPT1;RPS24",1.17647058823529,1
"3","amoxicillin rattus norvegicus gpl341 gse2354 chdir down","57/329",4.30316962246899e-27,1.00120413216112e-24,0,0,5.72734808711598,347.709854693766,"RPL30;RPLP1;RPL9;RPL7;RPS15;RPS14;RPL7A;MT2A;RPS16;TRIM28;CCND1;FCGRT;AKT1;RPL37;RPS11;RPS13;RPS12;RPS7;RPS8;RPL23;RPL13A;RPSA;CYBA;RPS3A;TFF3;RPL24;MYH9;RPL27;NFAT5;ADH1C;RPL12;RPL11;HSD17B11;NCSTN;UBB;EPCAM;RPS27A;RPL19;VASP;RPL41;SMAD7;RPS26;KRT19;MARCKS;RPS27;DHRS9;RPS29;RPL27A;GNB2;RPS20;MAN2B1;TACC2;TGFBI;LTBR;LRP10;RPS24;FGFR2",0,0
"4","diethylstilbestrol mus musculus gpl81 gse1839 chdir up","94/930",2.13136529904795e-25,3.71923244683867e-23,0,0,3.34133120056874,189.813890308733,"IFITM3;LGALS3BP;NCKAP1;PIGR;GSK3A;CD81;PRKCSH;COX6A1;COX7C;WFDC2;RPL7;HK1;SIN3B;RPS6KA1;QSOX1;RPS11;CTSD;RPS12;HIST1H1C;TPD52;CPT1A;TMED9;RPL21;KRT8;KRT7;CYBA;TMC6;PGD;OSMR;PDIA6;SCAMP2;DDB1;POR;ELF3;HGS;ESRP1;TMBIM1;GPD1;UQCRC1;CKS2;FKBP8;PKP4;DSG2;TAGLN2;TKT;SMPDL3A;SLC25A4;CFTR;HIST1H2BC;C1QA;GRN;SMARCD2;LEPROT;H6PD;CFH;SEMA3A;CRCT1;NDUFB2;HTRA1;SLC38A10;UQCR10;ATP1A1;HSD17B11;PPL;CORO1B;UBB;ERBB3;EPCAM;LMAN2;PERP;AGR2;S100A14;VASP;PRNP;RPL41;GADD45A;EDEM2;CP;ATOX1;MYO1D;ISG20;PFKL;KRT19;KRT18;RPL27A;GNB2;LCN2;NUCB1;MAN2B1;TAB2;LRP10;SPRR1A;SPRR1B;PNPLA2",2.12765957446809,2
"5","deferoxamine homo sapiens gpl91 gse1056 chdir up","36/154",4.60458932882462e-22,6.42800670303918e-20,0,0,7.72780938070194,379.66587273665,"RPL30;CD81;RPLP1;RPL12;RPL11;RPL9;COX7C;RPS14;RPS16;RPS15A;RPS18;ARHGDIA;RPLP2;RPL37;RPS11;RPS27A;RPS12;RPL19;RPL41;RPS7;RPL23;RPS3A;EEF1A1;RPS25;RPS27;RPS29;RPL27A;RPL37A;CKS2;RPL24;RPL27;RPS20;TMBIM6;RPS24;TPT1;SNRPB",0,0
"6","estradiol homo sapiens gpl570 gse16683 chdir up","101/1195",2.39420682177352e-21,2.7852606026632e-19,0,0,2.79401085791348,132.663086019102,"IFITM3;RPL30;IFITM1;CD81;INPPL1;PLOD1;SPATA20;NADSYN1;PHB2;MT2A;RPS16;TRIM28;FCGRT;RPS18;ARHGDIA;AKT1;PIEZO1;RPL38;BANF1;SLC16A3;IL4R;KHNYN;SPINK5;KRT8;HLA-B;KRT7;VASH1;PGD;PDIA6;HLA-E;EEF1A1;DOK2;HGS;ORAI2;UQCRC1;TAGLN2;SF1;SNRPB;SRSF9;SHC1;HTRA1;RIC8A;SYNGR2;TSPAN3;EXT1;RPS26;GNB2;GPR107;MAN2B1;NFE2L1;ARF3;ACADVL;NUMA1;PRKCSH;PTEN;DDX41;HK1;RPL7A;SDF4;TMEM109;QSOX1;ATP6AP1;CAD;RPL13A;EMP3;DDOST;DDB1;MZT2A;CEACAM5;TMBIM1;MYH9;ITGA5;TKT;SMARCD1;GRN;URM1;MVP;NDUFB2;SLC3A2;ATP1A1;THBS1;GGA1;GANAB;NT5E;OS9;SH3TC1;LMAN2;NT5DC2;LMNA;FLNA;RPL19;GSN;ATOX1;MYO1D;PFKL;KRT18;ZYX;NUCB1;LTBR;TPT1;EIF3B",2.97029702970297,3
"7","ranolazine mus musculus gpl1261 gse25767 chdir up","94/1066",3.91521196952962e-21,3.90402564961668e-19,0,0,2.91504504364815,136.976268534755,"PYGB;RPL30;ACADVL;ITGB5;RPLP1;HSPB8;PLOD1;COX6A1;PHB2;RPL9;RPL6;RPL7;HK1;RPS15;RPS14;RGS2;RPS18;ZC3H7B;ARHGDIA;MCF2L;AKT1;RPLP2;EMILIN2;TMEM109;RPL38;RPL37;TEAD1;CTSD;RPS12;RPL21;ATP6AP1;RPS8;RPL23;GAA;RPL13A;RPSA;LMO7;RHOB;ITPKB;DDB1;UNC50;EHBP1L1;FKBP8;MYH9;RPL27;PKP4;DSG2;TMBIM6;SF1;SNRPB;PLEC;GRN;TBC1D9B;TOMM40;NDUFB2;HTRA1;SLC38A10;AK4;ATP1A1;NDRG2;USP19;DNAJB2;ABLIM1;RPS15A;SYNGR2;LMAN2;PERP;RPL14;SYMPK;MGAT1;RPL19;RPL41;GSN;RBPMS;MYO10;AUTS2;NEBL;RPL35A;PARVA;HOPX;RPS26;RPS25;PFKL;NFIB;RPS29;TOLLIP;RPL27A;GNB2;OGDH;RPS20;NFE2L1;RPS24;PNPLA2;GRINA",2.12765957446809,2
"8","estradiol homo sapiens gpl570 gds3217 chdir up","57/438",9.74126531812732e-21,8.49925399006609e-19,0,0,4.30204913392958,198.229458338002,"IFITM3;RPL30;IFITM1;PRKCSH;RPLP1;ZDHHC7;COX6A1;AQP3;RPL7;RPL7A;RPS14;RPS16;RPS18;TRPS1;RPLP2;PIEZO1;RPL37;RPL39;HIST1H2AC;RPS7;RPL13A;RPS3A;ANK3;PDIA6;SYTL2;EEF1A1;GPRC5A;RFX5;RPL37A;RPL24;TMBIM6;HIST1H2BH;FBP1;HIST1H2BD;GRN;RPL12;PPL;ERBB3;EPCAM;KIAA1324;AGR2;MAP7;SPTBN1;GALNT3;CMTM6;GULP1;RPS25;MARCKS;MYO1B;KRT18;RPS29;RPL27A;S100P;CD24;LRP10;TPT1;RPS24",0,0
"9","vitamin e mus musculus gpl1261 gse42813 chdir up","71/666",1.48788985942528e-20,1.15394124653205e-18,0,0,3.52418534236716,160.894366223628,"RPL30;RPLP1;PTEN;COX6A1;RPL9;RPL6;RPL7;RPS15;RPL7A;RPS14;TRIM28;RPS18;STMN1;RPLP2;RPL38;BANF1;RPL37;RPS11;RPS13;RPS12;GPX2;RPL21;RPS7;KRT4;RPS8;RPL23;KRT8;PRSS16;RPL13A;RPSA;RPS3A;KRT5;SLPI;RPL37A;CKS2;RPL27;SLC27A2;SF1;SNRPB;PLEC;SPRR3;SMARCD2;RPL12;RPL11;CRCT1;NDRG2;CNN3;SCEL;RPS15A;UBB;PERP;RPL14;S100A14;RPS27A;MPZL2;RPL41;RPL35A;RPS26;SLC6A6;MARCO;RPS25;MARCKS;KRT18;RPS29;RPL27A;KRT15;SDC1;RPS20;TAB2;SPRR1A;RPS24",1.40845070422535,1
"10","estradiol homo sapiens gpl96 gse4668 chdir up","88/980",2.62056101175819e-20,1.82915158620722e-18,0,0,2.96846011131725,133.842859928473,"ARF3;PSCA;RPLP1;PTEN;ZDHHC7;ARHGEF10L;SPATA20;AQP3;COX7C;RND3;RPL6;RPL7;RPS16;RPS18;TRPS1;TNFSF10;RPLP2;PIEZO1;RPL37;RPS11;RPL39;RPS13;RPS12;SLC12A9;HIST1H1C;TPD52;CPT1A;RPS7;RPL23;GAA;PAWR;RPL13A;RPSA;CYBA;ANK3;SYTL2;HLA-E;RHOB;EEF1A1;ZNF91;GPRC5A;ELF3;RFX5;RPL37A;NINJ1;TKT;FBP1;HIST1H2BD;PLEC;GRN;LEPROT;TBC1D9B;RPL12;URM1;SEL1L;HIST1H2BK;RHOBTB3;PPL;CORO1B;AKAP1;GGA1;RPS15A;RAB25;OS9;UBB;ERBB3;RPL14;HES1;ZNF467;RPL19;RPL41;RBPMS;NEBL;RPL35A;MYO1B;RPS27;KRT18;NBEA;NFIB;RPS29;RPL27A;MYO5C;HIST1H4H;RPS20;CD24;LRP10;TPT1;PNPLA2",1.13636363636364,1
