"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%protein","num_protein"
"1","estradiol homo sapiens gpl96 gse4668 chdir up","155/980",2.36445917245226e-30,1.65039250237168e-27,0,0,2.67393517001052,182.407844781198,"RPL4;RPL5;RPL3;RPL32;SRP14;RPL8;RPL10A;COMT;AQP3;RPL6;EEF1B2;HMGN4;ABHD11;RPS16;RPS19;FAM174B;RPS18;TNFSF10;MACROD1;PMPCB;RPL35;PRSS8;RPL37;RPS11;RPS13;RPS12;FNBP4;TPD52;SH3GLB2;EPHA4;OSR2;RPS7;RPL23;RPS5;MTUS1;CNPY2;CYBA;RPSA;ANK3;ATP1B1;MID2;COX6B1;SYTL2;HLA-E;EEF1A1;CLDN4;CLDN3;PRR15L;ILVBL;ETHE1;NINJ1;SCNN1A;RPL29;HIST1H2BD;LLGL2;INO80B;TBC1D9B;SDC4;NDUFB11;SEL1L;FOXO3;PRKCZ;GNS;PPL;RAP1GAP;STAP2;N4BP1;MCL1;CTSA;BTF3;HSPA8;SMAD3;H2BFS;EEF2;RPS27;FXYD3;RPS29;RPL27A;MYO5C;RPS20;MAGED2;PI4KB;RGL2;MXD4;RNF187;RPS23;CDKN1A;FKBP15;RPLP1;RPLP0;ATP2A3;ARHGEF10L;PTPRK;RND3;HEBP1;RPS4X;ATIC;MB;BLNK;RPLP2;ANXA9;HIST1H1C;ZHX2;PABPC4;GAA;RPL13A;RHOC;DNAJC1;ELF3;EEF1D;RPL37A;FBP1;PLEC;GRN;LEPROT;CSTA;URM1;RPL12;RPL36A;SEMA3F;PAPSS2;NCALD;CST3;RMND5B;GGA1;LIMA1;OS9;RAB25;ERBB3;CLMN;RAB26;ERBB2;RPL14;RPL13;RPL15;ZNF467;PAK2;RPL17;SPDEF;RPL19;MAPK3;RPL35A;RPL23A;GRHL2;SH3YL1;KRT18;EIF3K;OSTM1;EIF3L;GLB1;NFIB;EIF3H;EIF3E;EIF3F;FAU",3.87096774193548,6
"2","estradiol homo sapiens gpl570 gse16683 chdir up","175/1195",4.21119083433301e-30,1.46970560118222e-27,0,0,2.47579906414795,167.462571670948,"EIF4A1;RPL30;IFITM1;RPL3;RPL32;INPPL1;PLOD3;RNF19B;PLOD1;UBE2Z;RPL8;RPL10A;NADSYN1;COMT;PHB2;RPS16;TRIM28;RPS19;FCGRT;RPS18;ARHGDIA;BANF1;RPL38;SLC39A1;RPS10;MAP2K3;MAP1S;IGFBP4;ACTN1;SPINK5;KRT8;MTUS1;KRT7;CNPY2;HLA-F;HLA-G;SND1;SCAMP3;PDIA5;HLA-E;EEF1A1;DOK2;HGS;ETHE1;MAP7D1;PRKD2;SNRPE;RPL29;TLN1;EPHA2;VCP;CD151;RPN1;HTRA1;LTBP2;PLD3;RIC8A;BAG6;SYNGR2;RRAS;GRK5;EIF4EBP1;ABL2;TSPAN3;MARK4;CTSA;HSPA8;MICAL2;NBEAL2;PARVB;EEF2;PRRC2A;EXT1;RPS26;FIBP;EHD2;DAB2;SFXN3;CALU;HYOU1;MAGED2;MAN2B1;CALR;PI4KB;RGL2;COPE;PRKCSH;MTMR14;ARPC1B;TGFB1I1;RPLP0;FHL2;CLTB;ILK;LAMC1;YBX1;RPL7A;PTBP1;PEA15;ANXA6;SDF4;UQCRFS1;TMEM109;QSOX1;VKORC1;COX8A;ATP6AP1;VWF;CHPF2;PABPC4;MINK1;CAD;RPL13A;EMP3;RHOC;SLC39A14;DDB1;EEF1G;SLC7A5;EEF1D;CEACAM5;RAPGEF1;MYH9;PLEKHO1;ITGA5;ENG;SMARCD1;GRN;URM1;RPL36A;SLC3A2;SEMA3F;RFNG;THBS1;CST3;GGA1;GANAB;NT5E;OS9;PUF60;LMAN2;GNA11;HSF1;LMNA;EIF4H;FLNA;RPL13;STX2;BID;PDLIM4;PDLIM7;RPL19;MAPK3;NOP56;CIZ1;TIE1;PCDHGC3;SDHAP1;RPL23A;YIF1A;P2RX4;SPCS1;KRT18;EIF3K;OSTM1;EIF3L;GLB1;NFIC;ZYX;NUCB1;PKN1;FAU;LTBR;CYB561;EIF3B",6.28571428571429,11
"3","methotrexate homo sapiens gpl571 gse9412 chdir up","127/712",6.28543306130345e-30,1.46241075892994e-27,0,0,3.01556697408037,202.764666859827,"RPL4;RPL5;VIPR1;RPL3;RPL32;AQP5;BZW2;RPL10A;COMT;PHB2;RPL9;RPL6;EEF1B2;RPS16;TRIM28;FCGRT;MACROD1;BANF1;RPL37;RPS13;MAP2K2;RPS7;RPS8;IGFBP4;RPL23;RPS5;CYBA;ATP1B1;COX6B1;EEF1A1;CLDN4;CLDN3;PRR15L;ETHE1;RPL24;RPL27;PRKD2;TRIB3;RPL29;HIST1H2BD;CD151;TBC1D9B;NDUFB11;TXN;SLC1A5;RAP1GAP;PLD3;RIC8A;APH1A;SYNGR2;RRAS;ALDH3B1;TSPAN3;BTF3;H2BFS;EEF2;RPS26;FIBP;EHD2;RPS25;RPS27;FXYD3;RPS29;SFXN3;SDC1;MAN2B1;RPS24;RNF187;LAD1;CLIC3;PRKCSH;TGFB1I1;RPLP0;CLTB;ECSIT;PEPD;HEBP1;RPS4X;RPL7A;RPLP2;UQCRFS1;COX8A;VKORC1;ABCC3;GPX2;CAD;RPL13A;RPS3A;EMP3;F5;DDB1;EEF1G;RPL12;URM1;RPL11;RPL36A;RFNG;PAPSS2;CST3;GANAB;RAB25;LMAN2;AGR2;RPS3;RPL13;HS1BP3;RPL15;ZNF467;RPL17;SPDEF;RPL19;RPL35A;SDHAP1;RPL23A;YIF1A;NLE1;HS3ST1;OSTM1;EIF3K;EIF3L;CDK2AP2;NUCB1;PKN1;EIF3F;TACC2;FAU;FOXA2",5.51181102362205,7
"4","amoxicillin rattus norvegicus gpl341 gse2354 chdir down","80/329",3.09501042698134e-28,5.40079319508244e-26,0,0,4.11092297928866,260.396514260951,"RPL4;RPL5;LAD1;RPL30;CDKN1A;RPL3;RPLP1;RPLP0;YBX1;RPL8;RPL9;RPS4X;RPL7A;RPS16;RPS19;TRIM28;CCND1;FCGRT;RPL35;TIMP3;RPL37;SDF2;RPS11;RPS10;RPS13;RPS12;COX8A;EDN1;RPS7;RPS8;RPL23;RPS5;RPL13A;RPSA;CYBA;RPS3A;EEF1G;CLDN3;LCK;TFF3;RPL24;MYH9;RPL27;NFAT5;SDC4;RPL12;NDUFB4;RPL11;OAZ2;NCSTN;TMEM246;EPCAM;RPS3;RPL15;RPS27A;RPL17;RPL19;MAPK3;CHKB;PLEKHA1;TNK2;RPL23A;EEF2;RAB11B;COL1A1;RPS26;MARCKS;RPS27;RPS29;RPL27A;EIF3H;RPS20;MAN2B1;EIF3E;TACC2;FAU;LTBR;EIF3F;RPS24;RPS23",1.25,1
"5","trovafloxacin homo sapiens gpl96 gse9166 chdir up","373/3831",6.34472158577487e-26,8.85723133374172e-24,0,0,1.64604586024982,95.5029046110383,"IL1RN;RPL3;SLC35B1;PITPNA;LST1;CBLC;RPL8;PHB2;SLC4A4;FRAT1;RASSF4;RPS18;FAM53C;PLCE1;SEC63;RPS12;EPHA4;ACOT9;RBFOX2;PRKCH;ACTN1;SLC11A1;IL1R2;DAPK3;KRT8;KRT7;CSNK1D;PRKCA;HLA-G;SND1;SCAMP3;SCAMP2;RUNX1;CLDN3;SPINT1;CLDN7;TRIB3;ULK1;PRKD2;MPPE1;MXRA7;RPL29;LIPT1;TBC1D9B;SLC22A5;NPRL3;MEPCE;SDC3;RPN1;SLC35D2;FPR3;LPAR3;FPR2;PLA2G7;PRKCZ;GNS;PPL;OAZ2;RIC8A;SNX1;NCSTN;SYNGR2;RRAS;TSPAN6;ARSJ;MICAL1;PDGFC;MAP7;SYMPK;TSPAN3;GPM6B;ATP6V0A1;CCR1;CTSA;CHKB;IQSEC1;SH2D1A;MICAL2;TRIP4;PARVB;GNG12;PBX1;IFFO1;UBAC1;VNN1;FXYD3;RPL27A;SFXN3;CALU;ATG2A;OGDH;HYOU1;RPS20;MAGED2;BAP1;DDR1;BTG4;LAD1;MTMR14;ARPC1B;TGFB1I1;GBE1;RPLP0;PTPRK;OSBPL11;ECSIT;PRSS23;MS4A4A;EPB41L4B;ATIC;SCML1;TRIM2;XPO6;PEA15;ANXA6;SDF4;TIMP3;TK2;SDF2;LDLRAP1;CD33;DLGAP4;CD53;NCOA1;ELOVL1;IL15;PABPC4;MINK1;ITPK1;IL18;TMC6;RHOC;SLC39A14;DDB1;ENAH;CEACAM1;INF2;ZEB1;ALDH5A1;MMP15;CEACAM6;PXDN;RARB;PLEKHO1;PLEKHO2;KIFC3;PLCB2;ENG;HBEGF;LILRA6;SF3B2;GRN;SP100;SZRD1;CAB39;URM1;SSNA1;RPL12;CRCT1;TMPRSS4;NPL;AIF1;EGFR;PAPSS2;TM9SF4;GGA1;RBM15B;NT5E;PNMA1;ALOX5;LMAN2;LMNA;RPS3;SUSD4;FLNA;RPL13;GCNT3;STX4;HS1BP3;RPL15;STX2;PAK2;AAMDC;SPDEF;CAP2;CENPT;ZNF580;IL10RB;NR1H2;SAMD4A;TRMT1;LHFPL2;FMO4;YIF1A;NLE1;TMUB2;TTC9;XK;KRT18;OSTM1;NFIB;TAOK2;ZYX;PNPLA6;TACC2;CRAT;MAMLD1;CYB561;PLCD1;CD86;STEAP3;GOLIM4;ATN1;INPPL1;ATP12A;UBE2Z;RPL10A;COMT;PVR;CDC14B;TUBB6;HMGN4;CCND1;NAGLU;FCGRT;ADORA3;SLCO2B1;OSBP;NFATC2IP;TOM1;PMPCB;SIRPA;ENPP4;OSTF1;PLS1;TPD52;MAP2K2;RPS7;IGFBP4;SPINK5;CYBA;ATP1B1;MID1;NRBP1;PDIA4;EEF1A1;C1ORF116;CLIP1;BRMS1;DOK4;ILVBL;HGS;PKP2;COL4A6;PKP4;FKBP9;DSC2;CSNK1G2;GLYR1;RAI14;VCP;FKBP2;CD151;FAM114A1;COX15;ABHD2;SEL1L;UAP1;PSEN1;NDRG2;PLD3;BAG6;GRK5;MAN2A2;ALDH3B1;CLTCL1;GRK6;LPXN;STAP2;GAS2L1;AP1M2;MCL1;HSPA8;TGFB2;SMAD3;CBX4;TNK2;RARRES1;M6PR;EEF2;CORO2A;TOR1B;SSH3;COQ7;DAB2;STT3A;UBE2N;PI4KB;MXD4;MAP3K12;ITGB5;LDB1;ADPGK;ILK;LAMC1;USE1;TTC27;LTB4R;RPS4X;HEBP1;PTBP1;MB;MCF2L;KYNU;CASP4;ITGAX;NPTN;EFHD1;ACP2;ITGB6;HIF1AN;IDH3A;ABCC3;SUN2;CHPF2;RBM19;PLA2G4C;VPS37C;PLAUR;ARNT;RPL13A;COBL;WIPI1;RPS3A;ARAP1;MMP9;ARFGAP2;EEF1G;HKDC1;ITGA5;LCP1;ACOX3;B4GALT7;RBMS2;LEPROT;WBP2;RMND5B;HMGCL;GANAB;MKNK1;P2RY2;GNA11;CCL4;MAN1C1;PTK2B;LRRC8B;SLC25A24;CLASP2;CIZ1;CDC5L;DLK2;SH3YL1;MARCKS;KLF5;P2RX4;EIF3K;GLB1;PSAT1;CDK2AP2;DRG2;RGS12;FCGR2B;TRMT61B",4.28954423592493,16
"6","arsenic trioxide homo sapiens gpl201 gse48441 chdir up","383/3998",2.36999728342845e-25,2.75709683972176e-23,0,0,1.61957563735376,91.8327542960155,"GLTP;EIF4A1;RPL30;VIPR1;SPI1;AQP9;CBLC;HSF2BP;AQP5;SMC3;AQP3;ZDHHC3;RPS6KA4;GOLGA2;NDST1;C3ORF18;TBK1;TRIM28;TRIM29;RPS6KA1;MAGOH;C3AR1;FAM53C;FBXO3;CYP1B1;PLCE1;RPS11;TP63;ZNF165;ACOT9;PRKCH;ACTN1;SLC11A1;DAPK3;SOX13;KRT7;CSNK1D;PRKCA;KRT5;HLA-G;SCAMP3;SCAMP2;INPP4B;CLDN4;SPINT1;CLDN7;TYRO3;TRIB3;ULK1;MXRA7;TLN1;EPHA2;CDS1;LIPT1;IGSF6;SDC4;CFH;NPRL3;LYPD3;MST1R;CD1D;TXN;PLA2G7;GNS;PPL;KLK8;OAZ2;ANAPC10;RRAS;PDGFC;S100A14;ZNF148;ATG7;ST3GAL2;ATP6V0A1;CCR1;CTSA;BTF3;FZD5;GADD45A;TRIP4;PARVB;PRRC2A;COL1A1;RPS26;SLC6A6;HIST1H4B;VNN1;TCN2;CALU;OGDH;ATM;RGL2;SPRR1A;HIST1H4E;PTPRT;PTPRU;ECM1;NRP2;CDKN1A;DAZAP1;ARPC1B;TGFB1I1;GBE1;PCSK5;PRSS23;MS4A4A;UIMC1;PEA15;SPIN1;RPLP2;CD37;QSOX1;SDF2;CTSD;TEAD1;NDEL1;CD53;NCOA1;COX8A;UPF1;SYK;IL15;IL18;EMP2;EMP3;TMC6;GMIP;RHOC;TOPORS;DDB1;SLC7A5;ZEB2;ZEB1;CEACAM7;TFEC;RARA;RARB;TFF1;KIFC3;VAMP2;ENG;HBEGF;YAP1;SF3B4;LILRA6;SF3B2;GRN;CSTA;SP100;SELPLG;CAB39;PTAFR;RPL11;GNAI3;TMPRSS2;AIF1;RELB;GGA1;RBM15B;NT5E;PNMA1;PERP;ALOX5;HSF1;LMNA;AGR2;FLNA;GCNT3;STX4;MGAT1;GCNT4;APBB1;DEDD;DUOX2;CAP2;MAP3K3;IL10RB;NR1H2;GBF1;MYO9B;C1ORF21;LILRB1;SORBS1;FMO4;PLXDC1;LILRB4;RAB11B;BATF;RIT1;CLCF1;KRT15;TAOK2;ZYX;FOSB;PKN1;PNPLA6;TACC2;CD68;MAMLD1;FRK;SIGLEC5;CSF1;RAB3D;ATN1;PLOD3;PLAT;HMGN4;RGS1;ADORA3;KHSRP;ARHGDIA;OSBP;SIRPA;ENPP4;OSTF1;SLC39A1;MAP3K4;TGM3;PLS1;TPD52;MAP2K3;OSR2;HIST1H2AL;MAP2K2;S100A2;MSX2;RPS8;IGFBP4;RPS5;SPINK5;WNT5A;LMO7;ACYP2;POU3F1;ATP1B1;MID1;NRBP1;PIAS1;EEF1A1;CLIP1;HGS;SCNN1A;LY6D;FKBP8;PKP4;ERH;SNRPE;ADAM8;RHCG;HIST1H2BB;DSC2;HIST1H2BD;ANAPC2;S100A7;RAI14;VCP;ABHD2;LTBP2;SLC1A5;PSEN1;FOXO3;CSF2RA;RAP1GAP;PLD3;BAG6;ADAP2;GRK5;MAN2A2;GRK6;EIF4EBP1;CLCA2;LPXN;ABL2;NLRP1;SLC15A3;GAS2L1;FGF23;MARK2;MCL1;CYP2J2;TGFB2;CBX4;TNK2;RARRES1;M6PR;TRPV2;H2BFS;EEF2;CORO2A;COQ7;SMAD5;ISG20;NR4A2;NSFL1C;DAB2;GNAL;CNOT3;KLRD1;MAN2B1;PI4KB;LRCH4;MAP3K11;COPE;ITGB5;LDB1;FHL2;ILK;TREM2;CHD3;YBX1;CXCL2;LTB4R;DNALI1;CABIN1;HEBP1;PTBP1;THBD;CASP7;PTER;MB;BCL7C;SIX2;KYNU;CASP4;NPTN;HIST1H1D;ACP2;ITGB6;A4GALT;NKX3-1;IDH3A;HIST1H1C;CAD;PLA2G4C;PLAUR;MMP9;TMPRSS11D;DNAJC1;ELF3;LCK;NUMB;MYH9;DSG3;ITGA5;LCP1;FBP1;RBMS2;NFAT5;LEPROT;CCDC68;NDUFB4;LEF1;SLC3A2;RETN;SEMA3F;STRN4;LRP6;IL1RL1;CCL8;PLN;MUC2;GNA11;EIF4H;MAN1C1;PDLIM4;ALOXE3;PDLIM7;ZNF185;MYO10;TIE1;PCDHGC3;CDC5L;SYT17;MAPK13;MARCKS;KLF5;EIF3K;EIF3H;DRG2;RGS12;LTBR;FCGR2B",2.34986945169713,9
"7","tamoxifen homo sapiens gpl96 gds2367 chdir up","61/223",1.06982476830174e-24,1.0667681261066e-22,0,0,4.62455791879731,255.250381090028,"DDR1;RPL5;EIF4A1;RPL3;RPLP1;RPLP0;RPL8;COMT;SRP14;RPL10A;RPL6;EEF1B2;HEBP1;RPS4X;RPS19;RPS18;NPTN;RPL35;RPLP2;RPL37;RPS11;RPS10;RPS13;RPS7;ATP6AP1;RPS8;RPL23;RPS5;KRT8;RPL13A;RPS3A;ANK3;RHOC;EEF1A1;EEF1G;EEF1D;RPL37A;RPL24;RPL29;FBP1;HIST1H2BD;CSTA;RPL12;RPL11;EPCAM;RPL14;RPL13;GAS2L1;RPL17;SPDEF;BTF3;HSPA8;RPL35A;RPS25;KRT18;EIF3L;RPL27A;MAGED2;EIF3E;RPS23;MXD4",3.27868852459016,2
"8","deferoxamine homo sapiens gpl91 gse1056 chdir up","48/154",2.24917857577524e-22,1.96240830736389e-20,0,0,5.26945581890637,262.662912333783,"RPL4;RPL5;RPL30;RPL32;RPLP1;RPL12;RPLP0;RPL11;RPL36A;PARK7;TXN;RPL10A;RPL9;EEF1B2;RPS4X;RPS16;RPS18;ARHGDIA;RPL35;RPLP2;RPL13;RPL37;RPL15;RPS11;RPS27A;RPL17;RPS12;RPL19;HSPA8;RPS7;RPL23;RPS5;RPS3A;EEF2;EEF1A1;EEF1G;RPS25;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;SNRPE;RPS20;EIF3E;RPS24;RPS23",0,0
"9","vitamin e mus musculus gpl1261 gse42813 chdir up","107/666",1.39278029320996e-21,1.08017849406728e-19,0,0,2.71615656231041,130.437945829244,"RPL4;GLTP;RPL5;EIF4A1;RPL30;RPL3;SLA;RPL8;RPL10A;SRP14;RPL9;RPL6;EEF1B2;TRIM28;RPS19;RPS18;RPL35;RPL38;BANF1;RPL37;RPS11;RPS10;RPS13;TGM3;RPS12;MEF2C;RPL21;RPS7;RPS8;RPL23;RPS5;KRT8;RPSA;KRT5;LY6D;RPL27;SNRPE;ERH;NDUFB11;LYPD3;NDRG2;GRK6;S100A14;MCL1;BTF3;TNK2;EEF2;RPS26;SLC6A6;MARCO;RPS25;NR4A1;RPS29;RPL27A;SDC1;RPS20;SPRR1A;RPS24;RNF187;RPS23;LAD1;CDKN1A;RPLP1;RPLP0;YBX1;RPS4X;PTBP1;RPL7A;CTSL;RPLP2;TMED2;KDM6B;ELOVL1;GPX2;RPL13A;DDX54;RPS3A;EEF1G;LCK;RPL37A;PLEC;SF3B2;SMARCD2;CSTA;RPL12;RPL11;CRCT1;RPL36A;SEMA3F;SCEL;PERP;RPL14;RPS3;EIF4H;RPL13;RPS27A;MPZL2;KRT13;RPL35A;RPL23A;MARCKS;CD4;KRT18;KRT15;EIF3E;EIF3F;FAU",0.934579439252336,1
"10","imatinib homo sapiens gpl96 gds3044 chdir up","380/4149",2.17236164902746e-21,1.51630843102117e-19,0,0,1.54840802262795,73.6708878414435,"RPL5;IL1RN;RPL3;PITPNA;LST1;CBLC;UBE2L6;LDLRAD4;AQP5;SLC4A4;ZDHHC3;RPS6KA4;GOLGA2;NDST1;C3ORF18;FRAT1;RPS19;TRIM29;AKT2;TNFSF10;FBXO3;CYP1B1;PRSS8;EPHB2;TMEM8A;SEC63;FNBP4;EPHA4;RBFOX2;RPL21;ACTN1;COG4;CSNK1D;PRKCA;DLEC1;MAPK8IP3;PISD;MED7;OVOL2;RUNX1;DYNC1LI1;IFI27;DAAM1;ETHE1;BTK;TYRO3;ULK1;MPPE1;MXRA7;RPL29;PPP1R37;OSER1;SLC22A5;SDC4;NPRL3;MEPCE;SLC35D2;LPAR3;FPR2;PLA2G7;PRKCZ;GNS;APH1A;RIC8A;SNX1;NCSTN;SYNGR2;PPCS;CHST12;ZNF148;N4BP1;ST3GAL2;ATP6V0A1;CTSA;BTF3;ABCA2;FZD5;IQSEC1;SH2D1A;C20ORF27;MICAL2;TRIP4;PARVB;UBAC1;DHFR;PPFIBP2;RPS27;TOLLIP;ATM;MAGED2;SPRR1A;HIST1H4E;PTPRT;PTPRU;NRP2;CLIC3;FKBP15;SPEF1;CTSZ;CLTB;PEPD;FAM102A;TRIM2;UIMC1;TCTN1;TCP11L1;SPIN1;ANXA6;GPR137;TIMP3;SDF2;ANXA9;LDLRAP1;CTSD;NCOA1;ELOVL1;HBZ;ZHX2;GAA;EMP2;F5;DDB1;ZEB2;CEACAM1;INF2;ALDH5A1;CEACAM7;CEACAM6;PIGK;B3GNT3;RARB;TLR8;TFF1;CEP63;PLCB2;VGLL1;IVL;ENG;HBEGF;GRN;CSTA;SP100;SELPLG;SSNA1;PTAFR;TMPRSS4;TMPRSS2;RFNG;UQCR10;NPL;FAM214B;LILRA2;AIF1;EGFR;PAPSS2;SERTAD3;OS9;ALOX5;HSF1;ZSWIM8;ANO10;RPL13;HS1BP3;RPL15;RPS27A;LAIR1;AAMDC;SPDEF;ZNF460;IL10RB;SAMD4A;LILRB1;DHRS1;PLXDC1;TMUB2;ZNF33B;RAB11B;TM9SF1;DHRS7;XK;OSTM1;NFIC;TAOK2;EPPK1;PNPLA6;CRAT;MAMLD1;PLCD1;SIGLEC5;FOXA2;STEAP3;CSF1;RAB3D;NCF4;C11ORF71;GOLIM4;INPPL1;PLOD3;WBP1L;RNF19B;SRP14;RPL10A;PTENP1;PVR;TUBB6;DMBT1;NAGLU;SLCO2B1;C1RL;NFATC2IP;TOM1;PMPCB;SIRPA;MAP3K4;TGM3;HIST1H2AC;PLS1;MAP2K3;SH3GLB2;CD96;OSR2;SZT2;MAP2K2;MSX2;RPS7;RPS5;ACOT13;CNPY2;ACYP2;POU3F1;MID1;TANC2;NRBP1;KCTD7;PLA2G15;DOK2;C1ORF116;CLIP1;DOK3;TMEM258;DOK4;TMEM259;ILVBL;EHBP1L1;SCNN1A;LY6D;FKBP8;WDFY3;ADAM8;FKBP9;DSC2;HIST1H2BD;ANAPC2;GLYR1;KCNE1;FAM114A1;COX15;NDUFB11;ABHD2;SEL1L;SLC38A10;FOXO3;NDRG2;DTX4;SUPT6H;CSF2RA;RAP1GAP;PLD3;MAN2A2;ALDH3B1;CLTCL1;SLC38A6;LPXN;ATP6V1H;NLRP1;GAS2L1;MARK4;STRA6;CYP2J2;TGFB2;SLC37A1;TNK2;EPHX2;RARRES1;M6PR;NKG7;EEF2;COQ7;BSPRY;GULP1;NR4A1;DLG3;BCL3;MDM2;MAN2B1;PI4KB;LRCH4;COPE;MXD4;MAP3K12;RNF187;PRKCSH;ILK;TREM2;CHD3;YBX1;TREM1;PIK3C2B;HEBP1;THBD;CASP7;PTER;SIN3B;MCF2L;KYNU;ITGAX;HIST1H1D;ABCC3;CERS4;GPX2;ATP6AP1;VWF;RBM19;IQCE;PLAUR;ARNT;RPL13A;COBL;RPS3A;KCNAB2;ARAP1;EEF1D;LCK;GORASP1;IRF2;MYH9;DSG3;MAN1B1;ZMYND10;ACOX3;RBM23;FAN1;PLEC;LEPROT;SEMA3A;PPM1H;RPL36A;LMF2;RAB21;HMGCL;GANAB;CYTH4;MUC2;ERBB3;GMDS;HECTD3;RAB26;MKNK1;GNA11;ERBB2;DCAF11;PDLIM4;ALOXE3;CYTH1;SNCA;CLASP2;MAPK3;CIZ1;CDC5L;SDHAP1;MAPK13;GALNS;CLCN7;SH3YL1;KLF5;P2RX4;EIF3L;GLB1;EIF3F;ASB1",2.63157894736842,10
