"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"suloctidil-1297","45/100",6.33510655581825e-49,3.86441499904913e-45,0,0,21.4285714285714,2378.15491977643,"IFITM1;IFI6;UBE2L6;IFI35;ZC3HAV1;IFIT1;DDX60;IFI44L;IFIT3;IFIT2;OASL;HERC5;IFI16;TNFSF10;STAP1;CCL2;TRIM21;TRIM22;HERC6;RSAD2;DDX58;CD70;PHF11;MX1;TAP1;IFI44;EIF2AK2;ISG15;PARP12;BST2;CXCL10;PLSCR1;OAS1;LPAR6;OAS2;AXL;OAS3;IRF7;LAP3;XAF1;RIN2;MYD88;ZCCHC2;IRF9;LY6E"
"terfenadine-1381","31/100",5.69330054306068e-28,1.73645666563351e-24,0,0,14.7619047619048,926.059936367032,"CD83;INSIG1;IFI6;TNFAIP3;HMGCR;IFI30;IFIT1;DDX60;IFIT3;IFIT2;OASL;HERC5;IFI16;GPNMB;PHLDA1;TRIM22;KLF10;GADD45B;DDX58;CCL20;MX1;TAP1;IFI44;ISG15;CXCL10;PLSCR1;OAS1;AXL;IRF7;XAF1;IRF9"
"propofol-5306","28/100",5.37211807324542e-24,1.09233067489324e-20,0,0,13.3333333333333,714.410932987395,"LGALS3BP;IFITM1;IFI6;TNFAIP3;UBE2L6;IFI35;ZC3HAV1;IFIT1;DDX60;IFIT3;IFIT2;OASL;HERC5;MAP4;TRIM21;HERC6;DDX58;HLA-B;TAP1;ISG15;PARP12;PLSCR1;IFI27;OAS1;IRF1;OAS3;IRF7;IRF9"
"etoposide-1626","25/100",3.19282533882149e-20,4.86905864170277e-17,0,0,11.9047619047619,534.414233915735,"CD83;CLDND1;IFI6;TNFAIP3;IFIT1;CXCL2;IFI16;CCL2;CD14;PHLDA1;GCH1;DDX58;CCL20;MX1;IFI44;ISG15;H2BFS;SOD2;PLSCR1;MAFB;OAS1;OAS3;NINJ1;REL;IRF7"
"prochlorperazine-5010","25/100",3.19282533882149e-20,3.89524691336222e-17,0,0,11.9047619047619,534.414233915735,"IFITM1;IFI6;IFI35;IFIT1;DDX60;IFIT3;OASL;HERC5;TRIM21;HERC6;ABCC2;DDX58;TAP1;IFI44;ISG15;PARP12;BST2;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9"
"prenylamine-1737","25/100",3.19282533882149e-20,3.24603909446852e-17,0,0,11.9047619047619,534.414233915735,"IFITM1;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFIT3;IFIT2;OASL;HERC5;IFI16;TNFSF10;TRIM21;TRIM22;DDX58;MX1;IFI44;EIF2AK2;ISG15;CXCL10;OAS1;IRF7;LAP3;XAF1;IRF9"
"econazole-7305","21/100",1.5836780267084e-15,1.38006228041732e-12,0,0,10,340.790263881467,"IFITM1;GADD45B;DDX58;MX1;IFI6;IFI44;TNFAIP3;ZC3HAV1;IFIT1;CXCL3;CXCL2;IFI44L;IFIT3;IFIT2;OASL;HERC5;OAS1;OAS2;IRF1;PLXNA1;IRF9"
"astemizole-6807","21/100",1.5836780267084e-15,1.20755449536515e-12,0,0,10,340.790263881467,"TGIF1;KLF10;CD83;DDX58;INSIG1;ASNS;TNFAIP3;HMGCR;IFIT1;DDX60;IFIT3;CLGN;IFIT2;OASL;HERC5;BCL6;IRF1;TRIB1;PHLDA1;BIRC3;HBEGF"
"mephentermine-4707","20/100",2.03702318770325e-14,1.38064904944332e-11,0,0,9.52380952380952,300.235255061671,"LGALS3BP;IFITM1;DDX58;IFI6;ISG15;IFI35;IFIT1;DDX60;PARP12;OASL;HERC5;BST2;PLSCR1;IFI27;OAS1;OAS2;OAS3;TRIM21;IRF9;HERC6"
"clorgiline-5005","20/100",2.03702318770325e-14,1.24258414449898e-11,0,0,9.52380952380952,300.235255061671,"IFITM1;DDX58;IFI6;TNFAIP3;ISG15;IFI35;IFIT1;DDX60;IFIT3;PARP12;IFIT2;OASL;HERC5;OAS1;IRF1;RAC2;GBP1;IRF9;HOXA4;BIRC3"
"prasterone-5019","19/100",2.45956985319552e-13,1.36394328222661e-10,0,0,9.04761904761905,262.685130896738,"IFITM1;DDX58;IFI6;TNFAIP3;ISG15;IFIT1;DDX60;IFIT3;IFIT2;OASL;HERC5;CXCL10;OAS1;OAS2;IRF1;OAS3;GBP1;IRF9;BIRC3"
"azacyclonol-1937","18/100",2.78148023263063e-12,1.4139191182539e-09,0,0,8.57142857142857,228.068896047005,"CD83;GADD45B;DDX58;CCL20;INSIG1;TNFAIP3;ISG15;CXCL1;ZC3HAV1;IFIT1;DDX60;CXCL3;CXCL2;IFIT3;IFIT2;OASL;HERC5;BCL6"
"niflumic acid-5490","18/100",2.78148023263063e-12,1.30515610915745e-09,0,0,8.57142857142857,228.068896047005,"IFITM1;DDX58;IFI6;EIF2AK2;ISG15;IFIT1;DDX60;PARP12;OASL;BST2;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9;HERC6"
"acetohexamide-1829","17/100",2.93870081490419e-11,1.28043392649397e-08,0,0,8.09523809523809,196.313315934299,"IFITM1;RSAD2;MX1;IFI6;IFI44;IFIT1;IFI44L;IFIT3;OASL;MED28;PLSCR1;IFI27;OAS1;OAS2;GNAQ;OAS3;IRF9"
"terfenadine-6823","17/100",2.93870081490419e-11,1.19507166472771e-08,0,0,8.09523809523809,196.313315934299,"TGIF1;KLF10;CD83;INSIG1;ASNS;TNFAIP3;IFIT1;CLDN1;IFIT2;OASL;BCL6;IRF1;TRIB1;PHLDA1;JUNB;BIRC3;HBEGF"
"kinetin-6813","17/100",2.93870081490419e-11,1.12037968568222e-08,0,0,8.09523809523809,196.313315934299,"CD53;IFITM1;PSMD11;IFI6;ISG15;IFIT1;DDX60;CLGN;TAPBP;ARL4D;HLA-DMA;IFI27;OAS1;OAS3;RAC2;IRF9;HERC6"
"ursolic acid-7181","17/100",2.93870081490419e-11,1.05447499828915e-08,0,0,8.09523809523809,196.313315934299,"IFITM1;IFI6;ATP2B4;ISG15;IFI35;IFIT1;SMARCA2;TANK;PARP12;BST2;PLSCR1;IFI27;OAS1;OAS3;ARHGDIB;IRF9;HERC6"
"benfluorex-5327","17/100",2.93870081490419e-11,9.95893053939754e-09,0,0,8.09523809523809,196.313315934299,"TGIF1;DDX58;TAP1;IFIT1;DDX60;IFIT3;PARP12;CLGN;IFIT2;OASL;HERC5;PLSCR1;OAS1;IRF1;TRIM21;IRF9;HOXA4"
"wortmannin-6202","17/100",2.93870081490419e-11,9.43477630048188e-09,0,0,8.09523809523809,196.313315934299,"CXCL6;IFITM1;DDX58;MX1;ATP2B4;IFI44;ISG15;IFIT1;IFI44L;IFIT3;IFIT2;OASL;HERC5;CXCL10;PLSCR1;OAS2;OAS3"
"chlorcyclizine-4367","16/100",2.89253241351273e-10,8.82222386121382e-08,0,0,7.61904761904762,167.342617477052,"IFITM1;DDX58;IFI6;KLK13;TNFAIP3;ISG15;IFIT1;DDX60;IFIT3;IFIT2;OASL;HERC5;BST2;IFI27;OAS1;IRF9"
"astemizole-4471","16/100",2.89253241351273e-10,8.40211796306078e-08,0,0,7.61904761904762,167.342617477052,"RSAD2;GADD45B;TNFSF15;DDX58;INSIG1;ASNS;TNFAIP3;ZC3HAV1;IFIT1;CXCL3;CXCL2;IFIT3;IFIT2;OASL;HERC5;OAS1"
"azacyclonol-6298","16/100",2.89253241351273e-10,8.02020351019438e-08,0,0,7.61904761904762,167.342617477052,"CD83;DDX58;MX1;IFI6;IFI44;ISG15;ZC3HAV1;IFIT1;CXCL3;CXCL2;IFIT3;IFIT2;OASL;HERC5;MUC1;OAS1"
"bemegride-5014","16/100",2.89253241351273e-10,7.67149900975115e-08,0,0,7.61904761904762,167.342617477052,"LGALS3BP;IFITM1;MX1;IFI6;ISG15;IFI35;IFIT1;DDX60;PARP12;BST2;IFI27;OAS1;OAS2;OAS3;IRF9;HERC6"
"hydrocotarnine-6827","16/100",2.89253241351273e-10,7.35185321767818e-08,0,0,7.61904761904762,167.342617477052,"NKX2-8;IFITM1;DDX58;IFI6;ISG15;IFIT1;DDX60;ELK3;OASL;TAPBP;BST2;SPRED2;SNN;IFI27;OAS1;IRF9"
"niclosamide-1998","16/100",2.89253241351273e-10,7.05777908897105e-08,0,0,7.61904761904762,167.342617477052,"CD83;GADD45B;CCL20;ARID5B;TNFAIP3;H2BFS;SOD2;CXCL2;N4BP2L2;TANK;NFKB1;BCL6;NBN;NFKBIE;JUNB;BIRC3"
"clonidine-6814","16/100",2.89253241351273e-10,6.78632604708755e-08,0,0,7.61904761904762,167.342617477052,"LGALS3BP;IFITM1;IFI6;LAPTM5;ISG15;IFIT1;DDX60;BST2;IFI27;OAS1;OAS3;RAC2;TRIM21;CLEC2D;IRF9;HERC6"
