"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"apigenin-4401","18/100",4.54782037209394e-07,0.0027741704269773,0,0,4,58.4137902874863,"BEX4;DDX58;EAF2;IFI6;IFI35;IFIT1;MMP9;PARP12;OASL;CASP7;MAFB;IFI27;PMP22;TRIM21;S100A9;IRF9;MAP3K5;CBR3"
"camptothecin-4541","17/100",2.16020757857449e-06,0.00658863311465221,0,0,3.77777777777778,49.2822680166208,"SEC24B;EIF2AK3;ARID5B;VEGFC;CHD1;TNFRSF1A;XKR8;DUSP11;CHSY1;TRIM24;CHST15;ARHGEF3;TBPL1;ZNF217;ST3GAL1;BANP;ZNF189"
"verteporfin-6133","17/100",2.16020757857449e-06,0.0043924220764348,0,0,3.77777777777778,49.2822680166208,"AGPAT5;SUN2;GRN;NOTCH1;ERAP2;LY75;HMGCR;LIPA;SLC39A14;SORL1;IGF2R;GPNMB;OSTM1;ANPEP;CPD;CTSC;PCYOX1"
"camptothecin-2321","16/100",9.58526443704967e-06,0.0146175282665007,0,0,3.55555555555556,41.0854527758719,"PLEKHF2;SEC24B;AMD1;EIF2AK3;ARID5B;CLK4;CHD1;TNFRSF1A;TBK1;TBPL1;ZNF217;ST3GAL1;ZNF267;ZCCHC2;BANP;NCK1"
"dipyridamole-1934","16/100",9.58526443704967e-06,0.0116940226132006,0,0,3.55555555555556,41.0854527758719,"VASP;APOBEC3C;KLF10;DENND1B;SLC35A1;USP6;BCL10;CROT;ACAP2;PPDPF;TBPL1;ZNF217;TAB2;SHOC2;WASF1;SPG11"
"trichostatin A-3791","15/100",3.9617189377675e-05,0.0402774758673029,0,0,3.33333333333333,33.787491528978,"SUN2;CHKB;PHF11;KEAP1;HMGB3;VEGFC;NMI;IFIT3;PARP12;IFIT2;UBXN8;LANCL2;LY6G5C;RIN2;CBR3"
"mitoxantrone-5354","15/100",3.9617189377675e-05,0.0345235507434025,0,0,3.33333333333333,33.787491528978,"PLEKHF2;TGIF1;KLF10;CLDND1;CITED2;ARID5B;PKD2;CLK4;SMAD7;NFKBIA;ARHGEF3;ZNF217;TRIB1;JUNB;ZNF267"
"daunorubicin-4983","15/100",3.9617189377675e-05,0.0302081069004772,0,0,3.33333333333333,33.787491528978,"PLEKHF2;KLF10;MORC3;SEC24B;EGR3;ARID5B;BCL10;SMAD7;NFKBIA;PCF11;ZNF217;TRIB1;ZNF267;BANP;ZNF189"
"hydrocotarnine-1772","15/100",3.9617189377675e-05,0.0268516505782019,0,0,3.33333333333333,33.787491528978,"ACVR1;NARF;CLDND1;CD82;BCL2A1;INSIG1;CAPG;BCL10;HOPX;C3;GOLGA8B;RAB11FIP1;PSAT1;MAP7D1;SHOC2"
"withaferin A-3819","15/100",3.9617189377675e-05,0.0241664855203817,0,0,3.33333333333333,33.787491528978,"BCL2A1;SERPIND1;TNFSF15;G0S2;CXCL1;IFIT1;PTGS2;CXCL2;IFIT2;CD2AP;NFKBIA;PLAU;IL1B;PTX3;LY6G5C"
"rosiglitazone-4457","15/100",3.9617189377675e-05,0.0219695322912561,0,0,3.33333333333333,33.787491528978,"HSPA1L;CD70;IFI6;ARID5B;DNAJC12;VEGFC;CXCL1;IFIT1;RIT1;CLEC2B;PLAU;COL9A3;TRIB2;HERC6;BIRC3"
"flunisolide-2168","15/100",3.9617189377675e-05,0.0201387379336514,0,0,3.33333333333333,33.787491528978,"APOBEC3C;MPP3;CD82;TPM3;IFI6;ITGAL;CLGN;LRRC20;MLPH;TRPS1;IRF7;ARHGEF3;CCL2;IRF9;HERC6"
"lycorine-2195","15/100",3.9617189377675e-05,0.0185896042464475,0,0,3.33333333333333,33.787491528978,"LPCAT1;SNX10;TMEM97;LIPA;SLC39A14;ITPKB;GPNMB;PSAT1;IMPDH1;DPYSL2;NT5DC2;CCL2;XAF1;PCYOX1;MICB"
"paclitaxel-1959","14/100",0.000152037276535469,0.0488119677298086,0,0,3.11111111111111,27.350975016772,"KLF10;USP6;MX1;EIF2AK3;SNX10;PKD2;ACAP2;OSTM1;ANPEP;TRPS1;PTX3;RPRD1A;WASF1;ZNF189"
"doxorubicin-5671","14/100",0.000152037276535469,0.0463713693433182,0,0,3.11111111111111,27.350975016772,"PLEKHF2;KLF10;EGR3;CITED2;EIF2AK3;ARID5B;XKR8;NFKBIA;BAMBI;ZNF217;TRIB1;JUNB;ZNF267;BANP"
"epivincamine-1783","14/100",0.000152037276535469,0.0441632088983982,0,0,3.11111111111111,27.350975016772,"VASP;CHIC2;SEC24B;CLDND1;CISD1;TTC19;PSMB9;GOLGA8B;PSAT1;DPYSL2;RPRD1A;CEPT1;WASF1;ZCCHC2"
"tanespimycin-5222","14/100",0.000152037276535469,0.0421557903121074,0,0,3.11111111111111,27.350975016772,"KLF10;EGR3;EGLN2;CD82;DDX58;RHOG;ZFP36L2;SMAD7;NFKBIA;ITPKB;SCO2;PCF11;JUNB;ST3GAL1"
"eticlopride-5695","14/100",0.000152037276535469,0.0403229298637549,0,0,3.11111111111111,27.350975016772,"CHKB;MMP2;CAPG;IFI35;CLDN1;CNN2;ITPKB;IFI27;IMPDH1;MAP7D1;ARHGDIB;NFE2L3;S100A4;HOXA4"
"phensuximide-2960","14/100",0.000152037276535469,0.0386428077860985,0,0,3.11111111111111,27.350975016772,"APOBEC3C;TPM3;MMP2;MX1;SPAG4;DDX43;SPATA20;IFIT1;C3;XKR8;C5;NECAP2;NFE2L3;KPTN"
"dequalinium chloride-1276","14/100",0.000152037276535469,0.0370970954746545,0,0,3.11111111111111,27.350975016772,"KLF10;IDI1;PHC2;CD83;NARF;CHKB;INSIG1;USP11;PTGS2;C3;SLC6A8;IL1B;TRIB1;ZCCHC2"
"trichostatin A-6143","14/100",0.000152037276535469,0.0356702841102447,0,0,3.11111111111111,27.350975016772,"NOTCH1;ITIH2;MX1;ISG15;IFIT1;CD1C;IFI44L;PARP12;IFIT2;HYAL3;LANCL2;GPC3;OLR1;HERC6"
"diperodon-1575","14/100",0.000152037276535469,0.034349162476532,0,0,3.11111111111111,27.350975016772,"NOTCH1;CD82;CNP;FGL1;EIF2AK2;DNAJB14;ISG15;CAPG;IFIT1;LYZ;XKR8;MLPH;JUNB;TRIM22"
"diflorasone-2142","14/100",0.000152037276535469,0.0331224066737987,0,0,3.11111111111111,27.350975016772,"EGR3;FNBP1L;MMP9;ASGR2;GJA1;GPNMB;TRPS1;IL1B;IRF1;PPDPF;S100A12;CCL2;CD14;CLEC2D"
"doxorubicin-4610","14/100",0.000152037276535469,0.0319802547195298,0,0,3.11111111111111,27.350975016772,"KLF10;MORC3;ARID5B;BCL10;CLK4;CHD1;DUSP6;NFKBIA;DUSP11;TBK1;CHSY1;ARHGEF3;ZNF217;TRIB1"
"etofylline-1409","14/100",0.000152037276535469,0.0309142462288788,0,0,3.11111111111111,27.350975016772,"MORC3;CLDND1;CSGALNACT2;CETN3;STK39;DNAJB14;BCL10;LYZ;DYNC1LI1;ACAP2;RAB11FIP1;OSTM1;ZNF217;RPRD1A"
"letrozole-2916","14/100",0.000152037276535469,0.0299170124795601,0,0,3.11111111111111,27.350975016772,"APOBEC3C;CCDC69;MX1;IFI6;DEFB1;GNG11;PARP12;IL1B;PPDPF;HYAL3;OLR1;CCL2;KPTN;JUNB"
"tyrphostin AG-825-1114","14/100",0.000152037276535469,0.0289821058395738,0,0,3.11111111111111,27.350975016772,"SEC24B;CLDND1;AMD1;EIF2AK3;ARID5B;CLK4;CHD1;TBK1;CHSY1;BAMBI;CHST15;ZNF217;BANP;NCK1"
"methylprednisolone-1567","14/100",0.000152037276535469,0.0281038602080716,0,0,3.11111111111111,27.350975016772,"C11ORF95;MPP3;NOTCH1;STK39;IFI6;EIF2AK2;CYBA;ITGAL;PARL;PSAT1;CTSH;CCL2;XAF1;AARS"
"verteporfin-6817","14/100",0.000152037276535469,0.0272772760843048,0,0,3.11111111111111,27.350975016772,"ACVR1;HMGCR;LIPA;GNS;LTBP1;SORL1;IGF2R;GJA1;MUC1;SOAT1;CPD;ARHGDIB;CTSC;PCYOX1"
"tretinoin-6243","14/100",0.000152037276535469,0.0264979253390389,0,0,3.11111111111111,27.350975016772,"CFD;VAV3;EGR3;PLEKHA5;ARID5B;ISG15;CROT;CLK4;SMAD7;RPS6KA3;C5;DNMBP;TRPS1;IRF7"
"naloxone-1924","14/100",0.000152037276535469,0.025761871857399,0,0,3.11111111111111,27.350975016772,"CD53;EGLN1;DENND1B;CLDND1;IFNA17;CSGALNACT2;STK39;RPS6KA3;ACAP2;PLSCR1;RB1CC1;ZNF217;RPRD1A;WASF1"
"irinotecan-7498","14/100",0.000152037276535469,0.0250656050504422,0,0,3.11111111111111,27.350975016772,"DENND1B;SEC24B;PLEKHA5;ARID5B;BAZ1A;ASAP2;FNBP1L;CHD1;EPS8;RPS6KA3;ACAP2;TRPS1;CHST15;PHIP"
"rimexolone-2955","14/100",0.000152037276535469,0.0244059838649043,0,0,3.11111111111111,27.350975016772,"KLF10;BCL2A1;LY75;PTGS2;HOPX;CLGN;RCBTB2;DNMBP;SLC6A8;GPNMB;IL1B;PIM1;CCL2;FAM8A1"
"trichostatin A-1835","14/100",0.000152037276535469,0.0237801894068298,0,0,3.11111111111111,27.350975016772,"IFITM3;MX1;HMGB3;ISG15;IFIT3;PSMB10;IFIT2;ITPKB;SCO2;UBXN8;LANCL2;CCL2;XAF1;JUNB"
"vorinostat-1058","13/100",0.000539836483315212,0.0498939780033757,0,0,2.88888888888889,21.7367056773744,"TGIF1;EGR3;SLC35F2;KEAP1;VRK2;CLK4;NFKB1;SMAD7;TRPS1;ST3GAL1;MYD88;BANP;CBR3"
"5182598-976","13/100",0.000539836483315212,0.0491492917645193,0,0,2.88888888888889,21.7367056773744,"BEX4;VAV3;FASTKD1;C1GALT1;ARID5B;DNAJC12;DDX43;SOAT1;BAMBI;PLEK2;LCP1;LY6G5C;JUNB"
