"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"trichostatin A-1175","20/100",2.32917203510399e-14,1.42079494141343e-10,0,0,9.45626477541371,296.838566876894,"RGS19;TRAC;LMO2;SLA;HMHA1;NMI;PARP8;FGR;MS4A6A;RASSF2;TNIP1;CLEC7A;SCMH1;PECAM1;LCP2;PTPN6;CD69;CYTIP;EVI2B;TRIM22"
"vorinostat-1161","20/100",2.32917203510399e-14,7.10397470706717e-11,0,0,9.45626477541371,296.838566876894,"RGS19;TRAC;LMO2;SLA;HMHA1;NMI;ADCY7;NFKB1;KBTBD11;PARP8;FGR;MS4A6A;EVI2A;PECAM1;LCP2;PTPN6;CD69;CYTIP;EVI2B;TLR2"
"vorinostat-6179","17/100",3.28501000821932e-11,6.67952035004595e-08,0,0,8.03782505910166,194.025592205261,"RGS19;TRAC;LMO2;FGL2;MX1;SLA;KBTBD11;PARP8;FGR;MS4A6A;ELF4;LCP2;PTPN6;LTB;CD69;XAF1;CYTIP"
"lycorine-2195","16/100",3.2092700262756e-10,4.89413679007029e-07,0,0,7.56501182033097,165.3697015588,"DENND2D;CX3CR1;RGS19;SEMA4D;LRRK1;ASB13;SLA;GIMAP6;ADCY7;KBTBD11;MS4A6A;SLC7A7;IRF8;LTB;XAF1;KCTD15"
"piperlongumine-1764","15/100",2.91180522878514e-09,3.55240237911787e-06,0,0,7.09219858156028,139.393564500484,"ACVR1;TRAC;CPOX;CXCR4;TNFRSF1B;C17ORF62;SAMSN1;C12ORF35;RASSF2;KIAA0922;PTPN6;MNDA;CYTIP;PION;TLR2"
"parthenolide-1736","15/100",2.91180522878514e-09,2.96033531593156e-06,0,0,7.09219858156028,139.393564500484,"IL10RA;TRAC;PRKCD;RNASE6;HMHA1;C7ORF23;FLI1;SLC7A7;IRF8;PTPN6;LTB;XAF1;TRIM22;MYO1F;TLR2"
"apigenin-1321","15/100",2.91180522878514e-09,2.53743027079848e-06,0,0,7.09219858156028,139.393564500484,"CX3CR1;NCF2;RNASE6;NCF1C;ADCY7;KBTBD11;HCK;PRPSAP2;EHD4;NAGK;IRF8;MNDA;XAF1;MYD88;TLR2"
"trichostatin A-2694","15/100",2.91180522878514e-09,2.22025148694867e-06,0,0,7.09219858156028,139.393564500484,"DENND2D;RGS19;TRAC;LMO2;LRRK1;HMHA1;NMI;KBTBD11;ETV6;PARP8;FGR;MS4A6A;PTPN6;XAF1;KCTD15"
"apigenin-4401","14/100",2.44490089879155e-08,1.65709949806983e-05,0,0,6.6193853427896,116.015823241863,"DDX58;RFTN1;IFI6;IFI35;IFIT1;ADCY7;PARP12;OASL;ETV6;TRIM5;BAHCC1;TRIM21;IRF9;MAP3K5"
"vorinostat-2680","14/100",2.44490089879155e-08,1.49138954826284e-05,0,0,6.6193853427896,116.015823241863,"DENND2D;RGS19;TRAC;HMHA1;NMI;NFKB1;KBTBD11;FGR;MS4A6A;PTPN6;LTB;XAF1;CYTIP;RBM23"
"trichostatin A-6193","14/100",2.44490089879155e-08,1.35580868023895e-05,0,0,6.6193853427896,116.015823241863,"RGS19;MX2;FGL2;MX1;SLA;HMHA1;LAT2;FGR;MS4A6A;OAS1;PTPN6;LTB;CD69;HERC6"
"pancuronium bromide-4393","13/100",1.89213030835565e-07,9.61832906747455e-05,0,0,6.14657210401891,95.1513475279947,"CSF1R;IFITM1;TMEM183A;DDX58;MX2;LMO2;IFI6;ISG15;IFIT1;HERC5;HLA-DMA;EFHD2;IRF9"
"anisomycin-1304","13/100",1.89213030835565e-07,8.87845760074574e-05,0,0,6.14657210401891,95.1513475279947,"SASH3;AGPAT5;RGS19;SEMA4D;PRKCD;SLA;SAMHD1;ADCY7;KBTBD11;IL17RA;HERC5;MS4A6A;LTB"
"levodopa-4394","13/100",1.89213030835565e-07,8.24428205783533e-05,0,0,6.14657210401891,95.1513475279947,"IL15RA;CSF1R;DDX58;IFI6;TAP1;IFIT1;CD3D;PARP12;OASL;HLA-DMA;OAS3;BAHCC1;IRF9"
"alprostadil-2938","12/100",1.34347633768852e-06,0.000546347043993333,0,0,5.67375886524823,76.7106384197715,"DENND2D;CX3CR1;APOL6;BIN2;LRRK1;HMHA1;IRF8;CD69;OSBPL1A;PION;UBE2J1;TLR2"
"trichostatin A-1835","12/100",1.34347633768852e-06,0.000512200353743749,0,0,5.67375886524823,76.7106384197715,"CD97;CSF1R;RGS19;MX2;MX1;HMHA1;ISG15;XAF1;IFIT3;PSMB10;KBTBD11;IFIT2"
"ethionamide-4418","11/100",8.70551764752252e-06,0.00312374456764043,0,0,5.20094562647754,60.5990963265709,"BST2;RASSF2;OAS1;TRIM5;DDX58;LMO2;IFI6;IFIT1;IRF9;OASL;ETV6"
"tiabendazole-4402","11/100",8.70551764752252e-06,0.00295020320277152,0,0,5.20094562647754,60.5990963265709,"HERC5;TRIM5;MX2;RCAN3;IFI6;IFI35;IFIT1;TRIM21;CD3D;PARP12;IRF9"
"brinzolamide-1615","11/100",8.70551764752252e-06,0.00279492934999407,0,0,5.20094562647754,60.5990963265709,"FGR;BIN2;PELI2;MX1;IRF7;IFI6;CPOX;LTB;CD69;IFIT1;XAF1"
"pentamidine-4396","11/100",8.70551764752252e-06,0.00265518288249437,0,0,5.20094562647754,60.5990963265709,"HERC5;BST2;CSF1R;IFITM1;TRIM5;DDX58;MX2;IFIT1;GBP2;IRF9;ETV6"
"chrysin-3106","11/100",8.70551764752252e-06,0.00252874560237559,0,0,5.20094562647754,60.5990963265709,"DENND2D;CX3CR1;MS4A6A;MX2;ATP10D;TNFSF10;IFI6;IRF8;SERPINB8;USP18;HERC6"
"Prestwick-642-4419","11/100",8.70551764752252e-06,0.00241380262044942,0,0,5.20094562647754,60.5990963265709,"IFITM1;RASSF2;OAS1;DDX58;LAMP3;OAS3;MX2;IFI6;IFIT1;TRIM21;SH2B3"
