"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Prestwick-1103-6019","7/100",7.01593082495053e-10,4.27971780321982e-06,0,0,36.8421052631579,776.545646009105,"PTPRE;IFITM1;DDX58;OAS3;IFI6;IFIT1;IRF9"
"bacampicillin-4417","7/100",7.01593082495053e-10,2.13985890160991e-06,0,0,36.8421052631579,776.545646009105,"OAS1;DDX58;OAS3;IFI6;IFIT1;IRF9;HERC6"
"prednisone-4400","7/100",7.01593082495053e-10,1.42657260107327e-06,0,0,36.8421052631579,776.545646009105,"IFITM1;IFI27;OAS1;DDX58;OAS3;IFIT1;IRF9"
"etamsylate-4399","7/100",7.01593082495053e-10,1.06992945080496e-06,0,0,36.8421052631579,776.545646009105,"PTPRE;IFI27;OAS3;IFI6;IFI35;IFIT1;IRF9"
"apigenin-4401","7/100",7.01593082495053e-10,8.55943560643964e-07,0,0,36.8421052631579,776.545646009105,"IFI27;DDX58;IFI6;IFI35;IFIT1;IRF9;OASL"
"ethionamide-4418","7/100",7.01593082495053e-10,7.13286300536637e-07,0,0,36.8421052631579,776.545646009105,"IFI27;OAS1;DDX58;IFI6;IFIT1;IRF9;OASL"
"levodopa-4394","7/100",7.01593082495053e-10,6.11388257602832e-07,0,0,36.8421052631579,776.545646009105,"IFI27;DDX58;OAS3;IFI6;IFIT1;IRF9;OASL"
"iocetamic acid-4425","6/100",3.25571814089065e-08,2.48248508242912e-05,0,0,31.5789473684211,544.429511546042,"IFI27;OAS1;DDX58;OAS3;IFI6;IFIT1"
"ciclosporin-4411","6/100",3.25571814089065e-08,2.20665340660366e-05,0,0,31.5789473684211,544.429511546042,"OAS3;IFIT5;IFI6;IFI35;IFIT1;IRF9"
"methyldopate-4986","6/100",3.25571814089065e-08,1.98598806594329e-05,0,0,31.5789473684211,544.429511546042,"IFI27;DDX58;OAS3;IFI6;IFI35;IRF9"
"Prestwick-642-4419","6/100",3.25571814089065e-08,1.80544369631209e-05,0,0,31.5789473684211,544.429511546042,"IFITM1;OAS1;DDX58;OAS3;IFI6;IFIT1"
"cyanocobalamin-4395","6/100",3.25571814089065e-08,1.65499005495275e-05,0,0,31.5789473684211,544.429511546042,"IFI27;DDX58;IFIT5;IFI6;IFIT1;IRF9"
"diphemanil metilsulfate-4416","6/100",3.25571814089065e-08,1.52768312764869e-05,0,0,31.5789473684211,544.429511546042,"IFI27;OAS1;DDX58;OAS3;IFIT1;IRF9"
"pancuronium bromide-4393","6/100",3.25571814089065e-08,1.41856290424521e-05,0,0,31.5789473684211,544.429511546042,"IFITM1;DDX58;IFI6;ISG15;IFIT1;IRF9"
"thalidomide-5990","5/100",1.24392702359033e-06,0.000505863656260068,0,0,26.3157894736842,357.822032317809,"SAMD9;IFIT5;IFI6;IRF9;HERC6"
"solasodine-4305","5/100",1.24392702359033e-06,0.000474247177743814,0,0,26.3157894736842,357.822032317809,"IFITM1;SAMD9;KRT4;MX1;IFI6"
"bromocriptine-5665","5/100",1.24392702359033e-06,0.000446350284935354,0,0,26.3157894736842,357.822032317809,"IFI27;DDX58;IFI35;IFIT1;HERC6"
"3-acetylcoumarin-5624","5/100",1.24392702359033e-06,0.00042155304688339,0,0,26.3157894736842,357.822032317809,"SAMD9;DDX58;OAS3;IRF7;IRF9"
"helveticoside-4327","5/100",1.24392702359033e-06,0.000399366044415843,0,0,26.3157894736842,357.822032317809,"SAMD9;DDX58;MX1;IFIT1;IFIT2"
"lovastatin-4978","5/100",1.24392702359033e-06,0.000379397742195051,0,0,26.3157894736842,357.822032317809,"IFI27;OAS3;IFI6;IFI35;HERC6"
"dl-alpha tocopherol-4961","5/100",1.24392702359033e-06,0.000361331183042906,0,0,26.3157894736842,357.822032317809,"IFI27;OAS3;IFI6;ISG15;IRF9"
"lansoprazole-6009","5/100",1.24392702359033e-06,0.000344907038359137,0,0,26.3157894736842,357.822032317809,"IFITM1;OAS3;IFI6;IFIT1;IRF9"
"sparteine-4391","5/100",1.24392702359033e-06,0.00032991108016961,0,0,26.3157894736842,357.822032317809,"IFI27;DDX58;OAS3;IFI6;IFIT1"
"diphenhydramine-6020","5/100",1.24392702359033e-06,0.000316164785162543,0,0,26.3157894736842,357.822032317809,"IFITM1;SAMD9;IFI6;IFIT1;IRF9"
"lanatoside C-3771","5/100",1.24392702359033e-06,0.000303518193756041,0,0,26.3157894736842,357.822032317809,"SAMD9;IFIT5;IFIT1;IFIT3;IFIT2"
"chloropyramine-4414","5/100",1.24392702359033e-06,0.000291844417073116,0,0,26.3157894736842,357.822032317809,"IFI27;OAS3;IFI6;IFIT1;IRF9"
"thiostrepton-4385","5/100",1.24392702359033e-06,0.000281035364588927,0,0,26.3157894736842,357.822032317809,"IFITM1;DDX58;OAS3;IFI6;IFIT1"
"beclometasone-4403","5/100",1.24392702359033e-06,0.000270998387282179,0,0,26.3157894736842,357.822032317809,"IFI27;DDX58;IFI6;IFIT1;IRF9"
"tetramisole-4412","5/100",1.24392702359033e-06,0.000261653615306932,0,0,26.3157894736842,357.822032317809,"IFI27;DDX58;IFI6;IFIT1;IRF9"
"pilocarpine-2438","5/100",1.24392702359033e-06,0.000252931828130034,0,0,26.3157894736842,357.822032317809,"IFI6;ISG15;DDX60;REC8;HERC6"
"trichostatin A-6143","5/100",1.24392702359033e-06,0.000244772736900033,0,0,26.3157894736842,357.822032317809,"MX1;ISG15;IFIT1;IFIT2;HERC6"
"tiabendazole-4402","5/100",1.24392702359033e-06,0.000237123588871907,0,0,26.3157894736842,357.822032317809,"IFI27;IFI6;IFI35;IFIT1;IRF9"
"carisoprodol-4955","5/100",1.24392702359033e-06,0.000229938025572758,0,0,26.3157894736842,357.822032317809,"IFITM1;IFI27;IFI6;ISG15;IRF9"
"pentamidine-4396","5/100",1.24392702359033e-06,0.000223175142467677,0,0,26.3157894736842,357.822032317809,"IFITM1;IFI27;DDX58;IFIT1;IRF9"
"ribostamycin-6765","5/100",1.24392702359033e-06,0.000216798709825744,0,0,26.3157894736842,357.822032317809,"SAMD9;IFI27;OAS3;IFI6;IRF7"
"iopromide-6842","5/100",1.24392702359033e-06,0.000210776523441695,0,0,26.3157894736842,357.822032317809,"IFITM1;IFI27;IFI6;IFIT1;OASL"
"cefoperazone-5424","5/100",1.24392702359033e-06,0.000205079860645974,0,0,26.3157894736842,357.822032317809,"IFITM1;IFI27;DDX58;IFI6;HERC6"
"omeprazole-4951","4/100",3.81116028676401e-05,0.00611791519717381,0,0,21.0526315789474,214.210353368111,"IFI27;DDX58;IFI6;ISG15"
"perphenazine-5698","4/100",3.81116028676401e-05,0.00596104557673346,0,0,21.0526315789474,214.210353368111,"IFI27;OAS3;IFIT1;HERC6"
"equilin-5255","4/100",3.81116028676401e-05,0.00581201943731512,0,0,21.0526315789474,214.210353368111,"IFI27;OAS3;IFI6;IRF9"
"canrenoic acid-6783","4/100",3.81116028676401e-05,0.00567026286567329,0,0,21.0526315789474,214.210353368111,"IFITM1;IFI6;ISG15;IFI35"
"rosiglitazone-4457","4/100",3.81116028676401e-05,0.00553525660696678,0,0,21.0526315789474,214.210353368111,"SAMD9;IFI6;IFIT1;HERC6"
"bicuculline-4397","4/100",3.81116028676401e-05,0.00540652970913034,0,0,21.0526315789474,214.210353368111,"IFI27;DDX58;IFIT1;IRF9"
"ganciclovir-5389","4/100",3.81116028676401e-05,0.00528365403392284,0,0,21.0526315789474,214.210353368111,"IFI27;IFI6;IFI35;IRF9"
"fursultiamine-4975","4/100",3.81116028676401e-05,0.00516623949983566,0,0,21.0526315789474,214.210353368111,"IFI27;DDX58;OAS3;IFI6"
"oxyphenbutazone-6844","4/100",3.81116028676401e-05,0.00505392994549141,0,0,21.0526315789474,214.210353368111,"IFI27;IFI6;SAMHD1;IFIT1"
"11-deoxy-16,16-dimethylprostaglandin E2-7519","4/100",3.81116028676401e-05,0.00494639952111925,0,0,21.0526315789474,214.210353368111,"IFITM1;DDX58;MX1;IFIT2"
"theobromine-4958","4/100",3.81116028676401e-05,0.00484334953109593,0,0,21.0526315789474,214.210353368111,"IFITM1;IFI27;IFI6;ISG15"
"flunisolide-2168","4/100",3.81116028676401e-05,0.00474450566311438,0,0,21.0526315789474,214.210353368111,"IFI6;IRF7;IRF9;HERC6"
"retrorsine-4946","4/100",3.81116028676401e-05,0.0046496155498521,0,0,21.0526315789474,214.210353368111,"IFI27;OAS3;IFI6;ISG15"
"medrysone-3705","4/100",3.81116028676401e-05,0.00455844661750205,0,0,21.0526315789474,214.210353368111,"SAMD9;MX1;IFI6;DDX60"
"norfloxacin-2090","4/100",3.81116028676401e-05,0.00447078418255009,0,0,21.0526315789474,214.210353368111,"SAMD9;DDX58;CCL20;MX1"
"pyrazinamide-4962","4/100",3.81116028676401e-05,0.00438642976401141,0,0,21.0526315789474,214.210353368111,"IFI27;IFI6;ISG15;IRF9"
"zalcitabine-4215","4/100",3.81116028676401e-05,0.00430519958319639,0,0,21.0526315789474,214.210353368111,"PTPRE;DDX58;IFI6;IFIT3"
"naringenin-4422","4/100",3.81116028676401e-05,0.00422692322713827,0,0,21.0526315789474,214.210353368111,"OAS1;DDX58;OAS3;IFIT1"
"sulfaphenazole-1836","4/100",3.81116028676401e-05,0.00415144245522509,0,0,21.0526315789474,214.210353368111,"SAMD9;CCL20;IFI35;IFIT2"
"valproic acid-5219","4/100",3.81116028676401e-05,0.00407861013144921,0,0,21.0526315789474,214.210353368111,"IFI6;IRF7;ISG15;IFIT1"
"harman-4408","4/100",3.81116028676401e-05,0.00400828926711388,0,0,21.0526315789474,214.210353368111,"IFI27;OAS3;IFIT1;IRF9"
"allantoin-1800","4/100",3.81116028676401e-05,0.00394035216089161,0,0,21.0526315789474,214.210353368111,"MX1;IFI6;IRF9;HERC6"
"oxymetazoline-2114","4/100",3.81116028676401e-05,0.00387467962487675,0,0,21.0526315789474,214.210353368111,"SAMD9;CCL20;MX1;DDX60"
"homatropine-1848","4/100",3.81116028676401e-05,0.00381116028676401,0,0,21.0526315789474,214.210353368111,"OAS3;MX1;IFIT1;HERC6"
"nifedipine-6006","4/100",3.81116028676401e-05,0.00374968995955814,0,0,21.0526315789474,214.210353368111,"IFITM1;IFI6;IRF9;HERC6"
"meticrane-1834","4/100",3.81116028676401e-05,0.00369017107131119,0,0,21.0526315789474,214.210353368111,"SAMD9;CCL20;MX1;ISG15"
"novobiocin-4392","4/100",3.81116028676401e-05,0.00363251214832195,0,0,21.0526315789474,214.210353368111,"IFI27;DDX58;IFIT1;IRF9"
"trichostatin A-2949","4/100",3.81116028676401e-05,0.00357662734604007,0,0,21.0526315789474,214.210353368111,"MX1;ISG15;IFIT2;HERC6"
"trichostatin A-1835","4/100",3.81116028676401e-05,0.00352243602261522,0,0,21.0526315789474,214.210353368111,"MX1;ISG15;IFIT3;IFIT2"
"liothyronine-4947","4/100",3.81116028676401e-05,0.00346986235063589,0,0,21.0526315789474,214.210353368111,"IFI27;IFI6;ISG15;HERC6"
"nifurtimox-4953","4/100",3.81116028676401e-05,0.00341883496312654,0,0,21.0526315789474,214.210353368111,"IFI27;DDX58;IFI6;ISG15"
"Prestwick-857-4980","4/100",3.81116028676401e-05,0.00336928663032761,0,0,21.0526315789474,214.210353368111,"IFI27;OAS3;IFI6;ISG15"
"sirolimus-1183","4/100",3.81116028676401e-05,0.00332115396418007,0,0,21.0526315789474,214.210353368111,"SAMD9;DDX58;IFI6;IFIT1"
"raloxifene-5759","4/100",3.81116028676401e-05,0.00327437714778317,0,0,21.0526315789474,214.210353368111,"MX1;IFI6;DDX60;IFIT2"
"acebutolol-4976","4/100",3.81116028676401e-05,0.00322889968739729,0,0,21.0526315789474,214.210353368111,"SAMD9;IFI27;IFI6;ISG15"
"brinzolamide-1615","4/100",3.81116028676401e-05,0.0031846681848302,0,0,21.0526315789474,214.210353368111,"MX1;IFI6;IRF7;IFIT1"
"piromidic acid-4398","4/100",3.81116028676401e-05,0.00314163212827844,0,0,21.0526315789474,214.210353368111,"IFI27;IFI6;IFIT1;IRF9"
"estriol-6140","4/100",3.81116028676401e-05,0.0030997436999014,0,0,21.0526315789474,214.210353368111,"DDX58;OAS3;IFIT1;HERC6"
"3-acetamidocoumarin-4426","4/100",3.81116028676401e-05,0.00305895759858691,0,0,21.0526315789474,214.210353368111,"IFI27;OAS1;DDX58;IFIT1"
"aminophylline-5395","4/100",3.81116028676401e-05,0.00301923087652734,0,0,21.0526315789474,214.210353368111,"IFI27;IFI6;ISG15;IRF9"
"zoxazolamine-5390","4/100",3.81116028676401e-05,0.00298052278836673,0,0,21.0526315789474,214.210353368111,"IFITM1;IFI27;DDX58;IFI6"
"apramycin-4959","4/100",3.81116028676401e-05,0.00294279465180512,0,0,21.0526315789474,214.210353368111,"IFITM1;IFI27;IFI6;ISG15"
"pirlindole-3140","4/100",3.81116028676401e-05,0.00290600971865756,0,0,21.0526315789474,214.210353368111,"DDX58;MX1;ISG15;IFIT3"
"salbutamol-4700","3/100",0.000901065662717809,0.0499681867507148,0,0,15.7894736842105,110.714722506492,"PTPRE;SAMD9;DDX58"
"tranexamic acid-1401","3/100",0.000901065662717809,0.0495180229061138,0,0,15.7894736842105,110.714722506492,"IRF7;IRF9;IFIT2"
"lomustine-7094","3/100",0.000901065662717809,0.0490758977015949,0,0,15.7894736842105,110.714722506492,"IFIT5;IFIT1;IRF9"
"sulfadiazine-1810","3/100",0.000901065662717809,0.0486415977219348,0,0,15.7894736842105,110.714722506492,"SAMD9;DDX58;IFI6"
"stachydrine-6805","3/100",0.000901065662717809,0.0482149170401634,0,0,15.7894736842105,110.714722506492,"IFI27;IFI6;IFIT1"
"bergenin-5870","3/100",0.000901065662717809,0.0477956568919881,0,0,15.7894736842105,110.714722506492,"KRT4;OAS3;DDX60"
"chlorpropamide-6291","3/100",0.000901065662717809,0.0473836253670572,0,0,15.7894736842105,110.714722506492,"DDX58;OAS3;IRF9"
"ketotifen-3200","3/100",0.000901065662717809,0.0469786371160567,0,0,15.7894736842105,110.714722506492,"DDX58;OAS3;HERC6"
"etilefrine-4415","3/100",0.000901065662717809,0.0465805130727003,0,0,15.7894736842105,110.714722506492,"DDX58;IFIT1;IRF9"
"11-deoxy-16,16-dimethylprostaglandin E2-7538","3/100",0.000901065662717809,0.0461890801897364,0,0,15.7894736842105,110.714722506492,"OAS3;PHF11;HERC6"
"16,16-dimethylprostaglandin E2-6592","3/100",0.000901065662717809,0.0458041711881553,0,0,15.7894736842105,110.714722506492,"SAMD9;MX1;IFIT2"
"moxisylyte-1804","3/100",0.000901065662717809,0.0454256243188317,0,0,15.7894736842105,110.714722506492,"IFI6;DDX60;SAMHD1"
"dicycloverine-4405","3/100",0.000901065662717809,0.0450532831358904,0,0,15.7894736842105,110.714722506492,"IFI6;IFIT1;HERC6"
"MG-262-7079","3/100",0.000901065662717809,0.0446869962811271,0,0,15.7894736842105,110.714722506492,"IFIT5;IFIT1;IFIT2"
"menadione-4662","3/100",0.000901065662717809,0.0443266172788599,0,0,15.7894736842105,110.714722506492,"DDX58;IFIT5;DDX60"
"dehydrocholic acid-4620","3/100",0.000901065662717809,0.0439720043406291,0,0,15.7894736842105,110.714722506492,"MX1;IFIT3;DUOX2"
