"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"suloctidil-1297","28/100",2.61944669943922e-58,1.59786248665793e-54,0,0,147.368421052632,19539.132757289,"IFITM1;SAMD9;IFIT5;IFI6;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;IFI16;HERC6;STAT1;DDX58;SP110;MX1;PHF11;EIF2AK2;IFI44;ISG15;PLSCR1;OAS1;OAS2;OAS3;IRF7;LAP3;IRF9"
"prenylamine-1737","23/100",1.13027496990366e-44,3.44733865820616e-41,0,0,121.052631578947,12249.4711184505,"IFITM1;SAMD9;STAT1;DDX58;SP110;MX1;IFIT5;IFI6;EIF2AK2;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;IFI16;OAS1;IRF7;LAP3;IRF9"
"prochlorperazine-5010","23/100",1.13027496990366e-44,2.29822577213744e-41,0,0,121.052631578947,12249.4711184505,"IFITM1;SAMD9;STAT1;DDX58;SP110;IFIT5;IFI6;IFI44;ISG15;IFI35;DDX60;IFIT1;IFIT3;OASL;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9;HERC6"
"terfenadine-1381","21/100",1.35150581150459e-39,2.06104636254449e-36,0,0,110.526315789474,9892.06096863183,"SAMD9;STAT1;DDX58;SP110;CCL20;MX1;IFIT5;IFI6;IFI44;ISG15;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;PLSCR1;IFI16;OAS1;IRF7;IRF9"
"propofol-5306","21/100",1.35150581150459e-39,1.64883709003559e-36,0,0,110.526315789474,9892.06096863183,"IFITM1;STAT1;DDX58;SP110;IFIT5;IFI6;ISG15;IFI35;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;PLSCR1;IFI27;OAS1;OAS3;IRF7;IRF9;HERC6"
"niflumic acid-5490","20/100",3.92215737341519e-37,3.9875266629721e-34,0,0,105.263157894737,8824.10595663195,"IFITM1;STAT1;DDX58;SP110;IFIT5;IFI6;EIF2AK2;ISG15;DDX60;IFIT1;OASL;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9;HERC6"
"mephentermine-4707","19/100",1.01425355409637e-34,8.8384952571255e-32,0,0,100,7827.37402345372,"IFITM1;STAT1;DDX58;SP110;IFIT5;IFI6;ISG15;IFI35;DDX60;IFIT1;OASL;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF9;HERC6"
"prasterone-5019","16/100",8.79405223998636e-28,6.7054648329896e-25,0,0,84.2105263157895,5246.17322043621,"IFITM1;STAT1;DDX58;IFIT5;IFI6;ISG15;DDX60;IFIT1;IFIT3;IFIT2;OASL;IFIH1;OAS1;OAS2;OAS3;IRF9"
"acetohexamide-1829","16/100",8.79405223998636e-28,5.96041318487964e-25,0,0,84.2105263157895,5246.17322043621,"IFITM1;STAT1;SP110;MX1;IFI6;IFI44;IFIT1;IFIT3;OASL;IFIH1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF9"
"bemegride-5014","16/100",8.79405223998636e-28,5.36437186639168e-25,0,0,84.2105263157895,5246.17322043621,"IFITM1;SP110;MX1;IFI6;ISG15;IFI35;DDX60;IFIT1;IFIH1;TTC9;IFI27;OAS1;OAS2;OAS3;IRF9;HERC6"
