"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"etamsylate-4399","12/100",1.18841772659383e-08,7.24934813222235e-05,0,0,8.79120879120879,160.422487587731,"PRRG4;PTPRE;IFI27;OAS3;PLA2G4C;IFI6;UBTD1;IFI35;IFIT1;CYP4F11;PARP12;IRF9"
"apigenin-4401","12/100",1.18841772659383e-08,3.62467406611118e-05,0,0,8.79120879120879,160.422487587731,"PLEKHF1;IFI27;TRIM5;DDX58;IFI6;IFI35;IFIT1;BAHCC1;TRIM21;PARP12;IRF9;OASL"
"tiabendazole-4402","12/100",1.18841772659383e-08,2.41644937740745e-05,0,0,8.79120879120879,160.422487587731,"HERC5;IFI27;TRIM5;RCAN3;PLA2G4C;IFI6;HYI;IFI35;IFIT1;TRIM21;PARP12;IRF9"
"terguride-5694","12/100",1.18841772659383e-08,1.81233703305559e-05,0,0,8.79120879120879,160.422487587731,"PRRG4;IL15RA;GALNT14;IFITM1;IFI27;RCAN3;DNAJC12;PTK6;BAHCC1;USP18;SUPT3H;HERC6"
"levodopa-4394","12/100",1.18841772659383e-08,1.44986962644447e-05,0,0,8.79120879120879,160.422487587731,"IL15RA;IFI27;DDX58;OAS3;IFI6;TAP1;IFIT1;CYP4F11;BAHCC1;PARP12;IRF9;OASL"
"helveticoside-4327","11/100",1.2128250969604e-07,0.00012330388485764,0,0,8.05860805860806,128.334487502188,"PLEKHF1;APOL6;SAMD9;DDX58;MX1;CDC42EP2;PTK6;IFIT1;BAHCC1;IFIT2;LY6E"
"ethionamide-4418","10/100",1.11970889911843e-06,0.000975746326374636,0,0,7.32600732600733,100.384189142429,"BST2;IFI27;OAS1;TRIM5;DDX58;PLA2G4C;IFI6;IFIT1;IRF9;OASL"
"rosiglitazone-6950","10/100",1.11970889911843e-06,0.000853778035577807,0,0,7.32600732600733,100.384189142429,"GAMT;TRIM5;MGAT4A;KIAA0753;CDC42EP2;IRF7;UBTD1;USP18;LZTFL1;SUPT3H"
"Prestwick-1103-6019","10/100",1.11970889911843e-06,0.000758913809402495,0,0,7.32600732600733,100.384189142429,"PRRG4;PTPRE;IFITM1;DYRK3;DDX58;OAS3;IFI6;IFIT1;BAHCC1;IRF9"
"Prestwick-642-4419","10/100",1.11970889911843e-06,0.000683022428462245,0,0,7.32600732600733,100.384189142429,"IFITM1;DYRK3;OAS1;DDX58;LAMP3;OAS3;IFI6;GMPR;IFIT1;TRIM21"
