"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"suloctidil-1297","51/100",3.23134955613848e-69,1.97112322924447e-65,0,0,37.3626373626374,5892.29234352844,"RTP4;IFITM1;IFIT5;UBE2L6;IFI35;IFIT1;IFI44L;IFIT3;IFIT2;OASL;HERC5;IFIH1;TRIM5;TNFSF10;TRIM21;TRIM22;HERC6;RSAD2;SP110;DDX58;TAP2;TAP1;PLSCR1;OAS1;OAS2;OAS3;IRF7;IRF9;LY6E;SAMD9;IFI6;DDX60;USP18;APOL6;IFI16;GBP2;STAT1;PHF11;MX1;IFI44;EIF2AK2;ISG15;PARP12;ISG20;BST2;CXCL10;CXCL11;XAF1;SP140L;MYD88;ZCCHC2"
"prochlorperazine-5010","33/100",5.26565964532117e-37,1.60602619182296e-33,0,0,24.1758241758242,2019.51398276286,"IFITM1;SP100;SAMD9;IFIT5;IFI6;IFI35;IFIT1;DDX60;USP18;IFIT3;OASL;HERC5;IFIH1;LAMP3;TRIM21;HERC6;SP110;DDX58;STAT1;TAP1;IFI44;ISG15;PARP12;ISG20;BST2;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9"
"propofol-5306","31/100",7.87804960430655e-34,1.601870086209e-30,0,0,22.7106227106227,1731.09025408201,"IFITM1;SP100;IFIT5;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFIT3;IFIT2;OASL;HERC5;IFIH1;BAHCC1;TRIM21;HERC6;SP110;DDX58;STAT1;PLA2G4C;TAP1;ISG15;HLA-G;PARP12;ISG20;PLSCR1;IFI27;OAS1;OAS3;IRF7;IRF9"
"prenylamine-1737","30/100",2.82706205119183e-32,4.31126962806754e-29,0,0,21.978021978022,1596.56010874406,"IFITM1;SAMD9;IFIT5;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFIT3;IFIT2;OASL;HERC5;IFIH1;IFI16;TNFSF10;TRIM21;TRIM22;SP110;DDX58;STAT1;MX1;IFI44;EIF2AK2;UBE4B;ISG15;CXCL10;OAS1;IRF7;XAF1;IRF9"
"mephentermine-4707","27/100",9.58274225357569e-28,1.16909455493623e-24,0,0,19.7802197802198,1230.57531702293,"IFITM1;SP100;IFIT5;IFI6;IFI35;IFIT1;DDX60;PVR;OASL;HERC5;IFIH1;LAMP3;SCRN3;TRIM21;HERC6;SP110;DDX58;STAT1;ISG15;PARP12;BST2;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF9"
"terfenadine-1381","27/100",9.58274225357569e-28,9.74245462446862e-25,0,0,19.7802197802198,1230.57531702293,"SAMD9;IFIT5;IFI6;IFIT1;DDX60;IFIT3;IFIT2;OASL;HERC5;IFIH1;IFI16;GBP2;TRIM22;SP110;DDX58;CCL20;STAT1;MX1;TAP1;IFI44;ISG15;CXCL10;PLSCR1;OAS1;IRF7;XAF1;IRF9"
"niflumic acid-5490","25/100",7.67567073137202e-25,6.68879878019562e-22,0,0,18.3150183150183,1016.97017662063,"IFITM1;SP100;IFIT5;IFI6;IFIT1;DDX60;OASL;IFIH1;LAMP3;CASP1;HERC6;SP110;DDX58;STAT1;EIF2AK2;ISG15;PARP12;BST2;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;IRF9"
"prasterone-5019","24/100",1.99743841131485e-23,1.52304678862757e-20,0,0,17.5824175824176,918.990621073649,"KCNK5;IFITM1;DDX58;STAT1;IFIT5;IFI6;ISG15;IFIT1;DDX60;ACVR1B;PVR;IFIT3;IFIT2;OASL;HERC5;ISG20;IFIH1;CXCL10;CXCL11;OAS1;OAS2;OAS3;GBP1;IRF9"
"acetohexamide-1829","21/100",2.47330446762207e-19,1.67635080583274e-16,0,0,15.3846153846154,659.131717987947,"IFITM1;DYRK3;RSAD2;SP110;STAT1;MX1;IFI6;IFI44;IFIT1;USP18;IFI44L;IFIT3;OASL;IFIH1;PLSCR1;APOL6;IFI27;OAS1;OAS2;OAS3;IRF9"
"bemegride-5014","19/100",9.69544910947206e-17,5.91422395677796e-14,0,0,13.9194139194139,513.240666241474,"IFITM1;SP110;MX1;IFI6;ISG15;IFI35;IFIT1;DDX60;PARP12;MAPK13;BST2;IFIH1;IFI27;OAS1;OAS2;OAS3;CDC42EP2;IRF9;HERC6"
