"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HME1 24H-XMD-1150-3.33","19/81",4.05622360498414e-15,1.3434618202068e-10,0,0,11.1699000587889,370.154001183681,"LGALS3BP;IFITM1;COL15A1;SERPINA1;PSCA;TAP1;IFI44;ISG15;NMI;IFIT3;PSMB8;TAPBP;PSMB9;CXCL10;MAFB;IFI16;OAS2;ARHGDIB;GBP1"
"LJP006 HEPG2 24H-BI-2536-10","22/131",4.54006716169532e-14,7.51857822312554e-10,0,0,7.99709196655762,245.696651736188,"SRGN;FGB;IFITM2;SERPINA1;ITIH2;C1S;AHSG;C1R;FGG;APOA2;KRT13;GLRX;LYZ;PSMB8;CRYZ;PSMB9;CXCL10;APOH;ARHGDIB;APOB;PHLDA1;GBP1"
"LJP006 A549 24H-BI-2536-0.04","19/93",6.11290042017917e-14,6.74884582722515e-10,0,0,9.72862263184844,296.001028610395,"FGB;FGA;FGL1;FGG;APOA2;ISG15;CP;IFI44L;PSMB9;CXCL10;MAFB;MLPH;OAS1;IFI16;APOH;NAMPT;ALB;TNFSF10;NKX2-1"
"LJP006 HEPG2 24H-QL-XII-47-1.11","27/219",1.46205890329231e-13,1.21062132339862e-09,0,0,5.87084148727984,173.50544359419,"IFITM3;LGALS3BP;IFITM1;IFITM2;SERPINA1;ITIH2;IFI6;DEFB1;AFP;IFIT1;LIPA;IFI44L;SULT1A1;EBP;APOH;TNFSF10;PHGDH;FGB;FGA;AHSG;CCL20;MX1;IFI44;KAZN;LYZ;NIPSNAP1;ALB"
"LJP006 HA1E 24H-celastrol-0.04","16/66",3.52831595354083e-13,2.33722705394452e-09,0,0,11.5440115440115,330.998967027944,"CXCL6;CCL20;LAPTM5;TNFAIP3;CXCL1;DEFB1;LYZ;SOD2;CXCL2;ZNF91;TNFSF10;CCL2;KCTD12;CFB;HERC6;BIRC3"
"LJP005 HEPG2 24H-withaferin-a-1.11","18/90",4.16601171314253e-13,2.29970789918323e-09,0,0,9.52380952380952,271.491876709369,"IFITM3;FGB;FGA;IFITM2;ITIH2;CCL20;FGL1;FGG;ARID5B;HMGCR;CP;TGFBR2;IFI16;LPAR6;ARHGDIB;TNFSF10;KCTD12;GBP1"
"LJP005 MCF7 3H-AS-601245-0.37","17/85",1.8822655154896e-12,8.90607373407587e-09,0,0,9.52380952380952,257.129000030093,"IFITM3;IFITM1;IFITM2;RSAD2;STAT3;KRT13;IL36G;IFIT1;IFI44L;IFIT3;IFIT2;OASL;OAS1;IFI27;OAS2;OAS3;XAF1"
"LJP006 HEPG2 24H-QL-XII-47-3.33","23/176",2.83622547572734e-12,1.17423279976957e-08,0,0,6.22294372294372,165.45903169056,"IFITM3;FGB;FGA;IFITM1;IFITM2;SERPINA1;ITIH2;CCL20;KAZN;ASNS;DEFB1;SNX10;IFI30;IFIT1;LIPA;NIPSNAP1;PSMB8;PSMB9;APOH;ALB;TNFSF10;PHGDH;CFB"
"LJP005 HA1E 24H-buparlisib-10","19/115",3.37696225732283e-12,1.24275963249766e-08,0,0,7.86749482401656,207.812358786178,"INSIG1;MX1;IFI6;KRT13;KAZN;TNFAIP3;DEFB1;ISG15;HMGCR;IFIT1;IFI44L;BST2;EBP;IFI27;OAS1;OAS3;CCL2;PHGDH;RHCG"
"LJP009 HEPG2 24H-SB-203580-3.33","16/77",4.56624662302626e-12,1.51238654401253e-08,0,0,9.89486703772418,258.378029005341,"FGB;SERPINA1;TLE1;ITIH2;AHSG;FGL1;FGG;APOA2;APOA1;AFP;CP;SULT1A1;APOH;ALB;APOB;CFB"
