"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HA1E 24H-NVP-TAE684-3.33","64/150",3.48549138333281e-46,1.15460387564283e-41,0,0,9.48148148148148,992.429560831351,"LGALS3BP;CXCL6;IFITM1;CXCL9;TNFAIP2;TNFAIP3;UBE2L6;IFI35;IFIT1;CLU;LITAF;IFI44L;IFIT3;OASL;HERC5;TNFSF10;TRIM22;HERC6;HIST1H1C;RSAD2;DDX58;HLA-B;TAP1;HLA-F;TAPBP;PLSCR1;IFI27;OAS1;OAS2;IRF1;OAS3;IRF7;IRF9;IDO1;BIRC3;PTGER4;C1S;HIST1H2BK;IFI6;DDX60;C3;SNN;CCL2;GBP1;MICB;CBR3;GCH1;MX1;IFI44;EIF2AK2;TDRD7;ISG15;NMI;H2BFS;SOD2;PARP12;PSMB8;PSMB9;BST2;NFKBIA;CXCL10;BCL6;BAMBI;XAF1"
"LJP006 HA1E 24H-NVP-TAE684-1.11","52/111",2.79623646972998e-40,4.63140646481376e-36,0,0,10.4104104104104,948.12947445103,"LGALS3BP;IFITM1;CXCL9;TNFAIP8;TNFAIP2;TNFAIP3;UBE2L6;CXCL1;IFI35;IFIT1;CXCL3;CLU;LITAF;IFI44L;IFIT3;IFIT2;OASL;HERC5;TNFSF10;TRIM22;HERC6;RSAD2;DDX58;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;CFB;IRF9;IDO1;HIST1H2BK;IFI6;DDX60;C3;SNN;CCL2;GBP1;CCL20;MX1;IFI44;EIF2AK2;ISG15;L1CAM;SOD2;PARP12;BST2;NFKBIA;CXCL10;MGP;XAF1"
"LJP006 HA1E 24H-WZ-4-145-0.37","53/123",1.12146279447877e-38,1.23831921766346e-34,0,0,9.57542908762421,836.735461717964,"LGALS3BP;IFITM1;IFITM2;UBE2L6;DEFB1;IFI35;IFIT1;ADO;IFI44L;IFIT3;HERC5;CTSK;TNFSF10;CYP1B1;TRIM22;HERC6;RSAD2;HLA-B;TAP1;HLA-F;DCN;GREM1;PLSCR1;IFI27;OAS1;OAS2;OAS3;IRF7;CFB;LY6E;BEX4;C1S;IFI6;DDX60;HDAC9;MUC1;GPNMB;GBP1;CBR3;GADD45B;MX1;STAT3;IFI44;ISG15;PARP12;PSMB8;PSMB9;COL1A1;BST2;CXCL10;BAMBI;TPP1;XAF1"
"LJP006 HA1E 24H-WZ-4-145-1.11","49/117",4.08853979855868e-35,3.38592423417637e-31,0,0,9.30674264007597,736.929198087665,"IFITM3;IFITM1;IFITM2;UBE2L6;IFI35;IFIT1;IFI44L;IFIT3;IFIT2;HERC5;CTSK;TNFSF10;CYP1B1;TRIM22;RSAD2;DAPK1;ARID5B;SERPINB9;DCN;PLSCR1;IFI27;OAS1;OAS2;OAS3;C1QB;GRN;C1S;C1R;IFI6;DDX60;THBS2;IFI16;GPNMB;CCL18;GBP1;GADD45B;MX1;IFI44;EIF2AK2;ISG15;PARP12;PSMB9;BST2;KRT18;LPAR6;BAMBI;APOC1;TPP1;XAF1"
"LJP006 HA1E 24H-saracatinib-3.33","45/99",2.83777266809023e-34,1.88008114806314e-30,0,0,10.1010101010101,780.251249385108,"LGALS3BP;IFITM1;C1S;C1R;IFI6;UBE2L6;GLRX;IFI35;AEBP1;IFIT1;DDX60;IFI44L;IFIT3;OASL;HERC5;IFI16;GPNMB;FCGRT;CTSK;TNFSF10;CCL2;TRIM22;HERC6;MAP3K5;RSAD2;GCH1;DDX58;MX1;KRT13;IFI44;EIF2AK2;ISG15;PSMB8;PSMB9;ARL4C;PLSCR1;RAB31;CLEC2B;IFI27;BCL6;OAS1;OAS2;OAS3;XAF1;LY6E"
"LJP006 HA1E 24H-AZD-7762-0.37","47/110",3.25339377101917e-34,1.79619870097968e-30,0,0,9.49494949494949,732.138412168408,"LGALS3BP;PPP1R15A;IFITM1;IFITM2;CD83;HIST1H2BK;IFI6;UBE2L6;IFI35;IFIT1;DDX60;IFI44L;IFIT3;IFIT2;OASL;HERC5;TNFSF10;JUNB;TRIM22;HERC6;HIST1H1C;RSAD2;GCH1;DDX58;MX1;HLA-B;TAP1;HLA-C;IFI44;ISG15;H2BFS;HLA-F;PSMB8;BST2;NFKBIA;CXCL10;PLSCR1;IFI27;BCL6;OAS1;OAS2;OAS3;IRF7;XAF1;IRF9;LY6E;BIRC3"
"LJP006 HA1E 24H-saracatinib-1.11","41/83",3.44599310844691e-33,1.63074239586303e-29,0,0,10.9772423025435,820.527960683634,"CXCL6;IFITM1;C1R;IFI6;CXCL1;UBE2L6;IFI35;IFIT1;DDX60;CLU;IFI44L;IFIT3;HERC5;TNFSF10;CCL2;GBP1;CTSC;HERC6;MAP3K5;RSAD2;DDX58;MX1;TAP1;KAZN;IFI44;ISG15;NMI;HLA-F;L1CAM;SOD2;PARP12;PSMB8;PSMB9;ARL4C;QDPR;PLSCR1;OAS1;IFI27;OAS2;OAS3;IRF7"
"LJP009 HT29 24H-chelerythrine chloride-10","43/94",6.0010702064501e-33,2.48489314573583e-29,0,0,10.1654846335697,754.211565166145,"IFITM1;IFI6;IFIT1;DDX60;IFI44L;IFIT3;HERC5;CASP7;TNFSF10;PHGDH;TRIM22;HERC6;HIST1H1C;CDKN2C;RSAD2;GCH1;DDX58;GFPT1;MX1;TAP1;ASNS;IFI44;ISG15;HLA-F;LYZ;PARP12;PSMB8;TAPBP;PSMB9;GREM1;BST2;CXCL10;PLSCR1;OAS1;IFI27;OAS2;PSAT1;IRF7;XAF1;IRF9;LY6E;BIRC3;AARS"
"LJP006 HA1E 24H-WZ-4-145-3.33","48/127",6.15260870242734e-32,2.26457017640676e-28,0,0,8.3989501312336,603.597663451323,"IFITM3;CFD;IFITM1;GRN;IFITM2;C1S;CITED2;IFI6;UBE2L6;IFI35;IFIT1;DDX60;PKD2;THBS2;AQP3;IFI44L;IFIT3;HERC5;GPNMB;CTSK;PIM1;TRIM22;HERC6;MICB;EIF1AY;RSAD2;GADD45B;FGG;MX1;TAP1;ARID5B;IFI44;ISG15;PSMB8;PSMB9;BST2;PLSCR1;SLC6A8;KRT18;IFI27;BCL6;OAS1;OAS2;OAS3;TPP1;XAF1;S100A9;IRF9"
"LJP007 HA1E 24H-AST1306-10","48/129",1.43914360945427e-31,4.76730712067823e-28,0,0,8.2687338501292,587.213144490318,"CFD;IFITM1;GRN;IFI6;GLRX;CAPG;IFI35;IFIT1;DDX60;IFI44L;IFIT3;HERC5;PLAU;ANPEP;CTSK;NAMPT;PHGDH;PHLDA1;TRIM22;HERC6;CDK17;ABCA1;WARS;RSAD2;DDX58;PHF11;MX1;IFI44;ISG15;NMI;GNG11;PARP12;DUSP6;PSMB8;TGFBR2;PSMB9;BST2;PLSCR1;CLEC2B;IFI27;OAS1;OAS2;OAS3;IRF7;S100P;LAP3;XAF1;CFB"
